Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,25/05/2015 12:52:38 PM,14721772,302,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58176148903814,48747.589403973485,146695.7517564352,986882.0,48.0,1.4708207E7,48864.4750830565,146925.95404557884,986882.0,48.0,0,0,0,0,0,0,0,0,0,0,0,20.51383488346376,0.0679266055743833,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,302,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.196.16-10753-465-6,131.202.240.87,10753,173.194.196.16,465,6,25/05/2015 12:52:51 PM,2539884,13,22,1965.0,4490.0,1294.0,0.0,151.15384615384613,347.32425919541095,1350.0,0.0,204.09090909090907,409.87372144657866,2541.4546491099595,13.780156889054776,74702.4705882353,178477.11558411736,920076.0,40.0,2445213.0,203767.74999999997,297792.31542015227,967704.0,927.0,2539884.0,120946.85714285714,217297.16268195628,920076.0,48.0,0,0,0,0,260,464,5.118343987363203,8.661812901691574,0.0,1350.0,179.30555555555551,379.1533289124557,143757.24682539684,0,1,0,0,0,0,0,0,1.0,184.42857142857142,151.15384615384616,204.0909090909091,0,0,0,0,0,0,13,1965,22,4490,-1,364,10,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.196.16-10753-465-6,131.202.240.87,10753,173.194.196.16,465,6,25/05/2015 12:52:54 PM,4277,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,7248.071077858312,701.4262333411269,2138.5,2462.8529188727452,3880.0,397.0,397.0,397.0,0.0,397.0,397.0,0,0,0,0,0,0,0,0,0,40,20,467.6174888940846,233.8087444470423,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,16432,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,17,25/05/2015 12:52:39 PM,14475861,10,1,500.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,37.994285797577085,0.7598857159515416,1447586.1,1417738.5278747785,4882634.0,750147.0,1.3725714E7,1525079.3333333333,1481104.9376928024,4882634.0,750247.0,0,0,0,0,0,0,0,0,0,80,8,0.6908051963195834,0.06908051963195834,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.54545454545455,50.0,50.0,0,0,0,0,0,0,10,500,1,50,-1,-1,10,0,0,0,0,0,0,0,0,0,No Label
131.202.240.94-224.0.0.251-5353-5353-17,131.202.240.94,5353,224.0.0.251,5353,17,25/05/2015 12:52:39 PM,14795974,3,1,132.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,44.0,0.0,11.895127688112996,0.2703438110934772,4931991.333333334,5964475.475403042,1.1794943E7,1000627.0,1.3795347E7,6897673.5,6925784.945496106,1.1794943E7,2000404.0,0,0,0,0,0,0,0,0,0,24,8,0.2027578583201079,0.0675859527733693,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,44.0,0,0,0,0,0,0,3,132,1,44,-1,-1,3,0,3001031.0,0.0,3001031.0,3001031.0,1.1794943E7,0.0,1.1794943E7,1.1794943E7,No Label
131.202.240.70-131.202.243.255-137-137-17,131.202.240.70,137,131.202.243.255,137,17,25/05/2015 12:52:40 PM,9443824,5,1,250.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,31.766792773774693,0.6353358554754939,1888764.8,2536531.2600745135,6426238.0,750279.0,8692325.0,2173081.25,2835445.083141196,6426238.0,750279.0,0,0,0,0,0,0,0,0,0,40,8,0.5294465462295782,0.10588930924591565,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.333333333333336,50.0,50.0,0,0,0,0,0,0,5,250,1,50,-1,-1,5,0,1501778.0,0.0,1501778.0,1501778.0,6426238.0,0.0,6426238.0,6426238.0,No Label
131.202.240.97-224.0.0.251-5353-5353-17,131.202.240.97,5353,224.0.0.251,5353,17,25/05/2015 12:52:40 PM,13983029,9,1,403.0,45.0,45.0,44.0,44.77777777777778,0.4409585518440988,45.0,45.0,45.0,0.0,32.03883793704497,0.7151526325233253,1553669.8888888888,1050137.3261289978,3176419.0,162068.0,1.2982182E7,1622772.75,1100551.318985528,3176419.0,162068.0,0,0,0,0,0,0,0,0,0,72,8,0.6436373692709927,0.07151526325233253,44.0,45.0,44.81818181818181,0.40451991747794536,0.16363636363636372,0,0,0,0,0,0,0,0,0.0,49.3,44.77777777777778,45.0,0,0,0,0,0,0,9,403,1,45,-1,-1,9,0,0,0,0,0,0,0,0,0,No Label
131.202.242.93-131.202.243.255-137-137-17,131.202.242.93,137,131.202.243.255,137,17,25/05/2015 12:52:41 PM,14874876,13,1,650.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,47.05921582136214,0.9411843164272428,1144221.2307692305,739573.9494163913,2979861.0,749184.0,1.4125692E7,1177141.0,762446.8131492548,2979861.0,749483.0,0,0,0,0,0,0,0,0,0,104,8,0.8739568652538683,0.06722745117337449,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.57142857142857,50.0,50.0,0,0,0,0,0,0,13,650,1,50,-1,-1,13,0,0,0,0,0,0,0,0,0,No Label
131.202.240.84-224.0.0.251-5353-5353-17,131.202.240.84,5353,224.0.0.251,5353,17,25/05/2015 12:52:40 PM,3001845,2,1,88.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,44.0,0.0,43.97295663167152,0.9993853779925347,1500922.5,707366.289375243,2001106.0,1000739.0,2001106.0,2001106.0,0.0,2001106.0,2001106.0,0,0,0,0,0,0,0,0,0,16,8,0.6662569186616898,0.3331284593308449,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.666666666666664,44.0,44.0,0,0,0,0,0,0,2,88,1,44,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.64-224.0.0.251-5353-5353-17,131.202.240.64,5353,224.0.0.251,5353,17,25/05/2015 12:52:43 PM,13490886,6,1,270.0,44.0,46.0,44.0,45.0,1.0954451150103326,44.0,44.0,44.0,0.0,23.274972451772257,0.5188688126191268,2248481.0,1397787.7282816586,4758969.0,1000683.0,1.1489774E7,2297954.8,1556889.7648903085,4758969.0,1000683.0,0,0,0,0,0,0,0,0,0,48,8,0.44474469653068005,0.07412411608844667,44.0,46.0,44.75,1.0350983390135313,1.0714285714285714,0,0,0,0,0,0,0,0,0.0,51.142857142857146,45.0,44.0,0,0,0,0,0,0,6,270,1,44,-1,-1,6,0,0,0,0,0,0,0,0,0,No Label
