Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-209.148.205.35-50736-443-6,131.202.240.150,50736,209.148.205.35,443,6,30/03/2015 09:11:46 AM,5059962,6,5,645.0,154.0,517.0,0.0,107.5,203.1676647500778,154.0,0.0,30.8,68.87089370699353,157.90632419769162,2.173929369430047,505996.2,1562554.4560236258,4952741.0,9.0,5038314.0,1007662.8,2240248.2902195686,5015102.0,45.0,107176.0,26794.0,25970.28433934959,62540.0,294.0,0,0,0,0,192,176,1.1857796560527532,0.9881497133772942,0.0,517.0,66.58333333333333,149.61736550483056,22385.356060606064,0,1,0,0,0,0,0,0,0.0,72.63636363636364,107.5,30.8,0,0,0,0,0,0,6,645,5,154,-1,486,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.35-50736-443-6,209.148.205.35,443,131.202.240.150,50736,6,30/03/2015 09:11:51 AM,111,2,2,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0.0,0.0,0.0,0.0,477477.47747747746,36036.036036036036,37.0,26.514147167125703,63.0,10.0,48.0,48.0,0.0,48.0,48.0,101.0,101.0,0.0,101.0,101.0,0,0,0,0,64,52,18018.018018018018,18018.018018018018,0.0,53.0,10.6,23.70232056149777,561.8,0,0,0,0,1,0,0,0,1.0,13.25,26.5,0.0,0,0,0,0,0,0,2,53,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.252.100.27-56404-443-6,131.202.240.150,56404,173.252.100.27,443,6,30/03/2015 09:11:45 AM,10446399,192,158,133167.0,89242.0,2676.0,0.0,693.5781249999998,972.117656109602,5352.0,0.0,564.8227848101262,943.8446414788011,21290.494456510805,33.50436834740852,29932.375358166173,250324.32595966465,3936101.0,0.0,1.044638E7,54693.089005235626,337137.27202753146,3936101.0,2.0,1.0408516E7,66296.28025477708,388131.463629681,4074275.0,4.0,0,1,0,0,6276,5056,18.379539207721244,15.124829139687275,0.0,5352.0,636.9373219373217,959.2658124406285,920190.8989173789,0,0,0,1,1,0,0,0,0.0,638.7571428571429,693.578125,564.8227848101266,0,0,0,0,0,0,192,133167,158,89242,-1,2043,104,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.35-50735-443-6,131.202.240.150,50735,209.148.205.35,443,6,30/03/2015 09:11:46 AM,10069443,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397241436293944,3356481.0,5776499.428468681,1.0026608E7,21416.0,0,0,0,0,0,1.0069443E7,5034721.5,7089884.630419631,1.0048027E7,21416.0,0,0,0,0,32,96,0.099310359073486,0.297931077220458,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,553,0,0,21416.0,0.0,21416.0,21416.0,1.0026608E7,0.0,1.0026608E7,1.0026608E7,No Label
131.202.240.150-131.202.240.87-37736-63222-17,131.202.240.87,63222,131.202.240.150,37736,17,30/03/2015 09:12:03 AM,14972286,852,60,634118.0,5080.0,1179.0,64.0,744.269953051644,226.7887971926252,937.0,46.0,84.66666666666667,112.86164721653402,42692.07788309681,60.91254201262252,16435.001097694858,15746.817285504894,79825.0,12.0,1.4923828E7,17536.813160987076,15801.247067363813,79825.0,12.0,1.4751388E7,250023.52542372874,203607.77143925655,485144.0,30.0,0,0,0,0,6816,480,56.905137932844724,4.007404079777797,46.0,1179.0,700.2212486308865,275.58589362900784,75947.58476729883,0,0,0,0,0,0,0,0,0.0,700.9890350877193,744.2699530516431,84.66666666666667,0,0,0,0,0,0,852,634118,60,5080,-1,-1,852,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-35612-63221-17,131.202.240.150,35612,131.202.240.87,63221,17,30/03/2015 09:12:04 AM,14994188,715,717,50042.0,78693.0,937.0,55.0,69.98881118881124,32.89449032410726,781.0,64.0,109.75313807531387,25.790282952066814,8585.659990390945,95.50367115578383,10478.118798043317,35841.05054419794,1359995.0,25.0,1.3632672E7,19093.378151260487,3836.1939979308113,24432.0,50.0,1.4981298E7,20923.600558659196,50319.62379832805,1359995.0,25.0,0,0,0,0,5720,5736,47.68514307010157,47.81852808568227,55.0,937.0,89.91137473831128,35.603513265376286,1267.6101568378253,0,0,0,0,0,0,0,0,1.0,89.97416201117318,69.98881118881118,109.75313807531381,0,0,0,0,0,0,715,50042,717,78693,-1,-1,715,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.252.100.27-56404-443-6,131.202.240.150,56404,173.252.100.27,443,6,30/03/2015 09:12:03 AM,586863,19,18,6321.0,7874.0,1261.0,0.0,332.6842105263157,544.2671987413269,1726.0,0.0,437.4444444444444,565.7142515255249,24187.928017271493,63.047082538854895,16301.75,31783.212079312747,138017.0,2.0,586811.0,32600.611111111113,50433.18417953528,177143.0,18.0,547737.0,32219.823529411766,56779.27533466249,181672.0,2.0,0,1,0,0,632,576,32.375528871303864,30.671553667551027,0.0,1726.0,377.10526315789474,543.6184467503159,295521.0156472261,0,0,0,1,1,0,0,0,0.0,387.2972972972973,332.6842105263158,437.44444444444446,0,0,0,0,0,0,19,6321,18,7874,-1,2043,7,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.35-50735-443-6,131.202.240.150,50735,209.148.205.35,443,6,30/03/2015 09:12:06 AM,10070071,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3972166631198529,3356690.333333333,5776355.391554811,1.0026651E7,21338.0,0,0,0,0,0,1.0070071E7,5035035.5,7090439.0021360805,1.0048733E7,21338.0,0,0,0,0,32,96,0.09930416577996322,0.29791249733988967,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,553,0,0,21338.0,0.0,21338.0,21338.0,1.0026651E7,0.0,1.0026651E7,1.0026651E7,No Label
131.202.240.150-64.233.171.188-37692-5228-6,131.202.240.150,37692,64.233.171.188,5228,6,30/03/2015 09:11:48 AM,38372,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.12133847597206,38372.0,0.0,38372.0,38372.0,0,0,0,0,0,38372.0,38372.0,0.0,38372.0,38372.0,0,0,0,0,0,64,0.0,52.12133847597206,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-37736-63222-17,131.202.240.87,63222,131.202.240.150,37736,17,30/03/2015 09:12:18 AM,14973028,552,47,159209.0,3891.0,1072.0,70.0,288.42210144927526,311.00611466366627,857.0,64.0,82.78723404255318,115.41982652571716,10892.920256343607,40.00526813948388,25038.508361204036,15403.142395652063,74657.0,12.0,1.4972933E7,27174.107078039928,14478.756195618113,74657.0,12.0,1.4622473E7,317879.84782608703,153393.67599176054,481199.0,31556.0,0,0,0,0,4416,376,36.8662905058349,3.1389776336489854,64.0,1072.0,273.2616666666666,305.98092599977815,93624.32707568172,0,0,0,0,0,0,0,0,0.0,273.7178631051753,288.4221014492754,82.7872340425532,0,0,0,0,0,0,552,159209,47,3891,-1,-1,552,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-35612-63221-17,131.202.240.150,35612,131.202.240.87,63221,17,30/03/2015 09:12:19 AM,14999869,783,785,53941.0,86141.0,89.0,54.0,68.89016602809706,5.427569373802419,134.0,93.0,109.73375796178337,5.329375108630057,9338.88155956562,104.53424626575072,9572.347798340787,3762.294160257504,18375.0,26.0,1.4979222E7,19155.015345268566,3617.7775249446563,25627.0,494.0,1.4999869E7,19132.485969387773,3670.9384276745013,32629.0,26.0,0,0,0,0,6264,6280,52.200455883981384,52.33379038176933,54.0,134.0,89.35309114085388,21.12578321679312,446.29871652293787,0,0,0,0,0,0,0,0,1.0,89.41007653061224,68.89016602809706,109.73375796178344,0,0,0,0,0,0,783,53941,785,86141,-1,-1,783,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.16-60602-443-6,131.202.240.150,60602,209.148.205.16,443,6,30/03/2015 09:12:30 AM,4145493,4,2,122.0,138.0,69.0,0.0,30.5,35.81898937714463,69.0,69.0,69.0,0.0,62.718716446994364,1.447354994930639,829098.6,1833517.0296803354,4108930.0,29.0,4117447.0,1372482.3333333335,2369836.9697036827,4108930.0,29.0,27990.0,27990.0,0.0,27990.0,27990.0,0,1,0,0,128,64,0.9649033299537594,0.4824516649768797,0.0,69.0,47.0,32.63433774416144,1065.0,0,0,0,1,1,0,0,0,0.0,54.833333333333336,30.5,69.0,0,0,0,0,0,0,4,122,2,138,-1,654,2,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,30/03/2015 09:12:03 AM,5015784,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7974825072212041,1671928.0,2895064.934509587,5014861.0,22.0,5015762.0,2507881.0,3545405.116598102,5014861.0,901.0,0,0,0,0,0,0,0,0,0,0,0,0.5981118804159031,0.19937062680530102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,22.0,0.0,22.0,22.0,5014861.0,0.0,5014861.0,5014861.0,No Label
131.202.240.150-24.156.140.67-40021-443-6,131.202.240.150,40021,24.156.140.67,443,6,30/03/2015 09:11:47 AM,23280,1,2,0.0,138.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,0.0,5927.835051546392,128.8659793814433,11640.0,16392.149401466544,23231.0,49.0,0,0,0,0,0,23231.0,23231.0,0.0,23231.0,23231.0,0,1,0,0,32,64,42.9553264604811,85.9106529209622,0.0,69.0,51.75,34.5,1190.25,0,0,0,1,1,0,0,0,2.0,69.0,0.0,69.0,0,0,0,0,0,0,1,0,2,138,-1,846,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.35-50735-443-6,131.202.240.150,50735,209.148.205.35,443,6,30/03/2015 09:12:26 AM,10069144,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39725323225092424,3356381.333333333,5776687.933565421,1.0026726E7,21157.0,0,0,0,0,0,1.0069144E7,5034572.0,7089892.408594224,1.0047883E7,21261.0,0,0,0,0,32,96,0.09931330806273106,0.29793992418819315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,553,0,0,21261.0,0.0,21261.0,21261.0,1.0026726E7,0.0,1.0026726E7,1.0026726E7,No Label
131.202.240.150-131.202.240.87-37736-63222-17,131.202.240.87,63222,131.202.240.150,37736,17,30/03/2015 09:12:33 AM,14994881,494,51,100637.0,3655.0,718.0,70.0,203.71862348178166,46.48020557693973,347.0,64.0,71.66666666666666,39.430783236789324,6955.173568899947,36.34573692182019,27564.119485294108,14943.038290342909,86575.0,4.0,1.4966378E7,30357.764705882368,13319.008430455331,86575.0,39.0,1.4994881E7,299897.62,168438.5980526871,483308.0,70.0,0,0,0,0,3952,408,32.94457621904435,3.401160702775834,64.0,718.0,191.64652014652023,60.16952775647498,3620.372070437213,0,0,0,0,0,0,0,0,0.0,191.99816513761468,203.71862348178138,71.66666666666667,0,0,0,0,0,0,494,100637,51,3655,-1,-1,494,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-35612-63221-17,131.202.240.150,35612,131.202.240.87,63221,17,30/03/2015 09:12:34 AM,14998711,784,786,53235.0,86470.0,87.0,58.0,67.90178571428577,5.242209752640289,129.0,73.0,110.01272264631045,6.139967506868201,9314.467089871923,104.6756617952036,9559.407903123009,3601.1076443098555,18399.0,22.0,1.49774E7,19128.22477650063,3766.10290554984,24545.0,70.0,1.4986401E7,19090.956687898088,3991.0801486845244,31661.0,22.0,0,0,0,0,6272,6288,52.2711585015539,52.404503293649704,58.0,129.0,88.97390197326536,21.818561752107126,476.04963693051195,0,0,0,0,0,0,0,0,1.0,89.03057324840765,67.90178571428571,110.01272264631044,0,0,0,0,0,0,784,53235,786,86470,-1,-1,784,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.252.100.27-56404-443-6,131.202.240.150,56404,173.252.100.27,443,6,30/03/2015 09:12:20 AM,190124,4,3,1261.0,873.0,1261.0,0.0,315.25,630.5,739.0,45.0,291.0,388.6026247981349,11224.253644989587,36.81807662367718,31687.333333333332,54035.32933800503,138118.0,42.0,190058.0,63352.666666666664,96362.23551959207,174277.0,306.0,153965.0,76982.5,108403.00508980367,153635.0,330.0,0,1,0,0,128,96,21.038900927815533,15.77917569586165,0.0,1261.0,359.12499999999994,487.0527802141013,237220.41071428568,0,0,0,1,1,0,0,0,0.0,410.42857142857144,315.25,291.0,0,0,0,0,0,0,4,1261,3,873,-1,2043,1,0,0,0,0,0,0,0,0,0,No Label
