Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-31.13.73.7-64864-443-6,31.13.73.7,443,131.202.240.87,64864,6,29/04/2015 01:01:16 PM,2,2,1,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,45.0,45.0,0.0,3.8E7,1500000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0,40,20,1000000.0,500000.0,0.0,45.0,30.25,21.219095173922945,450.25000000000006,0,0,0,1,1,0,0,0,0.0,40.333333333333336,15.5,45.0,0,0,0,0,0,0,2,31,1,45,-1,75,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-31.13.73.7-64864-443-6,131.202.240.87,64864,31.13.73.7,443,6,29/04/2015 01:01:16 PM,827,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.3796856106405,827.0,0.0,827.0,827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1209.1898428053203,1209.1898428053203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16518,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-64842-443-6,131.202.240.87,64842,173.252.100.27,443,6,29/04/2015 01:01:18 PM,14901854,42,73,13142.0,29732.0,1350.0,0.0,312.9047619047619,413.3257033502053,1350.0,0.0,407.2876712328766,516.8520763948502,2877.0916692647775,7.717160562705821,130718.01754385962,734121.7751831575,7633229.0,0.0,1.4716737E7,358944.8048780488,1201429.2668605426,7633229.0,5.0,1.4901764E7,206968.94444444444,938860.099543236,7769106.0,0.0,0,1,0,0,840,1460,2.818441248988213,4.898719313717608,0.0,1350.0,376.6465517241379,481.5848519629536,231923.96964017997,0,0,0,1,1,0,0,0,1.0,379.9217391304348,312.9047619047619,407.28767123287673,0,0,0,0,0,0,42,13142,73,29732,-1,666,20,0,6262930.0,0.0,6262930.0,6262930.0,7633229.0,0.0,7633229.0,7633229.0,No Label
131.202.240.87-173.252.100.27-64842-443-6,131.202.240.87,64842,173.252.100.27,443,6,29/04/2015 01:01:33 PM,14951427,26,39,8057.0,14735.0,1350.0,0.0,309.8846153846153,374.7552083078315,1350.0,0.0,377.8205128205129,474.6324268534365,1524.4029884237805,4.347411120022189,233616.046875,718717.2362329286,3540528.0,0.0,1.4809618E7,592384.72,1072588.8925090125,3551963.0,10.0,1.4951427E7,393458.60526315786,920998.8209091125,3540588.0,0.0,0,1,0,0,520,780,1.7389644480088755,2.6084466720133133,0.0,1350.0,352.9545454545454,432.63736571150463,187175.09020979019,0,0,0,1,1,0,0,0,1.0,358.38461538461536,309.88461538461536,377.8205128205128,0,0,0,0,0,0,26,8057,39,14735,-1,783,13,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 01:01:16 PM,13422536,5,1,250.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,22.350470879720497,0.44700941759440993,2684507.2,4319971.796552808,1.0412306E7,749789.0,1.2672747E7,3168186.75,4829413.599678632,1.0412306E7,750276.0,0,0,0,0,0,0,0,0,0,40,8,0.3725078479953416,0.07450156959906831,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.333333333333336,50.0,50.0,0,0,0,0,0,0,5,250,1,50,-1,-1,5,0,1503027.0,0.0,1503027.0,1503027.0,1.0412306E7,0.0,1.0412306E7,1.0412306E7,No Label
131.202.240.87-224.0.0.252-51325-5355-17,131.202.240.87,51325,224.0.0.252,5355,17,29/04/2015 01:07:51 PM,410944,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.07054975860459,4.866843170845663,410944.0,0.0,410944.0,410944.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4334215854228316,2.4334215854228316,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 01:11:30 PM,1500492,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,99.96721075487241,1.999344215097448,750246.0,592.5554826343268,750665.0,749827.0,750665.0,750665.0,0.0,750665.0,750665.0,0,0,0,0,0,0,0,0,0,16,8,1.3328961433982986,0.6664480716991493,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-191.180.227.180-23-44111-6,191.180.227.180,44111,131.202.240.87,23,6,29/04/2015 01:01:56 PM,8997070,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33344188719216367,4498535.0,2125756.731504807,6001672.0,2995398.0,6001672.0,6001672.0,0.0,6001672.0,6001672.0,0,0,0,0,0,0,0,0,0,80,40,0.22229459146144243,0.11114729573072121,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,5840,0,0,2995398.0,0.0,2995398.0,2995398.0,6001672.0,0.0,6001672.0,6001672.0,No Label
131.202.240.87-131.202.244.3-13976-53-17,131.202.240.87,13976,131.202.244.3,53,17,29/04/2015 01:05:28 PM,215230,0,2,0.0,544.0,0,0,0,0,511.0,33.0,272.0,337.9970414071697,2527.5286902383496,9.292384890582168,215230.0,0.0,215230.0,215230.0,0,0,0,0,0,215230.0,215230.0,0.0,215230.0,215230.0,0,0,0,0,0,16,0.0,9.292384890582168,33.0,511.0,192.33333333333334,275.97342867264115,76161.33333333334,0,0,0,0,0,0,0,0,0.0,288.5,0.0,272.0,0,0,0,0,0,0,0,0,2,544,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-58992-5355-17,131.202.240.87,58992,224.0.0.252,5355,17,29/04/2015 01:01:16 PM,415406,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,105.92047298305754,4.814566953775342,415406.0,0.0,415406.0,415406.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.407283476887671,2.407283476887671,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
