Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-65.39.197.205-32590-443-6,65.39.197.205,443,131.202.240.242,32590,6,29/04/2015 01:01:17 PM,85,1,1,0.0,53.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,0.0,623529.4117647058,23529.41176470588,85.0,0.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,11764.70588235294,11764.70588235294,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,0,0,1,1,0,0,0,1.0,53.0,0.0,53.0,0,0,0,0,0,0,1,0,1,53,-1,45,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32597-443-6,173.252.100.18,443,131.202.240.242,32597,6,29/04/2015 01:01:17 PM,113,2,2,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,0.0,22.5,31.81980515339464,672566.3716814159,35398.23008849558,37.666666666666664,19.604421270043485,56.0,17.0,73.0,73.0,0.0,73.0,73.0,96.0,96.0,0.0,96.0,96.0,0,1,0,0,40,40,17699.11504424779,17699.11504424779,0.0,45.0,24.2,22.81885185542866,520.7,0,0,0,1,1,0,0,0,1.0,30.25,15.5,22.5,0,0,0,0,0,0,2,31,2,45,-1,16537,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32597-443-6,131.202.240.242,32597,173.252.100.18,443,6,29/04/2015 01:01:17 PM,646,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3095.9752321981423,646.0,0.0,646.0,646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1547.9876160990711,1547.9876160990711,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16537,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32598-443-6,173.252.100.18,443,131.202.240.242,32598,6,29/04/2015 01:01:17 PM,155,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,200000.0,12903.225806451614,155.0,0.0,155.0,155.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,6451.612903225807,6451.612903225807,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,92,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.1-32593-443-6,173.252.100.1,443,131.202.240.242,32593,6,29/04/2015 01:01:17 PM,116,2,2,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,0.0,22.5,31.81980515339464,655172.4137931034,34482.75862068965,38.666666666666664,18.610033136277146,56.0,19.0,75.0,75.0,0.0,75.0,75.0,97.0,97.0,0.0,97.0,97.0,0,1,0,0,40,40,17241.379310344826,17241.379310344826,0.0,45.0,24.2,22.81885185542866,520.7,0,0,0,1,1,0,0,0,1.0,30.25,15.5,22.5,0,0,0,0,0,0,2,31,2,45,-1,16514,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.1-32593-443-6,131.202.240.242,32593,173.252.100.1,443,6,29/04/2015 01:01:17 PM,691,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.356005788712,691.0,0.0,691.0,691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1447.178002894356,1447.178002894356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16514,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32598-443-6,131.202.240.242,32598,173.252.100.18,443,6,29/04/2015 01:01:17 PM,3256975,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614066733702285,3256975.0,0.0,3256975.0,3256975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.3070333668511425,0.3070333668511425,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16246,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-65.39.197.205-32590-443-6,131.202.240.242,32590,65.39.197.205,443,6,29/04/2015 01:01:17 PM,3532164,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566225124314726,3532164.0,0.0,3532164.0,3532164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.283112562157363,0.283112562157363,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16339,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.45,161,131.202.240.242,51434,17,29/04/2015 01:01:12 PM,3942747,326,325,37829.0,31209.0,180.0,46.0,116.03987730061354,43.86722910696958,180.0,45.0,96.02769230769233,31.25595008881376,17510.126822745664,165.1133080565403,6065.764615384619,53880.427094830964,995681.0,18.0,3929390.0,12090.430769230767,76815.55587260674,1008262.0,2424.0,3936725.0,12150.385802469133,76534.55686646026,1002851.0,72.0,0,0,0,0,2608,2600,82.68346916502632,82.42983889151397,45.0,180.0,106.16257668711664,39.43874222683793,1555.4143884349694,0,0,0,0,0,0,0,0,0.0,106.32565284178187,116.0398773006135,96.0276923076923,0,0,0,0,0,0,326,37829,325,31209,-1,-1,326,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.27-32576-443-6,173.252.100.27,443,131.202.240.242,32576,6,29/04/2015 01:01:12 PM,11419088,40,33,13590.0,8334.0,1350.0,0.0,339.75,440.12630762846555,1129.0,0.0,252.54545454545453,306.1179399868916,1919.9431688415045,6.392804749381036,158598.4444444445,510383.5414419925,3350584.0,8.0,1.1228041E7,287898.4871794871,712702.9710915551,3534907.0,8.0,1.1419088E7,356846.50000000006,728728.009865489,3350584.0,38.0,0,1,0,0,800,660,3.502906711989609,2.8898980373914274,0.0,1350.0,302.77027027027026,383.26476228339214,146891.8780081451,0,0,0,1,1,0,0,0,0.0,306.9178082191781,339.75,252.54545454545453,0,0,0,0,0,0,40,13590,33,8334,-1,16354,34,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.27-0-0-0,131.202.240.242,0,173.252.100.27,0,0,29/04/2015 01:01:18 PM,1383290,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4458284235409784,1383290.0,0.0,1383290.0,1383290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7229142117704892,0.7229142117704892,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-54.230.55.141-32568-80-6,54.230.55.141,80,131.202.240.242,32568,6,29/04/2015 01:01:36 PM,4868544,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6162006546515755,2434272.0,3442456.02611159,4868456.0,88.0,0,0,0,0,0,4868544.0,2434272.0,3442456.02611159,4868456.0,88.0,0,0,0,0,0,60,0.0,0.6162006546515755,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,16445,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 01:01:27 PM,11326988,11,1,550.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,52.970833905712624,1.0594166781142524,1029726.1818181816,855929.48553287,2986799.0,89362.0,1.0573025E7,1057302.5,897063.2937135918,2986799.0,89362.0,0,0,0,0,0,0,0,0,0,88,8,0.9711319549380647,0.0882847231761877,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,50.0,0,0,0,0,0,0,11,550,1,50,-1,-1,11,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.27-32576-443-6,173.252.100.27,443,131.202.240.242,32576,6,29/04/2015 01:01:32 PM,12507195,55,45,20539.0,10181.0,1350.0,0.0,373.4363636363635,505.1030977869166,1286.0,0.0,226.24444444444447,332.8668963821285,2456.1862192122217,7.995397848998117,126335.30303030302,514000.1566711318,3996661.0,7.0,1.2274418E7,227304.03703703705,724050.2499892067,4131545.0,7.0,1.2507195E7,284254.4318181818,747386.1457672706,3996661.0,32.0,0,1,0,0,1100,900,4.397468816948964,3.597929032049153,0.0,1350.0,315.2475247524753,445.4493552793762,198425.12811881193,0,0,0,1,1,0,0,0,0.0,318.4,373.43636363636364,226.24444444444444,0,0,0,0,0,0,55,20539,45,10181,-1,16279,50,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.45,161,131.202.240.242,51434,17,29/04/2015 01:01:31 PM,29935,4,4,376.0,316.0,94.0,94.0,94.0,0.0,79.0,79.0,79.0,0.0,23116.75296475697,267.2456990145315,4276.428571428572,3942.6667310820158,7768.0,48.0,21970.0,7323.333333333333,128.43805251300464,7437.0,7184.0,197.0,65.66666666666667,24.78574859336174,94.0,48.0,0,0,0,0,32,32,133.62284950726576,133.62284950726576,79.0,94.0,85.66666666666667,7.905694150420947,62.499999999999986,0,0,0,0,0,0,0,0,1.0,96.375,94.0,79.0,0,0,0,0,0,0,4,376,4,316,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 01:01:49 PM,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74074.07407407407,27.0,0.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37037.03703703704,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 01:01:49 PM,14757365,14,1,700.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,50.822081042245685,1.0164416208449136,1054097.5,1517149.964070879,5224751.0,30453.0,1.4005727E7,1077363.6153846155,1576498.0539283124,5224751.0,30453.0,0,0,0,0,0,0,0,0,0,112,8,0.9486788461219194,0.06776277472299425,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.333333333333336,50.0,50.0,0,0,0,0,0,0,14,700,1,50,-1,-1,14,0,2738529.0,0.0,2738529.0,2738529.0,5224751.0,0.0,5224751.0,5224751.0,No Label
131.202.240.242-173.252.100.27-32576-443-6,173.252.100.27,443,131.202.240.242,32576,6,29/04/2015 01:01:52 PM,6279671,11,10,3933.0,2502.0,1350.0,45.0,357.54545454545456,422.5019203829407,897.0,0.0,250.2,342.08471985102693,1024.735213039027,3.3441242383557994,313983.55,1219235.4362116267,5489522.0,9.0,6095843.0,609584.3,1736263.9866954468,5548016.0,9.0,6279671.0,697741.2222222222,1802089.4961423795,5498623.0,37.0,0,1,0,0,220,200,1.7516841248530377,1.5924401135027617,0.0,1350.0,333.27272727272725,392.2800483884394,153883.63636363638,0,0,0,1,1,0,0,0,0.0,349.14285714285717,357.54545454545456,250.2,0,0,0,0,0,0,11,3933,10,2502,-1,16526,11,0,597305.0,0.0,597305.0,597305.0,5489522.0,0.0,5489522.0,5489522.0,No Label
131.202.240.242-173.252.100.27-0-0-0,131.202.240.242,0,173.252.100.27,0,0,29/04/2015 01:01:38 PM,5621637,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3557682575377955,5621637.0,0.0,5621637.0,5621637.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17788412876889775,0.17788412876889775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5621637.0,0.0,5621637.0,5621637.0,No Label
