Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.240.87-52847-6060-6,131.202.240.87,6060,131.202.240.242,52847,6,01/05/2015 12:24:29 PM,10553,184,49,260541.0,137.0,1460.0,0.0,1415.9836956521742,229.89428493630896,137.0,0.0,2.7959183673469403,19.571428571428573,2.470179095991661E7,22079.029659812375,45.487068965517246,115.46202991262977,1092.0,1.0,10190.0,55.683060109289634,158.6601803961269,1547.0,5.0,10509.0,218.9375,232.08100257306523,1092.0,18.0,0,0,0,0,3680,1004,17435.80024637544,4643.229413436938,0.0,1460.0,1114.0085470085476,615.3084992772799,378604.5492828584,0,1,0,0,0,0,0,0,0.0,1118.7896995708154,1415.983695652174,2.795918367346939,0,0,0,0,0,0,184,260541,49,137,-1,1024,183,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52847-6060-6,131.202.240.242,52847,131.202.240.87,6060,6,01/05/2015 12:24:29 PM,6373,46,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7374.862702024164,138.5434782608696,191.29206367015965,706.0,22.0,6351.0,141.13333333333338,192.63632716975928,706.0,38.0,0,0,0,0,0,0,0,0,0,920,20,7217.950729640671,156.91197238349287,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,46,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52848-6061-6,131.202.240.87,6061,131.202.240.242,52848,6,01/05/2015 12:24:29 PM,3135,5,6,504.0,260.0,422.0,0.0,100.80000000000001,180.48739568180378,137.0,0.0,43.333333333333336,67.2775346357658,243700.15948963317,3508.771929824561,313.5,517.758684674198,1758.0,28.0,2733.0,683.25,856.2855345424601,1914.0,35.0,3135.0,627.0,777.2091095709056,1995.0,115.0,0,0,0,0,100,144,1594.8963317384369,1913.8755980861242,0.0,422.0,63.666666666666664,122.97918030251618,15123.878787878786,0,1,0,0,0,0,0,0,1.0,69.45454545454545,100.8,43.333333333333336,0,0,0,0,0,0,5,504,6,260,-1,256,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52849-6062-6,131.202.240.87,6062,131.202.240.242,52849,6,01/05/2015 12:24:30 PM,3047,7,5,2694.0,137.0,1460.0,0.0,384.8571428571429,549.0599325427139,137.0,0.0,27.4,61.26826258349424,929110.6005907451,3938.299967180834,277.00000000000006,342.7217530300638,961.0,5.0,2581.0,430.1666666666667,760.6195939276523,1959.0,5.0,2833.0,708.25,378.875859176415,1102.0,348.0,0,0,0,0,140,124,2297.341647522153,1640.9583196586807,0.0,1460.0,217.76923076923077,432.80772363836763,187322.52564102563,0,1,0,0,0,0,0,0,0.0,235.91666666666666,384.85714285714283,27.4,0,0,0,0,0,0,7,2694,5,137,-1,1023,6,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52849-6062-6,131.202.240.242,52849,131.202.240.87,6062,6,01/05/2015 12:24:30 PM,331,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9063.444108761329,165.5,48.79036790187178,200.0,131.0,131.0,131.0,0.0,131.0,131.0,0,0,0,0,0,0,0,0,0,40,20,6042.296072507553,3021.1480362537764,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52850-6063-6,131.202.240.87,6063,131.202.240.242,52850,6,01/05/2015 12:24:31 PM,2807,5,6,504.0,321.0,422.0,0.0,100.80000000000001,180.48739568180378,184.0,0.0,53.5,84.2039191486952,293908.08692554326,3918.774492340577,280.70000000000005,499.06825407174745,1678.0,24.0,2445.0,611.25,810.8355258620578,1786.0,24.0,2807.0,561.4,727.6632462891059,1851.0,102.0,0,0,0,0,100,144,1781.2611328820806,2137.513359458497,0.0,422.0,68.74999999999999,126.85433665142367,16092.02272727273,0,1,0,0,0,0,0,0,1.0,75.0,100.8,53.5,0,0,0,0,0,0,5,504,6,321,-1,256,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52851-6064-6,131.202.240.87,6064,131.202.240.242,52851,6,01/05/2015 12:24:32 PM,3511,7,4,2867.0,137.0,1460.0,0.0,409.5714285714286,570.6536769772181,137.0,0.0,34.25,68.5,855596.6960979778,3133.0105383081745,351.09999999999997,437.9567330227953,1241.0,5.0,2854.0,475.6666666666667,925.9619142635764,2354.0,5.0,2978.0,992.6666666666666,335.49714355465585,1241.0,611.0,0,0,0,0,140,104,1993.7339789233838,1139.2765593847907,0.0,1460.0,250.33333333333331,466.60112093800853,217716.60606060605,0,1,0,0,0,0,0,0,0.0,273.09090909090907,409.57142857142856,34.25,0,0,0,0,0,0,7,2867,4,137,-1,1024,6,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52851-6064-6,131.202.240.242,52851,131.202.240.87,6064,6,01/05/2015 12:24:32 PM,680,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5882.35294117647,226.66666666666666,173.23490795256404,337.0,27.0,343.0,171.5,204.35385976291224,316.0,27.0,0,0,0,0,0,0,0,0,0,60,20,4411.764705882352,1470.5882352941176,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,1023,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52852-6065-6,131.202.240.87,6065,131.202.240.242,52852,6,01/05/2015 12:24:32 PM,2260,6,5,504.0,387.0,422.0,0.0,84.00000000000001,166.59531806146293,250.0,0.0,77.4,113.26429269633037,394247.7876106195,4867.256637168142,225.99999999999997,352.3306527807208,1195.0,24.0,1928.0,385.6,538.9325560772887,1302.0,24.0,2158.0,539.5,565.9031130267206,1368.0,104.0,0,0,0,0,120,124,2654.8672566371683,2212.3893805309735,0.0,422.0,74.25,133.55906082057004,17838.022727272728,0,1,0,0,0,0,0,0,0.0,81.0,84.0,77.4,0,0,0,0,0,0,6,504,5,387,-1,256,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-52853-6066-6,131.202.240.87,6066,131.202.240.242,52853,6,01/05/2015 12:24:33 PM,21196,8,5,4117.0,137.0,1460.0,0.0,514.625,633.115186427963,137.0,0.0,27.4,61.26826258349424,200698.2449518777,613.3232685412343,1766.3333333333337,5498.308770279579,19216.0,5.0,20488.0,2926.8571428571427,7443.759297303378,19805.0,5.0,20923.0,5230.75,9323.872706660039,19216.0,454.0,0,0,0,0,160,124,377.42970371768257,235.89356482355163,0.0,1460.0,303.8571428571429,529.9285666146766,280824.28571428574,0,1,0,0,0,0,0,0,0.0,327.2307692307692,514.625,27.4,0,0,0,0,0,0,8,4117,5,137,-1,1022,7,0,0,0,0,0,0,0,0,0,No Label
