Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.194.204.189-44575-443-6,173.194.204.189,443,131.202.240.150,44575,6,30/03/2015 10:43:35 AM,3987651,6,7,2248.0,446.0,1320.0,0.0,374.6666666666667,500.6035024514577,446.0,0.0,63.71428571428572,168.57215496211532,675.5857019583709,3.2600646345429927,332304.24999999994,1113077.666342301,3865030.0,1.0,3865086.0,773017.2,1728496.087317585,3865045.0,3.0,3987650.0,664608.3333333334,1568658.387712719,3865055.0,3.0,0,1,0,0,192,224,1.5046452159429198,1.7554194186000731,0.0,1320.0,224.2857142857143,370.94939081962457,137603.4505494506,0,0,0,1,1,0,0,0,1.0,241.53846153846155,374.6666666666667,63.714285714285715,0,0,0,0,0,0,6,2248,7,446,-1,1442,5,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.189-44575-443-6,131.202.240.150,44575,173.194.204.189,443,6,30/03/2015 10:43:39 AM,252,3,1,77.0,46.0,46.0,0.0,25.666666666666664,23.459184413217212,46.0,46.0,46.0,0.0,488095.2380952381,15873.015873015873,84.0,113.11940593903418,214.0,8.0,222.0,111.0,145.6639969244288,214.0,8.0,0,0,0,0,0,0,1,0,0,96,32,11904.761904761905,3968.253968253968,0.0,46.0,33.8,19.979989989987484,399.2,0,0,0,1,1,0,0,0,0.0,42.25,25.666666666666668,46.0,0,0,0,0,0,0,3,77,1,46,-1,1442,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.123.110-55553-443-6,131.202.240.150,55553,173.194.123.110,443,6,30/03/2015 10:43:35 AM,14984204,105,139,31010.0,14055.0,2676.0,0.0,295.33333333333326,603.2792704918082,1063.0,0.0,101.1151079136691,162.56521898078594,3007.500431788035,16.283814609037623,61663.39094650203,365418.19196731376,3670316.0,1.0,1.4984164E7,144078.49999999997,556966.0305794221,3695364.0,1.0,1.4386548E7,104250.34782608695,483493.83899912494,3695406.0,2.0,0,1,0,0,3360,4448,7.007379237495699,9.276435371541925,0.0,2676.0,184.82040816326528,423.46454599287,179322.2217129475,0,0,0,1,1,0,0,0,1.0,185.577868852459,295.3333333333333,101.11510791366906,0,0,0,0,0,0,105,31010,139,14055,-1,1373,78,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.76.127-53018-19305-17,131.202.240.150,53018,173.194.76.127,19305,17,30/03/2015 10:43:40 AM,14997997,3076,571,805199.0,96806.0,1146.0,22.0,261.76820546163924,124.81745986174988,1154.0,22.0,169.53765323992997,178.65653581739596,60141.69758801792,243.16580407370398,4113.548272078993,8420.302957040281,121189.0,2.0,1.4894906E7,4843.871869918702,13285.578449664812,121189.0,5.0,1.4997997E7,26312.275438596476,57019.27279779815,607640.0,2.0,0,0,0,0,24608,4568,205.0940535592853,38.071750514418696,22.0,1154.0,247.29303728070258,138.75244978225695,19252.242320577738,0,0,0,0,0,0,0,0,0.0,247.36084452975047,261.7682054616385,169.53765323992994,0,0,0,0,0,0,3076,805199,571,96806,-1,-1,3076,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.76.127-34844-19305-17,131.202.240.150,34844,173.194.76.127,19305,17,30/03/2015 10:43:40 AM,14979705,28,18,5526.0,1888.0,931.0,22.0,197.35714285714286,218.03078516673577,120.0,104.0,104.88888888888889,3.771236166328253,494.93631550154026,3.0708214881401203,332882.3333333334,425284.41080224083,921896.0,282.0,1.4881868E7,551180.2962962963,473070.4993262969,960536.0,282.0,1.4979705E7,881159.1176470588,239487.94742791395,963409.0,40808.0,0,0,0,0,224,144,1.8691956884331167,1.2016257997070037,22.0,931.0,160.29787234042547,173.1482042862373,29980.300647548564,0,0,0,0,0,0,0,0,0.0,163.7826086956522,197.35714285714286,104.88888888888889,0,0,0,0,0,0,28,5526,18,1888,-1,-1,28,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.207.127-34844-19302-17,131.202.240.150,34844,173.194.207.127,19302,17,30/03/2015 10:43:40 AM,10078928,1,3,20.0,84.0,20.0,20.0,20.0,0.0,32.0,20.0,28.0,6.928203230275509,10.318557687881093,0.396867603380042,3359642.666666667,5751542.624417065,1.0000952E7,38427.0,0,0,0,0,0,1.0078928E7,5039464.0,7070947.603712673,1.0039379E7,39549.0,0,0,0,0,8,24,0.0992169008450105,0.2976507025350315,20.0,32.0,24.8,6.572670690061994,43.2,0,0,0,0,0,0,0,0,3.0,31.0,20.0,28.0,0,0,0,0,0,0,1,20,3,84,-1,-1,1,0,39549.0,0.0,39549.0,39549.0,1.0000952E7,0.0,1.0000952E7,1.0000952E7,No Label
131.202.240.150-173.194.207.127-53018-19302-17,131.202.240.150,53018,173.194.207.127,19302,17,30/03/2015 10:43:40 AM,10078889,1,3,20.0,84.0,20.0,20.0,20.0,0.0,32.0,20.0,28.0,6.928203230275509,10.318597615272873,0.39686913904895665,3359629.666666667,5751546.087551966,1.0000943E7,38422.0,0,0,0,0,0,1.0078889E7,5039444.5,7070955.381887266,1.0039365E7,39524.0,0,0,0,0,8,24,0.09921728476223916,0.29765185428671753,20.0,32.0,24.8,6.572670690061994,43.2,0,0,0,0,0,0,0,0,3.0,31.0,20.0,28.0,0,0,0,0,0,0,1,20,3,84,-1,-1,1,0,39524.0,0.0,39524.0,39524.0,1.0000943E7,0.0,1.0000943E7,1.0000943E7,No Label
131.202.240.150-173.194.123.110-55553-443-6,131.202.240.150,55553,173.194.123.110,443,6,30/03/2015 10:43:50 AM,10197750,19,31,6296.0,2951.0,2676.0,0.0,331.3684210526315,650.6644646928515,976.0,0.0,95.19354838709675,235.5285431187819,906.7686499472924,4.903042337770587,208117.34693877553,1388629.0658590903,9729362.0,1.0,1.0126772E7,562598.4444444447,2294259.4161665435,9754477.0,1.0,1.019775E7,339925.0,1778379.128029093,9754976.0,1.0,0,0,0,0,608,992,1.863156088352823,3.039886249417764,0.0,2676.0,181.3137254901961,446.6625343677744,199507.41960784324,0,0,0,0,1,0,0,0,1.0,184.94,331.36842105263156,95.19354838709677,0,0,0,0,0,0,19,6296,31,2951,-1,1373,15,0,189633.0,0.0,189633.0,189633.0,9729362.0,0.0,9729362.0,9729362.0,No Label
131.202.240.150-216.58.219.238-47785-443-6,131.202.240.150,47785,216.58.219.238,443,6,30/03/2015 10:43:37 AM,12562964,190,240,45085.0,80756.0,2676.0,0.0,237.28947368421046,533.5659169393208,4685.0,0.0,336.48333333333335,627.0974643917663,10016.824055214996,34.22759151423183,29284.298368298372,171342.12067048592,2445725.0,1.0,1.2511733E7,66199.64550264548,259783.63680739977,2471170.0,2.0,1.2562964E7,52564.70292887028,230353.57731840448,2474132.0,1.0,0,0,0,0,6080,7696,15.123819506288486,19.10377200794335,0.0,4685.0,291.9744779582371,588.4999194231584,346332.15516106394,0,1,0,0,0,0,0,0,1.0,292.653488372093,237.28947368421052,336.48333333333335,0,0,0,0,0,0,190,45085,240,80756,-1,1373,94,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.76.127-53018-19305-17,131.202.240.150,53018,173.194.76.127,19305,17,30/03/2015 10:43:55 AM,14999355,342,866,64842.0,90408.0,365.0,22.0,189.59649122806997,108.96775486608705,285.0,22.0,104.39722863741339,23.42671153021521,10350.445069137973,80.5367964155792,12426.971830985924,7244.2212936779,36494.0,7.0,1.4909862E7,43723.935483870955,22850.30037983674,111494.0,44.0,1.4999355E7,17340.29479768787,6407.502700269888,45947.0,7.0,0,0,0,0,2736,6928,22.800980442159013,57.735815973420195,22.0,365.0,128.64764267990097,72.37640696102181,5238.344284587447,0,0,0,0,0,0,0,0,2.0,128.7541390728477,189.59649122807016,104.39722863741339,0,0,0,0,0,0,342,64842,866,90408,-1,-1,342,0,0,0,0,0,0,0,0,0,No Label
