Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-216.58.219.205-41348-443-6,216.58.219.205,443,131.202.240.150,41348,6,02/04/2015 08:42:39 AM,51,1,1,0.0,63.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,1235294.1176470588,39215.686274509804,51.0,0.0,51.0,51.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,19607.843137254902,19607.843137254902,0.0,63.0,42.0,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,1.0,63.0,0.0,63.0,0,0,0,0,0,0,1,0,1,63,-1,358,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.123.37-57590-443-6,173.194.123.37,443,131.202.240.150,57590,6,02/04/2015 08:42:40 AM,28,1,1,0.0,63.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,2250000.0,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,35714.28571428572,35714.28571428572,0.0,63.0,42.0,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,1.0,63.0,0.0,63.0,0,0,0,0,0,0,1,0,1,63,-1,374,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.123.38-57676-443-6,131.202.240.150,57676,173.194.123.38,443,6,02/04/2015 08:42:47 AM,25232,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,79.26442612555485,25232.0,0.0,25232.0,25232.0,0,0,0,0,0,25232.0,25232.0,0.0,25232.0,25232.0,0,0,0,0,0,64,0.0,79.26442612555485,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,409,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.123.38-57676-443-6,131.202.240.150,57676,173.194.123.38,443,6,02/04/2015 08:43:32 AM,14685426,0,4,0.0,63.0,0,0,0,0,63.0,0.0,15.75,31.5,4.289967482046486,0.2723788877489832,4895142.0,8456806.259476269,1.466021E7,65.0,0,0,0,0,0,1.4685426E7,4895142.0,8456806.259476269,1.466021E7,65.0,0,0,0,0,0,128,0.0,0.2723788877489832,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,0.0,15.75,0.0,15.75,0,0,0,0,0,0,0,0,4,63,-1,409,0,0,25151.0,0.0,25151.0,25151.0,1.466021E7,0.0,1.466021E7,1.466021E7,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 08:43:14 AM,38260,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.27391531625718,38260.0,0.0,38260.0,38260.0,0,0,0,0,0,38260.0,38260.0,0.0,38260.0,38260.0,0,0,0,0,0,64,0.0,52.27391531625718,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.227-40837-443-6,131.202.240.150,40837,216.58.219.227,443,6,02/04/2015 08:43:22 AM,25597,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.13415634644684,25597.0,0.0,25597.0,25597.0,0,0,0,0,0,25597.0,25597.0,0.0,25597.0,25597.0,0,0,0,0,0,64,0.0,78.13415634644684,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,358,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-22-1453-6,131.202.240.86,1453,131.202.240.150,22,6,02/04/2015 08:43:33 AM,12219182,25,26,2558.0,4913.0,672.0,0.0,102.31999999999996,164.0525119181863,1460.0,0.0,188.96153846153842,354.7096255552399,611.4157232456313,4.173765477918244,244383.63999999998,1480215.673640559,1.0489744E7,14.0,1.2218842E7,509118.4166666667,2127829.8134446936,1.0489744E7,32.0,1.2011248E7,480449.91999999987,2134082.957443917,1.0706588E7,21.0,0,0,0,0,500,544,2.0459634695677664,2.127802008350477,0.0,1460.0,143.67307692307693,276.82058471811706,76629.63612368023,0,1,0,0,0,0,0,0,1.0,146.49019607843138,102.32,188.96153846153845,0,0,0,0,0,0,25,2558,26,4913,-1,260,18,0,1159289.0,0.0,1159289.0,1159289.0,1.0489744E7,0.0,1.0489744E7,1.0489744E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 08:43:33 AM,214487,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6491488994671,71495.66666666666,123771.77336264247,214415.0,35.0,214452.0,107226.0,151588.1375372097,214415.0,37.0,0,0,0,0,0,0,0,0,0,0,0,13.986861674600325,4.662287224866775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 08:43:59 AM,38416,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.061640982923784,38416.0,0.0,38416.0,38416.0,0,0,0,0,0,38416.0,38416.0,0.0,38416.0,38416.0,0,0,0,0,0,64,0.0,52.061640982923784,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.227-40837-443-6,131.202.240.150,40837,216.58.219.227,443,6,02/04/2015 08:44:07 AM,25514,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.38833581563064,25514.0,0.0,25514.0,25514.0,0,0,0,0,0,25514.0,25514.0,0.0,25514.0,25514.0,0,0,0,0,0,64,0.0,78.38833581563064,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,358,0,0,0,0,0,0,0,0,0,0,No Label
