Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.240.87-22-42128-6,131.202.240.87,42128,131.202.240.242,22,6,04/05/2015 12:20:36 PM,1368889,209,123,263987.0,3934.0,1460.0,0.0,1263.0956937799044,472.7551716661981,832.0,0.0,31.983739837398367,112.9057334747565,195721.49385377485,242.53244784639222,4135.616314199394,29932.708277080834,360642.0,2.0,1368494.0,6579.298076923077,46783.91935288236,461504.0,2.0,1319793.0,10817.975409836072,52095.89231256496,360642.0,11.0,0,0,0,0,4180,2484,152.67855903583126,89.85388881056097,0.0,1460.0,804.5675675675692,707.2107304461822,500147.01725822256,0,1,0,0,0,0,0,0,0.0,806.9909638554217,1263.0956937799042,31.983739837398375,0,0,0,0,0,0,209,263987,123,3934,-1,256,203,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42128-6,131.202.240.87,42128,131.202.240.242,22,6,04/05/2015 12:20:52 PM,5360349,1091,575,1443928.0,7604.0,1460.0,0.0,1323.490375802015,385.537733191745,1460.0,0.0,13.224347826086957,102.05008385694651,270790.5772553242,310.8006586884548,3219.4288288288376,71777.7712770959,1985486.0,0.0,5358681.0,4916.22110091744,88689.44324671365,1985486.0,2.0,5311033.0,9252.670731707316,125898.03074021105,2043363.0,10.0,0,1,0,0,21820,11500,203.5315237869773,107.26913490147749,0.0,1460.0,870.7954409118166,699.4537730110854,489235.5805794431,0,0,0,1,1,0,0,0,0.0,871.3181272509004,1323.4903758020164,13.224347826086957,0,0,0,0,0,0,1091,1443928,575,7604,-1,2241,1084,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/05/2015 12:21:24 PM,22,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90909.09090909091,22.0,0.0,22.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45454.545454545456,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42128-6,131.202.240.87,42128,131.202.240.242,22,6,04/05/2015 12:21:33 PM,14360222,40059,21092,5.5272932E7,234740.0,1460.0,0.0,1379.7881125340186,293.9338986730429,1460.0,0.0,11.129338137682561,90.68718293882205,3865377.0115810186,4258.360351253623,234.83600981193726,11195.345275157002,1431823.0,0.0,1.4357567E7,358.41946677317713,13854.722737843504,1431823.0,2.0,1.4309724E7,678.4753686406515,19996.717384185933,1482006.0,10.0,0,1,0,0,801180,421840,2789.580829599988,1468.7795216536347,0.0,1460.0,907.7013997906902,694.7643933190618,482697.56222400395,0,0,0,1,1,0,0,0,0.0,907.7162433974914,1379.7881125340123,11.129338137682534,0,0,0,0,0,0,40059,55272932,21092,234740,-1,5639,39857,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42136-6,131.202.240.87,42136,131.202.240.242,22,6,04/05/2015 12:21:25 PM,1189,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,36164.84440706476,4205.214465937763,297.25,251.7106473711432,628.0,69.0,138.0,138.0,0.0,138.0,138.0,1189.0,594.5,340.1183617507294,835.0,354.0,0,0,0,0,40,84,1682.0857863751053,2523.128679562658,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42135-6,131.202.240.87,42135,131.202.240.242,22,6,04/05/2015 12:21:20 PM,1301,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,33051.49884704073,3843.197540353574,325.25,298.1323811105843,725.0,66.0,133.0,133.0,0.0,133.0,133.0,1301.0,650.5,386.7874093090415,924.0,377.0,0,0,0,0,40,84,1537.2790161414296,2305.9185242121443,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42138-6,131.202.240.87,42138,131.202.240.242,22,6,04/05/2015 12:21:47 PM,1312,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,32774.39024390244,3810.9756097560976,328.0,361.4369470138141,845.0,52.0,109.0,109.0,0.0,109.0,109.0,1312.0,656.0,494.9747468305833,1006.0,306.0,0,0,0,0,40,84,1524.390243902439,2286.5853658536585,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42137-6,131.202.240.87,42137,131.202.240.242,22,6,04/05/2015 12:21:42 PM,1401,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,30692.362598144184,3568.879371877231,350.25,319.4478308999244,748.0,68.0,117.0,117.0,0.0,117.0,117.0,1401.0,700.5,328.8046532517446,933.0,468.0,0,0,0,0,40,84,1427.5517487508923,2141.3276231263385,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42129-6,131.202.240.87,42129,131.202.240.242,22,6,04/05/2015 12:20:44 PM,1330,2,3,43.0,0.0,43.0,0.0,21.5,30.405591591021544,0.0,0.0,0.0,0.0,32330.82706766917,3759.3984962406016,332.5,310.70403923991717,756.0,66.0,138.0,138.0,0.0,138.0,138.0,1330.0,665.0,417.19300090006305,960.0,370.0,0,0,0,0,40,84,1503.7593984962407,2255.6390977443607,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,1,0,0,0,0,0,0,1.0,8.6,21.5,0.0,0,0,0,0,0,0,2,43,3,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-42128-6,131.202.240.87,42128,131.202.240.242,22,6,04/05/2015 12:21:50 PM,13090587,21376,11275,2.9384708E7,126664.0,1460.0,0.0,1374.6588697604843,303.2942599455907,1460.0,0.0,11.2340576496674,89.63307683055994,2254396.384211037,2494.2349796842573,400.9368147013755,22767.47075316594,3494303.0,0.0,1.308903E7,612.3522807017546,28147.684185825212,3494303.0,2.0,1.3041153E7,1156.7458754656764,39788.10255669066,3546006.0,10.0,0,1,0,0,427520,225500,1632.9290657477775,861.3059139364798,0.0,1460.0,903.8177140757087,695.1753816243994,483268.81121662934,0,0,0,1,1,0,0,0,0.0,903.8453952405746,1374.658869760479,11.234057649667406,0,0,0,0,0,0,21376,29384708,11275,126664,-1,7261,21268,0,0,0,0,0,0,0,0,0,No Label
