Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-173.194.123.28-5741-80-6,131.202.240.242,5741,173.194.123.28,80,6,25/05/2015 01:07:19 PM,24917,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,80.26648472930127,24917.0,0.0,24917.0,24917.0,0,0,0,0,0,24917.0,24917.0,0.0,24917.0,24917.0,0,0,0,0,0,40,0.0,80.26648472930127,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,346,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-216.58.219.230-5753-80-6,131.202.240.242,5753,216.58.219.230,80,6,25/05/2015 01:07:19 PM,25542,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.30240388379924,25542.0,0.0,25542.0,25542.0,0,0,0,0,0,25542.0,25542.0,0.0,25542.0,25542.0,0,0,0,0,0,40,0.0,78.30240388379924,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,344,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-23.10.191.198-5704-80-6,131.202.240.242,5704,23.10.191.198,80,6,25/05/2015 01:07:19 PM,54787,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36.50501031266541,54787.0,0.0,54787.0,54787.0,0,0,0,0,0,54787.0,54787.0,0.0,54787.0,54787.0,0,0,0,0,0,40,0.0,36.50501031266541,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,490,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-23.10.191.198-5737-80-6,131.202.240.242,5737,23.10.191.198,80,6,25/05/2015 01:07:19 PM,54768,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36.51767455448437,54768.0,0.0,54768.0,54768.0,0,0,0,0,0,54768.0,54768.0,0.0,54768.0,54768.0,0,0,0,0,0,40,0.0,36.51767455448437,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,490,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-216.58.219.206-5771-80-6,131.202.240.242,5771,216.58.219.206,80,6,25/05/2015 01:07:20 PM,25518,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.37604827964574,25518.0,0.0,25518.0,25518.0,0,0,0,0,0,25518.0,25518.0,0.0,25518.0,25518.0,0,0,0,0,0,40,0.0,78.37604827964574,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,344,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-50.7.70.210-5777-80-6,131.202.240.242,5777,50.7.70.210,80,6,25/05/2015 01:07:20 PM,49761,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.192118325596354,49761.0,0.0,49761.0,49761.0,0,0,0,0,0,49761.0,49761.0,0.0,49761.0,49761.0,0,0,0,0,0,40,0.0,40.192118325596354,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-72.247.10.19-5763-80-6,131.202.240.242,5763,72.247.10.19,80,6,25/05/2015 01:07:20 PM,52299,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,38.241648979904014,52299.0,0.0,52299.0,52299.0,0,0,0,0,0,52299.0,52299.0,0.0,52299.0,52299.0,0,0,0,0,0,40,0.0,38.241648979904014,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,490,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-209.148.205.26-5787-80-6,131.202.240.242,5787,209.148.205.26,80,6,25/05/2015 01:07:22 PM,22180,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90.17132551848513,22180.0,0.0,22180.0,22180.0,0,0,0,0,0,22180.0,22180.0,0.0,22180.0,22180.0,0,0,0,0,0,40,0.0,90.17132551848513,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,585,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-54.235.174.154-5859-80-6,131.202.240.242,5859,54.235.174.154,80,6,25/05/2015 01:07:22 PM,55423,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36.08610143803114,55423.0,0.0,55423.0,55423.0,0,0,0,0,0,55423.0,55423.0,0.0,55423.0,55423.0,0,0,0,0,0,40,0.0,36.08610143803114,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,62,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-23.50.75.27-5853-80-6,131.202.240.242,5853,23.50.75.27,80,6,25/05/2015 01:07:22 PM,59863,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33.40961862920335,59863.0,0.0,59863.0,59863.0,0,0,0,0,0,59863.0,59863.0,0.0,59863.0,59863.0,0,0,0,0,0,40,0.0,33.40961862920335,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,490,0,0,0,0,0,0,0,0,0,0,No Label
