Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.102-131.202.243.255-137-137-17,131.202.240.102,137,131.202.243.255,137,17,25/05/2015 01:07:18 PM,14491246,18,1,900.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,65.55681961371714,1.3111363922743426,805069.222222222,1080651.7395418247,3874388.0,126069.0,1.3741172E7,808304.2352941176,1113820.4723002117,3874388.0,126069.0,0,0,0,0,0,0,0,0,0,144,8,1.2421292137335878,0.06900717854075487,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.63157894736842,50.0,50.0,0,0,0,0,0,0,18,900,1,50,-1,-1,18,0,0,0,0,0,0,0,0,0,No Label
131.202.240.85-131.202.243.255-137-137-17,131.202.240.85,137,131.202.243.255,137,17,25/05/2015 01:07:18 PM,14576377,6,1,300.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,24.01145360057578,0.4802290720115156,2429396.1666666665,2817169.9404942836,7500657.0,749624.0,1.382626E7,2765252.0,3012401.78863154,7500657.0,749624.0,0,0,0,0,0,0,0,0,0,48,8,0.41162491886701336,0.06860415314450223,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,57.142857142857146,50.0,50.0,0,0,0,0,0,0,6,300,1,50,-1,-1,6,0,7075720.0,0.0,7075720.0,7075720.0,7500657.0,0.0,7500657.0,7500657.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,25/05/2015 01:07:18 PM,14884489,354,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.85033171108528,42046.5790960452,106721.23504983303,667996.0,0.0,1.4827394E7,42003.94900849858,106869.70179904453,667996.0,0.0,0,0,0,0,0,0,0,0,0,0,0,23.783147678096306,0.06718403298897262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,354,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.185-131.202.243.255-137-137-17,131.202.240.185,137,131.202.243.255,137,17,25/05/2015 01:07:18 PM,13893129,13,1,650.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,50.38461818068485,1.0076923636136972,1068702.2307692308,1353466.2115057372,4497622.0,149729.0,1.3142708E7,1095225.6666666665,1410116.1968424208,4497622.0,149729.0,0,0,0,0,0,0,0,0,0,104,8,0.9357143376412902,0.07197802597240693,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.57142857142857,50.0,50.0,0,0,0,0,0,0,13,650,1,50,-1,-1,13,0,0,0,0,0,0,0,0,0,No Label
131.202.240.157-131.202.243.255-137-137-17,131.202.240.157,137,131.202.243.255,137,17,25/05/2015 01:07:19 PM,13571417,8,1,400.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,33.15792300833435,0.6631584601666871,1696427.125,1728687.0718953516,4500671.0,756581.0,1.2807727E7,1829675.2857142857,1822280.114631,4500671.0,756581.0,0,0,0,0,0,0,0,0,0,64,8,0.589474186814833,0.07368427335185412,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.55555555555556,50.0,50.0,0,0,0,0,0,0,8,400,1,50,-1,-1,8,0,0,0,0,0,0,0,0,0,No Label
131.202.240.64-224.0.0.251-5353-5353-17,131.202.240.64,5353,224.0.0.251,5353,17,25/05/2015 01:07:20 PM,3003695,2,1,92.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,46.0,0.0,45.94341302961852,0.9987698484699679,1501847.5,707844.293559325,2002369.0,1001326.0,2002369.0,2002369.0,0.0,2002369.0,2002369.0,0,0,0,0,0,0,0,0,0,16,8,0.6658465656466452,0.3329232828233226,46.0,46.0,46.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,61.333333333333336,46.0,46.0,0,0,0,0,0,0,2,92,1,46,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.183-131.202.243.255-54357-32412-17,131.202.240.183,54357,131.202.243.255,32412,17,25/05/2015 01:07:19 PM,14999601,3,1,63.0,21.0,21.0,21.0,21.0,0.0,21.0,21.0,21.0,0.0,5.600148963962441,0.26667376018868766,4999867.0,225.51496624392803,5000094.0,4999643.0,9999507.0,4999753.5,156.27059864222701,4999864.0,4999643.0,0,0,0,0,0,0,0,0,0,24,8,0.20000532014151576,0.06666844004717191,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.25,21.0,21.0,0,0,0,0,0,0,3,63,1,21,-1,-1,3,0,0,0,0,0,5000094.0,0.0,5000094.0,5000094.0,No Label
131.202.240.183-131.202.243.255-54361-32414-17,131.202.240.183,54361,131.202.243.255,32414,17,25/05/2015 01:07:19 PM,14999068,3,1,63.0,21.0,21.0,21.0,21.0,0.0,21.0,21.0,21.0,0.0,5.600347968287096,0.26668323658509985,4999689.333333333,243.07269145943428,4999967.0,4999515.0,9999482.0,4999741.0,319.6122650963195,4999967.0,4999515.0,0,0,0,0,0,0,0,0,0,24,8,0.20001242743882489,0.06667080914627496,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,26.25,21.0,21.0,0,0,0,0,0,0,3,63,1,21,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.102-239.255.255.250-63613-1900-17,131.202.240.102,63613,239.255.255.250,1900,17,25/05/2015 01:07:25 PM,12035579,4,1,532.0,133.0,133.0,133.0,133.0,0.0,133.0,133.0,133.0,0.0,55.25284658095801,0.4154349366989324,3008894.75,7852.221994442143,3018075.0,2999430.0,9036149.0,3012049.6666666665,5724.0798678331985,3018075.0,3006684.0,0,0,0,0,0,0,0,0,0,32,8,0.3323479493591459,0.08308698733978648,133.0,133.0,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,159.6,133.0,133.0,0,0,0,0,0,0,4,532,1,133,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
131.202.242.93-131.202.243.255-137-137-17,131.202.242.93,137,131.202.243.255,137,17,25/05/2015 01:07:22 PM,14663153,5,1,250.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,20.45944688703719,0.4091889377407438,2932630.5999999996,4878533.720414751,1.1659617E7,750460.0,1.3912693E7,3478173.25,5454295.84167424,1.1659617E7,750778.0,0,0,0,0,0,0,0,0,0,40,8,0.3409907814506198,0.06819815629012396,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,58.333333333333336,50.0,50.0,0,0,0,0,0,0,5,250,1,50,-1,-1,5,0,1501238.0,0.0,1501238.0,1501238.0,1.1659617E7,0.0,1.1659617E7,1.1659617E7,No Label
