Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 02:57:15 PM,13550739,1871,1833,49126.0,2495263.0,46.0,3.0,26.256547300908622,1.6609476863763866,1377.0,3.0,1361.300054555374,100.95897435727098,187767.54537151073,273.3430257936486,3659.394815014866,65882.94193676214,2517168.0,0.0,1.0732166E7,5739.126203208549,74090.33813440244,2519363.0,1.0,1.3451081E7,7342.2931222707375,93733.43914597358,2517942.0,28.0,0,0,0,0,14968,14664,138.07365044814162,135.26937534550697,3.0,1377.0,686.7454790823201,671.3474199382674,450707.35825776844,0,0,0,0,0,0,0,0,0.0,686.9308855291576,26.256547300908604,1361.3000545553737,0,0,0,0,0,0,1871,49126,1833,2495263,-1,-1,1871,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,6,31/03/2015 02:57:18 PM,14833941,15,15,559.0,699.0,395.0,0.0,37.266666666666666,100.12097444496595,420.0,0.0,46.599999999999994,105.13650990158327,84.80551459655933,2.022389060331304,511515.20689655165,1503788.4823113866,7903454.0,14.0,1.4833771E7,1059555.0714285714,2157566.7806260707,8146215.0,73.0,1.4833927E7,1059566.214285714,2063735.4581421292,7903454.0,16.0,0,1,0,0,480,480,1.011194530165652,1.011194530165652,0.0,420.0,54.12903225806453,120.28680779300886,14468.916129032259,0,0,0,1,1,0,0,0,1.0,55.93333333333333,37.266666666666666,46.6,0,0,0,0,0,0,15,559,15,699,-1,259,7,0,2728951.0,0.0,2728951.0,2728951.0,7903454.0,0.0,7903454.0,7903454.0,No Label
131.202.240.150-213.74.216.98-0-0-0,213.74.216.98,0,131.202.240.150,0,0,31/03/2015 02:57:24 PM,56,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35714.28571428572,56.0,0.0,56.0,56.0,0,0,0,0,0,56.0,56.0,0.0,56.0,56.0,0,0,0,0,0,0,0.0,35714.28571428572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-134.170.19.108-33309-443-6,131.202.240.150,33309,134.170.19.108,443,6,31/03/2015 02:57:18 PM,13052176,5,6,645.0,3561.0,645.0,0.0,129.0,288.45276909747287,1013.0,0.0,593.5,373.58787453556357,322.24511836187315,0.8427713509226354,1305217.6,3383830.5325904186,1.0794004E7,48.0,1.2762348E7,3190587.0,5141624.615298748,1.0794004E7,679.0,1.3052097E7,2610419.4,4691919.731423248,1.0888454E7,716.0,0,1,0,0,160,192,0.38307788678301613,0.45969346413961937,0.0,1013.0,434.9166666666667,424.655680486788,180332.446969697,0,0,0,1,1,0,0,0,1.0,474.45454545454544,129.0,593.5,0,0,0,0,0,0,5,645,6,3561,-1,64224,1,0,289828.0,0.0,289828.0,289828.0,1.0794004E7,0.0,1.0794004E7,1.0794004E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,31/03/2015 02:57:20 PM,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 02:57:33 PM,13793718,13,13,958.0,309.0,370.0,3.0,73.6923076923077,131.9143564434798,48.0,3.0,23.76923076923077,14.101736572457108,91.8534074714301,1.8849160175668374,551748.7200000001,1503934.1146962277,7485622.0,142.0,1.3793348E7,1149445.666666667,2047864.1358374667,7485928.0,158.0,1.3792382E7,1149365.1666666665,2166315.0498538394,7857899.0,142.0,0,0,0,0,104,104,0.9424580087834187,0.9424580087834187,3.0,370.0,47.62962962962964,93.69637877747142,8779.011396011398,0,0,0,0,0,0,0,0,1.0,49.46153846153846,73.6923076923077,23.76923076923077,0,0,0,0,0,0,13,958,13,309,-1,-1,13,0,4900072.0,0.0,4900072.0,4900072.0,7485622.0,0.0,7485622.0,7485622.0,No Label
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,6,31/03/2015 02:57:34 PM,4499123,20,18,199.0,199.0,20.0,0.0,9.950000000000001,10.210804391221558,20.0,0.0,11.055555555555555,10.177670033964622,88.46168464387392,8.446090493636204,121597.91891891892,227581.55796138695,799102.0,12.0,4300186.0,226325.5789473684,337348.8208270016,887702.0,40.0,4499123.0,264654.29411764716,279378.9994485011,799120.0,75.0,0,1,0,0,640,576,4.445310786124318,4.000779707511886,0.0,20.0,10.717948717948717,10.054977081155586,101.10256410256413,0,0,0,1,1,0,0,0,0.0,11.0,9.95,11.055555555555555,0,0,0,0,0,0,20,199,18,199,-1,259,10,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 02:57:49 PM,14381479,16,16,6695.0,464.0,1370.0,3.0,418.43749999999994,343.8838890769189,54.0,3.0,29.000000000000004,11.899579824514813,497.79302949300273,2.2250840821030993,463918.6774193548,797244.9651498335,3794905.0,43.0,1.4380681E7,958712.0666666668,943655.4104311948,3795036.0,209.0,1.4381479E7,958765.2666666667,1386693.0628625823,5749838.0,43.0,0,0,0,0,128,128,1.1125420410515496,1.1125420410515496,3.0,1370.0,218.5757575757576,307.06219141069676,94287.18939393936,0,0,0,0,0,0,0,0,1.0,225.40625,418.4375,29.0,0,0,0,0,0,0,16,6695,16,464,-1,-1,16,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,31/03/2015 02:57:43 PM,36,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55555.555555555555,36.0,0.0,36.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27777.777777777777,27777.777777777777,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-49876-49624-6,131.202.240.150,49876,131.202.240.86,49624,6,31/03/2015 02:57:55 PM,14134631,20,22,180.0,240.0,20.0,0.0,9.000000000000002,10.20835571068081,20.0,0.0,10.909090909090908,10.192943828752512,29.714252887111094,2.9714252887111097,344747.09756097564,639161.6393593174,3827265.0,36.0,1.0071007E7,530053.0000000001,467580.5009664111,994523.0,50258.0,1.413455E7,673073.8095238096,773091.675598801,3827265.0,199821.0,0,1,0,0,640,704,1.4149644231957663,1.5564608655153431,0.0,20.0,10.232558139534884,10.115610777177466,102.32558139534888,0,0,0,1,1,0,0,0,1.0,10.476190476190476,9.0,10.909090909090908,0,0,0,0,0,0,20,180,22,240,-1,258,9,0,0,0,0,0,0,0,0,0,No Label
