Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.129-10.8.8.130-5351-57405-17,10.8.8.130,57405,10.8.8.129,5351,17,04/06/2015 08:33:09 AM,9684994,5,1,10.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.239030194546326,0.619515097273163,1936998.8,3584616.6663183384,8349356.0,333465.0,1335638.0,333909.5,409.18577687892054,334347.0,333465.0,0,0,0,0,0,0,0,0,0,40,8,0.5162625810609692,0.10325251621219383,2.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,2.3333333333333335,2.0,2.0,0,0,0,0,0,0,5,10,1,2,-1,-1,5,0,0,0,0,0,8349356.0,0.0,8349356.0,8349356.0,No Label
207.241.239.206-10.8.8.130-6969-56809-6,10.8.8.130,56809,207.241.239.206,6969,6,04/06/2015 08:33:31 AM,532189,3,5,354.0,150.0,354.0,0.0,118.0,204.38199529312752,150.0,0.0,30.0,67.08203932499369,947.0319754823944,15.032253579085625,76027.0,129736.08453703234,267130.0,15.0,267344.0,133672.0,188815.89535311903,267185.0,159.0,532189.0,133047.25,153576.81072647872,267344.0,40.0,0,0,0,0,96,176,5.637095092157109,9.395158486928516,0.0,354.0,56.0,122.266103233889,14949.0,0,1,0,0,0,0,0,0,1.0,63.0,118.0,30.0,0,0,0,0,0,0,3,354,5,150,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.226.111-10.8.8.130-6969-48935-6,10.8.8.130,48935,207.241.226.111,6969,6,04/06/2015 08:33:31 AM,562946,3,5,354.0,150.0,354.0,0.0,118.0,204.38199529312752,150.0,0.0,30.0,67.08203932499369,895.2901344001024,14.210954514287339,80420.85714285714,137254.94710140515,281447.0,15.0,281424.0,140712.0,198824.28473403343,281302.0,122.0,562946.0,140736.5,162460.59292538196,281447.0,32.0,0,0,0,0,96,176,5.329107942857752,8.881846571429588,0.0,354.0,56.0,122.266103233889,14949.0,0,1,0,0,0,0,0,0,1.0,63.0,118.0,30.0,0,0,0,0,0,0,3,354,5,150,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55779-6,10.8.8.130,55779,207.241.224.2,80,6,04/06/2015 08:33:31 AM,1538999,7,9,140.0,4607.0,140.0,0.0,20.0,52.91502622129181,1308.0,0.0,511.8888888888889,613.229656092325,3084.472439553242,10.396368028829128,102599.93333333332,265446.2725264936,999858.0,13.0,269793.0,44965.5,109558.98143876658,268601.0,49.0,1538999.0,192374.875,348144.33647039376,999871.0,38.0,0,0,0,0,224,304,4.5484110126127435,5.847957016216385,0.0,1308.0,279.2352941176471,503.7823847421331,253796.6911764706,0,1,0,0,0,0,0,0,1.0,296.6875,20.0,511.8888888888889,0,0,0,0,0,0,7,140,9,4607,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55781-6,10.8.8.130,55781,207.241.224.2,80,6,04/06/2015 08:33:31 AM,1558709,3,5,170.0,361.0,170.0,0.0,56.66666666666667,98.14954576223637,361.0,0.0,72.2,161.44410797548483,340.66653878305704,5.132452561703308,222672.7142857143,364790.0625769633,999331.0,14.0,288181.0,144090.5,203518.76665433092,288000.0,181.0,1558709.0,389677.25,423581.3350612253,999345.0,17793.0,0,0,0,0,96,176,1.9246697106387403,3.207782851064567,0.0,361.0,59.0,126.43773171011887,15986.5,0,1,0,0,0,0,0,0,1.0,66.375,56.666666666666664,72.2,0,0,0,0,0,0,3,170,5,361,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55782-6,10.8.8.130,55782,207.241.224.2,80,6,04/06/2015 08:33:31 AM,1573078,3,5,168.0,361.0,168.0,0.0,56.0,96.99484522385713,361.0,0.0,72.2,161.44410797548483,336.2833883634505,5.085571090562579,224725.42857142858,363480.46153902006,998314.0,16.0,302392.0,151196.0,213666.45607113905,302281.0,111.0,1573078.0,393269.5,419398.95442366885,998330.0,29194.0,0,0,0,0,96,176,1.907089158960967,3.1784819316016115,0.0,361.0,58.77777777777778,126.21982587709604,15931.444444444443,0,1,0,0,0,0,0,0,1.0,66.125,56.0,72.2,0,0,0,0,0,0,3,168,5,361,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55783-6,10.8.8.130,55783,207.241.224.2,80,6,04/06/2015 08:33:31 AM,1575673,3,5,157.0,329.0,157.0,0.0,52.33333333333333,90.64399226277125,329.0,0.0,65.8,147.13327291948616,308.4396318271621,5.077195585632298,225096.14285714284,362471.7952188044,998780.0,15.0,308648.0,154324.0,218087.28766711737,308535.0,113.0,1575673.0,393918.25,417298.9173477249,998795.0,40458.0,0,0,0,0,96,176,1.9039483446121117,3.173247241020186,0.0,329.0,53.999999999999986,115.45886713457742,13330.75,0,1,0,0,0,0,0,0,1.0,60.75,52.333333333333336,65.8,0,0,0,0,0,0,3,157,5,329,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55780-6,10.8.8.130,55780,207.241.224.2,80,6,04/06/2015 08:33:31 AM,1581848,4,5,337.0,368.0,175.0,0.0,84.25,97.42817867537092,368.0,0.0,73.6,164.57460314398452,445.6812538246406,5.689547921165624,197731.0,258546.90996026233,750285.0,15.0,1056950.0,352316.6666666666,377163.550988604,750285.0,139.0,1581848.0,395462.0,417155.3747058762,994724.0,25932.0,0,0,0,0,128,176,2.5286879649625,3.1608599562031245,0.0,368.0,70.5,125.87052430529114,15843.388888888889,0,1,0,0,0,0,0,0,1.0,78.33333333333333,84.25,73.6,0,0,0,0,0,0,4,337,5,368,-1,235,2,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55779-6,10.8.8.130,55779,207.241.224.2,80,6,04/06/2015 08:33:32 AM,3440,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.3953488372093,3440.0,0.0,3440.0,3440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,290.69767441860466,290.69767441860466,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,325,0,0,0,0,0,0,0,0,0,0,No Label
207.241.226.111-10.8.8.130-6969-48935-6,10.8.8.130,48935,207.241.226.111,6969,6,04/06/2015 08:33:32 AM,783820,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5516062361256413,783820.0,0.0,783820.0,783820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1.2758031180628207,1.2758031180628207,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2770,0,0,0,0,0,0,0,0,0,0,No Label
207.241.239.206-10.8.8.130-6969-56809-6,10.8.8.130,56809,207.241.239.206,6969,6,04/06/2015 08:33:32 AM,805758,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4821348345284813,805758.0,0.0,805758.0,805758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1.2410674172642406,1.2410674172642406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2770,0,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43475-6,10.8.8.130,43475,207.241.236.176,80,6,04/06/2015 08:33:31 AM,1560985,4,6,229.0,397.0,229.0,0.0,57.25000000000001,114.5,350.0,0.0,66.16666666666667,140.31452763939544,401.02883756089903,6.40621146263417,173442.77777777778,319205.5832194112,963560.0,9.0,320723.0,106907.66666666666,155910.46331254786,286189.0,3064.0,1560985.0,312197.0,387405.01632658293,963582.0,3572.0,0,0,0,0,128,208,2.5624845850536677,3.843726877580502,0.0,350.0,56.90909090909091,118.96424214481807,14152.49090909091,0,1,0,0,0,0,0,0,1.0,62.6,57.25,66.16666666666667,0,0,0,0,0,0,4,229,6,397,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43475-6,10.8.8.130,43475,207.241.236.176,80,6,04/06/2015 08:33:33 AM,402659,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966981987239824,402659.0,0.0,402659.0,402659.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.483490993619912,2.483490993619912,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43462-6,10.8.8.130,43462,207.241.236.176,80,6,04/06/2015 08:33:31 AM,2702158,240,263,182.0,337726.0,182.0,0.0,0.7583333333333326,11.74804948349583,1308.0,0.0,1284.1292775665402,169.6100557448804,125051.162811353,186.147516170409,5382.784860557767,45017.839594077515,805167.0,0.0,1628799.0,6815.058577405859,35587.60135482345,273847.0,13.0,2702158.0,10313.580152671751,61965.99793007907,805185.0,0.0,0,0,0,0,9112,8432,88.81790035963849,97.3296158107705,0.0,1308.0,670.4523809523806,653.3334752901287,426844.6299346773,0,1,0,0,0,0,0,0,1.0,671.7852882703777,0.7583333333333333,1284.12927756654,0,0,0,0,0,0,240,182,263,337726,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43462-6,10.8.8.130,43462,207.241.236.176,80,6,04/06/2015 08:33:34 AM,305020,3,3,0.0,2616.0,0.0,0.0,0.0,0.0,1308.0,0.0,872.0,755.1741521000305,8576.486787751623,19.67084125631106,61004.0,117742.13035485642,271079.0,29.0,289237.0,144618.5,178898.7227469777,271119.0,18118.0,286862.0,143431.0,180562.54500310967,271108.0,15754.0,0,0,0,0,108,108,9.83542062815553,9.83542062815553,0.0,1308.0,373.7142857142858,638.2386477083406,407348.5714285714,0,0,0,0,1,0,0,0,1.0,436.0,0.0,872.0,0,0,0,0,0,0,3,0,3,2616,-1,235,0,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55790-6,10.8.8.130,55790,207.241.224.2,80,6,04/06/2015 08:33:32 AM,1567496,3,5,162.0,362.0,162.0,0.0,54.0,93.53074360871938,362.0,0.0,72.4,161.89132157098476,334.29112418787673,5.103681285311095,223928.0,367211.2131539559,1006817.0,21.0,289019.0,144509.5,204090.10893352964,288823.0,196.0,1567496.0,391874.0,426613.06954741396,1006838.0,20049.0,0,0,0,0,96,176,1.9138804819916606,3.1898008033194345,0.0,362.0,58.22222222222222,125.88663330331956,15847.444444444443,0,1,0,0,0,0,0,0,1.0,65.5,54.0,72.4,0,0,0,0,0,0,3,162,5,362,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55790-6,10.8.8.130,55790,207.241.224.2,80,6,04/06/2015 08:33:34 AM,424379,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.712768539442338,424379.0,0.0,424379.0,424379.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.356384269721169,2.356384269721169,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43473-6,10.8.8.130,43473,207.241.236.176,80,6,04/06/2015 08:33:31 AM,3523561,253,295,242.0,379206.0,242.0,0.0,0.9565217391304346,15.214409645778748,1308.0,0.0,1285.444067796611,162.71935302029163,107688.78415898008,155.52448219287248,6441.610603290681,36688.76906525915,426666.0,0.0,2825510.0,11212.341269841276,43320.318571290896,296866.0,9.0,3523561.0,11984.90136054422,49846.85574996153,426679.0,20.0,0,0,0,0,9032,9456,71.80236130437362,83.72212088849888,0.0,1308.0,691.1621129326046,652.1035537698928,425239.04483932344,0,1,0,0,0,0,0,0,1.0,692.4233576642335,0.9565217391304348,1285.4440677966102,0,0,0,0,0,0,253,242,295,379206,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.227.212-10.8.8.130-80-33783-6,10.8.8.130,33783,207.241.227.212,80,6,04/06/2015 08:33:31 AM,4206204,1001,1214,737.0,1574023.0,189.0,0.0,0.736263736263736,11.631782908323805,1308.0,0.0,1296.5593080724873,111.39342734313568,374389.8298798632,526.603084396287,1899.8211382113811,19272.05302175589,273961.0,-13.0,3791150.0,3791.1500000000037,26943.916395621392,278581.0,0.0,4206204.0,3467.6042868920044,26878.544232395703,355619.0,0.0,0,0,0,0,47148,38864,237.9818002170128,288.62128417927426,0.0,1308.0,710.6317689530697,650.378265876031,422991.88872391335,0,1,0,0,0,0,0,0,1.0,710.9525959367946,0.7362637362637363,1296.5593080724877,0,0,0,0,0,0,1001,737,1214,1574023,-1,252,4,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43473-6,10.8.8.130,43473,207.241.236.176,80,6,04/06/2015 08:33:35 AM,110931,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02922537433179,110931.0,0.0,110931.0,110931.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9.014612687165895,9.014612687165895,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,3346,0,0,0,0,0,0,0,0,0,0,No Label
207.241.227.212-10.8.8.130-80-33800-6,10.8.8.130,33800,207.241.227.212,80,6,04/06/2015 08:33:33 AM,3176939,367,406,235.0,524628.0,235.0,0.0,0.640326975476839,12.266900147839191,1308.0,0.0,1292.1871921182264,137.53982833624227,165210.2857498995,243.31597175772026,4115.205958549229,33869.80978419349,477022.0,8.0,2437035.0,6658.565573770489,40031.17852271659,275037.0,18.0,3176939.0,7844.2938271604935,46488.016083729315,477033.0,24.0,0,0,0,0,13568,13008,115.52000211524364,127.7959696424766,0.0,1308.0,678.1175710594315,653.1003305668963,426540.04178658925,0,1,0,0,0,0,0,0,1.0,678.9948253557568,0.6403269754768393,1292.1871921182267,0,0,0,0,0,0,367,235,406,524628,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55793-6,10.8.8.130,55793,207.241.224.2,80,6,04/06/2015 08:33:35 AM,2131258,5,6,332.0,672.0,168.0,0.0,66.4,90.93294232565006,336.0,0.0,112.0,173.50965391009228,471.0832756991411,5.161270948894972,213125.8,309949.54817331873,1005631.0,9.0,845428.0,211357.0,141138.43134313205,290000.0,355.0,2131258.0,426251.6,375631.9372714466,1005646.0,17179.0,0,0,0,0,160,208,2.3460322494977146,2.8152386993972573,0.0,336.0,83.66666666666667,133.79450548124052,17900.969696969696,0,1,0,0,0,0,0,0,1.0,91.27272727272727,66.4,112.0,0,0,0,0,0,0,5,332,6,672,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55793-6,10.8.8.130,55793,207.241.224.2,80,6,04/06/2015 08:33:37 AM,19570,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.19724067450178,19570.0,0.0,19570.0,19570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,51.09862033725089,51.09862033725089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
207.241.227.212-10.8.8.130-80-33800-6,10.8.8.130,33800,207.241.227.212,80,6,04/06/2015 08:33:36 AM,490247,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0795762136229285,490247.0,0.0,490247.0,490247.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.0397881068114643,2.0397881068114643,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,4858,0,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43476-6,10.8.8.130,43476,207.241.236.176,80,6,04/06/2015 08:33:31 AM,5484570,249,408,683.0,525040.0,254.0,0.0,2.7429718875501985,25.142781799477596,1308.0,0.0,1286.8627450980393,156.81191345302733,95854.91661151194,119.79061257309142,8360.625000000002,43775.457101432,328096.0,0.0,5043454.0,20336.508064516132,66978.11055751113,328096.0,0.0,5484570.0,13475.601965601967,60014.772140635585,593523.0,0.0,0,0,0,0,9124,13072,45.40009517610314,74.39051739698829,0.0,1308.0,798.9711246200604,636.0356772434916,404541.38272658706,0,1,0,0,0,0,0,0,1.0,800.1872146118722,2.7429718875502007,1286.862745098039,0,0,0,0,0,0,249,683,408,525040,-1,243,3,0,0,0,0,0,0,0,0,0,No Label
207.241.227.212-10.8.8.130-80-33782-6,10.8.8.130,33782,207.241.227.212,80,6,04/06/2015 08:33:31 AM,7292522,534,769,363.0,997049.0,182.0,0.0,0.6797752808988752,11.097237082658514,1308.0,0.0,1296.5526657997416,115.31215626097755,136771.88769536794,178.67618363029965,5601.01536098311,41362.692507734406,780625.0,0.0,6806751.0,12770.639774859284,62711.95035107872,780638.0,0.0,7292522.0,9495.471354166657,54026.59610736485,785605.0,0.0,0,0,0,0,19360,24624,73.22569613091328,105.45048749938636,0.0,1308.0,764.8865030674846,643.8191050778782,414503.0400632801,0,1,0,0,0,0,0,0,1.0,765.4735226400614,0.6797752808988764,1296.55266579974,0,0,0,0,0,0,534,363,769,997049,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
207.241.236.176-10.8.8.130-80-43474-6,10.8.8.130,43474,207.241.236.176,80,6,04/06/2015 08:33:31 AM,7728743,124,200,427.0,253556.0,240.0,0.0,3.443548387096775,27.214684707513094,1308.0,0.0,1267.78,214.52809400071106,32862.13553743474,41.92143534854245,23927.996904024738,103049.08779397704,1409917.0,1.0,7240928.0,58869.333333333336,158829.40984315748,1409927.0,32.0,7728743.0,38837.904522613084,133972.50025309893,1409926.0,24.0,0,0,0,0,4112,6416,16.04400612104711,25.877429227495337,0.0,1308.0,781.4861538461531,638.8165060148923,408086.52835707495,0,1,0,0,0,0,0,0,1.0,783.8981481481482,3.443548387096774,1267.78,0,0,0,0,0,0,124,427,200,253556,-1,235,2,0,0,0,0,0,0,0,0,0,No Label
207.241.227.212-10.8.8.130-80-33782-6,10.8.8.130,33782,207.241.227.212,80,6,04/06/2015 08:33:38 AM,1409274,41,41,0.0,52320.0,0.0,0.0,0.0,0.0,1308.0,0.0,1276.09756097561,204.27528055029666,37125.498661012694,58.18598796259635,17398.44444444445,61638.77918060187,287591.0,9.0,1351296.0,33782.4,84656.16080199556,287601.0,33.0,1402434.0,35060.85,84625.06380577073,287623.0,33.0,0,0,0,0,1900,1324,29.092993981298175,29.092993981298175,0.0,1308.0,630.3614457831326,657.5457802538098,432366.45312959154,0,0,0,0,1,0,0,0,1.0,638.0487804878048,0.0,1276.0975609756097,0,0,0,0,0,0,41,0,41,52320,-1,243,0,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55798-6,10.8.8.130,55798,207.241.224.2,80,6,04/06/2015 08:33:39 AM,1594176,3,5,161.0,361.0,161.0,0.0,53.66666666666667,92.95339333952974,361.0,0.0,72.2,161.44410797548483,327.4418884740455,5.018266490023686,227739.42857142858,364039.5170522275,997922.0,9.0,307938.0,153969.0,217521.60224216813,307780.0,158.0,1594176.0,398544.0,417529.802718321,997931.0,27590.0,0,0,0,0,96,176,1.8818499337588823,3.1364165562648036,0.0,361.0,58.000000000000014,125.48207043239285,15745.75,0,1,0,0,0,0,0,0,1.0,65.25,53.666666666666664,72.2,0,0,0,0,0,0,3,161,5,361,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
207.241.224.2-10.8.8.130-80-55798-6,10.8.8.130,55798,207.241.224.2,80,6,04/06/2015 08:33:40 AM,79152,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.267839094400646,79152.0,0.0,79152.0,79152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12.633919547200323,12.633919547200323,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
