Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.208.46-10.8.8.110-80-33063-6,10.8.8.110,33063,216.58.208.46,80,6,08/06/2015 10:24:06 AM,10264486,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38969316145007166,3421495.333333333,5715512.795440697,1.0021201E7,121051.0,0,0,0,0,0,1.0264486E7,5132243.0,7086895.690055555,1.0143435E7,121051.0,0,0,0,0,32,96,0.09742329036251791,0.29226987108755376,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,341,0,0,121051.0,0.0,121051.0,121051.0,1.0021201E7,0.0,1.0021201E7,1.0021201E7,No Label
216.58.208.46-10.8.8.110-80-33063-6,10.8.8.110,33063,216.58.208.46,80,6,08/06/2015 10:24:26 AM,10265198,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38966613210967777,3421732.666666667,5716940.612663414,1.0023087E7,120223.0,0,0,0,0,0,1.0265198E7,5132599.0,7088570.118913405,1.0144975E7,120223.0,0,0,0,0,32,96,0.09741653302741944,0.29224959908225834,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,341,0,0,120223.0,0.0,120223.0,120223.0,1.0023087E7,0.0,1.0023087E7,1.0023087E7,No Label
216.58.208.46-10.8.8.110-80-33063-6,10.8.8.110,33063,216.58.208.46,80,6,08/06/2015 10:24:47 AM,10264189,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38970443743777516,3421396.333333333,5716155.373278121,1.0021844E7,120724.0,0,0,0,0,0,1.0264189E7,5132094.5,7087148.127176438,1.0143465E7,120724.0,0,0,0,0,32,96,0.09742610935944379,0.2922783280783314,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,341,0,0,120724.0,0.0,120724.0,120724.0,1.0021844E7,0.0,1.0021844E7,1.0021844E7,No Label
216.58.208.46-10.8.8.110-80-33063-6,10.8.8.110,33063,216.58.208.46,80,6,08/06/2015 10:25:07 AM,14275642,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35024694511112003,3568910.5,4675960.219611547,1.0023031E7,121887.0,4130724.0,4130724.0,0.0,4130724.0,4130724.0,1.0269294E7,5134647.0,7089113.176921356,1.0147407E7,121887.0,0,0,0,0,64,96,0.14009877804444804,0.21014816706667203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,3,0,-1,341,0,0,121887.0,0.0,121887.0,121887.0,1.0023031E7,0.0,1.0023031E7,1.0023031E7,No Label
10.8.8.110-64.233.184.16-37386-465-6,10.8.8.110,37386,64.233.184.16,465,6,08/06/2015 10:25:43 AM,2954055,17,22,1062.0,4495.0,391.0,0.0,62.470588235294116,98.95713569966722,1308.0,0.0,204.3181818181818,405.02832192137083,1881.1430389752393,13.202191563799591,77738.28947368421,180719.9229125238,1088396.0,9.0,2689305.0,168081.5625,304077.38026012806,1234874.0,31.0,2954055.0,140669.2857142857,229983.3430755677,1088396.0,27.0,0,0,0,0,544,720,5.754801450887001,7.44739011291259,0.0,1308.0,138.925,312.7395399878226,97806.01987179487,0,1,0,0,0,0,0,0,1.0,142.48717948717947,62.470588235294116,204.3181818181818,0,0,0,0,0,0,17,1062,22,4495,-1,350,10,0,0,0,0,0,0,0,0,0,No Label
10.8.8.110-64.233.184.16-37386-465-6,10.8.8.110,37386,64.233.184.16,465,6,08/06/2015 10:25:46 AM,40096,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,773.144453312051,74.82043096568236,20048.0,28316.798159396483,40071.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,64,32,49.88028731045491,24.940143655227455,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,335,1,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.110-80-33072-6,10.8.8.110,33072,216.58.208.46,80,6,08/06/2015 10:25:43 AM,10380663,4,5,435.0,779.0,435.0,0.0,108.75,217.5,779.0,0.0,155.8,348.37939089446724,116.94821419402595,0.8669966455899782,1297582.875,3516767.20000589,9999915.0,32.0,1.0135114E7,3378371.3333333335,5734819.34261493,9999915.0,350.0,1.0380663E7,2595165.75,5019175.1032135,1.0123539E7,13515.0,0,0,0,0,128,176,0.38533184248443475,0.48166480310554344,0.0,779.0,121.39999999999999,268.4702342284274,72076.26666666666,0,1,0,0,0,0,0,0,1.0,134.88888888888889,108.75,155.8,0,0,0,0,0,0,4,435,5,779,-1,341,1,0,257156.0,0.0,257156.0,257156.0,9999915.0,0.0,9999915.0,9999915.0,No Label
10.8.8.110-64.233.184.16-37388-465-6,10.8.8.110,37388,64.233.184.16,465,6,08/06/2015 10:26:11 AM,2358039,12,21,1327.0,877.0,517.0,0.0,110.58333333333333,165.4484035656562,238.0,0.0,41.76190476190476,61.496263920586884,934.6749566058915,13.994679477311443,73688.71874999999,120135.93325418432,628631.0,24.0,2087164.0,189742.18181818182,212577.8256087959,759215.0,435.0,2358039.0,117901.94999999998,138556.37614741022,628631.0,39.0,0,0,0,0,384,688,5.088974355385979,8.905705121925463,0.0,517.0,64.8235294117647,112.44378274531174,12643.604278074867,0,1,0,0,0,0,0,0,1.0,66.78787878787878,110.58333333333333,41.76190476190476,0,0,0,0,0,0,12,1327,21,877,-1,350,10,0,0,0,0,0,0,0,0,0,No Label
10.8.8.110-64.233.184.16-37388-465-6,10.8.8.110,37388,64.233.184.16,465,6,08/06/2015 10:26:13 AM,17142,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1808.4237545210592,175.00875043752185,8571.0,12080.212249790979,17113.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,0,0,0,0,64,32,116.67250029168125,58.33625014584062,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,245,1,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.110-80-33072-6,10.8.8.110,33072,216.58.208.46,80,6,08/06/2015 10:26:04 AM,10267384,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38958316938374954,3422461.333333333,5716990.21395807,1.0023873E7,121421.0,0,0,0,0,0,1.0267384E7,5133692.0,7087475.517616128,1.0145294E7,122090.0,0,0,0,0,32,96,0.09739579234593738,0.29218737703781217,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,341,0,0,122090.0,0.0,122090.0,122090.0,1.0023873E7,0.0,1.0023873E7,1.0023873E7,No Label
