Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.210.14-10.8.8.130-443-45185-6,10.8.8.130,45185,216.58.210.14,443,6,03/06/2015 03:52:12 PM,127523,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,831.2226029814229,31.366890678544262,42507.66666666667,72035.74249866058,125681.0,29.0,0,0,0,0,0,127523.0,42507.66666666667,72035.74249866058,125681.0,29.0,0,1,0,0,0,128,0.0,31.366890678544262,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,365,0,0,0,0,0,0,0,0,0,0,No Label
216.58.210.14-10.8.8.130-443-45185-6,10.8.8.130,45185,216.58.210.14,443,6,03/06/2015 03:52:12 PM,169,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,455621.30177514796,17751.47928994083,84.5,89.80256121069154,148.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,1,0,0,64,32,11834.31952662722,5917.15976331361,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,537,1,0,0,0,0,0,0,0,0,0,No Label
216.58.210.14-10.8.8.130-443-45184-6,10.8.8.130,45184,216.58.210.14,443,6,03/06/2015 03:51:58 PM,14882141,62,64,38407.0,4129.0,1308.0,0.0,619.4677419354838,596.7647672801644,470.0,0.0,64.515625,102.9539875940118,2858.19090143011,8.466523734723383,119057.12800000006,459855.0287695688,3253849.0,3.0,1.4882071E7,243968.37704918036,677622.8646127619,3376917.0,3.0,1.4882114E7,236224.0317460317,662905.6221966308,3378263.0,21.0,0,1,0,0,1984,2048,4.166067234546427,4.300456500176957,0.0,1308.0,336.6299212598425,504.77816600501905,254800.99687539059,0,0,0,1,1,0,0,0,1.0,339.3015873015873,619.4677419354839,64.515625,0,0,0,0,0,0,62,38407,64,4129,-1,1648,53,0,0,0,0,0,0,0,0,0,No Label
173.194.113.112-10.8.8.130-443-59507-6,10.8.8.130,59507,173.194.113.112,443,6,03/06/2015 03:52:14 PM,140841,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,752.6217507685973,28.40082078372065,46947.0,81252.23631999307,140769.0,24.0,0,0,0,0,0,140841.0,46947.0,81252.23631999307,140769.0,24.0,0,1,0,0,0,128,0.0,28.40082078372065,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,404,0,0,0,0,0,0,0,0,0,0,No Label
173.194.113.112-10.8.8.130-443-59507-6,10.8.8.130,59507,173.194.113.112,443,6,03/06/2015 03:52:14 PM,295,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,261016.94915254237,10169.491525423728,147.5,187.3832970144351,280.0,15.0,15.0,15.0,0.0,15.0,15.0,0,0,0,0,0,0,1,0,0,64,32,6779.661016949152,3389.830508474576,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,1210,1,0,0,0,0,0,0,0,0,0,No Label
216.58.210.2-10.8.8.130-443-58124-6,10.8.8.130,58124,216.58.210.2,443,6,03/06/2015 03:52:15 PM,128218,3,3,77.0,106.0,46.0,0.0,25.666666666666664,23.459184413217212,60.0,0.0,35.333333333333336,31.390019645316144,1427.256703426976,46.79530175170413,25643.600000000002,57110.5539747252,127806.0,17.0,155.0,77.5,85.55992052357225,138.0,17.0,127877.0,63938.5,90322.28469486364,127806.0,71.0,0,1,0,0,96,96,23.397650875852065,23.397650875852065,0.0,60.0,32.714285714285715,23.865695643987177,569.5714285714286,0,0,0,1,1,0,0,0,1.0,38.166666666666664,25.666666666666668,35.333333333333336,0,0,0,0,0,0,3,77,3,106,-1,358,2,0,0,0,0,0,0,0,0,0,No Label
173.194.78.189-10.8.8.130-443-60098-6,173.194.78.189,443,10.8.8.130,60098,6,03/06/2015 03:52:00 PM,14940822,19,24,8984.0,1818.0,1288.0,0.0,472.8421052631579,419.52516321801176,444.0,0.0,75.75,138.7732745853121,722.9856563447446,2.8780210352549545,355733.85714285716,1065378.9762444338,4909473.0,9.0,1.4847656E7,824869.7777777779,1534474.9232961265,4946501.0,21.0,1.4940822E7,649600.9565217393,1412252.969147315,4909503.0,20.0,0,1,0,0,608,768,1.2716837132521892,1.6063373220027652,0.0,1288.0,255.59090909090915,351.721567878318,123708.06131078227,0,0,0,1,1,0,0,0,1.0,261.5348837209302,472.8421052631579,75.75,0,0,0,0,0,0,19,8984,24,1818,-1,1444,15,0,0,0,0,0,0,0,0,0,No Label
216.58.210.1-10.8.8.130-443-60535-6,10.8.8.130,60535,216.58.210.1,443,6,03/06/2015 03:52:17 PM,134506,1,3,0.0,106.0,0.0,0.0,0.0,0.0,60.0,0.0,35.33333333333333,31.390019645316144,788.0689337278635,29.73845032935334,44835.33333333333,77591.25743492841,134430.0,35.0,0,0,0,0,0,134506.0,67253.0,95002.62447953741,134430.0,76.0,0,1,0,0,32,96,7.434612582338335,22.303837747015006,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,3.0,38.0,0.0,35.333333333333336,0,0,0,0,0,0,1,0,3,106,-1,383,0,0,0,0,0,0,0,0,0,0,No Label
216.58.210.1-10.8.8.130-443-60535-6,10.8.8.130,60535,216.58.210.1,443,6,03/06/2015 03:52:17 PM,614,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,125407.16612377852,4885.99348534202,307.0,263.0437226013957,493.0,121.0,121.0,121.0,0.0,121.0,121.0,0,0,0,0,0,0,1,0,0,64,32,3257.328990228013,1628.6644951140065,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,847,1,0,0,0,0,0,0,0,0,0,No Label
216.58.210.14-10.8.8.130-80-39450-6,10.8.8.130,39450,216.58.210.14,80,6,03/06/2015 03:51:59 PM,10274194,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38932494364034786,3424731.333333333,5715772.635880152,1.0024737E7,123877.0,0,0,0,0,0,1.0274194E7,5137097.0,7089763.715160048,1.0150317E7,123877.0,0,0,0,0,32,96,0.09733123591008697,0.2919937077302609,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,433,0,0,123877.0,0.0,123877.0,123877.0,1.0024737E7,0.0,1.0024737E7,1.0024737E7,No Label
