Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:00:55 PM,12686801,10,12,730.0,458.0,287.0,0.0,73.0,97.33105020153299,257.0,0.0,38.166666666666664,74.14339096805881,93.64062697917308,1.7340856847995014,604133.380952381,1208744.3769400741,4651294.0,59.0,1.2550913E7,1394545.8888888888,1584139.2891861217,4651294.0,34323.0,1.2504206E7,1136746.0,1539419.4988116787,4746416.0,125.0,0,1,0,0,200,240,0.7882207658179552,0.9458649189815462,0.0,287.0,62.82608695652174,93.36275886606504,8716.604743083006,0,0,0,1,1,0,0,0,1.0,65.68181818181819,73.0,38.166666666666664,0,0,0,0,0,0,10,730,12,458,-1,62040,7,0,0,0,0,0,0,0,0,0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:01:10 PM,14345390,10,10,933.0,304.0,275.0,0.0,93.30000000000001,101.25550739479695,99.0,0.0,30.400000000000002,38.257025498593066,86.22979228867253,1.3941761081434523,755020.5263157894,1805226.7344758592,6124674.0,51.0,1.4164328E7,1573814.2222222222,2487685.1372121423,6124674.0,29779.0,1.4255891E7,1583987.8888888888,2463954.102346594,6231660.0,73843.0,0,1,0,0,200,200,0.6970880540717261,0.6970880540717261,0.0,275.0,63.61904761904761,79.54336942226938,6327.147619047619,0,0,0,1,1,0,0,0,1.0,66.8,93.3,30.4,0,0,0,0,0,0,10,933,10,304,-1,64680,7,0,252897.5,153997.25034071226,361790.0,144005.0,5821321.0,429005.9267865655,6124674.0,5517968.0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:01:32 PM,13005714,8,10,525.0,343.0,297.0,0.0,65.62499999999999,94.43053002075123,305.0,0.0,34.300000000000004,95.86106845035916,66.73989601801178,1.3840070602813503,765041.9999999999,1528500.691817148,6073479.0,54.0,1.2865562E7,1837937.4285714284,2009292.2637325032,6073533.0,144750.0,1.282356E7,1424840.0,1904943.0575828901,6073759.0,555.0,0,1,0,0,160,200,0.6151142490139334,0.7688928112674168,0.0,305.0,61.73684210526318,108.51259123318525,11774.982456140353,0,0,0,1,1,0,0,0,1.0,65.16666666666667,65.625,34.3,0,0,0,0,0,0,8,525,10,343,-1,64680,7,0,861392.0,0.0,861392.0,861392.0,6073479.0,0.0,6073479.0,6073479.0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:01:50 PM,6697075,7,7,672.0,180.0,305.0,0.0,96.0,116.76614806241291,104.0,0.0,25.71428571428571,38.89179127491338,127.21971905645376,2.090464867124827,515159.6153846154,1210554.224423641,4350543.0,47.0,6516301.0,1086050.1666666665,1678300.7363363,4350590.0,33053.0,6512661.0,1085443.5,1685476.768530584,4350601.0,33043.0,0,1,0,0,140,140,1.0452324335624135,1.0452324335624135,0.0,305.0,63.73333333333333,88.6038266399262,7850.638095238095,0,0,0,1,1,0,0,0,1.0,68.28571428571429,96.0,25.714285714285715,0,0,0,0,0,0,7,672,7,180,-1,64680,5,0,0,0,0,0,0,0,0,0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,03/06/2015 03:01:30 PM,271024,0,2,0.0,2.0,0,0,0,0,2.0,0.0,1.0,1.4142135623730951,7.379420272743373,7.379420272743373,271024.0,0.0,271024.0,271024.0,0,0,0,0,0,271024.0,271024.0,0.0,271024.0,271024.0,0,1,0,0,0,64,0.0,7.379420272743373,0.0,2.0,1.3333333333333335,1.1547005383792515,1.3333333333333333,0,0,0,1,1,0,0,0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,2,2,-1,83,0,0,0,0,0,0,0,0,0,0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:02:07 PM,10402993,9,11,658.0,698.0,209.0,0.0,73.11111111111111,83.3598291211727,327.0,0.0,63.45454545454545,100.59558999912832,130.3471029923792,1.9225236429554455,547525.9473684211,1270792.7677102226,5094877.0,50.0,1.0259452E7,1282431.5000000002,1879759.506068643,5276687.0,36473.0,1.0402993E7,1040299.3,1702037.2373748694,5277832.0,95.0,0,1,0,0,180,220,0.8651356393299505,1.057388003625495,0.0,327.0,80.14285714285715,105.17427713765647,11061.62857142857,0,0,0,1,1,0,0,0,1.0,84.15,73.11111111111111,63.45454545454545,0,0,0,0,0,0,9,658,11,698,-1,64680,6,0,4189126.0,0.0,4189126.0,4189126.0,5094877.0,0.0,5094877.0,5094877.0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:02:26 PM,14689629,12,15,1063.0,516.0,323.0,0.0,88.58333333333334,110.72936568156807,301.0,0.0,34.4,79.58804648222711,107.49080184394037,1.8380314438165866,564985.7307692305,1350305.9096047697,6156390.0,26.0,1.454377E7,1322160.9090909092,1896152.9530231708,6247352.0,34798.0,1.4689629E7,1049259.2142857143,1748126.0713195442,6156390.0,81.0,0,1,0,0,240,300,0.8169028639184829,1.0211285798981036,0.0,323.0,67.14285714285717,105.38069057986831,11105.089947089948,0,0,0,1,1,0,0,0,1.0,69.62962962962963,88.58333333333333,34.4,0,0,0,0,0,0,12,1063,15,516,-1,64680,9,0,144967.0,0.0,144967.0,144967.0,6156390.0,0.0,6156390.0,6156390.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,03/06/2015 03:02:07 PM,51,1,1,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,39215.686274509804,39215.686274509804,51.0,0.0,51.0,51.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,19607.843137254902,19607.843137254902,0.0,2.0,1.3333333333333335,1.1547005383792515,1.3333333333333333,0,0,0,1,1,0,0,0,1.0,2.0,0.0,2.0,0,0,0,0,0,0,1,0,1,2,-1,83,0,0,0,0,0,0,0,0,0,0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:02:47 PM,11708484,10,12,961.0,467.0,341.0,0.0,96.1,118.40744158296057,141.0,0.0,38.916666666666664,49.929875067362474,121.96284335358872,1.8789793793970253,557546.857142857,1286431.8640101887,5349526.0,35.0,8945137.0,993904.1111111111,1830178.9529011531,5531414.0,31983.0,1.1708484E7,1064407.6363636362,1711142.5661479102,5459090.0,86.0,0,1,0,0,200,240,0.854081536089557,1.0248978433074682,0.0,341.0,63.73913043478262,88.45503089207858,7824.292490118576,0,0,0,1,1,0,0,0,1.0,66.63636363636364,96.1,38.916666666666664,0,0,0,0,0,0,10,961,12,467,-1,64680,6,0,2961054.0,0.0,2961054.0,2961054.0,5349526.0,0.0,5349526.0,5349526.0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,03/06/2015 03:03:03 PM,14576902,10,10,788.0,241.0,345.0,0.0,78.80000000000001,112.10689343459462,127.0,0.0,24.099999999999998,40.349721188627804,70.59113109218954,1.3720336461066966,767205.3684210523,1925066.9717524177,8359097.0,22.0,1.4394655E7,1599406.111111111,2694328.4231497487,8542635.0,32893.0,1.4576902E7,1619655.7777777773,2630415.5360163525,8359097.0,88537.0,0,1,0,0,200,200,0.6860168230533483,0.6860168230533483,0.0,345.0,50.8095238095238,84.52728497214319,7144.861904761904,0,0,0,1,1,0,0,0,1.0,53.35,78.8,24.1,0,0,0,0,0,0,10,788,10,241,-1,64680,7,0,4208347.0,0.0,4208347.0,4208347.0,8359097.0,0.0,8359097.0,8359097.0,No Label
