Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
2.30.116.54-10.8.8.178-58139-43020-6,2.30.116.54,58139,10.8.8.178,43020,6,03/06/2015 01:31:23 PM,14900907,19,25,1615.0,767.0,413.0,0.0,85.0,113.31274322766073,136.0,0.0,30.68000000000001,37.28909581454969,159.85604097790826,2.952840387501244,346532.7209302325,1256962.4331034515,7982311.0,0.0,1.4625748E7,812541.5555555556,1881532.4545655744,7982434.0,138178.0,1.4563689E7,606820.375,1650940.5981093957,7982344.0,242.0,0,1,0,0,608,800,1.2750901673300827,1.6777502201711614,0.0,413.0,55.95555555555555,82.96958795397578,6883.952525252523,0,0,0,1,1,0,0,0,1.0,57.22727272727273,85.0,30.68,0,0,0,0,0,0,19,1615,25,767,-1,1444,18,0,6581103.0,0.0,6581103.0,6581103.0,7982311.0,0.0,7982311.0,7982311.0,No Label
10.8.8.178-86.4.212.228-52449-59222-6,10.8.8.178,52449,86.4.212.228,59222,6,03/06/2015 01:31:23 PM,13982433,22,33,323.0,42.0,29.0,0.0,14.681818181818185,12.46093462686053,27.0,0.0,1.2727272727272727,5.304907676345127,26.104183728253872,3.9335071371341455,258933.94444444435,950145.1256144022,6606868.0,15.0,1.3576177E7,646484.6190476192,1557398.9449326873,6859978.0,493.0,1.3982433E7,436951.03125,1225366.990734415,6606868.0,25.0,0,1,0,0,440,660,1.573402854853658,2.360104282280487,0.0,29.0,6.999999999999999,11.23468654739338,126.2181818181818,0,0,0,1,1,0,0,0,1.0,7.127272727272727,14.681818181818182,1.2727272727272727,0,0,0,0,0,0,22,323,33,42,-1,10677,14,0,6974265.0,0.0,6974265.0,6974265.0,6606868.0,0.0,6606868.0,6606868.0,No Label
2.30.116.54-10.8.8.178-58139-43020-6,2.30.116.54,58139,10.8.8.178,43020,6,03/06/2015 01:31:49 PM,14168068,33,44,4030.0,2833.0,817.0,20.0,122.12121212121211,174.7569307595119,363.0,0.0,64.38636363636363,87.60355092863844,484.39914320004675,5.434756524319336,186421.94736842107,545964.8808686482,4106248.0,28.0,1.3845329E7,432666.53124999994,817832.1662601324,4144351.0,140783.0,1.4168068E7,329489.9534883721,699040.9267516171,4106357.0,486.0,0,1,0,0,1056,1408,2.3291813675654294,3.1055751567539063,0.0,817.0,89.28205128205128,133.40076300292876,17795.763569763563,0,0,0,1,1,0,0,0,1.0,90.44155844155844,122.12121212121212,64.38636363636364,0,0,0,0,0,0,33,4030,44,2833,-1,1444,33,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-86.4.212.228-52449-59222-6,10.8.8.178,52449,86.4.212.228,59222,6,03/06/2015 01:31:49 PM,14258446,51,69,817.0,29.0,29.0,0.0,16.019607843137255,12.74125613285979,29.0,0.0,0.4202898550724636,3.4911897394873064,59.333254128816,8.416064415434894,119818.87394957985,418560.61414092267,3758404.0,17.0,1.3847791E7,276955.81999999995,674279.5238568346,3996766.0,129.0,1.4258446E7,209683.02941176473,572586.8317292674,3910465.0,20.0,0,1,0,0,1020,1380,3.57682737655983,4.839237038875064,0.0,29.0,7.231404958677685,11.747170106440182,137.99600550964183,0,0,0,1,1,0,0,0,1.0,7.291666666666667,16.019607843137255,0.42028985507246375,0,0,0,0,0,0,51,817,69,29,-1,11795,32,0,0,0,0,0,0,0,0,0,No Label
2.30.116.54-10.8.8.178-58139-43020-6,2.30.116.54,58139,10.8.8.178,43020,6,03/06/2015 01:32:05 PM,14762313,37,49,4169.0,2504.0,881.0,0.0,112.67567567567569,178.87488707257154,315.0,0.0,51.10204081632653,78.52713036958393,452.02943468276277,5.825645344330526,173674.27058823526,556243.0674131159,5033428.0,22.0,1.4619243E7,406090.0833333334,812374.9948897589,5033487.0,138951.0,1.4762313E7,307548.1875,721232.1553829134,5033513.0,89.0,0,1,0,0,1184,1568,2.5063822993049936,3.319263045025532,0.0,881.0,79.39080459770115,134.335778219394,18046.10130981021,0,0,0,1,1,0,0,0,1.0,80.31395348837209,112.67567567567568,51.10204081632653,0,0,0,0,0,0,37,4169,49,2504,-1,1444,36,0,4730240.0,0.0,4730240.0,4730240.0,5033428.0,0.0,5033428.0,5033428.0,No Label
10.8.8.178-86.4.212.228-52449-59222-6,10.8.8.178,52449,86.4.212.228,59222,6,03/06/2015 01:32:05 PM,14912173,51,70,841.0,42.0,29.0,0.0,16.490196078431378,12.452104318579423,27.0,0.0,0.6000000000000001,3.6689057721911307,59.21336883631916,8.114176250503531,124268.10833333337,443077.8862914519,4643025.0,14.0,1.4769162E7,295383.24,719366.2909798204,4890335.0,216.0,1.4912173E7,216118.44927536236,598936.3248913354,4792180.0,32.0,0,1,0,0,1020,1400,3.4200247006254556,4.694151549878076,0.0,29.0,7.459016393442621,11.683248968610528,136.49830646253895,0,0,0,1,1,0,0,0,1.0,7.520661157024794,16.49019607843137,0.6,0,0,0,0,0,0,51,841,70,42,-1,12958,34,0,0,0,0,0,0,0,0,0,No Label
134.170.25.26-10.8.8.178-443-54269-6,10.8.8.178,54269,134.170.25.26,443,6,03/06/2015 01:31:54 PM,4701513,6,7,1466.0,1625.0,773.0,0.0,244.33333333333331,379.36402922083516,677.0,0.0,232.14285714285714,296.57063721336755,657.4479321869363,2.765067330452984,391792.75,561918.9941217062,2046631.0,21.0,4470222.0,894044.4000000001,901122.3920158128,2470584.0,198589.0,4701465.0,783577.5,714058.8510658628,2046631.0,198628.0,0,1,0,0,192,224,1.276184921747531,1.4888824087054529,0.0,773.0,266.85714285714283,328.3738153954463,107829.36263736265,0,0,0,1,1,0,0,0,1.0,287.38461538461536,244.33333333333334,232.14285714285714,0,0,0,0,0,0,6,1466,7,1625,-1,65400,2,0,0,0,0,0,0,0,0,0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,03/06/2015 01:31:31 PM,4420516,5,7,345.0,19.0,341.0,0.0,69.0,152.06248715577422,10.0,0.0,2.714285714285714,3.592319850008056,82.34332824493792,2.7146152168660853,401865.0909090909,953315.5776063302,3242946.0,25.0,3792589.0,948147.25,1535467.40123442,3243165.0,255.0,4420516.0,736752.6666666666,1233548.5624752138,3242971.0,58.0,0,1,0,0,160,224,1.1310896736942022,1.583525543171883,0.0,341.0,28.153846153846157,94.04152110800683,8843.807692307695,0,0,0,1,1,0,0,0,1.0,30.5,69.0,2.7142857142857144,0,0,0,0,0,0,5,345,7,19,-1,52,2,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-86.4.212.228-52449-59222-6,10.8.8.178,52449,86.4.212.228,59222,6,03/06/2015 01:32:20 PM,6246926,14,20,248.0,0.0,29.0,0.0,17.714285714285715,13.886510174812274,0.0,0.0,0.0,0.0,39.69952581477674,5.4426769262193915,189300.7878787879,508895.19335798395,2807325.0,15.0,5966959.0,458996.8461538462,880756.8646903305,3082482.0,949.0,6246926.0,328785.5789473684,695034.7116166466,2964877.0,33.0,0,0,0,0,280,400,2.2411022637373965,3.201574662481995,0.0,29.0,7.085714285714286,12.298664271259005,151.2571428571428,0,0,0,0,1,0,0,0,1.0,7.294117647058823,17.714285714285715,0.0,0,0,0,0,0,0,14,248,20,0,-1,13300,9,0,0,0,0,0,0,0,0,0,No Label
2.30.116.54-10.8.8.178-58139-43020-6,2.30.116.54,58139,10.8.8.178,43020,6,03/06/2015 01:32:20 PM,5948570,13,18,832.0,899.0,208.0,21.0,64.0,53.094255809833136,223.0,0.0,49.944444444444436,65.08950599635607,290.99430619459804,5.211336506084655,198285.66666666663,480397.7737807194,2506890.0,22.0,5809285.0,484107.0833333333,800890.5235428937,2782651.0,139702.0,5948570.0,349915.88235294115,603356.1083657274,2506890.0,33.0,0,1,0,0,416,576,2.1853991799709847,3.025937326113671,0.0,223.0,54.99999999999999,59.03525463926263,3485.1612903225805,0,0,0,1,1,0,0,0,1.0,56.774193548387096,64.0,49.94444444444444,0,0,0,0,0,0,13,832,18,899,-1,1444,13,0,0,0,0,0,0,0,0,0,No Label
