Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.230.99.79-10.8.8.138-443-50698-6,10.8.8.138,50698,172.230.99.79,443,6,24/05/2015 01:48:27 PM,3552,1,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,14921.17117117117,1126.126126126126,1184.0,2008.3134715477063,3503.0,23.0,0,0,0,0,0,3552.0,1776.0,2442.346822218335,3503.0,49.0,0,0,0,0,20,96,281.5315315315315,844.5945945945946,0.0,53.0,10.6,23.70232056149777,561.8,1,0,0,0,1,0,0,0,3.0,13.25,0.0,17.666666666666668,0,0,0,0,0,0,1,0,3,53,-1,486,0,0,0,0,0,0,0,0,0,0,No Label
172.230.99.79-10.8.8.138-443-50697-6,10.8.8.138,50697,172.230.99.79,443,6,24/05/2015 01:48:27 PM,13142,1,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,4032.871709024502,304.36767615279257,4380.666666666666,7462.1147360070345,12997.0,25.0,0,0,0,0,0,13142.0,6571.0,9087.736351809508,12997.0,145.0,0,0,0,0,20,96,76.09191903819814,228.27575711459446,0.0,53.0,10.6,23.70232056149777,561.8,1,0,0,0,1,0,0,0,3.0,13.25,0.0,17.666666666666668,0,0,0,0,0,0,1,0,3,53,-1,486,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.35-10.8.8.138-443-42011-6,10.8.8.138,42011,209.148.205.35,443,6,24/05/2015 01:48:29 PM,10214171,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916127897212608,3404723.6666666665,5713138.076961324,1.0000535E7,41.0,1.0000535E7,1.0000535E7,0.0,1.0000535E7,1.0000535E7,213595.0,213595.0,0.0,213595.0,213595.0,0,0,0,0,64,80,0.1958063948606304,0.1958063948606304,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,14480,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.35-10.8.8.138-443-42010-6,10.8.8.138,42010,209.148.205.35,443,6,24/05/2015 01:48:29 PM,14834386,2034,4152,1067.0,5316793.0,774.0,0.0,0.5245821042281222,18.013511774252038,1308.0,0.0,1280.5378131021198,143.01231014710592,358481.97559373203,417.0041146293483,2398.4455941794686,19360.693921572867,513207.0,0.0,1.4621121E7,7191.894244958188,36635.603725794885,513207.0,11.0,1.4796909E7,3564.6612864370018,28949.195744634235,703526.0,6.0,0,0,0,0,98876,132880,137.1138650430156,279.89024958633274,0.0,1308.0,859.5215775012109,612.814145422445,375541.17682984157,0,1,0,0,0,0,0,0,2.0,859.6605237633365,0.5245821042281219,1280.5378131021196,0,0,0,0,0,0,2034,1067,4152,5316793,-1,535,3,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.192.55.216-47640-443-6,54.192.55.216,443,10.8.8.138,47640,6,24/05/2015 01:48:46 PM,41,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,756097.5609756097,73170.73170731707,20.5,4.949747468305833,24.0,17.0,0,0,0,0,0,24.0,24.0,0.0,24.0,24.0,0,1,0,0,32,64,24390.243902439022,48780.487804878045,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,582,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.235.37.217-33646-443-6,10.8.8.138,33646,23.235.37.217,443,6,24/05/2015 01:48:29 PM,451629,7,6,330.0,4038.0,204.0,0.0,47.142857142857146,83.60109363604556,1308.0,0.0,673.0,656.5238761842558,9671.655274572713,28.784688317180695,37635.75,59103.22636959385,135925.0,20.0,319588.0,53264.66666666667,79560.0487522894,173466.0,89.0,411735.0,82347.0,75108.27122561136,143045.0,130.0,0,0,0,0,224,208,15.49944755540499,13.285240761775706,0.0,1308.0,312.0,523.8443691373642,274412.92307692306,0,1,0,0,0,0,0,0,0.0,336.0,47.142857142857146,673.0,0,0,0,0,0,0,7,330,6,4038,-1,31,2,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.192.55.216-47640-443-6,10.8.8.138,47640,54.192.55.216,443,6,24/05/2015 01:48:46 PM,708547,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822677959260289,708547.0,0.0,708547.0,708547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1.4113389796301445,1.4113389796301445,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,582,0,0,0,0,0,0,0,0,0,0,No Label
172.230.99.79-10.8.8.138-443-50673-6,10.8.8.138,50673,172.230.99.79,443,6,24/05/2015 01:48:29 PM,10250214,3,3,1045.0,1711.0,1045.0,0.0,348.33333333333337,603.3310313031589,997.0,357.0,570.3333333333334,369.5041722813605,268.872435248669,0.585353632616841,2050042.8,4327188.432519574,9787957.0,45.0,1.0038045E7,5019022.5,6744291.847968955,9787957.0,250088.0,1.0250161E7,5125080.5,6947969.713649053,1.0038037E7,212124.0,0,1,0,0,96,96,0.2926768163084205,0.2926768163084205,0.0,1045.0,536.1428571428571,469.53822299908967,220466.14285714287,0,0,0,1,1,0,0,0,1.0,625.5,348.3333333333333,570.3333333333334,0,0,0,0,0,0,3,1045,3,1711,-1,1277,1,0,212169.0,0.0,212169.0,212169.0,9787957.0,0.0,9787957.0,9787957.0,No Label
10.8.8.138-104.156.81.217-35198-443-6,10.8.8.138,35198,104.156.81.217,443,6,24/05/2015 01:48:28 PM,553860,5,7,2029.0,2443.0,1061.0,0.0,405.79999999999995,438.9968109223574,1047.0,0.0,349.0,450.5570626087962,8074.242588379735,21.66612501354133,50350.909090909096,63295.903349987115,132560.0,19.0,553743.0,138435.75,159964.8104894219,293272.0,71.0,517407.0,86234.5,66721.06559325923,132898.0,143.0,0,1,0,0,160,224,9.027552088975552,12.638572924565775,0.0,1061.0,424.5384615384615,448.8911552155703,201503.26923076922,0,0,0,1,1,0,0,0,1.0,459.9166666666667,405.8,349.0,0,0,0,0,0,0,5,2029,7,2443,-1,83,3,0,0,0,0,0,0,0,0,0,No Label
209.148.205.35-10.8.8.138-443-42010-6,10.8.8.138,42010,209.148.205.35,443,6,24/05/2015 01:48:44 PM,14938992,127,975,0.0,1275300.0,0.0,0.0,0.0,0.0,1308.0,1308.0,1308.0,0.0,85367.20549820228,73.76669055047356,13568.566757493212,40399.48561484352,329271.0,7.0,1.4899968E7,118253.71428571428,90799.70844815369,329440.0,165.0,1.4861567E7,15258.282340862432,57433.31008424158,459894.0,7.0,0,0,0,0,4064,31200,8.50124292187853,65.26544762859501,0.0,1308.0,1157.3961922030842,417.6918100136232,174466.44815245667,0,0,0,0,1,0,0,0,7.0,1158.4464609800364,0.0,1308.0,0,0,0,0,0,0,127,0,975,1275300,-1,535,0,0,0,0,0,0,0,0,0,0,No Label
