Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:33:20 PM,14986365,749,750,62167.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8302.013196662434,100.0242553814751,10004.248998664874,5144.311309571177,23163.0,100.0,1.4965187E7,20006.93449197859,2825.800738251494,27709.0,10591.0,1.4986365E7,20008.497997329767,4660.100515780225,62895.0,100.0,0,0,0,0,5992,6000,49.978764029836455,50.045491351638645,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05537024683122,83.0,83.0,0,0,0,0,0,0,749,62167,750,62250,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:33:35 PM,14995345,750,749,62250.0,62167.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8297.041515216888,99.96435560502276,10010.243658210953,4985.810703129904,23541.0,99.0,1.4975349E7,19993.790387182908,2744.738676302518,24693.0,12243.0,1.4980794E7,20027.79946524064,5204.507317723811,70727.0,99.0,0,0,0,0,6000,5992,50.01552148350038,49.94883412152238,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.05537024683122,83.0,83.0,0,0,0,0,0,0,750,62250,749,62167,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:33:50 PM,14992820,750,751,62250.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8309.51081917878,100.11458818287687,9995.213333333342,5130.35212245929,24052.0,5.0,1.497917E7,19998.891855807728,2835.834010966516,26155.0,15638.0,1.4990788E7,19987.717333333327,4830.5331618365935,58090.0,100.0,0,0,0,0,6000,6008,50.023944794908495,50.09064338796838,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05529646902065,83.0,83.0,0,0,0,0,0,0,750,62250,751,62333,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:34:05 PM,14986059,749,751,62167.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8307.721196079638,100.0930264587908,9997.370913942646,5102.157181662455,23983.0,8.0,1.4956567E7,19995.410427807485,2732.0453922717466,25405.0,15640.0,1.4986059E7,19981.41199999999,6273.106483036884,91520.0,95.0,0,0,0,0,5992,6008,49.979784545089544,50.113241913701266,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,749,62167,751,62333,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:34:20 PM,14997079,750,751,62250.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8307.15101254051,100.0861567775965,9998.052666666668,5165.066774891264,23635.0,13.0,1.497923E7,19998.97196261684,2798.5567977588685,25446.0,15645.0,1.497917E7,19972.226666666655,5583.072094044519,117249.0,89.0,0,0,0,0,6000,6008,50.00973856308952,50.07641821450697,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05529646902065,83.0,83.0,0,0,0,0,0,0,750,62250,751,62333,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:34:35 PM,14992959,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8303.897849650626,100.04696204398344,10001.97398265508,5254.566697031726,23637.0,81.0,1.4974638E7,19992.841121495327,2762.7136581284403,25057.0,15632.0,1.4979795E7,19999.72630173567,6753.655378913568,79454.0,81.0,0,0,0,0,6000,6000,50.02348102199172,50.02348102199172,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:34:50 PM,14993202,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8303.76326551193,100.04534054833651,10002.136090727168,5309.878793836254,22972.0,76.0,1.4981693E7,20002.26034712954,2754.5810725657184,24658.0,15625.0,1.4984925E7,20006.575433911894,4278.5834287064035,46714.0,404.0,0,0,0,0,6000,6000,50.022670274168256,50.022670274168256,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:35:05 PM,14994700,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8302.933703241812,100.03534582219051,10003.135423615757,5251.987709131512,23758.0,17.0,1.4983073E7,20004.102803738326,2773.5217098927033,25709.0,15665.0,1.49947E7,20019.626168224295,5796.941035646141,71873.0,101.0,0,0,0,0,6000,6000,50.017672911095254,50.017672911095254,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:35:20 PM,14993380,749,751,62167.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8303.664684013878,100.04415281944432,10002.254836557715,5372.147843184671,23152.0,98.0,1.4960712E7,20000.951871657755,2712.2182635855734,24639.0,15642.0,1.499338E7,19991.173333333296,5643.439660191278,82697.0,98.0,0,0,0,0,5992,6008,49.955380307842525,50.08877251160179,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,749,62167,751,62333,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:35:35 PM,14980903,749,751,62167.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8310.580477024649,100.127475626803,9993.931287525033,5482.649128956132,24203.0,36.0,1.4962196E7,20002.935828877005,2789.4318981621172,26134.0,15570.0,1.4980903E7,19974.537333333337,8050.062717454201,188073.0,86.0,0,0,0,0,5992,6008,49.99698616298363,50.13048946381937,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,749,62167,751,62333,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:35:50 PM,14996159,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8302.125897704873,100.0256132253599,10004.108739159437,5214.58593051765,23049.0,67.0,1.4980139E7,20000.18558077437,2768.3606225290355,26611.0,15502.0,1.4987006E7,20009.35380507342,4367.32595367202,40618.0,2035.0,0,0,0,0,6000,6000,50.01280661267995,50.01280661267995,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:36:05 PM,14992988,750,749,62250.0,62167.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8298.345866747843,99.98007068370895,10008.67022696928,5405.127816634536,23913.0,80.0,1.4980241E7,20000.32176234982,2706.0250742519574,26164.0,15650.0,1.4992988E7,20044.10160427807,5727.592701620818,73592.0,93.0,0,0,0,0,6000,5992,50.023384264697604,49.95668641901134,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.05537024683122,83.0,83.0,0,0,0,0,0,0,750,62250,749,62167,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-10.8.8.223-137-137-17,10.8.8.222,137,10.8.8.223,137,17,22/05/2015 12:35:09 PM,1501620,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,99.8921165141647,1.9978423302832942,750810.0,872.5697679841996,751427.0,750193.0,751427.0,751427.0,0.0,751427.0,751427.0,0,0,0,0,0,0,0,0,0,16,8,1.3318948868555294,0.6659474434277647,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:36:20 PM,14988012,749,751,62167.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8306.638665621565,100.07998392315139,9998.67378252168,5674.328862021088,24099.0,29.0,1.4955995E7,19994.64572192514,2787.6345149446565,24506.0,15493.0,1.4988012E7,19984.015999999967,4439.030877558738,53877.0,2900.0,0,0,0,0,5992,6008,49.973271972293595,50.10671195085779,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,749,62167,751,62333,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-10.8.8.223-137-137-17,10.8.8.222,137,10.8.8.223,137,17,22/05/2015 12:36:23 PM,1500472,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,99.96854323172975,1.999370864634595,750236.0,161.22034611053283,750350.0,750122.0,750122.0,750122.0,0.0,750122.0,750122.0,0,0,0,0,0,0,0,0,0,16,8,1.3329139097563967,0.6664569548781983,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:36:35 PM,14997191,750,751,62250.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8307.088974195234,100.08540932765342,9998.127333333341,5447.966117460494,25199.0,10.0,1.4979857E7,19999.8090787717,2713.1739488285607,26521.0,15653.0,1.4980591E7,19974.12133333332,5035.89387644252,96086.0,106.0,0,0,0,0,6000,6008,50.009365087101976,50.07604424055145,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05529646902065,83.0,83.0,0,0,0,0,0,0,750,62250,751,62333,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-10.8.8.223-137-137-17,10.8.8.222,137,10.8.8.223,137,17,22/05/2015 12:36:40 PM,1500251,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,99.98326946624265,1.999665389324853,750125.5,324.5620125646253,750355.0,749896.0,750355.0,750355.0,0.0,750355.0,750355.0,0,0,0,0,0,0,0,0,0,16,8,1.333110259549902,0.666555129774951,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:36:50 PM,14996647,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8301.855741486748,100.02235833116563,10004.434289526338,5525.865236473582,24088.0,34.0,1.4977804E7,19997.068090787732,2749.773257430978,25932.0,12424.0,1.4983533E7,20004.716955941236,5643.6030691037395,67238.0,52.0,0,0,0,0,6000,6000,50.01117916558282,50.01117916558282,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:37:05 PM,14994877,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8302.835695151083,100.03416500182028,10003.253502334896,5508.389700317761,23472.0,93.0,1.4975143E7,19993.515353805116,2752.005883190332,24940.0,15665.0,1.4994877E7,20019.862483311088,4756.980833559242,57118.0,93.0,0,0,0,0,6000,6000,50.01708250091014,50.01708250091014,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-10.8.8.223-137-137-17,10.8.8.222,137,10.8.8.223,137,17,22/05/2015 12:37:01 PM,10734020,14,1,700.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,69.87130636984094,1.3974261273968187,766715.7142857142,1191367.318225216,4598196.0,28.0,1.0644371E7,818797.7692307692,1223313.3548123958,4598196.0,28.0,0,0,0,0,0,0,0,0,0,112,8,1.3042643855703642,0.09316174182645459,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.333333333333336,50.0,50.0,0,0,0,0,0,0,14,700,1,50,-1,-1,14,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:37:20 PM,14985692,749,749,62167.0,62167.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8296.847419525238,99.9620171027137,10010.482297929208,5601.428567652773,23020.0,9.0,1.4961579E7,20002.11096256684,2743.554434328449,25460.0,15658.0,1.4985692E7,20034.347593582883,4921.797958069913,68763.0,911.0,0,0,0,0,5992,5992,49.98100855135685,49.98100855135685,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05540720961282,83.0,83.0,0,0,0,0,0,0,749,62167,749,62167,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:37:35 PM,14995776,750,751,62250.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8307.872830322352,100.09485337737775,9997.184000000003,5634.905462015722,23643.0,108.0,1.4977592E7,19996.785046728965,2783.135811822489,25389.0,15550.0,1.4989099E7,19985.465333333326,4715.719379248159,62429.0,2137.0,0,0,0,0,6000,6008,50.01408396604484,50.0807694113329,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05529646902065,83.0,83.0,0,0,0,0,0,0,750,62250,751,62333,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:37:50 PM,14996323,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8302.035105538871,100.02451934384182,10004.218145430272,5634.274516345914,23712.0,16.0,1.4977115E7,19996.14819759681,2735.99570456311,25446.0,15646.0,1.4996323E7,20021.793057409865,4795.626363170812,57132.0,91.0,0,0,0,0,6000,6000,50.01225967192091,50.01225967192091,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,22/05/2015 12:38:05 PM,14986572,749,747,62167.0,62001.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8285.283652592467,99.8226946095478,10024.462876254182,5791.961247813888,23977.0,69.0,1.4960486E7,20000.64973262031,2738.5674173988255,24896.0,15587.0,1.4986572E7,20089.238605898125,7822.832093930969,117695.0,69.0,0,0,0,0,5992,5976,49.97807370491397,49.84462090463383,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.05548128342247,83.0,83.0,0,0,0,0,0,0,749,62167,747,62001,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
