Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,22/05/2015 12:33:22 PM,14999891,749,752,62167.0,62416.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8305.593687314127,100.06739382306178,9999.927333333337,6838.641952358274,24445.0,16.0,1.4962542E7,20003.39839572189,6435.948764741707,75421.0,89.0,1.4999891E7,19973.223701731018,3462.716371563054,25915.0,1192.0,0,0,0,0,5992,6016,49.933696184858945,50.13369763820284,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05529646902065,83.0,83.0,0,0,0,0,0,0,749,62167,752,62416,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,22/05/2015 12:33:37 PM,14992062,750,751,62250.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8309.930948791434,100.11964998543895,9994.707999999993,6893.9411730882475,24046.0,43.0,1.497785E7,19997.12950600798,4331.351734525728,50952.0,109.0,1.4992062E7,19989.41600000001,3279.1046683780783,25173.0,5724.0,0,0,0,0,6000,6008,50.026474010046115,50.09317597539284,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05529646902065,83.0,83.0,0,0,0,0,0,0,750,62250,751,62333,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.246-10.8.8.247-137-137-17,10.8.8.246,137,10.8.8.247,137,17,22/05/2015 12:33:47 PM,14600625,9,1,450.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,34.24510937031805,0.684902187406361,1622291.6666666667,2462105.6206664345,8175414.0,715528.0,1.3851184E7,1731398.0,2608738.3616401353,8175414.0,715528.0,0,0,0,0,0,0,0,0,0,72,8,0.6164119686657249,0.0684902187406361,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,50.0,50.0,0,0,0,0,0,0,9,450,1,50,-1,-1,9,0,3718970.0,0.0,3718970.0,3718970.0,8175414.0,0.0,8175414.0,8175414.0,No Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,22/05/2015 12:33:52 PM,14999522,749,752,62167.0,62416.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8305.798011429964,100.06985555939715,9999.681333333323,6830.191427020036,24412.0,87.0,1.4979518E7,20026.093582887726,5135.577325135777,64815.0,123.0,1.4999106E7,19972.178428761676,3298.5892018842537,25099.0,5202.0,0,0,0,0,5992,6016,49.93492459293036,50.1349309664668,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05529646902065,83.0,83.0,0,0,0,0,0,0,749,62167,752,62416,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.246-10.8.8.247-137-137-17,10.8.8.246,137,10.8.8.247,137,17,22/05/2015 12:34:03 PM,13988176,10,1,500.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,39.31892192377334,0.7863784384754667,1398817.5999999999,2699820.2084702766,9010942.0,66437.0,1.3238081E7,1470897.888888889,2853367.7755069733,9010942.0,66437.0,0,0,0,0,0,0,0,0,0,80,8,0.7148894895231516,0.07148894895231515,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.54545454545455,50.0,50.0,0,0,0,0,0,0,10,500,1,50,-1,-1,10,0,3477162.0,0.0,3477162.0,3477162.0,9010942.0,0.0,9010942.0,9010942.0,No Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,22/05/2015 12:34:07 PM,14986210,750,750,62250.0,62250.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8307.637488064027,100.09201792848225,9997.471647765175,6970.2648437262105,24133.0,13.0,1.4980075E7,20000.100133511354,6361.179038827944,83000.0,103.0,1.4984583E7,20006.11882510014,3150.0291884787584,25136.0,5784.0,0,0,0,0,6000,6000,50.046008964241125,50.046008964241125,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,750,62250,750,62250,-1,-1,750,0,0,0,0,0,0,0,0,0,No Label
10.8.8.246-10.8.8.247-137-137-17,10.8.8.246,137,10.8.8.247,137,17,22/05/2015 12:34:21 PM,13588602,8,1,400.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,33.11598941524669,0.6623197883049338,1698575.25,1755145.3784381468,4685494.0,749928.0,1.2838674E7,1834096.2857142857,1850011.4339011272,4685494.0,750055.0,0,0,0,0,0,0,0,0,0,64,8,0.5887287007154968,0.0735910875894371,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.55555555555556,50.0,50.0,0,0,0,0,0,0,8,400,1,50,-1,-1,8,0,0,0,0,0,0,0,0,0,No Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,22/05/2015 12:34:22 PM,14999584,749,751,62167.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8300.230193050687,100.00277341024925,10006.393595730478,6943.986462725263,23671.0,86.0,1.4980394E7,20027.264705882357,5929.416256712441,114866.0,104.0,1.4990496E7,19987.32799999998,3158.3210732526345,24578.0,4202.0,0,0,0,0,5992,6008,49.93471818951779,50.06805522073145,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05533333333334,83.0,83.0,0,0,0,0,0,0,749,62167,751,62333,-1,-1,749,0,0,0,0,0,0,0,0,0,No Label
10.8.8.246-10.8.8.247-137-137-17,10.8.8.246,137,10.8.8.247,137,17,22/05/2015 12:34:36 PM,14278396,7,1,350.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,28.01435119182855,0.5602870238365709,2039770.857142857,2322644.5385786314,6549396.0,749648.0,1.3528748E7,2254791.3333333335,2466829.7913688873,6549396.0,750126.0,0,0,0,0,0,0,0,0,0,56,8,0.4902511458569996,0.07003587797957136,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,56.25,50.0,50.0,0,0,0,0,0,0,7,350,1,50,-1,-1,7,0,6976233.0,0.0,6976233.0,6976233.0,6549396.0,0.0,6549396.0,6549396.0,No Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,22/05/2015 12:34:37 PM,14997764,748,751,62084.0,62333.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8295.703279502197,99.94823228315902,10011.85847797063,6826.560856506499,24397.0,62.0,1.4977067E7,20049.62115127174,5916.210701911992,75997.0,65.0,1.4997764E7,19997.018666666674,3217.9793458647464,26060.0,5658.0,0,0,0,0,5984,6008,49.87410123269042,50.07413105046859,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.05537024683122,83.0,83.0,0,0,0,0,0,0,748,62084,751,62333,-1,-1,748,0,0,0,0,0,0,0,0,0,No Label
