Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.194.123.97-42049-443-6,131.202.240.150,42049,173.194.123.97,443,6,30/03/2015 10:18:47 AM,23626920,133,168,37970.0,21641.0,2676.0,0.0,285.4887218045113,539.0567887178008,1320.0,0.0,128.81547619047626,237.00081204239342,2523.0118864413985,12.739705386906124,78756.40000000002,524016.56264600187,4956282.0,1.0,2.3601874E7,178802.07575757577,787811.3375123526,5021426.0,2.0,2.362692E7,141478.56287425145,701634.6473873564,4981401.0,2.0,0,1,0,0,4256,5376,5.629172147702706,7.110533239203417,0.0,2676.0,198.08278145695357,405.7699826733731,164649.27883874948,0,0,0,1,1,0,0,0,1.0,198.74086378737542,285.4887218045113,128.8154761904762,0,0,0,0,0,0,133,37970,168,21641,-1,1373,99,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.238-47733-443-6,131.202.240.150,47733,216.58.219.238,443,6,30/03/2015 10:18:48 AM,12580474,202,224,42548.0,78654.0,2676.0,0.0,210.63366336633666,513.7304832384424,4448.0,0.0,351.13392857142856,590.6849789139234,9634.136201863299,33.86199915837829,29601.115294117655,221437.8509627228,3047945.0,1.0,1.2488297E7,62130.83084577116,327073.3858235812,3112870.0,3.0,1.2580474E7,56414.68161434981,306016.13400630356,3073419.0,3.0,0,0,0,0,6464,7184,16.056628708902384,17.80537044947591,0.0,4448.0,283.8454332552692,558.8214161197407,312281.3751140723,0,1,0,0,0,0,0,0,1.0,284.51173708920186,210.63366336633663,351.13392857142856,0,0,0,0,0,0,202,42548,224,78654,-1,1373,88,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.207.127-57937-19305-17,131.202.240.150,57937,173.194.207.127,19305,17,30/03/2015 10:18:51 AM,29994925,8614,4318,7384782.0,2313771.0,1180.0,22.0,857.299976781985,349.02384696718076,1178.0,22.0,535.843214451134,421.829609908161,323339.7983158818,431.13960111585544,2319.6137189699243,4331.384644315133,41725.0,1.0,2.9949725E7,3477.2698246836235,6732.271940792368,46290.0,3.0,2.9993073E7,6947.66574009729,20732.24314855869,603818.0,1.0,0,0,0,0,68912,34544,287.1819149406108,143.95768617524465,22.0,1180.0,749.9167246578559,404.40970844962624,163547.21228831168,0,0,0,0,0,0,0,0,0.0,749.9747138880297,857.2999767819828,535.8432144511348,0,0,0,0,0,0,8614,7384782,4318,2313771,-1,-1,8614,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.76.127-57937-19302-17,131.202.240.150,57937,173.194.76.127,19302,17,30/03/2015 10:18:51 AM,20116861,2,4,40.0,116.0,20.0,20.0,20.0,0.0,32.0,20.0,29.0,6.0,7.75468896464513,0.29825726787096657,4023372.2,5456361.741158224,1.0000994E7,38363.0,1.0038938E7,1.0038938E7,0.0,1.0038938E7,1.0038938E7,2.0116861E7,6705620.333333333,5773838.469077078,1.0039892E7,38566.0,0,0,0,0,16,32,0.09941908929032219,0.19883817858064437,20.0,32.0,25.142857142857142,6.4142698058981855,41.142857142857146,0,0,0,0,0,0,0,0,2.0,29.333333333333332,20.0,29.0,0,0,0,0,0,0,2,40,4,116,-1,-1,2,0,38732.0,234.75945135393377,38898.0,38566.0,1.0000517E7,674.5798692519663,1.0000994E7,1.000004E7,No Label
131.202.240.150-173.194.76.127-47447-19302-17,131.202.240.150,47447,173.194.76.127,19302,17,30/03/2015 10:18:51 AM,20118289,2,4,40.0,116.0,20.0,20.0,20.0,0.0,32.0,20.0,29.0,6.0,7.75413853533966,0.29823609751306385,4023657.8,5456426.452583568,1.0000998E7,38660.0,1.0040065E7,1.0040065E7,0.0,1.0040065E7,1.0040065E7,2.0118289E7,6706096.333333333,5774035.009384887,1.0039816E7,38815.0,0,0,0,0,16,32,0.09941203250435461,0.19882406500870922,20.0,32.0,25.142857142857142,6.4142698058981855,41.142857142857146,0,0,0,0,0,0,0,0,2.0,29.333333333333332,20.0,29.0,0,0,0,0,0,0,2,40,4,116,-1,-1,2,0,38941.0,178.19090885900997,39067.0,38815.0,1.00008735E7,176.06958851545033,1.0000998E7,1.0000749E7,No Label
131.202.240.150-173.194.207.127-47447-19305-17,131.202.240.150,47447,173.194.207.127,19305,17,30/03/2015 10:18:51 AM,29376785,40,33,7448.0,3448.0,936.0,22.0,186.20000000000002,220.48096609516296,120.0,104.0,104.48484848484847,2.7852424952911643,370.9051211696583,2.484955382285706,408010.90277777787,439838.77062329673,923288.0,238.0,2.9285655E7,750914.2307692311,393036.46902140474,961750.0,238.0,2.9376785E7,918024.5312499999,177504.6788820826,965281.0,39821.0,0,0,0,0,320,264,1.3616193875538116,1.1233359947318946,22.0,936.0,148.86486486486484,166.2518574887951,27639.68011847464,0,0,0,0,0,0,0,0,0.0,150.9041095890411,186.2,104.48484848484848,0,0,0,0,0,0,40,7448,33,3448,-1,-1,40,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.123.100-43649-443-6,131.202.240.150,43649,173.194.123.100,443,6,30/03/2015 10:18:50 AM,427498,52,80,2006.0,126901.0,368.0,0.0,38.57692307692308,82.2345631628344,6690.0,0.0,1586.2624999999994,1690.3487075175726,301538.25281053944,308.7733743783597,3263.3435114503804,11670.026583432247,88907.0,1.0,248924.0,4880.862745098038,13079.618057144646,71430.0,5.0,427498.0,5411.367088607592,15906.242977875405,88907.0,1.0,0,1,0,0,1664,2560,121.6379959672326,187.13537841112708,0.0,6690.0,970.8796992481202,1512.8920981251788,2288842.5005696053,0,0,0,1,1,0,0,0,1.0,978.2348484848485,38.57692307692308,1586.2625,0,0,0,0,0,0,52,2006,80,126901,-1,623,15,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.189-44575-443-6,173.194.204.189,443,131.202.240.150,44575,6,30/03/2015 10:18:48 AM,8289703,20,22,5261.0,1869.0,1320.0,0.0,263.04999999999995,415.9952523767549,447.0,0.0,84.95454545454545,130.38093538431266,860.1031906691953,5.0665265088508,202187.8780487805,883966.8698167142,5400826.0,2.0,8075958.0,425050.4210526316,1288861.8555654837,5440643.0,5.0,8210976.0,390998.85714285716,1220363.586508516,5400848.0,6.0,0,1,0,0,640,704,2.4126316708813333,2.6538948379694665,0.0,1320.0,176.20930232558138,310.6187801438817,96484.0265780731,0,0,0,1,1,0,0,0,1.0,180.4047619047619,263.05,84.95454545454545,0,0,0,0,0,0,20,5261,22,1869,-1,1444,12,0,2645513.0,0.0,2645513.0,2645513.0,5400826.0,0.0,5400826.0,5400826.0,No Label
131.202.240.150-64.233.171.188-37692-5228-6,131.202.240.150,37692,64.233.171.188,5228,6,30/03/2015 10:18:45 AM,38338,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.16756220981794,38338.0,0.0,38338.0,38338.0,0,0,0,0,0,38338.0,38338.0,0.0,38338.0,38338.0,0,0,0,0,0,64,0.0,52.16756220981794,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.225-60348-443-6,131.202.240.150,60348,216.58.219.225,443,6,30/03/2015 10:18:49 AM,143694,7,8,693.0,285.0,517.0,0.0,99.0,187.21467178972202,149.0,0.0,35.625,51.25827459333482,6806.129692262725,104.38849221261849,10263.857142857141,19242.555750839747,65514.0,9.0,52329.0,8721.5,13329.932764271543,26192.0,71.0,143694.0,20527.714285714286,23666.875252937283,65525.0,60.0,0,0,0,0,224,272,48.71462969922196,55.67386251339653,0.0,517.0,61.12500000000003,128.49584947901366,16511.183333333334,0,1,0,0,0,0,0,0,1.0,65.2,99.0,35.625,0,0,0,0,0,0,7,693,8,285,-1,341,4,0,0,0,0,0,0,0,0,0,No Label
