Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-64584-13000-6,131.202.240.87,64584,131.202.6.26,13000,6,29/04/2015 12:25:36 PM,25868,12,11,5602.0,5709.0,1350.0,0.0,466.8333333333333,510.8333358050324,1350.0,0.0,519.0,555.1244905424368,437258.38874284836,889.129426318231,1175.818181818182,2158.2297780569556,10078.0,6.0,25174.0,2288.5454545454545,2821.2617873439667,10078.0,6.0,25646.0,2564.6,3434.9347139194488,11564.0,88.0,0,0,0,0,240,244,463.893613731251,425.2358125869801,0.0,1350.0,471.2916666666667,519.1749708550277,269542.65036231885,0,1,0,0,0,0,0,0,0.0,491.7826086956522,466.8333333333333,519.0,0,0,0,0,0,0,12,5602,11,5709,-1,32768,8,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-64584-13000-6,131.202.6.26,13000,131.202.240.87,64584,6,29/04/2015 12:25:36 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32768,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-64585-13000-6,131.202.240.87,64585,131.202.6.26,13000,6,29/04/2015 12:25:42 PM,48017,12,11,5632.0,5707.0,1350.0,0.0,469.3333333333333,514.1966962401085,1350.0,0.0,518.8181818181819,555.1766958693094,236145.53179082408,478.99702188808135,2182.590909090909,4207.663673177799,16367.0,6.0,47225.0,4293.181818181818,5575.7425840542855,17194.0,6.0,47810.0,4781.0,5941.52859119604,16728.0,231.0,0,0,0,0,240,244,249.9114896807381,229.08553220734325,0.0,1350.0,472.4583333333333,520.7673250925579,271198.606884058,0,1,0,0,0,0,0,0,0.0,493.0,469.3333333333333,518.8181818181819,0,0,0,0,0,0,12,5632,11,5707,-1,32768,8,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-64585-13000-6,131.202.6.26,13000,131.202.240.87,64585,6,29/04/2015 12:25:42 PM,72,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27777.777777777777,72.0,0.0,72.0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13888.888888888889,13888.888888888889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32768,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-64.12.104.73-42524-443-6,131.202.240.87,42524,64.12.104.73,443,6,29/04/2015 12:25:32 PM,29999409,1,2,74.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,37.0,52.32590180780452,4.933430521914615,0.10000197003880977,1.49997045E7,2.11352526911452E7,2.9944585E7,54824.0,0,0,0,0,0,54824.0,54824.0,0.0,54824.0,54824.0,0,1,0,0,20,40,0.03333399001293659,0.06666798002587318,0.0,74.0,55.5,37.0,1369.0,0,0,0,1,1,0,0,0,2.0,74.0,74.0,37.0,0,0,0,0,0,0,1,74,2,74,-1,16384,1,0,54824.0,0.0,54824.0,54824.0,2.9944585E7,0.0,2.9944585E7,2.9944585E7,No Label
131.202.240.87-64.12.27.65-64334-443-6,131.202.240.87,64334,64.12.27.65,443,6,29/04/2015 12:25:32 PM,29999577,1,2,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,3.0,4.242640687119285,0.40000564007952516,0.10000141001988129,1.49997885E7,2.1130804989491537E7,2.9941524E7,58053.0,0,0,0,0,0,58053.0,58053.0,0.0,58053.0,58053.0,0,1,0,0,20,40,0.03333380333996043,0.06666760667992086,0.0,6.0,4.5,3.0,9.0,0,0,0,1,1,0,0,0,2.0,6.0,6.0,3.0,0,0,0,0,0,0,1,6,2,6,-1,16384,1,0,58053.0,0.0,58053.0,58053.0,2.9941524E7,0.0,2.9941524E7,2.9941524E7,No Label
131.202.240.87-205.188.12.91-42522-443-6,131.202.240.87,42522,205.188.12.91,443,6,29/04/2015 12:25:32 PM,29999203,1,2,53.0,53.0,53.0,53.0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,3.5334272047160717,0.10000265673724731,1.49996015E7,2.1131683216113772E7,2.9941958E7,57245.0,0,0,0,0,0,57245.0,57245.0,0.0,57245.0,57245.0,0,1,0,0,20,40,0.033334218912415774,0.06666843782483155,0.0,53.0,39.75,26.5,702.25,0,0,0,1,1,0,0,0,2.0,53.0,53.0,26.5,0,0,0,0,0,0,1,53,2,53,-1,16384,1,0,57245.0,0.0,57245.0,57245.0,2.9941958E7,0.0,2.9941958E7,2.9941958E7,No Label
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,6,29/04/2015 12:25:38 PM,23816537,1,3,0.0,265.0,0.0,0.0,0.0,0.0,259.0,0.0,88.33333333333333,147.83211198292923,11.12672257935736,0.16795052949973374,7938845.666666666,1.349535681430044E7,2.3521535E7,50031.0,0,0,0,0,0,2.3766506E7,1.1883253E7,1.645901624712267E7,2.3521535E7,244971.0,0,1,0,0,20,60,0.041987632374933435,0.1259628971248003,0.0,259.0,54.2,114.52597958541983,13116.2,0,0,0,1,1,0,0,0,3.0,67.75,0.0,88.33333333333333,0,0,0,0,0,0,1,0,3,265,-1,16384,0,0,244971.0,0.0,244971.0,244971.0,2.3521535E7,0.0,2.3521535E7,2.3521535E7,No Label
131.202.240.87-178.237.17.103-42530-443-6,131.202.240.87,42530,178.237.17.103,443,6,29/04/2015 12:26:12 PM,20956683,3,5,181.0,329.0,143.0,0.0,60.33333333333333,74.06978691297373,209.0,0.0,65.8,86.89188684796757,24.335912319712044,0.38173980109352224,2993811.8571428573,7690862.591001273,2.0434391E7,79.0,264055.0,132027.5,59465.558977445085,174076.0,89979.0,2.0956683E7,5239170.75,1.0246290173673896E7,2.0608388E7,44534.0,0,1,0,0,60,100,0.14315242541007084,0.23858737568345142,0.0,209.0,60.888888888888886,72.30049177641263,5227.36111111111,0,0,0,1,1,0,0,0,1.0,68.5,60.333333333333336,65.8,0,0,0,0,0,0,3,181,5,329,-1,16384,2,0,176910.0,0.0,176910.0,176910.0,2.0434391E7,0.0,2.0434391E7,2.0434391E7,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,29/04/2015 12:25:55 PM,14766953,11,1,550.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,40.63126631472315,0.812625326294463,1342450.2727272725,1644603.9208422855,5802348.0,22307.0,1.4016994E7,1401699.4,1721145.29264074,5802348.0,22307.0,0,0,0,0,0,0,0,0,0,88,8,0.7449065491032577,0.06771877719120525,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,50.0,0,0,0,0,0,0,11,550,1,50,-1,-1,11,0,1503963.0,0.0,1503963.0,1503963.0,5802348.0,0.0,5802348.0,5802348.0,No Label
