Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.240.87-22-38033-6,131.202.240.87,38033,131.202.240.242,22,6,04/05/2015 02:14:23 PM,29985526,14806,1847,169092.0,227624.0,136.0,0.0,11.420505200594304,25.605771173061328,16388.0,0.0,123.2398484028155,405.94195846719373,13230.249821197067,555.3679465219319,1800.7161902474104,21426.16902909875,1586249.0,2.0,2.9984283E7,2025.2808510638251,22762.66791010193,1586249.0,2.0,2.9982055E7,16241.633261105071,66545.45330257232,1634312.0,4.0,0,1,0,0,296120,36940,493.77156165277876,61.596384869153205,0.0,16388.0,23.82610784195989,141.7147901650881,20083.081751534944,0,0,0,1,1,0,0,0,0.0,23.827538581636944,11.420505200594354,123.23984840281538,0,0,0,0,0,0,14806,169092,1847,227624,-1,252,2469,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-0-0-0,131.202.240.242,0,131.202.240.87,0,0,04/05/2015 02:14:23 PM,29980304,2083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.51230381119551,14392.848775804148,63866.97213920711,1639083.0,758.0,2.9958167E7,14389.129202689748,63882.089885946654,1639083.0,758.0,0,0,0,0,0,0,0,0,0,0,0,69.47894857904042,0.033355232155084215,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2083,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/05/2015 02:14:23 PM,21000265,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380922335980046,5250066.25,7544328.898018448,1.6000602E7,144.0,2.0999167E7,6999722.333333333,8185815.128778705,1.6000602E7,144.0,0,0,0,0,0,0,0,0,0,0,0,0.1904737868784037,0.04761844671960092,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,4999663.0,0.0,4999663.0,4999663.0,1.6000602E7,0.0,1.6000602E7,1.6000602E7,No Label
131.202.240.242-131.202.240.45-64918-161-17,131.202.240.242,64918,131.202.240.45,161,17,04/05/2015 02:14:39 PM,28313023,468,470,45178.0,55274.0,118.0,43.0,96.53418803418803,30.39245274958693,180.0,46.0,117.60425531914899,44.289231377037794,3547.9079715366315,33.12963084160953,30216.67342582711,506522.7675305413,1.52625E7,45.0,2.8306716E7,60613.95289079222,718093.2141068823,1.5292526E7,45.0,2.8313023E7,60368.91897654583,715577.0363334488,1.5265699E7,194.0,0,0,0,0,3744,3760,16.52949598493951,16.60013485667002,43.0,180.0,107.06176783812565,39.40147109948036,1552.4759248031862,0,0,0,0,0,0,0,0,1.0,107.17590618336887,96.53418803418803,117.60425531914893,0,0,0,0,0,0,468,45178,470,55274,-1,-1,468,0,30171.0,0.0,30171.0,30171.0,1.52625E7,0.0,1.52625E7,1.52625E7,No Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,04/05/2015 02:14:18 PM,9826747,3,1,150.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,20.35261516349205,0.407052303269841,3275582.333333333,4371870.92372297,8323784.0,750913.0,1502963.0,751481.5,803.9804102091045,752050.0,750913.0,0,0,0,0,0,0,0,0,0,24,8,0.30528922745238074,0.10176307581746025,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,62.5,50.0,50.0,0,0,0,0,0,0,3,150,1,50,-1,-1,3,0,0,0,0,0,8323784.0,0.0,8323784.0,8323784.0,No Label
131.202.240.242-131.202.240.87-22-38033-6,131.202.240.87,38033,131.202.240.242,22,6,04/05/2015 02:14:53 PM,29985892,19786,2235,195600.0,300416.0,136.0,0.0,9.885777822702906,24.230488981946564,16388.0,0.0,134.4143176733781,504.9132336099057,16541.64565122825,734.3786871506107,1361.7571298819219,4583.275924277556,58179.0,2.0,2.9984907E7,1515.5373768006168,5038.18879500751,58179.0,2.0,2.9982283E7,13420.896598030433,12392.10095570297,58215.0,19.0,0,1,0,0,395720,44700,659.8436358004624,74.53505135014827,0.0,16388.0,22.53037871219694,166.74957970611726,27805.42233216675,0,0,0,1,1,0,0,0,0.0,22.531401843694656,9.885777822702922,134.41431767337806,0,0,0,0,0,0,19786,195600,2235,300416,-1,252,2846,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-0-0-0,131.202.240.242,0,131.202.240.87,0,0,04/05/2015 02:14:53 PM,29983557,2857,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.3189109617648,10494.769688484404,10360.002255436657,66903.0,818.0,2.9982212E7,10497.973389355742,10360.4008920734,66903.0,818.0,0,0,0,0,0,0,0,0,0,0,0,95.28555934841219,0.0333516133526119,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2857,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-57601-5355-17,131.202.240.242,57601,224.0.0.252,5355,17,04/05/2015 02:14:26 PM,410223,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.25873488322205,4.875397040146457,410223.0,0.0,410223.0,410223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4376985200732286,2.4376985200732286,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-224.0.0.252-50540-5355-17,131.202.240.242,50540,224.0.0.252,5355,17,04/05/2015 02:15:45 PM,409676,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.40194690438298,4.881906677471954,409676.0,0.0,409676.0,409676.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.440953338735977,2.440953338735977,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.244.3-58925-53-17,131.202.240.242,58925,131.202.244.3,53,17,04/05/2015 02:14:23 PM,530,0,2,0.0,240.0,0,0,0,0,194.0,46.0,120.0,104.65180361560904,452830.1886792453,3773.5849056603774,530.0,0.0,530.0,530.0,0,0,0,0,0,530.0,530.0,0.0,530.0,530.0,0,0,0,0,0,16,0.0,3773.5849056603774,46.0,194.0,95.33333333333334,85.44783984006462,7301.333333333334,0,0,0,0,0,0,0,0,0.0,143.0,0.0,120.0,0,0,0,0,0,0,0,0,2,240,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
