Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.194.121.37-60351-443-6,173.194.121.37,443,131.202.240.150,60351,6,31/03/2015 01:18:03 PM,92,1,2,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,31.5,44.54772721475249,684782.6086956522,32608.695652173912,46.0,52.32590180780452,83.0,9.0,0,0,0,0,0,83.0,83.0,0.0,83.0,83.0,0,1,0,0,32,64,10869.565217391304,21739.130434782608,0.0,63.0,31.5,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,2.0,42.0,0.0,31.5,0,0,0,0,0,0,1,0,2,63,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.123.64-57604-443-6,173.194.123.64,443,131.202.240.150,57604,6,31/03/2015 01:18:03 PM,88,1,2,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,31.5,44.54772721475249,715909.0909090909,34090.90909090909,44.0,49.49747468305833,79.0,9.0,0,0,0,0,0,79.0,79.0,0.0,79.0,79.0,0,1,0,0,32,64,11363.636363636364,22727.272727272728,0.0,63.0,31.5,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,2.0,42.0,0.0,31.5,0,0,0,0,0,0,1,0,2,63,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 01:17:58 PM,29999127,2257,1968,1442563.0,936311.0,1348.0,3.0,639.1506424457234,566.409511209861,1378.0,3.0,475.7677845528465,473.1743955248909,79298.10757493043,140.83743170259586,7102.0660511363685,117218.46323447299,7568437.0,1.0,2.9188201E7,12938.032358156028,160873.27916503447,7633876.0,1.0,2.9999127E7,15251.208439247594,171656.83725099495,7568437.0,5.0,0,0,0,0,18056,15744,75.23552268704353,65.60190901555235,3.0,1378.0,562.9145764316136,531.2809092517879,282259.40453540644,0,0,0,0,0,0,0,0,0.0,563.0478106508875,639.1506424457244,475.7677845528455,0,0,0,0,0,0,2257,1442563,1968,936311,-1,-1,2257,0,1106341.0,0.0,1106341.0,1106341.0,7568437.0,0.0,7568437.0,7568437.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,31/03/2015 01:18:03 PM,23000047,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391268809146349,7666682.333333334,1.3279030499276003E7,2.2999986E7,24.0,2.300001E7,1.1500005E7,1.6263429097232908E7,2.2999986E7,24.0,0,0,0,0,0,0,0,0,0,0,0,0.1304345160685976,0.04347817202286587,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,37.0,0.0,37.0,37.0,2.2999986E7,0.0,2.2999986E7,2.2999986E7,No Label
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,6,31/03/2015 01:18:11 PM,38629,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,51.77457350695074,38629.0,0.0,38629.0,38629.0,0,0,0,0,0,38629.0,38629.0,0.0,38629.0,38629.0,0,0,0,0,0,64,0.0,51.77457350695074,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 01:18:28 PM,29995284,5069,3187,4233293.0,1309132.0,1344.0,3.0,835.1337541921474,515.5412584175521,1325.0,3.0,410.7725133354252,415.25778759040503,184776.54687316844,275.24326824176757,3633.589824348872,4668.746752949067,23093.0,1.0,2.9977393E7,5915.03413575377,8030.261610365185,33833.0,1.0,2.9995284E7,9414.715630885104,7374.540119942885,24040.0,17.0,0,0,0,0,40552,25496,168.99323240280037,106.25003583896721,3.0,1344.0,671.2509385975525,521.9372407594366,272418.48329157406,0,0,0,0,0,0,0,0,0.0,671.3322432170543,835.1337541921483,410.7725133354252,0,0,0,0,0,0,5069,4233293,3187,1309132,-1,-1,5069,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-157.55.56.157-48885-40008-6,131.202.240.150,48885,157.55.56.157,40008,6,31/03/2015 01:18:22 PM,86052,1,3,0.0,880.0,0.0,0.0,0.0,0.0,876.0,0.0,293.33333333333337,504.60809875915913,10226.374750151072,46.483521591595775,28684.0,24774.368367326744,45832.0,280.0,0,0,0,0,0,46112.0,23056.0,32210.128096609613,45832.0,280.0,0,1,0,0,32,96,11.620880397898944,34.86264119369683,0.0,876.0,351.2,479.0774467661779,229515.2,0,0,0,1,1,0,0,0,3.0,439.0,0.0,293.3333333333333,0,0,0,0,0,0,1,0,3,880,-1,83,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 01:18:58 PM,29999794,5028,3185,4186918.0,1296662.0,1342.0,3.0,832.7203659506775,504.273623714354,1321.0,3.0,407.1152276295128,418.7617592706726,182787.25513915194,273.7685465440196,3653.1653677545073,4661.525772116412,22513.0,1.0,2.9998368E7,5967.449373383716,7956.525273393976,32647.0,1.0,2.9999794E7,9422.045854271359,7365.264693465429,29614.0,16.0,0,0,0,0,40224,25480,167.6011508612359,106.16739568278368,3.0,1342.0,667.6005600194774,516.4062562153467,266675.4214583503,0,0,0,0,0,0,0,0,0.0,667.6818458541337,832.7203659506762,407.11522762951336,0,0,0,0,0,0,5028,4186918,3185,1296662,-1,-1,5028,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,31/03/2015 01:18:49 PM,23948920,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33404429093253474,3421274.2857142854,5829115.310958623,1.4694507E7,6.0,2.3948914E7,3991485.6666666665,6167910.327721591,1.4694507E7,10.0,0,0,0,0,0,0,0,0,0,0,0,0.29228875456596787,0.04175553636656684,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,125.0,168.2914139223983,244.0,6.0,1.14999205E7,4517827.554473997,1.4694507E7,8305334.0,No Label
131.202.240.150-64.233.171.188-39508-5228-6,131.202.240.150,39508,64.233.171.188,5228,6,31/03/2015 01:18:57 PM,38704,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,51.67424555601488,38704.0,0.0,38704.0,38704.0,0,0,0,0,0,38704.0,38704.0,0.0,38704.0,38704.0,0,0,0,0,0,64,0.0,51.67424555601488,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-40273-49624-17,131.202.240.86,49624,131.202.240.150,40273,17,31/03/2015 01:19:28 PM,29987709,5059,3176,4171962.0,1291951.0,1342.0,3.0,824.6613955327116,499.9167714380808,1318.0,3.0,406.7855793450884,421.30175729780143,182205.08275573837,274.6125087448328,3641.9369686665013,4666.915706478889,23700.0,0.0,2.9983814E7,5927.998022933979,7998.342561299687,32184.0,1.0,2.9982043E7,9443.163149606302,7367.804283982636,23983.0,11.0,0,0,0,0,40472,25408,168.70245072739635,105.91005801743641,3.0,1342.0,663.4281204468185,513.1741721472275,263347.73095899227,0,0,0,0,0,0,0,0,0.0,663.5086824529448,824.661395532714,406.78557934508814,0,0,0,0,0,0,5059,4171962,3176,1291951,-1,-1,5059,0,0,0,0,0,0,0,0,0,No Label
