Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:12:51 PM,29979082,939,1372,255387.0,2029908.0,2676.0,0.0,271.9776357827485,527.1336827996788,10704.0,0.0,1479.5247813411092,956.750097190324,76229.65239562707,77.08708358714921,12977.957575757542,143452.58761903728,6603093.0,0.0,2.9804534E7,31774.556503198288,229964.58458230147,6735172.0,5.0,2.9979082E7,21866.5805981036,190838.6495672751,6734903.0,4.0,0,1,0,0,30108,43904,31.321839674743877,45.765243912405325,0.0,10704.0,988.6842560553645,1003.8215230579804,1007657.6501544433,0,0,0,1,1,0,0,0,1.0,989.1120726958027,271.9776357827476,1479.5247813411079,0,0,0,0,0,0,939,255387,1372,2029908,-1,3177,250,0,1.7381107E7,0.0,1.7381107E7,1.7381107E7,6603093.0,0.0,6603093.0,6603093.0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:13:21 PM,29280071,1281,1854,453641.0,2563576.0,2676.0,0.0,354.13036690085875,629.5107185028252,13380.0,0.0,1382.7270765911537,940.1333119866246,103046.7788141634,107.0694125024492,9342.715698787499,50889.63993334697,1890953.0,1.0,2.9279623E7,22874.705468749995,82922.66985939264,1890953.0,2.0,2.9240773E7,15780.23367512143,71935.77663483683,2081469.0,3.0,0,0,0,0,41328,59328,43.749893912484026,63.31951858996517,0.0,13380.0,962.122767857142,969.6279672181494,940178.3948116004,0,0,0,0,1,0,0,0,1.0,962.4296650717704,354.1303669008587,1382.7270765911542,0,0,0,0,0,0,1281,453641,1854,2563576,-1,3177,383,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,173.194.204.188,5228,131.202.240.150,34418,6,02/04/2015 12:13:23 PM,159,2,4,387.0,95.0,228.0,159.0,193.5,48.79036790187178,95.0,0.0,23.75,47.5,3031446.540880503,37735.84905660377,31.8,30.63005060394122,82.0,8.0,28.0,28.0,0.0,28.0,28.0,159.0,53.0,26.514147167125703,82.0,30.0,0,1,0,0,64,128,12578.61635220126,25157.23270440252,0.0,228.0,82.42857142857142,89.2129608350288,7958.952380952381,0,0,0,1,1,0,0,0,2.0,96.16666666666667,193.5,23.75,0,0,0,0,0,0,2,387,4,95,-1,526,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:13:51 PM,5825031,129,184,40153.0,238534.0,2676.0,0.0,311.2635658914729,578.2044204823328,3143.0,0.0,1296.380434782609,704.1206482310995,47843.00718742956,53.733619615071575,18669.971153846178,167782.21393564652,2933305.0,2.0,5783001.0,45179.695312499985,261941.50928441598,2933305.0,6.0,5825031.0,31830.77049180328,228721.29329385344,3066734.0,3.0,0,1,0,0,4128,5888,22.1458048892787,31.587814725792875,0.0,3143.0,889.2675159235662,813.6917007058901,662094.1837976438,0,0,0,1,1,0,0,0,1.0,892.108626198083,311.26356589147287,1296.3804347826087,0,0,0,0,0,0,129,40153,184,238534,-1,3177,36,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,173.194.204.188,5228,131.202.240.150,34418,6,02/04/2015 12:14:08 PM,38240,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.30125523012552,38240.0,0.0,38240.0,38240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.15062761506276,26.15062761506276,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,526,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:14:23 PM,27186430,3634,5857,398554.0,9389812.0,2676.0,0.0,109.67363786461196,354.5541812958962,12042.0,0.0,1603.1777360423443,777.2542020470902,360046.0229607197,349.10799248007186,2864.744994731291,33829.67865140267,2369451.0,0.0,2.7014663E7,7435.910542251588,55843.29764333629,2369451.0,4.0,2.715032E7,4636.325136612018,45002.46860617986,2542432.0,4.0,0,1,0,0,121608,187424,133.6696285610137,215.43836391905813,0.0,12042.0,1031.2799199325705,973.6215468954827,947938.9165791526,0,0,0,1,1,0,0,0,1.0,1031.388578653461,109.673637864612,1603.1777360423425,0,0,0,0,0,0,3634,398554,5857,9389812,-1,3177,375,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 12:14:21 PM,2063578,1,1,191.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,185.1153675799994,0.9691904061780072,2063578.0,0.0,2063578.0,2063578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.4845952030890036,0.4845952030890036,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,286.5,191.0,191.0,0,0,0,0,0,0,1,191,1,191,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:17:32 PM,21244702,465,587,223349.0,682722.0,2676.0,0.0,480.32043010752665,740.4655240873028,8028.0,0.0,1163.0698466780232,947.3057106592288,42649.268509391186,49.51822812106284,20213.7982873454,76060.53948380124,1467754.0,2.0,2.1115695E7,45507.96336206899,116959.5840926795,1467823.0,3.0,2.1244702E7,36253.75767918085,109104.7507549126,1467804.0,5.0,0,1,0,0,14904,18784,21.887809958454582,27.630418162608258,0.0,8028.0,860.9819563152895,925.6200422429677,856772.4626018732,0,0,0,1,1,0,0,0,1.0,861.8003802281369,480.3204301075269,1163.0698466780239,0,0,0,0,0,0,465,223349,587,682722,-1,5445,189,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,173.194.204.188,5228,131.202.240.150,34418,6,02/04/2015 12:17:53 PM,37833,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.86390188459811,37833.0,0.0,37833.0,37833.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.431950942299054,26.431950942299054,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,526,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 12:15:59 PM,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90909.09090909091,90909.09090909091,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
