Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:28:02 PM,29993791,821,1165,233572.0,1675807.0,2676.0,0.0,284.49695493300874,527.5631244653043,8028.0,0.0,1438.4609442060075,842.0535932128969,63659.141987086594,66.21370402961065,15110.222166246853,93271.08947006549,2642694.0,2.0,2.9993218E7,36577.09512195125,154196.78334921954,2779700.0,7.0,2.9986278E7,25761.407216494856,128363.28799402554,2772191.0,5.0,0,1,0,0,26848,37280,27.372331826943782,38.841372202666875,0.0,8028.0,961.2088575742325,923.8526092768951,853503.6436677275,0,0,0,1,1,0,0,0,1.0,961.6928499496476,284.4969549330085,1438.4609442060087,0,0,0,0,0,0,821,233572,1165,1675807,-1,5445,234,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:28:32 PM,28230685,1078,1501,332866.0,2275349.0,2676.0,0.0,308.7810760667903,561.2398020852665,10704.0,0.0,1515.8887408394419,982.2909271764382,92389.36285109624,91.35449600319652,10950.614817688134,74228.59530769078,3198770.0,2.0,2.8102389E7,26093.21169916438,121571.740714994,3328476.0,9.0,2.8230685E7,18820.456666666654,101953.68988997037,3328026.0,5.0,0,0,0,0,35324,48032,38.18540003545787,53.16909596773865,0.0,10704.0,1010.9360465116274,1023.5322754567985,1047618.3189017717,0,0,0,0,1,0,0,0,1.0,1011.3280341217526,308.7810760667904,1515.8887408394403,0,0,0,0,0,0,1078,332866,1501,2275349,-1,5412,313,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 12:28:24 PM,45948,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,43.52746583093932,45948.0,0.0,45948.0,45948.0,0,0,0,0,0,45948.0,45948.0,0.0,45948.0,45948.0,0,0,0,0,0,64,0.0,43.52746583093932,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:29:02 PM,26538052,376,542,70271.0,784868.0,2676.0,0.0,186.89095744680847,395.00861266308385,6690.0,0.0,1448.0959409594104,876.9027971971051,32223.126249055505,34.591838165062,28940.078516902922,256362.2992062798,6950802.0,2.0,2.6409898E7,70426.39466666669,411644.68083300407,7118693.0,6.0,2.6538052E7,49053.700554528674,336571.82954052254,6950802.0,3.0,0,1,0,0,12236,17344,14.168334586125614,20.42350357893639,0.0,6690.0,931.1011969532108,949.5922629122877,901725.4657828793,0,0,0,1,1,0,0,0,1.0,932.115468409586,186.8909574468085,1448.0959409594095,0,0,0,0,0,0,376,70271,542,784868,-1,5402,87,0,1.4606143E7,0.0,1.4606143E7,1.4606143E7,6950802.0,0.0,6950802.0,6950802.0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 12:29:09 PM,45985,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,43.49244318799609,45985.0,0.0,45985.0,45985.0,0,0,0,0,0,45985.0,45985.0,0.0,45985.0,45985.0,0,0,0,0,0,64,0.0,43.49244318799609,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-213.194.122.196-0-0-0,213.194.122.196,0,131.202.240.150,0,0,02/04/2015 12:30:55 PM,4533324,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823547577892071,1511108.0,2617250.0137932943,4533248.0,37.0,0,0,0,0,0,4533324.0,2266662.0,3205488.987386792,4533285.0,39.0,0,0,0,0,0,0,0.22058868944730178,0.6617660683419053,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:31:15 PM,9319813,54,57,28334.0,26201.0,2676.0,0.0,524.7037037037036,656.7271519143209,2676.0,0.0,459.6666666666667,583.4121715432082,5851.51225673734,11.910110213584758,84725.57272727274,231751.59884279527,1366241.0,2.0,9319443.0,175838.54716981127,351728.52618054335,1495867.0,20.0,9316422.0,166364.67857142855,333225.2408559334,1438558.0,8.0,0,1,0,0,1728,1824,5.7941076714736655,6.116002542111092,0.0,2676.0,491.76785714285717,615.4105490015539,378730.143822394,0,0,0,1,1,0,0,0,1.0,496.1981981981982,524.7037037037037,459.6666666666667,0,0,0,0,0,0,54,28334,57,26201,-1,5445,30,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 12:29:59 PM,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405405405,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27027.027027027027,27027.027027027027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 12:30:27 PM,11948399,3,1,573.0,232.0,191.0,191.0,191.0,0.0,232.0,232.0,232.0,0.0,67.3730430327946,0.3347728846350042,3982799.6666666665,3660658.013573562,8209690.0,1847775.0,3738709.0,1869354.5,30518.021569230204,1890934.0,1847775.0,0,0,0,0,0,0,0,0,0,24,8,0.25107966347625316,0.08369322115875105,191.0,232.0,207.4,22.456624857711812,504.30000000000007,0,0,0,0,0,0,0,0,0.0,259.25,191.0,232.0,0,0,0,0,0,0,3,573,1,232,-1,-1,3,0,0,0,0,0,8209690.0,0.0,8209690.0,8209690.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 12:28:33 PM,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57142.857142857145,35.0,0.0,35.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28571.428571428572,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
