Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:18:36 PM,29998620,1074,1553,258291.0,2210039.0,2676.0,0.0,240.49441340782175,496.17892639227216,10704.0,0.0,1423.0772698003873,862.3041204165659,82281.45161344089,87.57069491863292,11423.69383092156,92550.76900424379,4460735.0,0.0,2.9717473E7,27695.68779123948,146105.45168305567,4460782.0,2.0,2.999862E7,19329.007731958787,121628.00411224163,4460813.0,2.0,0,1,0,0,35472,49696,35.80164687575628,51.76904804287664,0.0,10704.0,939.4493911719946,936.9688524594951,877910.6304792631,0,0,0,1,1,0,0,0,1.0,939.8070041872859,240.49441340782124,1423.0772698003864,0,0,0,0,0,0,1074,258291,1553,2210039,-1,5388,263,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 12:18:33 PM,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405405405,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27027.027027027027,27027.027027027027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 12:18:38 PM,38218,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.33136218535768,38218.0,0.0,38218.0,38218.0,0,0,0,0,0,38218.0,38218.0,0.0,38218.0,38218.0,0,0,0,0,0,64,0.0,52.33136218535768,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:19:06 PM,26085804,460,641,139200.0,900890.0,2676.0,0.0,302.60869565217365,606.6126736822544,6690.0,0.0,1405.4446177847112,973.0145732817385,39871.87820624582,42.20686469928241,23714.367272727253,247639.00768015382,7858907.0,3.0,2.6085757E7,56831.71459694991,389195.3169568223,7989568.0,4.0,2.6085733E7,40758.95781249998,330538.8613393652,7996126.0,3.0,0,1,0,0,15116,20512,17.634112408419536,24.572752290862876,0.0,6690.0,944.3130671506351,999.8695114644972,999739.0399562524,0,0,0,1,1,0,0,0,1.0,945.1707538601272,302.60869565217394,1405.4446177847115,0,0,0,0,0,0,460,139200,641,900890,-1,5445,126,0,3310786.0,0.0,3310786.0,3310786.0,7858907.0,0.0,7858907.0,7858907.0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 12:19:31 PM,1905320,1,1,191.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,200.49125606197384,1.0496924401150463,1905320.0,0.0,1905320.0,1905320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.5248462200575231,0.5248462200575231,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,286.5,191.0,191.0,0,0,0,0,0,0,1,191,1,191,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 12:19:23 PM,37957,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.69120320362516,37957.0,0.0,37957.0,37957.0,0,0,0,0,0,37957.0,37957.0,0.0,37957.0,37957.0,0,0,0,0,0,64,0.0,52.69120320362516,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:19:44 PM,27869842,1753,2723,340708.0,4217870.0,2676.0,0.0,194.35710211066709,513.0846128017098,10704.0,0.0,1548.9790672052914,908.5843228016929,163566.69693355277,160.60370919935608,6227.897653631291,79403.80057445401,4836057.0,0.0,2.7869433E7,15907.210616438344,131641.79158790573,4969835.0,4.0,2.7831942E7,10224.813372520191,105638.04355764517,4965514.0,2.0,0,1,0,0,58160,87148,62.8995313285235,97.70417787083257,0.0,10704.0,1018.3428635246808,1020.9449094835073,1042328.5082002869,0,0,0,1,1,0,0,0,1.0,1018.5703753351206,194.35710211066743,1548.9790672052882,0,0,0,0,0,0,1753,340708,2723,4217870,-1,5445,286,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 12:20:14 PM,18915665,18,19,6885.0,7059.0,2676.0,0.0,382.5,676.9593132269515,1338.0,0.0,371.52631578947376,393.7362863108945,737.1667874219595,1.9560507124650388,525435.1388888888,1835980.2950805507,8188712.0,8.0,1.8915585E7,1112681.4705882352,2650722.5711653163,8358578.0,52.0,1.8915594E7,1050866.3333333333,2572247.0679794853,8318104.0,8.0,0,1,0,0,576,608,0.9515922384965054,1.0044584739685334,0.0,2676.0,381.23684210526324,535.4753601321698,286733.861308677,0,0,0,1,1,0,0,0,1.0,391.5405405405405,382.5,371.5263157894737,0,0,0,0,0,0,18,6885,19,7059,-1,5445,7,0,1138250.5,774681.44073064,1686033.0,590468.0,7965690.5,315400.03000079124,8188712.0,7742669.0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 12:20:09 PM,38408,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.07248489897938,38408.0,0.0,38408.0,38408.0,0,0,0,0,0,38408.0,38408.0,0.0,38408.0,38408.0,0,0,0,0,0,64,0.0,52.07248489897938,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 12:20:01 PM,16099036,3,1,573.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,47.45625762933879,0.24846208182899893,5366345.333333334,5750972.439452769,1.2000858E7,1801874.0,1.4297162E7,7148581.0,6862155.941791034,1.2000858E7,2296304.0,0,0,0,0,0,0,0,0,0,24,8,0.1863465613717492,0.06211552045724973,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,238.75,191.0,191.0,0,0,0,0,0,0,3,573,1,191,-1,-1,3,0,4098178.0,0.0,4098178.0,4098178.0,1.2000858E7,0.0,1.2000858E7,1.2000858E7,No Label
