Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
178.237.19.227-10.8.8.130-443-48410-6,10.8.8.130,48410,178.237.19.227,443,6,03/06/2015 02:40:31 PM,178627,0,2,0.0,6.0,0,0,0,0,6.0,0.0,3.0,4.242640687119285,33.58954693299445,11.196515644331484,178627.0,0.0,178627.0,178627.0,0,0,0,0,0,178627.0,178627.0,0.0,178627.0,178627.0,0,1,0,0,0,40,0.0,11.196515644331484,0.0,6.0,4.0,3.4641016151377544,12.0,0,0,0,1,1,0,0,0,0.0,6.0,0.0,3.0,0,0,0,0,0,0,0,0,2,6,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 02:40:31 PM,184066,0,2,0.0,6.0,0,0,0,0,6.0,0.0,3.0,4.242640687119285,32.59700324883465,10.865667749611552,184066.0,0.0,184066.0,184066.0,0,0,0,0,0,184066.0,184066.0,0.0,184066.0,184066.0,0,1,0,0,0,40,0.0,10.865667749611552,0.0,6.0,4.0,3.4641016151377544,12.0,0,0,0,1,1,0,0,0,0.0,6.0,0.0,3.0,0,0,0,0,0,0,0,0,2,6,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
205.188.12.43-10.8.8.130-443-44917-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 02:40:21 PM,26354283,12,13,844.0,1504.0,170.0,0.0,70.33333333333333,74.84691447254593,330.0,0.0,115.6923076923077,118.45068215322402,89.09367786632632,0.9486124133978526,1098095.125,2270321.007114217,8314283.0,15.0,2.5715615E7,2337783.1818181816,3047601.4089848697,8314283.0,3658.0,2.6354242E7,2196186.833333333,2972889.803339408,8515802.0,114.0,0,1,0,0,240,260,0.4553339584309693,0.4932784549668834,0.0,330.0,95.00000000000001,98.70886485012376,9743.439999999997,0,0,0,1,1,0,0,0,1.0,98.8,70.33333333333333,115.6923076923077,0,0,0,0,0,0,12,844,13,1504,-1,16384,6,0,2177374.3333333335,3241380.4750702027,5918217.0,201504.0,6277156.0,1771970.210291076,8314283.0,5092871.0,No Label
178.237.19.227-10.8.8.130-443-48410-6,10.8.8.130,48410,178.237.19.227,443,6,03/06/2015 02:41:01 PM,29997310,1,2,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,3.0,4.242640687119285,0.40003586988299955,0.10000896747074989,1.4998655E7,2.096747110121204E7,2.9824896E7,172414.0,0,0,0,0,0,172414.0,172414.0,0.0,172414.0,172414.0,0,1,0,0,20,40,0.03333632249024996,0.06667264498049992,0.0,6.0,4.5,3.0,9.0,0,0,0,1,1,0,0,0,2.0,6.0,6.0,3.0,0,0,0,0,0,0,1,6,2,6,-1,16384,1,0,172414.0,0.0,172414.0,172414.0,2.9824896E7,0.0,2.9824896E7,2.9824896E7,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 02:41:01 PM,29997332,1,2,6.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,3.0,4.242640687119285,0.40003557649726984,0.10000889412431746,1.4998666E7,2.096249024104536E7,2.9821385E7,175947.0,0,0,0,0,0,175947.0,175947.0,0.0,175947.0,175947.0,0,1,0,0,20,40,0.03333629804143915,0.0666725960828783,0.0,6.0,4.5,3.0,9.0,0,0,0,1,1,0,0,0,2.0,6.0,6.0,3.0,0,0,0,0,0,0,1,6,2,6,-1,16384,1,0,175947.0,0.0,175947.0,175947.0,2.9821385E7,0.0,2.9821385E7,2.9821385E7,No Label
205.188.12.43-10.8.8.130-443-44917-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 02:41:01 PM,29605751,15,17,1178.0,2142.0,202.0,0.0,78.53333333333333,80.19072503071898,346.0,0.0,125.99999999999999,118.64442675490491,112.14037434821363,1.080871078055071,955024.2258064515,1956279.4885725933,7548154.0,42.0,2.9405103E7,2100364.5,2579534.551964895,7548154.0,40224.0,2.9605707E7,1850356.6875,2505864.949608464,7748895.0,527.0,0,1,0,0,300,340,0.5066583178383146,0.5742127602167565,0.0,346.0,107.21212121212122,103.96266083784529,10808.23484848485,0,0,0,1,1,0,0,0,1.0,110.5625,78.53333333333333,126.0,0,0,0,0,0,0,15,1178,17,2142,-1,16384,8,0,3373006.6666666665,3622274.1675505918,7322031.0,204855.0,6495562.333333333,927597.3228499171,7548154.0,5797584.0,No Label
178.237.19.227-10.8.8.130-443-48410-6,10.8.8.130,48410,178.237.19.227,443,6,03/06/2015 02:41:31 PM,29829891,1,1,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.20114052713099087,0.06704684237699696,2.9829891E7,0.0,2.9829891E7,2.9829891E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.03352342118849848,0.03352342118849848,0.0,6.0,2.0,3.4641016151377544,12.0,0,0,0,0,1,0,0,0,1.0,3.0,6.0,0.0,0,0,0,0,0,0,1,6,1,0,-1,16384,1,0,0,0,0,0,2.9829891E7,0.0,2.9829891E7,2.9829891E7,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,03/06/2015 02:41:31 PM,29826918,1,1,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.20116057582617153,0.0670535252753905,2.9826918E7,0.0,2.9826918E7,2.9826918E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.03352676263769525,0.03352676263769525,0.0,6.0,2.0,3.4641016151377544,12.0,0,0,0,0,1,0,0,0,1.0,3.0,6.0,0.0,0,0,0,0,0,0,1,6,1,0,-1,16384,1,0,0,0,0,0,2.9826918E7,0.0,2.9826918E7,2.9826918E7,No Label
205.188.12.43-10.8.8.130-443-44917-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 02:41:35 PM,18097143,7,9,244.0,1334.0,122.0,0.0,34.85714285714286,59.52990444986052,468.0,0.0,148.22222222222223,167.22572901454024,87.19608393435362,0.8841174543407211,1206476.2,1863012.48894097,5638035.0,34.0,1.70713E7,2845216.6666666665,2202135.293222346,5638207.0,200110.0,1.8097071E7,2262133.875,2124255.8815305815,5638069.0,199562.0,0,1,0,0,140,180,0.38680138627406546,0.4973160680666556,0.0,468.0,100.0,136.0367597379473,18506.0,0,0,0,1,1,0,0,0,1.0,106.25,34.857142857142854,148.22222222222223,0,0,0,0,0,0,7,244,9,1334,-1,16384,2,0,9762445.0,0.0,9762445.0,9762445.0,5638035.0,0.0,5638035.0,5638035.0,No Label
205.188.12.43-10.8.8.130-443-44917-6,10.8.8.130,44917,205.188.12.43,443,6,03/06/2015 02:42:05 PM,20492100,12,11,494.0,2068.0,234.0,0.0,41.16666666666667,78.82527667204373,452.0,0.0,188.0,152.33646969783698,125.02378965552579,1.1223837478833305,931459.0909090908,1818314.355946395,5852650.0,9.0,2.049204E7,1862912.727272727,2244123.19562225,5852730.0,1646.0,2.0492079E7,2049207.9000000001,2361481.933624517,5852659.0,1664.0,0,1,0,0,240,220,0.5855915206347811,0.5367922272485495,0.0,452.0,122.5,146.2971960265042,21402.869565217396,0,0,0,1,1,0,0,0,0.0,127.82608695652173,41.166666666666664,188.0,0,0,0,0,0,0,12,494,11,2068,-1,16384,3,0,5506293.0,0.0,5506293.0,5506293.0,5852650.0,0.0,5852650.0,5852650.0,No Label
