Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
173.194.67.16-10.8.8.234-465-37815-6,10.8.8.234,37815,173.194.67.16,465,6,08/06/2015 10:25:06 AM,3742926,19,22,1511.0,4493.0,840.0,0.0,79.52631578947368,190.84297455152105,1308.0,0.0,204.22727272727272,405.0206263787165,1604.092626998236,10.953996953185822,93573.15000000002,166125.20184202588,859293.0,9.0,3455848.0,191991.55555555553,283266.33124618465,1001923.0,30.0,3742926.0,178234.57142857145,214685.56839680014,859293.0,31.0,0,0,0,0,608,720,5.076242490500747,5.8777544626850755,0.0,1308.0,142.95238095238093,323.0919941773703,104388.43670150985,0,1,0,0,0,0,0,0,1.0,146.4390243902439,79.52631578947368,204.22727272727272,0,0,0,0,0,0,19,1511,22,4493,-1,354,10,0,0,0,0,0,0,0,0,0,No Label
173.194.67.16-10.8.8.234-465-37815-6,10.8.8.234,37815,173.194.67.16,465,6,08/06/2015 10:25:10 AM,21,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1476190.4761904762,95238.09523809524,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,47619.04761904762,47619.04761904762,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,335,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.234-74.125.133.16-51055-993-6,74.125.133.16,993,10.8.8.234,51055,6,08/06/2015 10:24:57 AM,29989864,397,305,277350.0,2711.0,1308.0,0.0,698.6146095717887,563.9470926615146,47.0,0.0,8.888524590163927,17.455414051918105,9338.521841912987,23.40790875210371,42781.54636233955,84689.88648980926,680525.0,8.0,2.9756855E7,75143.57323232318,126133.31502996254,825075.0,18.0,2.9989864E7,98650.86842105263,153307.56662557757,680525.0,26.0,0,0,0,0,12704,9760,13.237805946702526,10.170102805401184,0.0,1308.0,398.3798008534848,544.6570624345097,296651.31565978937,0,0,0,0,1,0,0,0,0.0,398.9472934472935,698.6146095717884,8.888524590163934,0,0,0,0,0,0,397,277350,305,2711,-1,2127,335,0,0,0,0,0,0,0,0,0,No Label
216.58.210.14-10.8.8.234-80-34095-6,10.8.8.234,34095,216.58.210.14,80,6,08/06/2015 10:25:07 AM,20641240,5,6,435.0,779.0,435.0,0.0,87.0,194.5379140424817,779.0,0.0,129.83333333333334,318.0254182713493,58.814296040354165,0.5329137202997495,2064123.9999999998,4189319.374470644,1.001978E7,29.0,2.0369477E7,5092369.25,5759845.212233594,1.0156008E7,599.0,2.064124E7,4128248.0,5494284.886426849,1.0153258E7,9145.0,0,0,0,0,160,208,0.24223350922715883,0.2906802110725906,0.0,779.0,101.16666666666666,247.39546307787288,61204.51515151516,0,1,0,0,0,0,0,0,1.0,110.36363636363636,87.0,129.83333333333334,0,0,0,0,0,0,5,435,6,779,-1,341,1,0,242292.0,149997.14727953996,348356.0,136228.0,1.0011589E7,11583.823289398022,1.001978E7,1.0003398E7,No Label
173.194.67.16-10.8.8.234-465-37817-6,10.8.8.234,37817,173.194.67.16,465,6,08/06/2015 10:25:36 AM,3208105,13,18,1742.0,881.0,843.0,0.0,134.0,252.85536049950244,236.0,0.0,48.94444444444444,63.75732688896347,817.6166303783697,9.663025368558698,106936.83333333333,161614.9196501455,776195.0,16.0,3066690.0,255557.5,285811.74519300763,956716.0,509.0,3208105.0,188712.05882352943,185629.02048961475,776195.0,50.0,0,0,0,0,416,592,4.052236444879454,5.610788923679244,0.0,843.0,81.96875,170.1876543748485,28963.837701612894,0,1,0,0,0,0,0,0,1.0,84.61290322580645,134.0,48.94444444444444,0,0,0,0,0,0,13,1742,18,881,-1,354,9,0,0,0,0,0,0,0,0,0,No Label
173.194.67.16-10.8.8.234-465-37817-6,10.8.8.234,37817,173.194.67.16,465,6,08/06/2015 10:25:39 AM,15,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,2066666.6666666665,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,66666.66666666667,66666.66666666667,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.234-74.125.133.16-51039-993-6,10.8.8.234,51039,74.125.133.16,993,6,08/06/2015 10:25:10 AM,29996453,24,32,1278.0,1063.0,539.0,0.0,53.24999999999999,110.48204654465654,159.0,0.0,33.218750000000014,39.95298396139336,78.04256056541085,1.866887394986334,545390.0545454543,2660267.624131719,1.9066453E7,18.0,2.9648857E7,1289080.7391304348,4051097.8316436117,1.9066453E7,477.0,2.9973927E7,966900.870967742,3545768.8527563834,1.9207068E7,18.0,0,1,0,0,768,1024,0.800094597851286,1.066792797135048,0.0,539.0,41.71929824561404,77.43124931787759,5995.598370927318,0,0,0,1,1,0,0,0,1.0,42.464285714285715,53.25,33.21875,0,0,0,0,0,0,24,1278,32,1063,-1,358,15,0,2189227.5,70130.1434513006,2238817.0,2139638.0,1.24463755E7,9362203.384460973,1.9066453E7,5826298.0,No Label
10.8.8.234-63.245.216.134-38620-443-6,10.8.8.234,38620,63.245.216.134,443,6,08/06/2015 10:25:53 AM,1154790,10,10,1186.0,3324.0,597.0,0.0,118.6,203.6223083172481,1212.0,0.0,332.4000000000001,488.2743309065328,3905.4719905783736,17.31916625533647,60778.42105263157,115964.30400118622,281041.0,13.0,874087.0,97120.77777777778,144232.76220208933,295792.0,15.0,1154618.0,128290.88888888889,147842.1079119921,295668.0,36.0,0,0,0,0,200,232,8.659583127668235,8.659583127668235,0.0,1212.0,214.76190476190476,373.88807212345046,139792.2904761905,0,1,0,0,0,0,0,0,1.0,225.5,118.6,332.4,0,0,0,0,0,0,10,1186,10,3324,-1,4235,4,0,0,0,0,0,0,0,0,0,No Label
10.8.8.234-63.245.216.134-38620-443-6,63.245.216.134,443,10.8.8.234,38620,6,08/06/2015 10:25:54 AM,33,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60606.0606060606,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,30303.0303030303,30303.0303030303,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2556,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.234-74.125.133.16-51055-993-6,74.125.133.16,993,10.8.8.234,51055,6,08/06/2015 10:25:27 AM,29929310,445,340,332585.0,2773.0,1308.0,0.0,747.3820224719104,550.317302117073,45.0,0.0,8.155882352941171,16.80503666557295,11205.002721412555,26.22846968406555,38175.14030612249,73024.23954200294,407102.0,8.0,2.9697208E7,66885.60360360358,108203.08481783382,504394.0,18.0,2.992931E7,88287.05014749269,139166.5961288455,549769.0,27.0,0,0,0,0,14240,10880,14.868368164852447,11.360101519213105,0.0,1308.0,426.66412213740483,553.0070562296665,305816.8042398016,0,0,0,0,1,0,0,0,0.0,427.20764331210194,747.3820224719101,8.155882352941177,0,0,0,0,0,0,445,332585,340,2773,-1,2127,380,0,0,0,0,0,0,0,0,0,No Label
