Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
173.252.110.27-10.8.0.10-443-35769-6,10.8.0.10,35769,173.252.110.27,443,6,14/04/2015 03:03:04 PM,302022,9,6,480.0,3570.0,208.0,0.0,53.333333333333336,79.18175294851711,1338.0,0.0,595.0,671.6508021286061,13409.619166815663,49.66525617339134,21573.0,49532.686870544225,138211.0,31.0,163802.0,20475.249999999996,48231.20565641532,139345.0,91.0,280176.0,56035.2,76068.6066731868,140561.0,186.0,0,0,0,0,288,208,29.799153704034804,19.866102469356537,0.0,1338.0,253.125,478.2137423091617,228688.38333333333,0,1,0,0,0,0,0,0,0.0,270.0,53.333333333333336,595.0,0,0,0,0,0,0,9,480,6,3570,-1,59,4,0,0,0,0,0,0,0,0,0,No Label
173.252.110.27-10.8.0.10-443-35769-6,173.252.110.27,443,10.8.0.10,35769,6,14/04/2015 03:03:05 PM,2200,7,7,391.0,0.0,258.0,0.0,55.85714285714286,92.15824899130222,0.0,0.0,0.0,0.0,177727.2727272727,6363.636363636363,169.23076923076925,351.3815954785134,1225.0,24.0,1619.0,269.83333333333337,487.44206493353306,1264.0,53.0,2153.0,358.83333333333337,498.64192229160466,1257.0,53.0,0,0,0,0,224,152,3181.8181818181815,3181.8181818181815,0.0,258.0,26.066666666666666,66.87244432143788,4471.92380952381,0,0,0,0,1,0,0,0,1.0,27.928571428571427,55.857142857142854,0.0,0,0,0,0,0,0,7,391,7,0,-1,0,4,0,0,0,0,0,0,0,0,0,No Label
173.252.110.27-10.8.0.10-443-35745-6,10.8.0.10,35745,173.252.110.27,443,6,14/04/2015 03:03:03 PM,20026824,510,499,316272.0,231421.0,1338.0,0.0,620.1411764705886,642.377206256928,1338.0,0.0,463.7695390781562,582.5831489976102,27347.970901427005,50.38242708878851,19867.880952380958,195751.78665377924,4854084.0,2.0,2.002677E7,39345.3241650295,274443.7927287724,4854132.0,2.0,1.9989674E7,40139.9076305221,286768.9008776561,4854110.0,14.0,0,1,0,0,16320,15968,25.465845208406485,24.91658188038203,0.0,1338.0,543.3891089108918,618.1693858272437,382133.3895740317,0,0,0,1,1,0,0,0,0.0,543.9276511397424,620.1411764705882,463.7695390781563,0,0,0,0,0,0,510,316272,499,231421,-1,2043,293,0,0,0,0,0,0,0,0,0,No Label
173.194.123.78-10.8.0.10-443-48811-6,10.8.0.10,48811,173.194.123.78,443,6,14/04/2015 03:03:47 PM,25825,2,4,0.0,151.0,0.0,0.0,0.0,0.0,65.0,0.0,37.75,27.268724453727817,5847.047434656341,232.33301064859631,5164.999999999999,11470.471764491642,25684.0,27.0,62.0,62.0,0.0,62.0,62.0,25825.0,8608.333333333332,14787.96484758242,25684.0,60.0,0,1,0,0,64,128,77.44433688286544,154.88867376573089,0.0,65.0,27.42857142857143,26.912556814351813,724.2857142857142,0,0,0,1,1,0,0,0,2.0,32.0,0.0,37.75,0,0,0,0,0,0,2,0,4,151,-1,437,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.78-10.8.0.10-443-48811-6,10.8.0.10,48811,173.194.123.78,443,6,14/04/2015 03:03:47 PM,290,2,1,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,45.0,45.0,0.0,262068.9655172414,10344.827586206897,145.0,159.80613254815975,258.0,32.0,32.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,1,0,0,64,32,6896.551724137931,3448.2758620689656,0.0,45.0,30.25,21.219095173922945,450.25000000000006,0,0,0,1,1,0,0,0,0.0,40.333333333333336,15.5,45.0,0,0,0,0,0,0,2,31,1,45,-1,353,1,0,0,0,0,0,0,0,0,0,No Label
209.148.205.11-10.8.0.10-443-35271-6,10.8.0.10,35271,209.148.205.11,443,6,14/04/2015 03:03:50 PM,4368852,4,2,68.0,74.0,41.0,0.0,17.0,20.445048300260872,37.0,37.0,37.0,0.0,32.502817673842,1.3733584932609297,873770.4,1938806.0023987186,4341975.0,26.0,4346967.0,1448989.0,2505400.5863428307,4341975.0,26.0,21837.0,21837.0,0.0,21837.0,21837.0,0,1,0,0,128,64,0.9155723288406198,0.4577861644203099,0.0,41.0,25.57142857142857,17.980147782643897,323.2857142857143,0,0,0,1,1,0,0,0,0.0,29.833333333333332,17.0,37.0,0,0,0,0,0,0,4,68,2,74,-1,568,2,0,0,0,0,0,0,0,0,0,No Label
209.148.205.11-10.8.0.10-443-35271-6,209.148.205.11,443,10.8.0.10,35271,6,14/04/2015 03:03:55 PM,101,1,2,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,13.5,19.091883092036785,267326.7326732673,29702.970297029704,50.5,14.849242404917497,61.0,40.0,0,0,0,0,0,61.0,61.0,0.0,61.0,61.0,0,1,0,0,32,52,9900.990099009901,19801.980198019803,0.0,27.0,13.5,15.588457268119896,243.0,0,0,0,1,1,0,0,0,2.0,18.0,0.0,13.5,0,0,0,0,0,0,1,0,2,27,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-24.156.140.33-53275-443-6,10.8.0.10,53275,24.156.140.33,443,6,14/04/2015 03:03:04 PM,23441,3,4,0.0,3411.0,0.0,0.0,0.0,0.0,1338.0,45.0,852.75,604.6295697918409,145514.2698690329,298.62207243718274,3906.8333333333335,9471.791940634394,23241.0,23.0,155.0,77.5,43.1335136523794,108.0,47.0,23418.0,7806.0,13367.149247315225,23241.0,53.0,0,1,0,0,96,128,127.98088818736402,170.6411842498187,0.0,1338.0,518.1250000000001,585.1237811657584,342369.83928571426,0,0,0,1,1,0,0,0,1.0,592.1428571428571,0.0,852.75,0,0,0,0,0,0,3,0,4,3411,-1,1320,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.26-10.8.0.10-443-34049-6,10.8.0.10,34049,209.148.205.26,443,6,14/04/2015 03:03:03 PM,5910615,79,128,1170.0,145054.0,564.0,0.0,14.810126582278478,80.29242643170937,1338.0,0.0,1133.234375,446.3010086310786,24739.219184467267,35.02173631677922,28692.305825242714,399079.06779624586,5728211.0,6.0,5877331.0,75350.39743589744,648424.0062702546,5728211.0,23.0,5910605.0,46540.1968503937,510378.4003284951,5752179.0,19.0,0,1,0,0,2540,4096,13.365783425244242,21.655952891534977,0.0,1338.0,705.7115384615383,648.0178498924734,419927.1337792641,0,0,0,1,1,0,0,0,1.0,709.1207729468599,14.810126582278482,1133.234375,0,0,0,0,0,0,79,1170,128,145054,-1,1320,6,0,157707.0,0.0,157707.0,157707.0,5728211.0,0.0,5728211.0,5728211.0,No Label
10.8.0.10-31.13.73.7-47592-443-6,10.8.0.10,47592,31.13.73.7,443,6,14/04/2015 03:03:09 PM,147727,1,3,0.0,82.0,0.0,0.0,0.0,0.0,41.0,0.0,27.333333333333332,23.671361036774655,555.0779478362114,27.076973065181043,49242.33333333333,85207.95260029039,147632.0,30.0,0,0,0,0,0,147697.0,73848.5,104345.62637935526,147632.0,65.0,0,1,0,0,32,96,6.769243266295261,20.307729798885784,0.0,41.0,24.6,22.45662485771181,504.29999999999995,0,0,0,1,1,0,0,0,3.0,30.75,0.0,27.333333333333332,0,0,0,0,0,0,1,0,3,82,-1,118,0,0,0,0,0,0,0,0,0,0,No Label
