Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.178-23.67.255.209-39285-443-6,23.67.255.209,443,10.8.8.178,39285,6,03/06/2015 01:57:05 PM,88,1,2,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,26.5,37.476659402887016,602272.7272727273,34090.90909090909,44.0,31.11269837220809,66.0,22.0,0,0,0,0,0,66.0,66.0,0.0,66.0,66.0,0,1,0,0,32,64,11363.636363636364,22727.272727272728,0.0,53.0,26.499999999999996,30.599564267050166,936.3333333333334,0,0,0,1,1,0,0,0,2.0,35.333333333333336,0.0,26.5,0,0,0,0,0,0,1,0,2,53,-1,2347,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-23.67.255.209-39276-443-6,10.8.8.178,39276,23.67.255.209,443,6,03/06/2015 01:57:06 PM,4306799,2,2,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0.0,0.0,0.0,0.0,12.306123410913766,0.9287640310123598,1435599.6666666665,2374703.12700437,4176642.0,39.0,39.0,39.0,0.0,39.0,39.0,130118.0,130118.0,0.0,130118.0,130118.0,0,0,0,0,64,64,0.4643820155061799,0.4643820155061799,0.0,53.0,10.6,23.70232056149777,561.8,0,0,0,0,1,0,0,0,1.0,13.25,26.5,0.0,0,0,0,0,0,0,2,53,2,0,-1,888,1,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-23.67.255.209-39276-443-6,23.67.255.209,443,10.8.8.178,39276,6,03/06/2015 01:57:10 PM,230,1,2,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,26.5,37.476659402887016,230434.78260869565,13043.478260869564,115.0,52.32590180780452,152.0,78.0,0,0,0,0,0,152.0,152.0,0.0,152.0,152.0,0,1,0,0,32,52,4347.826086956522,8695.652173913044,0.0,53.0,26.499999999999996,30.599564267050166,936.3333333333334,0,0,0,1,1,0,0,0,2.0,35.333333333333336,0.0,26.5,0,0,0,0,0,0,1,0,2,53,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-23.67.255.209-39273-443-6,10.8.8.178,39273,23.67.255.209,443,6,03/06/2015 01:57:03 PM,20423230,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29378310874430735,4084646.0,5414723.820237695,1.0018211E7,129276.0,1.0148565E7,1.0148565E7,0.0,1.0148565E7,1.0148565E7,2.042323E7,6807743.333333333,5782019.089928045,1.0147487E7,131243.0,0,0,0,0,64,128,0.09792770291476911,0.19585540582953823,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,922,0,0,130798.5,628.6179284748407,131243.0,130354.0,1.00161785E7,2874.389065523316,1.0018211E7,1.0014146E7,No Label
10.8.8.178-23.67.255.209-39272-443-6,10.8.8.178,39272,23.67.255.209,443,6,03/06/2015 01:57:03 PM,20419479,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29383707586270935,4083895.8,5413536.456694847,1.0016644E7,129342.0,1.0140953E7,1.0140953E7,0.0,1.0140953E7,1.0140953E7,2.0419479E7,6806493.0,5780989.1961884,1.0145986E7,131182.0,0,0,0,0,64,128,0.09794569195423644,0.19589138390847288,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,821,0,0,130262.0,1301.0764773832475,131182.0,129342.0,1.00141275E7,3558.868429711894,1.0016644E7,1.0011611E7,No Label
10.8.8.178-23.63.99.130-42603-443-6,10.8.8.178,42603,23.63.99.130,443,6,03/06/2015 01:57:04 PM,20418848,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29384615625719923,4083769.6,5412225.40942765,1.0014756E7,129239.0,1.0143957E7,1.0143957E7,0.0,1.0143957E7,1.0143957E7,2.0418848E7,6806282.666666667,5782490.517728528,1.0148339E7,129239.0,0,0,0,0,64,128,0.09794871875239974,0.1958974375047995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,520,0,0,131411.0,3071.6718574743622,133583.0,129239.0,1.0012565E7,3098.541915159451,1.0014756E7,1.0010374E7,No Label
10.8.8.178-23.67.255.209-39275-443-6,10.8.8.178,39275,23.67.255.209,443,6,03/06/2015 01:57:05 PM,20417405,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29386692383287694,4083481.0,5411783.725355671,1.0011953E7,130545.0,1.0143959E7,1.0143959E7,0.0,1.0143959E7,1.0143959E7,2.0417405E7,6805801.666666667,5780592.937330075,1.0144279E7,130948.0,0,0,0,0,64,128,0.09795564127762564,0.19591128255525128,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,1190,0,0,131637.0,974.3931444750625,132326.0,130948.0,1.0011793E7,226.27416997969522,1.0011953E7,1.0011633E7,No Label
173.252.100.27-10.8.8.178-443-47132-6,173.252.100.27,443,10.8.8.178,47132,6,03/06/2015 01:57:04 PM,27826161,53,62,17555.0,23630.0,1308.0,0.0,331.22641509433976,444.65758829383077,1308.0,0.0,381.12903225806457,536.0951556063736,1480.0819990943055,4.132801502873501,244089.13157894745,890061.0541625286,6071530.0,8.0,2.755326E7,529870.3846153845,1321722.340296994,6109089.0,28.0,2.7826161E7,456166.57377049176,1181356.4152497398,6071570.0,21.0,0,1,0,0,1696,1984,1.9046824317590918,2.2281190711144094,0.0,1308.0,360.68965517241384,493.1819209950845,243228.4071964018,0,0,0,1,1,0,0,0,1.0,363.82608695652175,331.22641509433964,381.1290322580645,0,0,0,0,0,0,53,17555,62,23630,-1,1442,44,0,564380.0,0.0,564380.0,564380.0,6071530.0,0.0,6071530.0,6071530.0,No Label
10.8.8.178-23.67.255.209-39269-443-6,10.8.8.178,39269,23.67.255.209,443,6,03/06/2015 01:57:09 PM,20422085,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2937995802093665,4084417.0,5413422.029478165,1.0014666E7,129318.0,1.0144782E7,1.0144782E7,0.0,1.0144782E7,1.0144782E7,2.0422085E7,6807361.666666667,5783355.61275652,1.01477E7,129318.0,0,0,0,0,64,128,0.09793319340312216,0.19586638680624432,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,1290,0,0,129859.5,765.796644025031,130401.0,129318.0,1.00145235E7,201.52543263816605,1.0014666E7,1.0014381E7,No Label
10.8.8.178-23.67.255.209-39272-443-6,10.8.8.178,39272,23.67.255.209,443,6,03/06/2015 01:57:33 PM,29238267,3,6,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,8.833333333333332,21.63715939458474,1.8126929342289677,0.3078157812841643,3654783.375,4948756.476592621,1.0013825E7,36.0,1.9094457E7,9547228.5,844372.4708708237,1.014429E7,8950167.0,2.9238267E7,5847653.4,5306635.327711365,1.0149295E7,147.0,0,0,0,0,96,192,0.10260526042805478,0.20521052085610955,0.0,53.0,5.300000000000001,16.76007159889241,280.9,0,0,0,0,1,0,0,0,2.0,5.888888888888889,0.0,8.833333333333334,0,0,0,0,0,0,3,0,6,53,-1,821,0,0,132158.66666666666,2867.950545831175,135470.0,130465.0,9613881.333333334,692210.1270801615,1.0013825E7,8814586.0,No Label
