Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.130-66.220.156.2-42513-443-6,10.8.8.130,42513,66.220.156.2,443,6,03/06/2015 01:57:03 PM,23712615,77,87,25931.0,24329.0,1222.0,0.0,336.7662337662338,511.38933299148016,1308.0,0.0,279.64367816091976,438.12077492270544,2119.546916272204,6.916149905862344,145476.16564417174,670111.719079426,6392777.0,8.0,2.3712563E7,312007.40789473685,958279.5175829814,6392909.0,25.0,2.3712601E7,275727.91860465123,944549.1068976553,6431822.0,18.0,0,1,0,0,2464,2784,3.247216724093905,3.6689331817684385,0.0,1308.0,311.53939393939385,476.3532264029587,226912.39630450844,0,0,0,1,1,0,0,0,1.0,313.4390243902439,336.76623376623377,279.64367816091954,0,0,0,0,0,0,77,25931,87,24329,-1,1240,28,0,8308137.0,0.0,8308137.0,8308137.0,6392777.0,0.0,6392777.0,6392777.0,No Label
10.8.8.130-66.220.156.2-42513-443-6,10.8.8.130,42513,66.220.156.2,443,6,03/06/2015 01:57:38 PM,28855439,110,128,40068.0,35009.0,1223.0,0.0,364.2545454545454,521.4507011163621,1308.0,0.0,273.5078125,435.1435638939485,2601.8318418236504,8.248011752654326,121752.90717299575,593167.72132159,6045832.0,5.0,2.8855323E7,264727.73394495406,855654.2410604066,6045916.0,8.0,2.8817242E7,226907.41732283466,820294.2654488843,6084698.0,18.0,0,1,0,0,3520,4096,3.8121062722351926,4.435905480419134,0.0,1308.0,318.84937238493706,479.97887986363594,230379.72511515068,0,0,0,1,1,0,0,0,1.0,320.1890756302521,364.25454545454545,273.5078125,0,0,0,0,0,0,110,40068,128,35009,-1,1707,42,0,7304063.5,9936164.787177218,1.4329993E7,278134.0,5734409.5,440417.9231281352,6045832.0,5422987.0,No Label
10.8.8.130-23.63.99.232-59897-443-6,10.8.8.130,59897,23.63.99.232,443,6,03/06/2015 01:57:12 PM,125561,1,2,0.0,138.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,0.0,1099.0673855735458,23.892769251598825,62780.5,88735.53707788103,125526.0,35.0,0,0,0,0,0,125526.0,125526.0,0.0,125526.0,125526.0,0,1,0,0,32,64,7.964256417199608,15.928512834399216,0.0,69.0,51.75,34.5,1190.25,0,0,0,1,1,0,0,0,2.0,69.0,0.0,69.0,0,0,0,0,0,0,1,0,2,138,-1,587,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-23.63.99.232-59896-443-6,10.8.8.130,59896,23.63.99.232,443,6,03/06/2015 01:57:20 PM,130176,2,3,0.0,1135.0,0.0,0.0,0.0,0.0,565.0,69.0,378.33333333333337,269.79498389209044,8718.965093411996,38.409537856440515,32544.0,65034.00290617209,130095.0,9.0,27.0,27.0,0.0,27.0,27.0,130167.0,65083.5,91940.14501021848,130095.0,72.0,0,1,0,0,64,96,15.363815142576206,23.045722713864308,0.0,565.0,272.66666666666663,275.64663369369606,75981.06666666667,0,0,0,1,1,0,0,0,1.0,327.2,0.0,378.3333333333333,0,0,0,0,0,0,2,0,3,1135,-1,721,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-66.220.156.2-42513-443-6,10.8.8.130,42513,66.220.156.2,443,6,03/06/2015 01:58:10 PM,24942334,111,129,41290.0,34950.0,1223.0,0.0,371.9819819819819,521.4430847000375,1308.0,0.0,270.9302325581397,439.47877839205927,3056.6505925227366,9.622194939735792,104361.2301255231,518223.6611515379,6116294.0,0.0,2.4942275E7,226747.9545454545,748028.8979907369,6116294.0,0.0,2.4942318E7,194861.85937500006,737024.1453872824,6326113.0,0.0,0,1,0,0,3552,4128,4.450265159627804,5.171929780107988,0.0,1308.0,320.9336099585062,482.43309094698714,232741.68724066394,0,0,0,1,1,0,0,0,1.0,322.2708333333333,371.98198198198196,270.93023255813955,0,0,0,0,0,0,111,41290,129,34950,-1,2043,44,0,1541184.0,0.0,1541184.0,1541184.0,6116294.0,0.0,6116294.0,6116294.0,No Label
10.8.8.130-23.63.99.232-59897-443-6,10.8.8.130,59897,23.63.99.232,443,6,03/06/2015 01:58:11 PM,124197,1,2,0.0,138.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,0.0,1111.1379501920337,24.1551728302616,62098.5,87701.7469637863,124113.0,84.0,0,0,0,0,0,124113.0,124113.0,0.0,124113.0,124113.0,0,1,0,0,32,64,8.051724276753866,16.103448553507732,0.0,69.0,51.75,34.5,1190.25,0,0,0,1,1,0,0,0,2.0,69.0,0.0,69.0,0,0,0,0,0,0,1,0,2,138,-1,587,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-66.220.156.2-42513-443-6,10.8.8.130,42513,66.220.156.2,443,6,03/06/2015 01:58:43 PM,27266117,121,145,45267.0,39567.0,1225.0,0.0,374.10743801652893,521.3205795805638,1308.0,0.0,272.8758620689657,440.7322486933695,3111.3341147916294,9.755697886868159,102891.00754716984,469565.04612450575,4156015.0,0.0,2.7265984E7,227216.53333333335,679705.9596080409,4156085.0,39.0,2.7226535E7,189073.15972222228,664446.2962364459,4194994.0,0.0,0,1,0,0,3872,4640,4.437742271846043,5.317955615022116,0.0,1308.0,321.95505617977517,482.4450939217341,232753.26864915085,0,0,0,1,1,0,0,0,1.0,323.16541353383457,374.10743801652893,272.8758620689655,0,0,0,0,0,0,121,45267,145,39567,-1,2043,49,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-23.63.99.232-59897-443-6,10.8.8.130,59897,23.63.99.232,443,6,03/06/2015 01:59:10 PM,4124968,4,2,122.0,138.0,69.0,0.0,30.5,35.81898937714463,69.0,69.0,69.0,0.0,63.030791996447,1.4545567383795461,824993.6,1774758.521347144,3998346.0,41.0,4000967.0,1333655.6666666665,2307689.8666853686,3998346.0,49.0,123960.0,123960.0,0.0,123960.0,123960.0,0,1,0,0,128,64,0.9697044922530308,0.4848522461265154,0.0,69.0,47.0,32.63433774416144,1065.0,0,0,0,1,1,0,0,0,0.0,54.833333333333336,30.5,69.0,0,0,0,0,0,0,4,122,2,138,-1,587,2,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-23.63.99.232-59897-443-6,23.63.99.232,443,10.8.8.130,59897,6,03/06/2015 01:59:15 PM,70,1,2,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,26.5,37.476659402887016,757142.8571428572,42857.14285714286,35.0,15.556349186104045,46.0,24.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,0,1,0,0,32,52,14285.714285714286,28571.428571428572,0.0,53.0,26.499999999999996,30.599564267050166,936.3333333333334,0,0,0,1,1,0,0,0,2.0,35.333333333333336,0.0,26.5,0,0,0,0,0,0,1,0,2,53,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-23.63.99.232-59896-443-6,10.8.8.130,59896,23.63.99.232,443,6,03/06/2015 01:58:18 PM,125034,1,2,0.0,138.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,0.0,1103.6997936561254,23.99347377513316,62517.0,88368.54865844522,125003.0,31.0,0,0,0,0,0,125003.0,125003.0,0.0,125003.0,125003.0,0,1,0,0,32,64,7.997824591711054,15.995649183422108,0.0,69.0,51.75,34.5,1190.25,0,0,0,1,1,0,0,0,2.0,69.0,0.0,69.0,0,0,0,0,0,0,1,0,2,138,-1,721,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-23.63.99.232-59896-443-6,10.8.8.130,59896,23.63.99.232,443,6,03/06/2015 01:59:17 PM,12231105,5,3,122.0,207.0,69.0,0.0,24.4,33.886575513025804,69.0,69.0,69.0,0.0,26.898632625588615,0.6540700942392368,1747300.714285714,4567245.43578905,1.21043E7,31.0,1.2105659E7,3026414.75,6051965.514162396,1.2104363E7,31.0,1.2229746E7,6114873.0,8470399.604921719,1.210435E7,125396.0,0,1,0,0,160,96,0.408793808899523,0.2452762853397138,0.0,69.0,44.22222222222222,33.56626944485259,1126.6944444444443,0,0,0,1,1,0,0,0,0.0,49.75,24.4,69.0,0,0,0,0,0,0,5,122,3,207,-1,721,2,0,125446.0,0.0,125446.0,125446.0,1.21043E7,0.0,1.21043E7,1.21043E7,No Label
10.8.8.130-23.63.99.232-59896-443-6,23.63.99.232,443,10.8.8.130,59896,6,03/06/2015 01:59:30 PM,1,1,2,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,26.5,37.476659402887016,5.3E7,3000000.0,0.5,0.7071067811865476,1.0,0.0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,32,52,1000000.0,2000000.0,0.0,53.0,26.499999999999996,30.599564267050166,936.3333333333334,0,0,0,1,1,0,0,0,2.0,35.333333333333336,0.0,26.5,0,0,0,0,0,0,1,0,2,53,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-66.220.156.2-42513-443-6,10.8.8.130,42513,66.220.156.2,443,6,03/06/2015 01:59:14 PM,29304671,94,107,32896.0,30225.0,1225.0,0.0,349.95744680851067,514.2403085561737,1308.0,0.0,282.47663551401865,446.4426128008196,2153.95695791978,6.858974803027135,146523.35499999995,761216.3414894494,6822282.0,8.0,2.930453E7,315102.47311827965,1095839.2731798785,6822282.0,39.0,2.9265321E7,276087.93396226416,1062094.964379114,7070405.0,20.0,0,1,0,0,3008,3424,3.2076797586296055,3.65129504439753,0.0,1308.0,318.0247524752477,481.4695729046883,231812.94963302292,0,0,0,1,1,0,0,0,1.0,319.60696517412936,349.9574468085106,282.4766355140187,0,0,0,0,0,0,94,32896,107,30225,-1,2043,35,0,6684481.0,4514807.50141155,9876932.0,3492030.0,6676276.0,206483.66538784612,6822282.0,6530270.0,No Label
10.8.8.130-66.220.156.2-42513-443-6,10.8.8.130,42513,66.220.156.2,443,6,03/06/2015 01:59:52 PM,29139529,121,143,46577.0,39446.0,1225.0,0.0,384.93388429752065,529.8750911856048,1308.0,0.0,275.84615384615387,436.77062836056535,2952.106741327219,9.05985817409746,110796.68821292772,526265.7390538717,6120370.0,8.0,2.9139465E7,242828.87499999997,760935.4181573682,6120427.0,26.0,2.9139516E7,205207.8591549297,736303.4926125318,6161689.0,18.0,0,1,0,0,3872,4576,4.152434996461336,4.907423177636124,0.0,1308.0,328.8754716981131,485.40763442201285,235620.57155517448,0,0,0,1,1,0,0,0,1.0,330.1212121212121,384.93388429752065,275.84615384615387,0,0,0,0,0,0,121,46577,143,39446,-1,2043,48,0,1.3424757E7,0.0,1.3424757E7,1.3424757E7,6120370.0,0.0,6120370.0,6120370.0,No Label
