Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,22/05/2015 03:21:27 PM,27227307,22,13,9218.0,4876.0,965.0,0.0,419.0,469.89786124220655,1308.0,41.0,375.07692307692304,342.26803861361384,517.6420863069565,1.2854741748789185,800803.1470588235,1152288.0942590528,2773398.0,12.0,2.6998811E7,1285657.6666666665,1242112.5972946389,2773398.0,33.0,2.7227245E7,2268937.0833333335,1178907.0154402615,3011560.0,49.0,0,1,0,0,704,416,0.8080123384953202,0.4774618363835983,0.0,1308.0,416.97222222222234,424.78865239828286,180445.3992063492,0,0,0,1,1,0,0,0,0.0,428.8857142857143,419.0,375.0769230769231,0,0,0,0,0,0,22,9218,13,4876,-1,655,10,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:21:51 PM,28138542,4564,2661,5732471.0,33714.0,1308.0,0.0,1256.0190622261155,246.34450919942972,1308.0,0.0,12.669673055242374,96.45517608435777,204921.24289879695,256.7652581288682,3895.147009966785,97638.46648229637,8125023.0,0.0,2.7918497E7,6118.45211483672,123066.36091635564,8125023.0,0.0,2.81006E7,10564.135338345848,166104.6695695873,8406878.0,2.0,0,0,0,0,151916,100608,162.19745856057503,94.5677995682932,0.0,1308.0,797.9774425685031,633.6460633577233,401507.33360873983,0,1,0,0,0,0,0,0,0.0,798.0878892733564,1256.0190622261175,12.66967305524239,0,0,0,0,0,0,4564,5732471,2661,33714,-1,12424,4532,0,6626574.0,0.0,6626574.0,6626574.0,8125023.0,0.0,8125023.0,8125023.0,No Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,22/05/2015 03:21:57 PM,29998522,23,13,10135.0,4876.0,965.0,0.0,440.6521739130435,470.69123335170605,1308.0,41.0,375.07692307692304,342.26803861361384,500.39131927899643,1.2000591229127888,857100.6285714285,1180233.9232734898,2780359.0,9.0,2.9773772E7,1353353.2727272727,1248377.9251716312,2780359.0,36.0,2.7220129E7,2268344.0833333335,1178434.4893282212,3020506.0,56.0,0,1,0,0,736,416,0.7667044396387261,0.4333546832740626,0.0,1308.0,430.4864864864866,426.83783165803675,182190.53453453453,0,0,0,1,1,0,0,0,0.0,442.44444444444446,440.6521739130435,375.0769230769231,0,0,0,0,0,0,23,10135,13,4876,-1,814,11,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,22/05/2015 03:21:59 PM,227334,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.797628159448212,227334.0,0.0,227334.0,227334.0,0,0,0,0,0,227334.0,227334.0,0.0,227334.0,227334.0,0,0,0,0,0,64,0.0,8.797628159448212,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,358,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:22:23 PM,29988643,9754,5014,1.2369884E7,63984.0,1308.0,0.0,1268.1857699405384,216.01382991355104,1308.0,0.0,12.761069006780994,112.19589725918414,414619.2276856275,492.45309299257053,2030.787770027758,50996.69457089251,4899725.0,-3.0,2.9737687E7,3049.0810007177265,63180.99683517937,4899725.0,0.0,2.9988625E7,5982.171354478365,93416.7124728042,5236678.0,2.0,0,1,0,0,322664,173928,325.25646458894454,167.196628403626,0.0,1308.0,841.8942379308052,623.3466972807446,388561.10501081217,0,0,0,1,1,0,0,0,0.0,841.9512459371614,1268.1857699405373,12.761069006781014,0,0,0,0,0,0,9754,12369884,5014,63984,-1,12588,9716,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,6,22/05/2015 03:22:11 PM,210836,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.48604602629532,210836.0,0.0,210836.0,210836.0,0,0,0,0,0,210836.0,210836.0,0.0,210836.0,210836.0,0,0,0,0,0,64,0.0,9.48604602629532,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:22:53 PM,29976431,7908,4303,1.0196344E7,56808.0,1308.0,0.0,1289.370763783511,148.71729832085515,1308.0,0.0,13.201952126423476,112.26889533188984,342040.45171354787,407.3533637143127,2455.072153972152,85316.70446635416,9233866.0,-1.0,2.9753363E7,3762.91425319337,106180.10862248257,9233866.0,0.0,2.9976431E7,6968.022082752218,155337.73382253695,9982955.0,3.0,0,0,0,0,254628,151692,263.807255773711,143.54610794060173,0.0,1308.0,839.596462495907,624.8877852824198,390484.74419516756,0,0,0,0,1,0,0,0,0.0,839.6652198837114,1289.3707637835103,13.201952126423425,0,0,0,0,0,0,7908,10196344,4303,56808,-1,12710,7888,0,1.9807904E7,0.0,1.9807904E7,1.9807904E7,9233866.0,0.0,9233866.0,9233866.0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,22/05/2015 03:22:44 PM,224418,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.911941109893146,224418.0,0.0,224418.0,224418.0,0,0,0,0,0,224418.0,224418.0,0.0,224418.0,224418.0,0,0,0,0,0,64,0.0,8.911941109893146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,358,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,6,22/05/2015 03:22:56 PM,210145,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.517238097504105,210145.0,0.0,210145.0,210145.0,0,0,0,0,0,210145.0,210145.0,0.0,210145.0,210145.0,0,0,0,0,0,64,0.0,9.517238097504105,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,22/05/2015 03:22:28 PM,29976010,24,13,10135.0,4220.0,965.0,0.0,422.2916666666667,469.0503337379797,1308.0,41.0,324.6153846153847,301.6619350811817,478.8829467297349,1.234320378195764,832666.9444444444,1171347.888269211,2777080.0,7.0,2.9975952E7,1303302.2608695652,1241597.99923567,2777080.0,14.0,2.997598E7,2497998.3333333335,998308.3222897471,3010074.0,20.0,0,1,0,0,768,416,0.8006402453161712,0.43368013287959273,0.0,1308.0,384.6315789473685,410.94278033023977,168873.96870554768,0,0,0,1,1,0,0,0,0.0,395.02702702702703,422.2916666666667,324.61538461538464,0,0,0,0,0,0,24,10135,13,4220,-1,988,11,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:23:23 PM,28526374,1860,1024,2345176.0,12144.0,1308.0,0.0,1260.847311827959,239.55886551443297,1308.0,0.0,11.859374999999993,71.75659240289134,82636.51033951949,101.09942469379389,9894.684009712075,193021.9891632061,1.0193765E7,0.0,2.851921E7,15341.156535771941,240845.48157335477,1.0193765E7,0.0,2.8487423E7,27846.943304007822,332329.3892401141,1.0469518E7,3.0,0,1,0,0,60252,37576,65.20281897727345,35.89660571652044,0.0,1308.0,817.1299826689766,629.4596443910883,396219.4439169554,0,0,0,1,1,0,0,0,0.0,817.4133148404993,1260.847311827957,11.859375,0,0,0,0,0,0,1860,2345176,1024,12144,-1,13364,1823,0,9730339.0,0.0,9730339.0,9730339.0,1.0193765E7,0.0,1.0193765E7,1.0193765E7,No Label
10.8.8.138-74.125.226.38-51827-443-6,10.8.8.138,51827,74.125.226.38,443,6,22/05/2015 03:23:10 PM,995791,11,11,519.0,4293.0,210.0,0.0,47.18181818181818,66.33674424000348,1308.0,0.0,390.27272727272725,590.7767921828159,4832.339316181809,22.09298939235241,47418.61904761904,98701.59299650446,263674.0,19.0,519593.0,51959.299999999996,106369.96498704155,254739.0,64.0,995791.0,99579.1,128668.72643726948,264091.0,45.0,0,0,0,0,352,368,11.046494696176206,11.046494696176206,0.0,1308.0,209.21739130434779,438.35186743504863,192152.35968379446,0,1,0,0,0,0,0,0,1.0,218.72727272727272,47.18181818181818,390.27272727272725,0,0,0,0,0,0,11,519,11,4293,-1,341,6,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,22/05/2015 03:23:43 PM,15058431,1,4,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,13.25,26.5,3.5196229939228063,0.3320399050870572,3764607.7500000005,7366310.205660741,1.4812708E7,26.0,0,0,0,0,0,1.5058431E7,5019477.0,8482075.693046898,1.4812708E7,69.0,0,0,0,0,32,128,0.06640798101741144,0.26563192406964575,0.0,53.0,8.833333333333332,21.63715939458474,468.16666666666663,0,0,0,0,1,0,0,0,4.0,10.6,0.0,13.25,0,0,0,0,0,0,1,0,4,53,-1,988,0,0,245654.0,0.0,245654.0,245654.0,1.4812708E7,0.0,1.4812708E7,1.4812708E7,No Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,22/05/2015 03:23:58 PM,9903313,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20195261929013048,9903313.0,0.0,9903313.0,9903313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.10097630964506524,0.10097630964506524,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1266,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,22/05/2015 03:23:29 PM,250308,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.990156127650735,250308.0,0.0,250308.0,250308.0,0,0,0,0,0,250308.0,250308.0,0.0,250308.0,250308.0,0,0,0,0,0,64,0.0,7.990156127650735,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,358,0,0,0,0,0,0,0,0,0,0,No Label
