Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.56.192.53-10.8.8.130-443-33104-6,10.8.8.130,33104,157.56.192.53,443,6,03/06/2015 01:31:20 PM,29919892,9,10,2900.0,1726.0,757.0,0.0,322.22222222222223,384.1131922291194,693.0,0.0,172.6,262.2099243820578,154.61285755977997,0.635029030185002,1662216.222222222,4755906.19138839,2.0192248E7,19.0,2.91246E7,3640575.0,6847877.418864831,2.0192248E7,201516.0,2.9297397E7,3255266.3333333335,6699938.240875098,2.0593227E7,19101.0,0,1,0,0,288,320,0.30080322482447464,0.3342258053605274,0.0,757.0,262.75,328.18253505601035,107703.77631578948,0,0,0,1,1,0,0,0,1.0,276.57894736842104,322.22222222222223,172.6,0,0,0,0,0,0,9,2900,10,1726,-1,65400,4,0,8685091.0,0.0,8685091.0,8685091.0,2.0192248E7,0.0,2.0192248E7,2.0192248E7,No Label
2.30.116.54-10.8.8.130-58139-48835-6,10.8.8.130,48835,2.30.116.54,58139,6,03/06/2015 01:31:23 PM,29908615,60,44,4361.0,1974.0,602.0,4.0,72.68333333333332,106.03732819979675,279.0,0.0,44.86363636363637,65.47237688755888,211.81188095804504,3.4772589770539355,290374.90291262127,1336452.4880030493,1.1084894E7,71.0,2.9631729E7,502232.6949152544,1814862.8761071665,1.1418264E7,71.0,2.9908137E7,695538.0697674417,2053528.6821136556,1.137192E7,1923.0,0,1,0,0,1920,1408,2.0061109483003476,1.471148028753588,0.0,602.0,61.62857142857143,91.61722809339128,8393.716483516484,0,0,0,1,1,0,0,0,0.0,62.22115384615385,72.68333333333334,44.86363636363637,0,0,0,0,0,0,60,4361,44,1974,-1,259,60,0,3625334.0,4655165.369049954,6917033.0,333635.0,9431947.0,2337620.06528392,1.1084894E7,7779000.0,No Label
10.8.8.130-86.4.212.228-59320-59222-6,86.4.212.228,59222,10.8.8.130,59320,6,03/06/2015 01:31:23 PM,29640521,30,31,793.0,31.0,96.0,0.0,26.433333333333334,18.93488539858299,27.0,0.0,1.0000000000000002,4.878524367060187,27.79978125215815,2.057993515026271,494008.68333333335,1824770.815835428,1.2290495E7,9.0,2.6743439E7,922187.5517241379,2523441.0309089366,1.2290495E7,44.0,2.9640521E7,988017.366666667,2555492.5129388496,1.2597522E7,70.0,0,1,0,0,600,620,1.0121279582096414,1.0458655568166295,0.0,96.0,13.725806451612902,18.621483586930403,346.7596509783184,0,0,0,1,1,0,0,0,1.0,13.950819672131148,26.433333333333334,1.0,0,0,0,0,0,0,30,793,31,31,-1,401,27,0,3488938.5,4363932.834616557,6574705.0,403172.0,9572345.5,3844043.887457647,1.2290495E7,6854196.0,No Label
10.8.8.130-77.103.197.35-52719-47872-6,10.8.8.130,52719,77.103.197.35,47872,6,03/06/2015 01:31:26 PM,25952029,32,31,4306.0,2297.0,830.0,0.0,134.5625,213.69633829338304,321.0,0.0,74.0967741935484,72.28709190383839,254.4309733932557,2.4275558570006224,418581.11290322576,1665149.819926203,1.2465427E7,17.0,2.5323693E7,816893.3225806452,2364548.94888586,1.2808255E7,288.0,2.5952029E7,865067.6333333332,2385841.791319864,1.2751499E7,279958.0,0,1,0,0,1024,992,1.2330442448257128,1.1945116121749093,0.0,830.0,104.73437499999999,160.85113320574223,25873.087053571435,0,0,0,1,1,0,0,0,0.0,106.39682539682539,134.5625,74.09677419354838,0,0,0,0,0,0,32,4306,31,2297,-1,256,26,0,1.074939E7,0.0,1.074939E7,1.074939E7,1.2465427E7,0.0,1.2465427E7,1.2465427E7,No Label
2.101.222.231-10.8.8.130-9396-34461-6,2.101.222.231,9396,10.8.8.130,34461,6,03/06/2015 01:31:26 PM,25609935,41,52,927.0,868.0,78.0,0.0,22.609756097560968,18.34922075835986,29.0,0.0,16.692307692307693,12.862071405673564,70.08998656185578,3.6314032034833357,278368.85869565234,1400216.4446253611,1.2861757E7,12.0,2.4969597E7,624239.925,2088040.7149994234,1.2861757E7,3955.0,2.5609935E7,502155.5882352942,1921891.905871922,1.3212489E7,303.0,0,1,0,0,1324,1688,1.6009411972345888,2.030462006248747,0.0,78.0,19.308510638297875,15.626023645260847,244.17261496225112,0,0,0,1,1,0,0,0,1.0,19.516129032258064,22.609756097560975,16.692307692307693,0,0,0,0,0,0,41,927,52,868,-1,395,30,0,1.0354677E7,0.0,1.0354677E7,1.0354677E7,1.2861757E7,0.0,1.2861757E7,1.2861757E7,No Label
10.8.8.130-64.4.23.162-51146-40019-6,10.8.8.130,51146,64.4.23.162,40019,6,03/06/2015 01:31:29 PM,270973,1,2,0.0,351.0,0.0,0.0,0.0,0.0,347.0,4.0,175.5,242.5376259469858,1295.3320072479546,11.071213737162005,135486.5,191537.54935390607,270924.0,49.0,0,0,0,0,0,270924.0,270924.0,0.0,270924.0,270924.0,0,1,0,0,32,64,3.690404579054001,7.380809158108002,0.0,347.0,174.5,199.19253667411002,39677.666666666664,0,0,0,1,1,0,0,0,2.0,232.66666666666666,0.0,175.5,0,0,0,0,0,0,1,0,2,351,-1,52,0,0,0,0,0,0,0,0,0,0,No Label
157.56.192.53-10.8.8.130-443-33104-6,10.8.8.130,33104,157.56.192.53,443,6,03/06/2015 01:31:50 PM,29761643,10,9,2644.0,1966.0,773.0,0.0,264.4,349.9794279668449,677.0,0.0,218.44444444444446,261.90843395694185,154.89736235328138,0.6384056149050642,1653424.6111111112,2974729.788816242,9161324.0,14.0,2.9761596E7,3306844.0,3639335.3646996794,9161324.0,46.0,2.5214216E7,3151777.0,3982230.3247819734,9553327.0,79.0,0,1,0,0,320,288,0.3360029552131917,0.3024026596918725,0.0,773.0,264.35,311.2271593817643,96862.3447368421,0,0,0,1,1,0,0,0,0.0,278.2631578947368,264.4,218.44444444444446,0,0,0,0,0,0,10,2644,9,1966,-1,64627,4,0,640014.6666666666,659272.2185549254,1317068.0,93.0,7605304.333333333,1427827.3251273537,9161324.0,6355285.0,No Label
2.30.116.54-10.8.8.130-58139-48835-6,10.8.8.130,48835,2.30.116.54,58139,6,03/06/2015 01:31:53 PM,28871185,111,80,6409.0,4207.0,602.0,4.0,57.73873873873875,79.98530679974482,363.0,0.0,52.5875,76.95990962750292,367.70226092209236,6.615592674841715,151953.6052631579,510560.6931604646,4748161.0,84.0,2.8531371E7,259376.1000000001,713224.9878227041,5077021.0,84.0,2.8871185E7,365458.0379746835,789845.9627793947,5030044.0,358.0,0,1,0,0,3552,2560,3.844663805798065,2.7709288690436504,0.0,602.0,57.182291666666686,81.44289811493394,6632.94565335951,0,0,0,1,1,0,0,0,0.0,57.481675392670155,57.73873873873874,52.5875,0,0,0,0,0,0,111,6409,80,4207,-1,258,111,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-86.4.212.228-59320-59222-6,86.4.212.228,59222,10.8.8.130,59320,6,03/06/2015 01:31:53 PM,28096520,54,55,1401.0,32.0,75.0,0.0,25.94444444444444,10.684880283216405,28.0,0.0,0.5818181818181819,3.8039497459921394,51.00275763688884,3.8794840072720747,260152.96296296298,738380.7652386215,5048802.0,9.0,2.8096423E7,530121.1886792454,988422.1271797494,5048815.0,37.0,2.809652E7,520305.9259259259,982160.583125215,5048817.0,24.0,0,1,0,0,1080,1100,1.9219462054375416,1.957537801834533,0.0,75.0,13.281818181818183,15.016279739480925,225.48865721434532,0,0,0,1,1,0,0,0,1.0,13.403669724770642,25.944444444444443,0.5818181818181818,0,0,0,0,0,0,54,1401,55,32,-1,401,51,0,1.67359E7,0.0,1.67359E7,1.67359E7,5048802.0,0.0,5048802.0,5048802.0,No Label
2.101.222.231-10.8.8.130-9396-34461-6,2.101.222.231,9396,10.8.8.130,34461,6,03/06/2015 01:32:06 PM,12377675,35,50,858.0,788.0,84.0,0.0,24.51428571428572,17.090367821346256,29.0,0.0,15.76000000000001,13.560988465567888,132.98135554536697,6.8672024431082574,147353.27380952385,517643.26507990697,4731528.0,30.0,1.2089694E7,355579.23529411765,785281.8279098646,4771329.0,136094.0,1.2377675E7,252605.61224489802,667184.1679211039,4731558.0,40.0,0,1,0,0,1120,1600,2.827671594221047,4.03953084888721,0.0,84.0,19.37209302325581,15.537466302364978,241.4128590971272,0,0,0,1,1,0,0,0,1.0,19.6,24.514285714285716,15.76,0,0,0,0,0,0,35,858,50,788,-1,395,28,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-77.103.197.35-52719-47872-6,10.8.8.130,52719,77.103.197.35,47872,6,03/06/2015 01:32:05 PM,12816049,28,28,4100.0,2150.0,840.0,0.0,146.42857142857142,225.66517783382636,321.0,0.0,76.78571428571429,76.30705862347988,487.66979589419486,4.369521371211986,233019.07272727278,596817.4238427451,4425269.0,23.0,1.2090603E7,447800.1111111111,869237.3403194998,4770079.0,449.0,1.2816049E7,474668.48148148146,850251.4757259657,4719103.0,141219.0,0,1,0,0,896,896,2.184760685605993,2.184760685605993,0.0,840.0,111.4035087719298,169.04235095395504,28575.3164160401,0,0,0,1,1,0,0,0,1.0,113.39285714285714,146.42857142857142,76.78571428571429,0,0,0,0,0,0,28,4100,28,2150,-1,257,24,0,0,0,0,0,0,0,0,0,No Label
157.56.192.53-10.8.8.130-443-33104-6,10.8.8.130,33104,157.56.192.53,443,6,03/06/2015 01:32:20 PM,29902083,12,11,3641.0,2115.0,1285.0,0.0,303.4166666666667,424.86628021132253,693.0,0.0,192.27272727272728,244.7231459870892,192.49495093703004,0.7691771840777781,1359185.590909091,2542536.1230418407,8685843.0,14.0,2.9770362E7,2706396.5454545454,3117117.8845416275,8685843.0,553.0,2.1216215E7,2121621.5,2687205.9658005894,8254548.0,93623.0,0,0,0,0,384,352,0.40130983517101465,0.3678673489067634,0.0,1285.0,239.83333333333334,343.60210388922457,118062.40579710146,0,0,0,0,1,0,0,0,0.0,250.2608695652174,303.4166666666667,192.27272727272728,0,0,0,0,0,0,12,3641,11,2115,-1,64643,5,0,6669372.0,2710064.520643374,8585677.0,4753067.0,8281669.5,571587.6452518022,8685843.0,7877496.0,No Label
2.30.116.54-10.8.8.130-58139-48835-6,10.8.8.130,48835,2.30.116.54,58139,6,03/06/2015 01:32:24 PM,23783922,87,62,5839.0,3174.0,766.0,4.0,67.11494252873564,115.3649845397012,321.0,0.0,51.19354838709677,74.73358994382019,378.9534795817107,6.264736320611882,160702.17567567562,872917.6936633718,1.0511008E7,88.0,2.3444921E7,272615.36046511633,1160853.6555501167,1.0647681E7,88.0,2.3783922E7,389900.36065573763,1354854.9242539713,1.0654855E7,323.0,0,1,0,0,2784,1984,3.657933287874052,2.60680303273783,0.0,766.0,60.96666666666668,100.31924990531974,10063.951901565995,0,0,0,1,1,0,0,0,0.0,61.375838926174495,67.11494252873563,51.193548387096776,0,0,0,0,0,0,87,5839,62,3174,-1,260,87,0,1920513.0,0.0,1920513.0,1920513.0,1.0511008E7,0.0,1.0511008E7,1.0511008E7,No Label
10.8.8.130-86.4.212.228-59320-59222-6,86.4.212.228,59222,10.8.8.130,59320,6,03/06/2015 01:32:25 PM,23001791,41,42,1142.0,33.0,103.0,0.0,27.853658536585364,17.251899860029553,29.0,0.0,0.785714285714286,4.502225543351375,51.08297871239679,3.6084146664927093,280509.64634146367,1144813.7738172372,1.0057374E7,9.0,2.1518424E7,537960.6000000001,1591999.600552372,1.0057417E7,50.0,2.3001791E7,561019.2926829266,1579796.7061900443,1.0057397E7,26.0,0,1,0,0,820,840,1.7824698954963984,1.8259447709963106,0.0,103.0,14.333333333333334,18.417731983217223,339.2128514056226,0,0,0,1,1,0,0,0,1.0,14.506024096385541,27.853658536585368,0.7857142857142857,0,0,0,0,0,0,41,1142,42,33,-1,401,38,0,1668084.0,0.0,1668084.0,1668084.0,1.0057374E7,0.0,1.0057374E7,1.0057374E7,No Label
2.101.222.231-10.8.8.130-9396-34461-6,2.101.222.231,9396,10.8.8.130,34461,6,03/06/2015 01:32:36 PM,7301766,29,39,657.0,652.0,70.0,0.0,22.655172413793103,17.538276226725536,29.0,0.0,16.717948717948715,12.80614309402598,179.2716994765376,9.312815557222732,108981.5820895522,139094.44224133747,734420.0,26.0,6966351.0,248798.25000000006,131666.39948598068,734420.0,137100.0,7301766.0,192151.7368421053,202952.9778979816,1079575.0,26.0,0,1,0,0,928,1248,3.971641928815577,5.341173628407155,0.0,70.0,19.188405797101453,15.072643082086362,227.1845694799659,0,0,0,1,1,0,0,0,1.0,19.470588235294116,22.655172413793103,16.71794871794872,0,0,0,0,0,0,29,657,39,652,-1,395,22,0,0,0,0,0,0,0,0,0,No Label
10.8.8.130-77.103.197.35-52719-47872-6,10.8.8.130,52719,77.103.197.35,47872,6,03/06/2015 01:32:36 PM,7325741,24,23,3337.0,1819.0,853.0,0.0,139.04166666666666,223.6786279982699,321.0,0.0,79.08695652173913,85.89735578715619,703.8195863053307,6.415733234358135,159255.23913043475,160435.65593528765,419166.0,19.0,6923589.0,301025.6086956522,129144.19608883251,687675.0,737.0,7325741.0,332988.2272727273,72599.58936452924,571081.0,283509.0,0,1,0,0,768,736,3.2761190983956436,3.139614135962492,0.0,853.0,107.79166666666664,170.32596512911095,29010.93439716312,0,0,0,1,1,0,0,0,0.0,110.08510638297872,139.04166666666666,79.08695652173913,0,0,0,0,0,0,24,3337,23,1819,-1,255,20,0,0,0,0,0,0,0,0,0,No Label
157.56.192.53-10.8.8.130-443-33104-6,10.8.8.130,33104,157.56.192.53,443,6,03/06/2015 01:32:51 PM,29708096,11,11,1434.0,3517.0,805.0,0.0,130.36363636363637,292.69857284492275,725.0,0.0,319.72727272727275,266.6293648153147,166.65490780694932,0.7405388753287993,1414671.238095238,2993016.988545469,1.1126655E7,9.0,2.9645343E7,2964534.3,3850223.6051276885,1.1126655E7,44.0,2.9708082E7,2970808.1999999997,3956899.1120069656,1.1471647E7,63.0,0,0,0,0,352,352,0.3702694376643996,0.3702694376643996,0.0,805.0,215.2608695652174,287.0937790072506,82422.83794466405,0,0,0,0,1,0,0,0,1.0,225.04545454545453,130.36363636363637,319.72727272727275,0,0,0,0,0,0,11,1434,11,3517,-1,65400,2,0,1704649.0,2952494.5097769448,5113896.0,23.0,7758390.666666667,2983453.823424511,1.1126655E7,5448085.0,No Label
10.8.8.130-64.4.23.162-51146-40019-6,10.8.8.130,51146,64.4.23.162,40019,6,03/06/2015 01:32:12 PM,17622098,6,6,353.0,17.0,347.0,0.0,58.83333333333333,141.18132548841814,10.0,0.0,2.833333333333334,3.9200340134578764,20.996364905018687,0.6809631861087141,1602008.9090909096,4933097.1438807985,1.647034E7,27.0,1.7622057E7,3524411.4,7409048.298075455,1.6776298E7,248.0,1.7585783E7,3517156.6,7393270.714568506,1.6740815E7,44.0,0,1,0,0,192,192,0.34048159305435705,0.34048159305435705,0.0,347.0,28.692307692307693,95.6820991751545,9155.064102564102,0,0,0,1,1,0,0,0,1.0,31.083333333333332,58.833333333333336,2.8333333333333335,0,0,0,0,0,0,6,353,6,17,-1,54,3,0,575001.0,0.0,575001.0,575001.0,1.647034E7,0.0,1.647034E7,1.647034E7,No Label
2.30.116.54-10.8.8.130-58139-48835-6,10.8.8.130,48835,2.30.116.54,58139,6,03/06/2015 01:32:55 PM,28503643,25,21,1439.0,672.0,290.0,4.0,57.559999999999995,59.492352449705656,133.0,0.0,32.0,38.34057902536163,74.06070866099466,1.6138288007606607,633414.2888888888,1971689.3801654372,1.0127309E7,101.0,2.8173512E7,1173896.3333333337,2717468.478461761,1.0476332E7,101.0,2.8503643E7,1425182.1500000004,2862451.429835223,1.026679E7,133605.0,0,1,0,0,800,672,0.8770808699786199,0.7367479307820407,0.0,290.0,47.74468085106384,53.002652962767655,2809.281221091583,0,0,0,1,1,0,0,0,0.0,48.78260869565217,57.56,32.0,0,0,0,0,0,0,25,1439,21,672,-1,259,25,0,2973321.0,4014676.531932554,5812126.0,134516.0,8866837.0,1782576.59739154,1.0127309E7,7606365.0,No Label
10.8.8.130-86.4.212.228-59320-59222-6,86.4.212.228,59222,10.8.8.130,59320,6,03/06/2015 01:32:56 PM,28248594,15,15,342.0,25.0,49.0,0.0,22.799999999999997,13.534083957602324,21.0,0.0,1.6666666666666667,5.446711546122731,12.991797043066994,1.061999758288855,974089.4482758617,2698394.3837582455,1.2331235E7,14.0,2.0502397E7,1464456.9285714286,3300013.2928248467,1.2331235E7,71.0,2.8248594E7,2017756.714285714,3725037.8156021126,1.2573585E7,30.0,0,1,0,0,300,300,0.5309998791444275,0.5309998791444275,0.0,49.0,12.516129032258064,14.610204123013787,213.45806451612907,0,0,0,1,1,0,0,0,1.0,12.933333333333334,22.8,1.6666666666666667,0,0,0,0,0,0,15,342,15,25,-1,401,12,0,1811155.0,2561317.538152972,3622280.0,30.0,1.0038693E7,3242143.98870994,1.2331235E7,7746151.0,No Label
10.8.8.130-77.103.197.35-52719-47872-6,10.8.8.130,52719,77.103.197.35,47872,6,03/06/2015 01:33:06 PM,17996025,20,19,2414.0,1610.0,835.0,0.0,120.70000000000003,216.79340153097004,315.0,0.0,84.73684210526315,87.81662845906878,223.6049349786967,2.1671452445748436,473579.60526315816,2006783.4280256978,1.2484898E7,22.0,1.7652288E7,929067.789473684,2885620.641099233,1.2838383E7,929.0,1.7996025E7,999779.1666666666,2938104.9510816294,1.2771837E7,281752.0,0,1,0,0,640,608,1.111356535679407,1.0557887088954367,0.0,835.0,101.05000000000001,164.1978090987225,26960.920512820518,0,0,0,1,1,0,0,0,0.0,103.64102564102564,120.7,84.73684210526316,0,0,0,0,0,0,20,2414,19,1610,-1,257,16,0,353762.0,0.0,353762.0,353762.0,1.2484898E7,0.0,1.2484898E7,1.2484898E7,No Label
2.101.222.231-10.8.8.130-9396-34461-6,2.101.222.231,9396,10.8.8.130,34461,6,03/06/2015 01:33:06 PM,29988572,24,32,567.0,534.0,68.0,0.0,23.624999999999996,17.739203697632174,29.0,0.0,16.6875,12.18523035111267,36.713985580907284,1.8673780131978275,545246.7636363636,2329245.91548368,1.2886473E7,0.0,2.9659286E7,1289534.1739130437,3516592.53305771,1.2886473E7,136853.0,2.9988572E7,967373.2903225806,3105281.7166762734,1.3224068E7,135.0,0,1,0,0,768,1024,0.8003048627990689,1.0670731503987585,0.0,68.0,19.578947368421055,14.953436499945248,223.60526315789477,0,0,0,1,1,0,0,0,1.0,19.928571428571427,23.625,16.6875,0,0,0,0,0,0,24,567,32,534,-1,395,18,0,2591150.0,3199099.57051199,4853255.0,329045.0,1.24030155E7,683712.1533309906,1.2886473E7,1.1919558E7,No Label
10.8.8.130-77.103.197.35-52719-47872-6,10.8.8.130,52719,77.103.197.35,47872,6,03/06/2015 01:33:36 PM,22307157,29,28,4292.0,2031.0,907.0,0.0,148.00000000000003,229.8847537354315,321.0,0.0,72.53571428571429,77.60464005927841,283.4516294478942,2.5552337305914867,398342.0892857143,1662026.0878584336,1.2505446E7,23.0,2.195904E7,784251.4285714284,2393164.6287852502,1.2908636E7,723.0,2.2307157E7,826191.0000000001,2406127.2543666353,1.279718E7,280981.0,0,1,0,0,928,896,1.3000311962658442,1.2552025343256425,0.0,907.0,109.32758620689658,174.3125231211986,30384.855716878395,0,0,0,1,1,0,0,0,0.0,111.24561403508773,148.0,72.53571428571429,0,0,0,0,0,0,29,4292,28,2031,-1,258,25,0,4550569.0,0.0,4550569.0,4550569.0,1.2505446E7,0.0,1.2505446E7,1.2505446E7,No Label
10.8.8.130-86.4.212.228-59320-59222-6,86.4.212.228,59222,10.8.8.130,59320,6,03/06/2015 01:33:32 PM,26635505,61,62,1744.0,30.0,107.0,0.0,28.590163934426222,15.71769390334804,26.0,0.0,0.4838709677419354,3.3326105333033276,66.60282956902826,4.617896300445589,218323.81147540975,607285.611212637,3602680.0,8.0,2.6617396E7,443623.2666666668,809538.3758451452,3602698.0,39.0,2.6635505E7,436647.6229508197,811719.1028571227,3602697.0,34.0,0,1,0,0,1220,1252,2.2901762140421216,2.327720086403468,0.0,107.0,14.516129032258066,18.01601991316813,324.57697351167053,0,0,0,1,1,0,0,0,1.0,14.634146341463415,28.59016393442623,0.4838709677419355,0,0,0,0,0,0,61,1744,62,30,-1,421,58,0,0,0,0,0,0,0,0,0,No Label
2.30.116.54-10.8.8.130-58139-48835-6,10.8.8.130,48835,2.30.116.54,58139,6,03/06/2015 01:33:31 PM,27065472,134,88,8172.0,5317.0,608.0,4.0,60.98507462686564,94.55984182163554,472.0,0.0,60.42045454545456,93.73044275283026,498.38406660707784,8.202332477334961,122468.1990950226,405128.2765535518,3732303.0,40.0,2.6734954E7,201014.69172932333,564492.8230547362,4066564.0,66.0,2.7065472E7,311097.37931034475,606042.2421939886,3732303.0,40.0,0,1,0,0,4288,2828,4.950957441274255,3.251375036060705,0.0,608.0,60.96860986547083,93.85878745857501,8809.471983193956,0,0,0,1,1,0,0,0,0.0,61.24324324324324,60.985074626865675,60.42045454545455,0,0,0,0,0,0,134,8172,88,5317,-1,257,134,0,0,0,0,0,0,0,0,0,No Label
