Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
144.118.64.164-10.8.8.134-9987-49700-6,144.118.64.164,9987,10.8.8.134,49700,6,05/06/2015 09:50:21 AM,590,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3389.830508474576,590.0,0.0,590.0,590.0,0,0,0,0,0,590.0,590.0,0.0,590.0,590.0,0,0,0,0,0,64,0.0,3389.830508474576,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,229,0,0,0,0,0,0,0,0,0,0,No Label
174.21.67.7-10.8.8.134-36864-48866-6,10.8.8.134,48866,174.21.67.7,36864,6,05/06/2015 09:50:21 AM,216488,0,2,0.0,20.0,0,0,0,0,20.0,0.0,10.0,14.142135623730951,92.38387347104688,9.23838734710469,216488.0,0.0,216488.0,216488.0,0,0,0,0,0,216488.0,216488.0,0.0,216488.0,216488.0,0,1,0,0,0,64,0.0,9.23838734710469,0.0,20.0,13.333333333333332,11.547005383792516,133.33333333333334,0,0,0,1,1,0,0,0,0.0,20.0,0.0,10.0,0,0,0,0,0,0,0,0,2,20,-1,259,0,0,0,0,0,0,0,0,0,0,No Label
134.170.18.137-10.8.8.134-443-34251-6,10.8.8.134,34251,134.170.18.137,443,6,05/06/2015 09:50:23 AM,321556,2,3,0.0,1631.0,0.0,0.0,0.0,0.0,885.0,101.0,543.6666666666666,401.70304122987835,5072.211372202664,15.549391085845079,80389.0,160711.33441256304,321456.0,13.0,42.0,42.0,0.0,42.0,42.0,321543.0,160771.5,227242.1991631396,321456.0,87.0,0,1,0,0,64,96,6.219756434338031,9.329634651507046,0.0,885.0,379.3333333333333,390.4134560522558,152422.6666666667,0,0,0,1,1,0,0,0,1.0,455.2,0.0,543.6666666666666,0,0,0,0,0,0,2,0,3,1631,-1,64755,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.134-99.29.0.18-15685-46385-17,10.8.8.134,15685,99.29.0.18,46385,17,05/06/2015 09:50:22 AM,14169606,1,3,21.0,63.0,21.0,21.0,21.0,0.0,21.0,21.0,21.0,0.0,5.928181771603247,0.2822943700763451,4723202.0,7759650.978046435,1.3683275E7,241690.0,0,0,0,0,0,1.4169606E7,7084803.0,9673449.869229075,1.3924965E7,244641.0,0,0,0,0,8,24,0.07057359251908628,0.21172077755725882,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,26.25,21.0,21.0,0,0,0,0,0,0,1,21,3,63,-1,-1,1,0,244641.0,0.0,244641.0,244641.0,1.3683275E7,0.0,1.3683275E7,1.3683275E7,No Label
10.8.8.134-68.190.134.49-15685-5840-17,10.8.8.134,15685,68.190.134.49,5840,17,05/06/2015 09:50:23 AM,13621805,1,3,21.0,63.0,21.0,21.0,21.0,0.0,21.0,21.0,21.0,0.0,6.166583650257803,0.29364684048846684,4540601.666666666,7456135.211577399,1.3150205E7,235446.0,0,0,0,0,0,1.3621805E7,6810902.5,9298098.497892164,1.3385651E7,236154.0,0,0,0,0,8,24,0.07341171012211671,0.22023513036635012,21.0,21.0,21.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,26.25,21.0,21.0,0,0,0,0,0,0,1,21,3,63,-1,-1,1,0,236154.0,0.0,236154.0,236154.0,1.3150205E7,0.0,1.3150205E7,1.3150205E7,No Label
130.88.8.60-10.8.8.134-56289-56604-6,10.8.8.134,56604,130.88.8.60,56289,6,05/06/2015 09:50:21 AM,24175746,7,8,99.0,38.0,30.0,0.0,14.142857142857144,13.171036044145898,20.0,0.0,4.75,7.851296526234195,5.666836506306775,0.6204565517854134,1726839.0,3956868.717064056,1.3194245E7,68.0,2.3508057E7,3918009.4999999995,5697316.863840267,1.352825E7,199.0,2.4175746E7,3453678.0,5262987.464140052,1.3341211E7,330621.0,0,1,0,0,224,256,0.2895463908331929,0.3309101609522205,0.0,30.0,9.8125,11.291405286027658,127.49583333333332,0,0,0,1,1,0,0,0,1.0,10.466666666666667,14.142857142857142,4.75,0,0,0,0,0,0,7,99,8,38,-1,258,5,0,1134832.0,1396913.487864585,2122599.0,147065.0,1.07877305E7,3403325.4439475075,1.3194245E7,8381216.0,No Label
10.8.8.134-68.190.134.49-55199-5840-6,10.8.8.134,55199,68.190.134.49,5840,6,05/06/2015 09:50:21 AM,15427497,14,11,174.0,177.0,65.0,0.0,12.428571428571427,18.45874520993436,89.0,0.0,16.09090909090909,28.99811906125825,22.751584395057733,1.620483219021206,642812.375,2617696.338976245,1.2916964E7,28.0,1.5191731E7,1168594.6923076923,3532599.755428297,1.2916964E7,272.0,1.5426711E7,1542671.1,4093766.6728165704,1.3190815E7,75090.0,0,0,0,0,448,368,0.9074706026518754,0.7130126163693307,0.0,89.0,13.499999999999998,22.900218339570475,524.42,0,1,0,0,0,0,0,0,0.0,14.04,12.428571428571429,16.09090909090909,0,0,0,0,0,0,14,174,11,177,-1,260,7,0,2277413.0,0.0,2277413.0,2277413.0,1.2916964E7,0.0,1.2916964E7,1.2916964E7,No Label
10.8.8.134-99.29.0.18-44588-46385-6,10.8.8.134,44588,99.29.0.18,46385,6,05/06/2015 09:50:21 AM,15661658,12,16,189.0,197.0,56.0,0.0,15.749999999999998,16.949792168208276,98.0,0.0,12.312499999999998,28.075419260745985,24.646177307664363,1.78780560780985,580061.4074074074,2561611.616061598,1.3384724E7,20.0,1.5415152E7,1401377.4545454544,4057027.1391385924,1.3628876E7,886.0,1.5661623E7,1044108.2,3483578.9179938864,1.3628341E7,36.0,0,0,0,0,384,532,0.7662024033470786,1.0216032044627714,0.0,98.0,13.310344827586205,23.336212583321874,544.5788177339901,0,1,0,0,0,0,0,0,1.0,13.785714285714286,15.75,12.3125,0,0,0,0,0,0,12,189,16,197,-1,8244,8,0,2033191.0,0.0,2033191.0,2033191.0,1.3384724E7,0.0,1.3384724E7,1.3384724E7,No Label
157.56.52.13-10.8.8.134-40011-56748-6,157.56.52.13,40011,10.8.8.134,56748,6,05/06/2015 09:50:27 AM,29976501,15,17,264.0,208.0,69.0,0.0,17.6,26.588934325606747,50.0,0.0,12.235294117647058,21.631948050755582,15.745666914227249,1.0675028416425254,966983.9032258065,3138157.8680003164,1.3525051E7,21.0,2.9620364E7,2115740.285714286,4487334.020336085,1.3525051E7,274496.0,2.9976501E7,1873531.3125,4360699.555409762,1.3835947E7,278.0,0,1,0,0,480,544,0.5003919570199338,0.5671108846225915,0.0,69.0,14.424242424242422,23.535917104276898,553.9393939393938,0,0,0,1,1,0,0,0,1.0,14.875,17.6,12.235294117647058,0,0,0,0,0,0,15,264,17,208,-1,695,10,0,2302464.5,1187029.3459660127,3141821.0,1463108.0,1.2666055E7,1214803.7932242393,1.3525051E7,1.1807059E7,No Label
10.8.8.130-10.8.8.134-49539-15685-17,10.8.8.134,15685,10.8.8.130,49539,17,05/06/2015 09:50:27 AM,29934432,12,1,336.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,12.159910032700804,0.43428250116788586,2494536.0,3074175.204614639,8709658.0,202435.0,2.9731997E7,2702908.818181818,3134082.745177824,8709658.0,204444.0,0,0,0,0,0,0,0,0,0,96,8,0.4008761549242023,0.03340634624368353,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,30.153846153846153,28.0,28.0,0,0,0,0,0,0,12,336,1,28,-1,-1,12,0,6283167.5,12420.330611541707,6291950.0,6274385.0,8684048.5,36217.302225593776,8709658.0,8658439.0,No Label
