Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,05/06/2015 09:50:21 AM,24035225,6,9,98.0,39.0,30.0,0.0,16.333333333333336,12.738393409950358,20.0,0.0,4.333333333333333,7.681145747868608,5.699967443616608,0.6240840266733513,1716801.7857142854,3931466.784426455,1.2201924E7,36.0,2.3698619E7,4739723.8,5750530.119860185,1.2202153E7,327422.0,2.3708384E7,2963548.0,4954527.597715678,1.2201991E7,514.0,0,1,0,0,192,288,0.2496336106693405,0.3744504160040108,0.0,30.0,9.8125,11.291405286027658,127.49583333333332,0,0,0,1,1,0,0,0,1.0,10.466666666666667,16.333333333333332,4.333333333333333,0,0,0,0,0,0,6,98,9,39,-1,282,5,0,957669.5,1170686.6940392293,1785470.0,129869.0,1.0896232E7,1846527.3346820513,1.2201924E7,9590540.0,No Label
213.199.179.140-10.8.8.130-40004-49539-17,10.8.8.130,49539,213.199.179.140,40004,17,05/06/2015 09:50:27 AM,29917314,4,5,88.0,414.0,22.0,22.0,22.0,0.0,98.0,22.0,82.8,33.988233257996804,16.77958121507833,0.30082914529024896,3739664.25,1.0324366210552763E7,2.9290874E7,938.0,2.9736508E7,9912169.333333332,1.6896983574372124E7,2.9423102E7,130554.0,2.9916376E7,7479094.0,1.4627619984078908E7,2.942049E7,129005.0,0,0,0,0,32,40,0.13370184235122176,0.1671273029390272,22.0,98.0,52.4,39.24623124156849,1540.2666666666667,0,0,0,0,0,0,0,0,1.0,58.22222222222222,22.0,82.8,0,0,0,0,0,0,4,88,5,414,-1,-1,4,0,495886.0,0.0,495886.0,495886.0,2.9290874E7,0.0,2.9290874E7,2.9290874E7,No Label
213.199.179.153-10.8.8.130-40033-49539-17,10.8.8.130,49539,213.199.179.153,40033,17,05/06/2015 09:50:27 AM,29917355,4,5,88.0,414.0,22.0,22.0,22.0,0.0,98.0,22.0,82.8,33.988233257996804,16.77955821963539,0.30082873302135166,3739669.3750000005,1.0325954782206286E7,2.9294817E7,1418.0,2.9736519E7,9912173.0,1.6897323902302045E7,2.9423499E7,130561.0,2.9915937E7,7478984.25,1.4630004594424851E7,2.942396E7,129143.0,0,0,0,0,32,40,0.13370165912060072,0.1671270739007509,22.0,98.0,52.4,39.24623124156849,1540.2666666666667,0,0,0,0,0,0,0,0,1.0,58.22222222222222,22.0,82.8,0,0,0,0,0,0,4,88,5,414,-1,-1,4,0,491977.0,0.0,491977.0,491977.0,2.9294817E7,0.0,2.9294817E7,2.9294817E7,No Label
157.56.52.13-10.8.8.130-40011-49539-17,10.8.8.130,49539,157.56.52.13,40011,17,05/06/2015 09:50:26 AM,29932950,4,5,402.0,352.0,108.0,93.0,100.5,8.660254037844387,108.0,61.0,70.4,21.019038988498025,25.189632161213645,0.30067200192430077,3741618.7499999995,5861251.8201194815,1.3248217E7,1067.0,2.9054178E7,9684726.0,7635705.99537587,1.4112713E7,867801.0,1.6745505E7,4186376.25,6618788.016106945,1.4114549E7,865563.0,0,0,0,0,32,40,0.1336320008552448,0.167040001069056,61.0,108.0,86.19999999999999,22.444004396126225,503.73333333333335,0,0,0,0,0,0,0,0,1.0,95.77777777777777,100.5,70.4,0,0,0,0,0,0,4,402,5,352,-1,-1,4,0,1748644.0,7602.8121113177585,1754020.0,1743268.0,1.3217831E7,42972.29330626887,1.3248217E7,1.3187445E7,No Label
10.8.8.130-10.8.8.134-49539-15685-17,10.8.8.130,49539,10.8.8.134,15685,17,05/06/2015 09:50:19 AM,29955688,12,1,336.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,12.15128158632177,0.43397434236863464,2496307.3333333335,3073059.7372190454,8703896.0,202224.0,2.1251792E7,1931981.0909090908,2486833.2351080743,8664558.0,202224.0,0,0,0,0,0,0,0,0,0,96,8,0.40059170064797045,0.033382641720664206,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,30.153846153846153,28.0,28.0,0,0,0,0,0,0,12,336,1,28,-1,-1,12,0,6315600.0,0.0,6315600.0,6315600.0,8684227.0,27816.166558316407,8703896.0,8664558.0,No Label
151.236.19.39-10.8.8.130-15685-49539-17,10.8.8.130,49539,151.236.19.39,15685,17,05/06/2015 09:50:19 AM,29955663,12,1,336.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,12.151291727377224,0.4339747045491866,2496305.25,3073046.024768618,8703802.0,202192.0,2.1251861E7,1931987.3636363635,2486839.6254479005,8664587.0,202192.0,0,0,0,0,0,0,0,0,0,96,8,0.4005920349684799,0.03338266958070666,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,30.153846153846153,28.0,28.0,0,0,0,0,0,0,12,336,1,28,-1,-1,12,0,6315618.0,0.0,6315618.0,6315618.0,8684194.5,27729.19242423046,8703802.0,8664587.0,No Label
151.236.19.39-10.8.8.130-49539-15685-17,151.236.19.39,49539,10.8.8.130,15685,17,05/06/2015 09:50:19 AM,29952411,12,1,336.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,12.152611020194668,0.43402182214980956,2496034.25,3072379.7076539616,8701313.0,204234.0,2.1251098E7,1931918.0,2486537.8501882087,8663858.0,204234.0,0,0,0,0,0,0,0,0,0,96,8,0.40063552813828573,0.033386294011523814,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,30.153846153846153,28.0,28.0,0,0,0,0,0,0,12,336,1,28,-1,-1,12,0,6315989.0,0.0,6315989.0,6315989.0,8682585.5,26484.684489342137,8701313.0,8663858.0,No Label
130.88.8.60-10.8.8.130-56289-49539-17,10.8.8.130,49539,130.88.8.60,56289,17,05/06/2015 09:50:33 AM,20230040,1,3,22.0,66.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,4.349966683209722,0.19772575832771463,6743346.666666666,1.1450700067362228E7,1.9965476E7,130294.0,0,0,0,0,0,2.023004E7,1.011502E7,1.4114912012655267E7,2.009577E7,134270.0,0,0,0,0,8,24,0.04943143958192866,0.14829431874578597,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,27.5,22.0,22.0,0,0,0,0,0,0,1,22,3,66,-1,-1,1,0,134270.0,0.0,134270.0,134270.0,1.9965476E7,0.0,1.9965476E7,1.9965476E7,No Label
157.56.192.53-10.8.8.130-443-51906-6,10.8.8.130,51906,157.56.192.53,443,6,05/06/2015 09:50:34 AM,1181940,2,4,0.0,1615.0,0.0,0.0,0.0,0.0,885.0,0.0,403.75,423.0881507834193,1366.3976174763525,5.076399817249607,236388.0,350710.7136358968,809648.0,23.0,33528.0,33528.0,0.0,33528.0,33528.0,1181917.0,393972.3333333334,390991.2607083863,809648.0,33542.0,0,1,0,0,64,128,1.6921332724165354,3.384266544833071,0.0,885.0,320.57142857142856,379.76872661435107,144224.2857142857,0,0,0,1,1,0,0,0,2.0,374.0,0.0,403.75,0,0,0,0,0,0,2,0,4,1615,-1,64771,0,0,0,0,0,0,0,0,0,0,No Label
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,05/06/2015 09:50:53 AM,28770235,79,93,2810.0,16968.0,340.0,0.0,35.569620253164544,50.98584105725317,1308.0,0.0,182.45161290322574,354.9071377664694,687.4465919378135,5.978400941111534,168246.98830409354,1068715.9469845053,1.3943823E7,3.0,2.8637488E7,367147.2820512822,1577487.5289752001,1.3984847E7,17.0,2.8770235E7,312719.94565217383,1450370.5422032967,1.3943887E7,3.0,0,1,0,0,2540,2976,2.7458934555105303,3.232507485601004,0.0,1308.0,114.41040462427753,271.970521030716,73967.96430971911,0,0,0,1,1,0,0,0,1.0,115.07558139534883,35.56962025316456,182.4516129032258,0,0,0,0,0,0,79,2810,93,16968,-1,325,58,0,173709.0,0.0,173709.0,173709.0,1.3943823E7,0.0,1.3943823E7,1.3943823E7,No Label
