Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-54.240.190.206-55583-443-6,54.240.190.206,443,10.8.8.138,55583,6,24/05/2015 02:15:17 PM,64,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,484375.0,46875.0,32.0,12.727922061357855,41.0,23.0,0,0,0,0,0,41.0,41.0,0.0,41.0,41.0,0,1,0,0,32,64,15625.0,31250.0,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,539,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.240.190.206-55584-443-6,54.240.190.206,443,10.8.8.138,55584,6,24/05/2015 02:15:17 PM,115,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,269565.2173913043,26086.95652173913,57.5,10.606601717798213,65.0,50.0,0,0,0,0,0,65.0,65.0,0.0,65.0,65.0,0,1,0,0,32,64,8695.652173913044,17391.304347826088,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,539,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-104.156.85.217-33974-443-6,10.8.8.138,33974,104.156.85.217,443,6,24/05/2015 02:15:00 PM,18842747,5,4,568.0,156.0,517.0,0.0,113.6,226.58618669283442,156.0,0.0,39.0,78.0,38.423272360447235,0.47763736359671977,2355343.375,6485021.32661672,1.8403936E7,10.0,1.8709549E7,4677387.25,9265547.808715949,1.8575394E7,406.0,438811.0,146270.33333333334,22528.046726987526,172283.0,133127.0,0,0,0,0,160,144,0.2653540908870665,0.21228327270965322,0.0,517.0,72.4,163.9133917652856,26867.600000000002,0,1,0,0,0,0,0,0,0.0,80.44444444444444,113.6,39.0,0,0,0,0,0,0,5,568,4,156,-1,31,2,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.240.190.206-55583-443-6,10.8.8.138,55583,54.240.190.206,443,6,24/05/2015 02:15:17 PM,1377847,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4515399750480278,1377847.0,0.0,1377847.0,1377847.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.7257699875240139,0.7257699875240139,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,539,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.240.190.206-55584-443-6,10.8.8.138,55584,54.240.190.206,443,6,24/05/2015 02:15:17 PM,1353958,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.477150694482399,1353958.0,0.0,1353958.0,1353958.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.7385753472411996,0.7385753472411996,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,539,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-104.156.85.217-33974-443-6,104.156.85.217,443,10.8.8.138,33974,6,24/05/2015 02:15:19 PM,139,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,223021.58273381297,21582.733812949642,69.5,64.34671708797582,115.0,24.0,0,0,0,0,0,24.0,24.0,0.0,24.0,24.0,0,1,0,0,32,52,7194.244604316547,14388.489208633095,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
172.230.99.79-10.8.8.138-443-50673-6,10.8.8.138,50673,172.230.99.79,443,6,24/05/2015 02:15:00 PM,20226211,5,4,2058.0,2052.0,1029.0,0.0,411.6,563.6065116728159,981.0,357.0,513.0,312.0,203.20167726916327,0.4449671765018174,2528276.375,4482307.6329226075,9789421.0,10.0,2.001286E7,5003215.0,5525724.830283354,9789421.0,214568.0,2.0226193E7,6742064.333333333,5654091.003187456,1.0008863E7,213283.0,0,1,0,0,160,128,0.2472039869454541,0.1977631895563633,0.0,1029.0,509.09999999999997,451.28494324539565,203658.09999999998,0,0,0,1,1,0,0,0,0.0,565.6666666666666,411.6,513.0,0,0,0,0,0,0,5,2058,4,2052,-1,1320,2,0,213959.5,860.5489527040284,214568.0,213351.0,9788632.5,1115.1073939311855,9789421.0,9787844.0,No Label
10.8.8.138-104.156.85.217-33969-443-6,10.8.8.138,33969,104.156.85.217,443,6,24/05/2015 02:15:00 PM,563066,5,7,2019.0,2422.0,1040.0,0.0,403.8,431.72699707106574,1026.0,0.0,346.00000000000006,445.1726256932996,7887.174860495928,21.311888837187826,51187.818181818184,64239.87852855605,136073.0,16.0,562866.0,140716.5,162651.8518482549,297228.0,60.0,524550.0,87425.0,67786.06960430734,136273.0,19.0,0,1,0,0,160,224,8.879953682161595,12.431935155026233,0.0,1040.0,420.53846153846155,441.7296713648547,195125.10256410253,0,0,0,1,1,0,0,0,1.0,455.5833333333333,403.8,346.0,0,0,0,0,0,0,5,2019,7,2422,-1,85,3,0,0,0,0,0,0,0,0,0,No Label
209.148.205.41-10.8.8.138-443-60124-6,10.8.8.138,60124,209.148.205.41,443,6,24/05/2015 02:15:00 PM,29988439,3009,13097,1343.0,1.6925274E7,775.0,0.0,0.4463276836158187,17.00590070779198,1308.0,0.0,1292.3015957852967,106.70110325105121,564438.0822889782,537.0736369438903,1862.0576839490916,12503.011932399777,215458.0,0.0,2.9773418E7,9898.077792553206,31538.153801047327,240000.0,6.0,2.9971588E7,2288.60629199756,16857.67539921035,498421.0,4.0,0,0,0,0,134228,419120,100.33866717770805,436.73496976618225,0.0,1308.0,1050.8857639535674,512.7571532046398,262919.8981625265,0,1,0,0,0,0,0,0,4.0,1050.9510120452005,0.4463276836158192,1292.3015957852942,0,0,0,0,0,0,3009,1343,13097,16925274,-1,535,3,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-64.233.181.120-57517-443-6,10.8.8.138,57517,64.233.181.120,443,6,24/05/2015 02:15:20 PM,13868528,1,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,4.542659466094744,0.3605285290551384,3467132.0,6781493.253954372,1.3638067E7,8.0,0,0,0,0,0,1.3868528E7,4622842.666666666,7808263.139779828,1.3638067E7,31.0,0,0,0,0,32,128,0.07210570581102768,0.2884228232441107,0.0,63.0,10.5,25.71964229922337,661.5,0,0,0,0,1,0,0,0,4.0,12.6,0.0,15.75,0,0,0,0,0,0,1,0,4,63,-1,350,0,0,230430.0,0.0,230430.0,230430.0,1.3638067E7,0.0,1.3638067E7,1.3638067E7,No Label
