Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 12:43:07 PM,59339515,60,1,3000.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,51.399139342476936,1.0279827868495386,988991.9166666669,1408783.8708618935,7092466.0,57.0,5.9105766E7,1001792.6440677969,1417352.973408673,7092466.0,57.0,0,0,0,0,0,0,0,0,0,480,8,1.0111306100159396,0.016852176833598995,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.81967213114754,50.0,50.0,0,0,0,0,0,0,60,3000,1,50,-1,-1,60,0,6061655.5,6416941.00625933,1.0599118E7,1524193.0,6349835.5,1050238.1249319129,7092466.0,5607205.0,No Label
131.202.240.242-178.237.18.202-31773-443-6,131.202.240.242,31773,178.237.18.202,443,6,29/04/2015 12:43:22 PM,59996887,2,3,12.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,2.0,3.4641016151377544,0.30001556580760597,0.08333765716877944,1.499922175E7,1.7120599712052464E7,2.9827354E7,172005.0,2.9996843E7,2.9996843E7,0.0,2.9996843E7,2.9996843E7,3.0172049E7,1.50860245E7,2.109063991010658E7,2.9999359E7,172690.0,0,1,0,0,40,60,0.033335062867511776,0.05000259430126766,0.0,6.0,4.0,3.0983866769659336,9.6,0,0,0,1,1,0,0,0,1.0,4.8,6.0,2.0,0,0,0,0,0,0,2,12,3,6,-1,16384,2,0,172347.5,484.36814511278504,172690.0,172005.0,2.9826096E7,1779.0806614653536,2.9827354E7,2.9824838E7,No Label
131.202.240.242-178.237.19.227-31776-443-6,131.202.240.242,31776,178.237.19.227,443,6,29/04/2015 12:43:21 PM,59997142,2,3,12.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,2.0,3.4641016151377544,0.3000142906807128,0.08333730296686466,1.49992855E7,1.7119460878219005E7,2.9826195E7,173050.0,2.9997202E7,2.9997202E7,0.0,2.9997202E7,2.9997202E7,3.017299E7,1.5086495E7,2.108981330227937E7,2.9999245E7,173745.0,0,1,0,0,40,60,0.033334921186745865,0.050002381780118794,0.0,6.0,4.0,3.0983866769659336,9.6,0,0,0,1,1,0,0,0,1.0,4.8,6.0,2.0,0,0,0,0,0,0,2,12,3,6,-1,16384,2,0,173397.5,491.4392129246505,173745.0,173050.0,2.98251735E7,1444.6191539641165,2.9826195E7,2.9824152E7,No Label
131.202.240.242-205.188.12.43-31783-443-6,131.202.240.242,31783,205.188.12.43,443,6,29/04/2015 12:43:23 PM,33255725,20,22,828.0,3192.0,202.0,0.0,41.4,68.12403548327356,382.0,0.0,145.0909090909091,106.40753154999307,120.8814422178437,1.2629404410819491,811115.2439024389,1531358.7149828216,5425899.0,26.0,3.3196594E7,1747189.1578947369,1895868.5601895936,5449798.0,25487.0,3.3223045E7,1582049.761904762,1877096.2402722964,5480464.0,34.0,0,1,0,0,400,440,0.6014002100390234,0.6615402310429257,0.0,382.0,97.44186046511628,102.8149753604066,10570.919158361017,0,0,0,1,1,0,0,0,1.0,99.76190476190476,41.4,145.0909090909091,0,0,0,0,0,0,20,828,22,3192,-1,16384,6,0,5423876.666666666,4812029.641063772,9278209.0,30629.0,5291769.0,136779.847331396,5425899.0,5152485.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 12:43:26 PM,59999282,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666674644539913,1.9999760666666668E7,1.952023456343008E7,3.9003937E7,1458.0,5.9997824E7,2.9998912E7,1.273502848450878E7,3.9003937E7,2.0993887E7,0,0,0,0,0,0,0,0,0,0,0,0.050000598340493474,0.016666866113497825,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,1458.0,0.0,1458.0,1458.0,2.9998912E7,1.273502848450878E7,3.9003937E7,2.0993887E7,No Label
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.242,51434,131.202.240.45,161,17,29/04/2015 12:43:31 PM,30038932,7,9,553.0,831.0,79.0,79.0,79.0,0.0,94.0,79.0,92.33333333333333,5.0,46.073542161885115,0.5326421059177471,2002595.4666666668,7739044.793397179,2.9977571E7,48.0,3.0008505E7,5001417.5,1.2250775855837733E7,3.0008209E7,48.0,3.0038932E7,3754866.5,1.0599030632070813E7,2.9986129E7,7164.0,0,0,0,0,56,72,0.23303092133901432,0.2996111845787327,79.0,94.0,86.05882352941177,7.717436331412898,59.55882352941177,0,0,0,0,0,0,0,0,1.0,91.4375,79.0,92.33333333333333,0,0,0,0,0,0,7,553,9,831,-1,-1,7,0,30825.0,0.0,30825.0,30825.0,2.9977571E7,0.0,2.9977571E7,2.9977571E7,No Label
131.202.240.242-131.202.6.26-32445-13000-6,131.202.240.242,32445,131.202.6.26,13000,6,29/04/2015 12:44:33 PM,1385501,9,14,1424.0,5707.0,506.0,0.0,158.22222222222223,206.0059330321446,1350.0,0.0,407.6428571428572,534.6953995778067,5146.874668441235,16.60049325117773,62977.318181818184,225544.74738927957,1067172.0,29.0,1384905.0,173113.125,366317.5695339603,1067172.0,962.0,264901.0,20377.0,26847.9003617291,79218.0,82.0,0,0,0,0,180,304,6.495845185243461,10.104648065934272,0.0,1350.0,297.125,441.79104961705497,195179.33152173914,0,1,0,0,0,0,0,0,1.0,310.04347826086956,158.22222222222223,407.64285714285717,0,0,0,0,0,0,9,1424,14,5707,-1,32768,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.6.26-32445-13000-6,131.202.6.26,13000,131.202.240.242,32445,6,29/04/2015 12:44:34 PM,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25641.02564102564,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32768,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-38.124.168.125-32446-80-6,131.202.240.242,32446,38.124.168.125,80,6,29/04/2015 12:44:34 PM,6880101,39,33,3873.0,28494.0,246.0,0.0,99.30769230769232,114.63676131387528,1350.0,0.0,863.4545454545456,490.3393653193859,4704.436751727918,10.464962650984338,96902.83098591547,263126.6806837663,2021997.0,10.0,6785995.0,178578.81578947368,344399.03268971853,2021997.0,48.0,6840021.0,213750.65624999997,418681.2496784366,2170725.0,14.0,0,0,0,0,780,684,5.668521435949851,4.796441215034489,0.0,1350.0,443.3835616438357,511.3995402090497,261529.48972602742,0,1,0,0,0,0,0,0,0.0,449.5416666666667,99.3076923076923,863.4545454545455,0,0,0,0,0,0,39,3873,33,28494,-1,1033,17,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-38.124.168.125-32446-80-6,38.124.168.125,80,131.202.240.242,32446,6,29/04/2015 12:44:41 PM,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,49999.99999999999,49999.99999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1033,0,0,0,0,0,0,0,0,0,0,No Label
