Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-209.148.205.32-51534-443-6,131.202.240.150,51534,209.148.205.32,443,6,30/03/2015 09:20:52 AM,11293,2,1,53.0,69.0,53.0,0.0,26.5,37.476659402887016,69.0,69.0,69.0,0.0,10803.152395289118,265.6512884087488,5646.5,7972.6289578783235,11284.0,9.0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,0,0,1,0,0,64,32,177.10085893916587,88.55042946958294,0.0,69.0,47.75,32.714675605911175,1070.2499999999998,0,0,0,1,1,0,0,0,0.0,63.666666666666664,26.5,69.0,0,0,0,0,0,0,2,53,1,69,-1,349,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-209.148.205.32-51535-443-6,131.202.240.150,51535,209.148.205.32,443,6,30/03/2015 09:20:52 AM,17052,2,1,53.0,69.0,53.0,0.0,26.5,37.476659402887016,69.0,69.0,69.0,0.0,7154.585972319962,175.93244194229413,8526.0,12049.09955141877,17046.0,6.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,0,0,1,0,0,64,32,117.2882946281961,58.64414731409805,0.0,69.0,47.75,32.714675605911175,1070.2499999999998,0,0,0,1,1,0,0,0,0.0,63.666666666666664,26.5,69.0,0,0,0,0,0,0,2,53,1,69,-1,316,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-54.235.169.60-39150-443-6,54.235.169.60,443,131.202.240.150,39150,6,30/03/2015 09:20:53 AM,153,0,3,0.0,37.0,0,0,0,0,37.0,0.0,12.333333333333332,21.361959960016154,241830.06535947713,19607.843137254902,76.5,47.37615433949868,110.0,43.0,0,0,0,0,0,153.0,76.5,47.37615433949868,110.0,43.0,0,1,0,0,0,96,0.0,19607.843137254902,0.0,37.0,18.5,21.361959960016154,456.3333333333333,0,0,0,1,1,0,0,0,0.0,24.666666666666668,0.0,12.333333333333334,0,0,0,0,0,0,0,0,3,37,-1,340,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.252.100.27-56824-443-6,131.202.240.150,56824,173.252.100.27,443,6,30/03/2015 09:20:58 AM,2368064,11,8,511.0,3581.0,208.0,0.0,46.45454545454545,72.78786112582733,1338.0,0.0,447.625,584.9854546421279,1727.9938380043784,8.023431799140564,131559.1111111111,453904.39229124127,1938553.0,5.0,2231586.0,223158.59999999998,605323.4304849304,1938553.0,12.0,414936.0,59276.571428571435,73435.51110749517,139324.0,68.0,0,0,0,0,352,272,4.645144725818221,3.3782870733223427,0.0,1338.0,204.60000000000002,412.81426943921355,170415.62105263158,0,1,0,0,0,0,0,0,0.0,215.3684210526316,46.45454545454545,447.625,0,0,0,0,0,0,11,511,8,3581,-1,63,5,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.252.100.27-56824-443-6,131.202.240.150,56824,173.252.100.27,443,6,30/03/2015 09:21:00 AM,211611,2,4,0.0,76.0,0.0,0.0,0.0,0.0,45.0,0.0,19.0,22.67156809750927,359.1495716196228,28.35391354891759,42322.2,94616.31018592937,211577.0,1.0,6.0,6.0,0.0,6.0,6.0,211611.0,70537.0,122144.22364156235,211577.0,4.0,0,0,0,0,40,128,9.451304516305864,18.90260903261173,0.0,45.0,10.857142857142856,18.97743020387263,360.1428571428571,1,0,0,0,1,0,0,0,2.0,12.666666666666666,0.0,19.0,0,0,0,0,0,0,2,0,4,76,-1,63,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-31.13.73.7-55349-443-6,131.202.240.150,55349,31.13.73.7,443,6,30/03/2015 09:20:58 AM,5084102,4,3,76.0,82.0,45.0,0.0,19.0,22.67156809750927,41.0,0.0,27.333333333333332,23.671361036774655,31.077267922634128,1.3768409839141702,847350.3333333333,1993814.7552995656,4915547.0,14.0,4937743.0,1645914.3333333335,2831606.6244168403,4915547.0,19.0,146345.0,73172.5,103437.70127231174,146314.0,31.0,0,1,0,0,128,96,0.786766276522383,0.5900747073917872,0.0,45.0,24.875,20.972345737048247,439.8392857142857,0,0,0,1,1,0,0,0,0.0,28.428571428571427,19.0,27.333333333333332,0,0,0,0,0,0,4,76,3,82,-1,77,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-31.13.73.7-55349-443-6,31.13.73.7,443,131.202.240.150,55349,6,30/03/2015 09:21:03 AM,53,3,3,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,1433962.2641509434,113207.54716981133,10.6,11.058933040759403,28.0,1.0,25.0,12.5,9.192388155425117,19.0,6.0,52.0,26.0,24.041630560342615,43.0,9.0,0,0,0,0,96,72,56603.77358490566,56603.77358490566,0.0,45.0,10.857142857142856,18.97743020387263,360.1428571428571,0,0,0,0,1,0,0,0,1.0,12.666666666666666,25.333333333333332,0.0,0,0,0,0,0,0,3,76,3,0,-1,0,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.238-47531-443-6,131.202.240.150,47531,216.58.219.238,443,6,30/03/2015 09:21:08 AM,25516,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,4154.2561530020375,156.76438313215237,8505.333333333332,14690.107907477513,25468.0,9.0,0,0,0,0,0,25516.0,8505.333333333332,14690.107907477513,25468.0,9.0,0,1,0,0,0,128,0.0,156.76438313215237,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.238-47531-443-6,131.202.240.150,47531,216.58.219.238,443,6,30/03/2015 09:21:08 AM,142,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,542253.5211267605,21126.76056338028,71.0,76.36753236814714,125.0,17.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,0,1,0,0,64,32,14084.507042253521,7042.2535211267605,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,330,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.226-56170-443-6,131.202.240.150,56170,216.58.219.226,443,6,30/03/2015 09:21:09 AM,25623,0,4,0.0,106.0,0,0,0,0,60.0,0.0,26.5,31.12876483254676,4136.908246497288,156.10974515084104,8541.0,14736.299264062196,25557.0,15.0,0,0,0,0,0,25623.0,8541.0,14736.299264062196,25557.0,15.0,0,1,0,0,0,128,0.0,156.10974515084104,0.0,60.0,30.4,28.333725487482226,802.8,0,0,0,1,1,0,0,0,0.0,38.0,0.0,26.5,0,0,0,0,0,0,0,0,4,106,-1,556,0,0,0,0,0,0,0,0,0,0,No Label
