Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-173.194.123.100-50816-443-17,131.202.240.242,50816,173.194.123.100,443,17,29/04/2015 01:20:25 PM,46181241,41,34,7646.0,4697.0,1045.0,40.0,186.4878048780488,183.62599515744213,439.0,32.0,138.14705882352942,112.88265088079399,267.2730254260599,1.6240360452851408,624070.8243243245,2234417.5818094555,1.4805904E7,61.0,4.618113E7,1154528.2499999998,2952980.3922394845,1.4805904E7,61.0,4.6154986E7,1398635.9393939392,3220314.722970023,1.4832208E7,191.0,0,0,0,0,328,272,0.8878063714225436,0.7362296738625972,32.0,1045.0,167.00000000000006,156.89665388401374,24616.56,0,0,0,0,0,0,0,0,0.0,169.22666666666666,186.4878048780488,138.14705882352942,0,0,0,0,0,0,41,7646,34,4697,-1,-1,41,0,2591976.0,1729525.204026238,3814935.0,1369017.0,1.2634693E7,3070556.04297365,1.4805904E7,1.0463482E7,No Label
131.202.240.242-74.125.26.189-61417-443-17,74.125.26.189,443,131.202.240.242,61417,17,29/04/2015 01:20:28 PM,49039659,45,45,23606.0,4134.0,1350.0,47.0,524.5777777777778,384.05832232812634,428.0,37.0,91.8666666666667,112.0133108973296,565.6646185080529,1.835249303018196,551007.4044943821,1076471.1400308472,4309785.0,59.0,4.8331696E7,1098447.636363636,1344267.564527554,4334113.0,59.0,4.9039659E7,1114537.7045454544,1332915.9376551283,4334821.0,68.0,0,0,0,0,360,360,0.917624651509098,0.917624651509098,37.0,1350.0,309.5384615384616,353.8544367295151,125212.9623931624,0,0,0,0,0,0,0,0,1.0,312.97777777777776,524.5777777777778,91.86666666666666,0,0,0,0,0,0,45,23606,45,4134,-1,-1,45,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.242,51434,131.202.240.45,161,17,29/04/2015 01:20:31 PM,46109334,477,479,45893.0,56108.0,118.0,43.0,96.2117400419287,30.369143944119777,180.0,46.0,117.1356993736952,44.11069613691779,2212.155135443943,20.733329177992466,48282.02513089,986187.4334395176,2.9969746E7,47.0,4.6103482E7,96856.0546218486,1397556.456079291,2.9999951E7,47.0,4.6109334E7,96463.04184100416,1393581.1254859162,2.9978006E7,2388.0,0,0,0,0,3816,3832,10.344977006174066,10.3883521718184,43.0,180.0,106.66666666666661,39.272685082438386,1542.3437935843785,0,0,0,0,0,0,0,0,1.0,106.77824267782427,96.21174004192872,117.1356993736952,0,0,0,0,0,0,477,45893,479,56108,-1,-1,477,0,30400.0,0.0,30400.0,30400.0,2.9969746E7,0.0,2.9969746E7,2.9969746E7,No Label
131.202.240.242-74.125.226.174-32634-443-6,74.125.226.174,443,131.202.240.242,32634,6,29/04/2015 01:21:31 PM,56,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,982142.8571428572,35714.28571428572,56.0,0.0,56.0,56.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,17857.14285714286,17857.14285714286,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,414,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.174-32634-443-6,131.202.240.242,32634,74.125.226.174,443,6,29/04/2015 01:21:31 PM,36505,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.78701547733187,36505.0,0.0,36505.0,36505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27.393507738665935,27.393507738665935,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16442,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 01:20:22 PM,50286703,28,1,1400.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,28.83466032760191,0.5766932065520382,1795953.6785714286,3293904.8474405757,1.5647025E7,47444.0,5.0239259E7,1860713.2962962957,3338437.7275177888,1.5647025E7,47670.0,0,0,0,0,0,0,0,0,0,224,8,0.5568072339123127,0.019885972639725455,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.724137931034484,50.0,50.0,0,0,0,0,0,0,28,1400,1,50,-1,-1,28,0,3814110.333333333,4006460.167938068,8440372.0,1500413.0,1.0112359333333334E7,4969586.575212905,1.5647025E7,6032625.0,No Label
131.202.240.242-74.125.226.163-61684-443-17,131.202.240.242,61684,74.125.226.163,443,17,29/04/2015 01:20:35 PM,59707465,68,49,59074.0,2757.0,1350.0,41.0,868.7352941176471,588.5089334121297,257.0,30.0,56.26530612244898,48.18963214487638,1035.5656533065003,1.9595539686704166,514719.52586206916,2211777.969345128,1.542345E7,36.0,5.965651E7,890395.6716417908,2870488.703774205,1.5473429E7,42.0,5.9707465E7,1243905.520833333,3336454.6466284213,1.5449221E7,36.0,0,0,0,0,544,392,1.1388860672614387,0.8206679014089779,30.0,1350.0,525.1864406779661,601.0265569904011,361232.9222077359,0,0,0,0,0,0,0,0,0.0,529.6752136752136,868.7352941176471,56.265306122448976,0,0,0,0,0,0,68,59074,49,2757,-1,-1,68,0,1675257.4,2234465.998011225,5128661.0,76014.0,1.02252434E7,3636413.0932111247,1.542345E7,6631425.0,No Label
131.202.240.242-173.194.123.100-32671-443-6,173.194.123.100,443,131.202.240.242,32671,6,29/04/2015 01:21:58 PM,42,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,1309523.8095238097,47619.04761904762,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,23809.52380952381,23809.52380952381,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,403,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.194.123.100-32671-443-6,131.202.240.242,32671,173.194.123.100,443,6,29/04/2015 01:21:58 PM,23348,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.66044200788076,23348.0,0.0,23348.0,23348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,42.83022100394038,42.83022100394038,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16213,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.184-32669-443-6,74.125.226.184,443,131.202.240.242,32669,6,29/04/2015 01:22:00 PM,64,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,859375.0,31250.0,64.0,0.0,64.0,64.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,15625.0,15625.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,361,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-74.125.226.184-32669-443-6,131.202.240.242,32669,74.125.226.184,443,6,29/04/2015 01:22:00 PM,633,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3159.55766192733,633.0,0.0,633.0,633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1579.778830963665,1579.778830963665,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16206,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 01:20:36 PM,40314540,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09921978521893093,1.343818E7,1.5122029493136296E7,2.9813818E7,1110.0,1.0500722E7,5250361.0,7423561.956500531,1.0499612E7,1110.0,0,0,0,0,0,0,0,0,0,0,0,0.0744148389141982,0.024804946304732733,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,2.0156715E7,1.3657206035833903E7,2.9813818E7,1.0499612E7,No Label
131.202.240.242-173.194.210.188-32506-5228-6,131.202.240.242,32506,173.194.210.188,5228,6,29/04/2015 01:20:32 PM,45090983,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.044354766007208134,0.08870953201441627,1.5030327666666668E7,2.5959144676095787E7,4.5005366E7,42779.0,0,0,0,0,0,4.5090983E7,2.25454915E7,3.1823557769082397E7,4.5048145E7,42838.0,0,0,0,0,20,84,0.022177383003604067,0.0665321490108122,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,361,1,0,42838.0,0.0,42838.0,42838.0,4.5005366E7,0.0,4.5005366E7,4.5005366E7,No Label
