Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 12:25:46 PM,59850786,15,1,750.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,13.366574667874872,0.26733149335749745,3990052.4,6709428.9156422755,2.5092214E7,748123.0,5.9100858E7,4221489.857142858,6900288.828722795,2.5092214E7,748123.0,0,0,0,0,0,0,0,0,0,120,8,0.25062327502265386,0.01670821833484359,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.125,50.0,50.0,0,0,0,0,0,0,15,750,1,50,-1,-1,15,0,1318463.0,379220.1599009912,1525249.0,749928.0,1.259552775E7,8660936.584881583,2.5092214E7,5114274.0,No Label
131.202.240.242-178.237.18.202-31773-443-6,131.202.240.242,31773,178.237.18.202,443,6,29/04/2015 12:25:51 PM,53670309,6,8,124.0,744.0,86.0,0.0,20.666666666666664,35.4325650590903,371.0,0.0,93.0,131.8971460754824,16.172815401528617,0.2608518613149777,4128485.307692308,6795933.028296794,2.0587091E7,40.0,4.4070585E7,8814117.0,8739785.901371926,2.0649847E7,124917.0,5.3670309E7,7667187.0,7913246.715370753,2.0651988E7,40989.0,0,1,0,0,120,160,0.11179365484927616,0.14905820646570153,0.0,371.0,58.266666666666666,103.13684852568224,10637.209523809523,0,0,0,1,1,0,0,0,1.0,62.42857142857143,20.666666666666668,93.0,0,0,0,0,0,0,6,124,8,744,-1,16384,2,0,158146.75,64408.03045363728,210594.0,64897.0,1.3217011E7,5063994.1817099275,2.0587091E7,9260623.0,No Label
131.202.240.242-64.12.104.73-31785-443-6,131.202.240.242,31785,64.12.104.73,443,6,29/04/2015 12:25:59 PM,59988832,2,3,148.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,24.666666666666664,42.72391992003231,3.7006888215459837,0.08334884733211675,1.4997208E7,1.7252350649561603E7,2.9943293E7,56092.0,2.9989162E7,2.9989162E7,0.0,2.9989162E7,2.9989162E7,3.0055762E7,1.5027881E7,2.117290400592304E7,2.9999385E7,56377.0,0,1,0,0,40,60,0.0333395389328467,0.05000930839927005,0.0,74.0,49.33333333333333,38.21343568257985,1460.2666666666667,0,0,0,1,1,0,0,0,1.0,59.2,74.0,24.666666666666668,0,0,0,0,0,0,2,148,3,74,-1,16384,2,0,56234.5,201.52543263816605,56377.0,56092.0,2.99381815E7,7228.752624070075,2.9943293E7,2.993307E7,No Label
131.202.240.242-205.188.12.43-31783-443-6,131.202.240.242,31783,205.188.12.43,443,6,29/04/2015 12:26:00 PM,59988425,2,3,148.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,24.666666666666664,42.72391992003231,3.7007139293955458,0.083349412824224,1.499710625E7,1.7253497419471305E7,2.9943434E7,54873.0,2.9989585E7,2.9989585E7,0.0,2.9989585E7,2.9989585E7,3.0053713E7,1.50268565E7,2.1172828345497455E7,2.9998307E7,55406.0,0,1,0,0,40,60,0.0333397651296896,0.050009647694534407,0.0,74.0,49.33333333333333,38.21343568257985,1460.2666666666667,0,0,0,1,1,0,0,0,1.0,59.2,74.0,24.666666666666668,0,0,0,0,0,0,2,148,3,74,-1,16384,2,0,55139.5,376.8879143724298,55406.0,54873.0,2.9939073E7,6167.3853455090675,2.9943434E7,2.9934712E7,No Label
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.242,51434,131.202.240.45,161,17,29/04/2015 12:26:00 PM,30036599,7,9,553.0,831.0,79.0,79.0,79.0,0.0,94.0,79.0,92.33333333333333,5.0,46.077120781883465,0.5326834772472077,2002439.933333333,7738766.876975893,2.9976411E7,53.0,3.0006229E7,5001038.166666667,1.2249845702934114E7,3.0005931E7,53.0,3.0036599E7,3754574.8749999995,1.0598489843781726E7,2.9984499E7,7011.0,0,0,0,0,56,72,0.23304902129565336,0.2996344559515543,79.0,94.0,86.05882352941177,7.717436331412898,59.55882352941177,0,0,0,0,0,0,0,0,1.0,91.4375,79.0,92.33333333333333,0,0,0,0,0,0,7,553,9,831,-1,-1,7,0,29716.0,0.0,29716.0,29716.0,2.9976411E7,0.0,2.9976411E7,2.9976411E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 12:26:05 PM,30061156,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13306208184409143,1.0020385333333332E7,1.6437960783934616E7,2.8991297E7,1134.0,1069859.0,534929.5,754900.8356337275,1068725.0,1134.0,0,0,0,0,0,0,0,0,0,0,0,0.09979656138306857,0.03326552046102286,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,2.8991297E7,0.0,2.8991297E7,2.8991297E7,No Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 12:26:46 PM,57339632,24,1,1200.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,21.799930630876737,0.43599861261753475,2389151.3333333335,4411114.191578306,1.7997605E7,25.0,5.6614785E7,2461512.3913043477,4495664.647595116,1.7997605E7,25.0,0,0,0,0,0,0,0,0,0,192,8,0.4185586681128334,0.01743994450470139,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.0,50.0,50.0,0,0,0,0,0,0,24,1200,1,50,-1,-1,24,0,2810546.5,1510030.643855614,4987838.0,1517248.0,1.114836025E7,5023997.004654585,1.7997605E7,6555614.0,No Label
131.202.240.242-178.237.18.202-31773-443-6,131.202.240.242,31773,178.237.18.202,443,6,29/04/2015 12:26:54 PM,57419828,22,24,561.0,1582.0,124.0,0.0,25.499999999999996,38.77622000782487,329.0,0.0,65.91666666666667,85.87549970320616,37.321602565580655,0.8011169939415352,1275996.1777777774,2711521.7840912296,1.1659474E7,65.0,5.4834431E7,2611163.380952381,3580707.324462703,1.1659474E7,88358.0,5.7419828E7,2496514.260869565,3477370.430905164,1.1881568E7,31524.0,0,1,0,0,440,480,0.38314291014595164,0.41797408379558365,0.0,329.0,46.404255319148945,69.1585008684267,4782.898242368176,0,0,0,1,1,0,0,0,1.0,47.41304347826087,25.5,65.91666666666667,0,0,0,0,0,0,22,561,24,1582,-1,16384,9,0,5201897.25,8782602.621641088,1.8354101E7,189750.0,9066921.0,2398359.763207486,1.1659474E7,6005466.0,No Label
131.202.240.242-64.12.104.73-31785-443-6,131.202.240.242,31785,64.12.104.73,443,6,29/04/2015 12:27:00 PM,59950619,2,2,148.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,2.4686984466332196,0.06672157963873566,1.9983539666666668E7,1.7257190188722305E7,2.9948993E7,56653.0,3.0005646E7,3.0005646E7,0.0,3.0005646E7,3.0005646E7,3.0001626E7,3.0001626E7,0.0,3.0001626E7,3.0001626E7,0,0,0,0,40,40,0.03336078981936783,0.03336078981936783,0.0,74.0,29.6,40.53146925538229,1642.8,0,0,0,0,1,0,0,0,1.0,37.0,74.0,0.0,0,0,0,0,0,0,2,148,2,0,-1,16384,2,0,56653.0,0.0,56653.0,56653.0,2.9946983E7,2842.5692603699213,2.9948993E7,2.9944973E7,No Label
131.202.240.242-205.188.12.43-31783-443-6,131.202.240.242,31783,205.188.12.43,443,6,29/04/2015 12:27:00 PM,59951589,2,2,148.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,2.468658503780442,0.0667205001021741,1.9983863E7,1.725900486768238E7,2.9950875E7,54881.0,3.0005756E7,3.0005756E7,0.0,3.0005756E7,3.0005756E7,3.0000714E7,3.0000714E7,0.0,3.0000714E7,3.0000714E7,0,0,0,0,40,40,0.03336025005108705,0.03336025005108705,0.0,74.0,29.6,40.53146925538229,1642.8,0,0,0,0,1,0,0,0,1.0,37.0,74.0,0.0,0,0,0,0,0,0,2,148,2,0,-1,16384,2,0,54881.0,0.0,54881.0,54881.0,2.9948354E7,3565.2323907425725,2.9950875E7,2.9945833E7,No Label
