Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.244.5-14308-53-17,131.202.240.150,14308,131.202.244.5,53,17,02/04/2015 08:17:49 AM,359,0,2,0.0,233.0,0,0,0,0,188.0,45.0,116.5,101.1162697096763,649025.069637883,5571.030640668524,359.0,0.0,359.0,359.0,0,0,0,0,0,359.0,359.0,0.0,359.0,359.0,0,0,0,0,0,16,0.0,5571.030640668524,45.0,188.0,92.66666666666666,82.56108849411648,6816.333333333333,0,0,0,0,0,0,0,0,0.0,139.0,0.0,116.5,0,0,0,0,0,0,0,0,2,233,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-25821-53-17,131.202.240.150,25821,131.202.244.5,53,17,02/04/2015 08:17:49 AM,407,0,2,0.0,198.0,0,0,0,0,163.0,35.0,99.0,90.50966799187809,486486.48648648645,4914.004914004914,407.0,0.0,407.0,407.0,0,0,0,0,0,407.0,407.0,0.0,407.0,407.0,0,0,0,0,0,16,0.0,4914.004914004914,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,116.5,0.0,99.0,0,0,0,0,0,0,0,0,2,198,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-4768-53-17,131.202.240.150,4768,131.202.244.5,53,17,02/04/2015 08:17:49 AM,428,0,2,0.0,198.0,0,0,0,0,163.0,35.0,99.0,90.50966799187809,462616.8224299065,4672.897196261682,428.0,0.0,428.0,428.0,0,0,0,0,0,428.0,428.0,0.0,428.0,428.0,0,0,0,0,0,16,0.0,4672.897196261682,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,116.5,0.0,99.0,0,0,0,0,0,0,0,0,2,198,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-25488-53-17,131.202.240.150,25488,131.202.244.5,53,17,02/04/2015 08:17:49 AM,303,0,2,0.0,120.0,0,0,0,0,85.0,35.0,60.0,35.35533905932738,396039.603960396,6600.660066006601,303.0,0.0,303.0,303.0,0,0,0,0,0,303.0,303.0,0.0,303.0,303.0,0,0,0,0,0,16,0.0,6600.660066006601,35.0,85.0,51.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,0.0,77.5,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-5070-53-17,131.202.240.150,5070,131.202.244.5,53,17,02/04/2015 08:17:49 AM,337,0,2,0.0,233.0,0,0,0,0,188.0,45.0,116.5,101.1162697096763,691394.6587537092,5934.718100890208,337.0,0.0,337.0,337.0,0,0,0,0,0,337.0,337.0,0.0,337.0,337.0,0,0,0,0,0,16,0.0,5934.718100890208,45.0,188.0,92.66666666666666,82.56108849411648,6816.333333333333,0,0,0,0,0,0,0,0,0.0,139.0,0.0,116.5,0,0,0,0,0,0,0,0,2,233,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-25563-53-17,131.202.240.150,25563,131.202.244.5,53,17,02/04/2015 08:17:49 AM,339,0,2,0.0,120.0,0,0,0,0,85.0,35.0,60.0,35.35533905932738,353982.30088495574,5899.705014749263,339.0,0.0,339.0,339.0,0,0,0,0,0,339.0,339.0,0.0,339.0,339.0,0,0,0,0,0,16,0.0,5899.705014749263,35.0,85.0,51.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,0.0,77.5,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-45031-53-17,131.202.240.150,45031,131.202.244.5,53,17,02/04/2015 08:17:49 AM,404,0,2,0.0,198.0,0,0,0,0,163.0,35.0,99.0,90.50966799187809,490099.0099009901,4950.495049504951,404.0,0.0,404.0,404.0,0,0,0,0,0,404.0,404.0,0.0,404.0,404.0,0,0,0,0,0,16,0.0,4950.495049504951,35.0,163.0,77.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,116.5,0.0,99.0,0,0,0,0,0,0,0,0,2,198,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-1910-53-17,131.202.240.150,1910,131.202.244.5,53,17,02/04/2015 08:17:49 AM,404,0,2,0.0,120.0,0,0,0,0,85.0,35.0,60.0,35.35533905932738,297029.702970297,4950.495049504951,404.0,0.0,404.0,404.0,0,0,0,0,0,404.0,404.0,0.0,404.0,404.0,0,0,0,0,0,16,0.0,4950.495049504951,35.0,85.0,51.66666666666667,28.867513459481287,833.3333333333334,0,0,0,0,0,0,0,0,0.0,77.5,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-2208-53-17,131.202.240.150,2208,131.202.244.5,53,17,02/04/2015 08:17:49 AM,449,0,2,0.0,233.0,0,0,0,0,188.0,45.0,116.5,101.1162697096763,518930.95768374164,4454.342984409799,449.0,0.0,449.0,449.0,0,0,0,0,0,449.0,449.0,0.0,449.0,449.0,0,0,0,0,0,16,0.0,4454.342984409799,45.0,188.0,92.66666666666666,82.56108849411648,6816.333333333333,0,0,0,0,0,0,0,0,0.0,139.0,0.0,116.5,0,0,0,0,0,0,0,0,2,233,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-17857-53-17,131.202.240.150,17857,131.202.244.5,53,17,02/04/2015 08:17:49 AM,303,0,2,0.0,233.0,0,0,0,0,188.0,45.0,116.5,101.1162697096763,768976.897689769,6600.660066006601,303.0,0.0,303.0,303.0,0,0,0,0,0,303.0,303.0,0.0,303.0,303.0,0,0,0,0,0,16,0.0,6600.660066006601,45.0,188.0,92.66666666666666,82.56108849411648,6816.333333333333,0,0,0,0,0,0,0,0,0.0,139.0,0.0,116.5,0,0,0,0,0,0,0,0,2,233,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
