Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-131.202.240.86-22-1462-6,131.202.240.86,1462,131.202.240.150,22,6,02/04/2015 08:47:24 AM,59999805,2528,2259,26670.0,6238265.0,672.0,0.0,10.549841772151913,34.964302672749696,4380.0,0.0,2761.5161575918573,1444.641509614805,104415.92268508206,79.78359263000938,12536.524237359019,277163.3471009742,1.0494215E7,-1.0,5.9999452E7,23743.352592006297,381127.3932087357,1.0494215E7,1.0,5.9999482E7,26571.95837023911,412163.13710388605,1.0705021E7,2.0,0,0,0,0,50620,45204,42.1334702671117,37.650122362897676,0.0,4380.0,1308.4659565580648,1694.5215440669554,2871403.2633070583,0,1,0,0,0,0,0,0,0.0,1308.739293921036,10.549841772151899,2761.5161575918546,0,0,0,0,0,0,2528,26670,2259,6238265,-1,491,286,0,3298520.8,2797014.1217069672,7326299.0,207293.0,7590067.4,2256359.790773692,1.0494215E7,5228935.0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 08:47:00 AM,45094339,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08870293009506139,1.5031446333333332E7,2.5968962228787605E7,4.5017821E7,38205.0,0,0,0,0,0,4.5094339E7,2.25471695E7,3.183248287087453E7,4.5056134E7,38205.0,0,0,0,0,32,96,0.022175732523765347,0.06652719757129603,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,366,0,0,38205.0,0.0,38205.0,38205.0,4.5017821E7,0.0,4.5017821E7,4.5017821E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 08:47:24 AM,53317689,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500440125977703,7616812.714285715,1.2170504366388584E7,2.9309384E7,35.0,5.3317652E7,8886275.333333332,1.281438703071679E7,2.9309384E7,35.0,0,0,0,0,0,0,0,0,0,0,0,0.13128851102304903,0.01875550157472129,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,37.5,0.7071067811865476,38.0,37.0,2.49521085E7,6162118.107096009,2.9309384E7,2.0594833E7,No Label
131.202.240.150-131.202.244.5-44107-53-17,131.202.240.150,44107,131.202.244.5,53,17,02/04/2015 08:47:34 AM,393,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,508905.8524173028,5089.058524173028,393.0,0.0,393.0,393.0,0,0,0,0,0,393.0,393.0,0.0,393.0,393.0,0,0,0,0,0,16,0.0,5089.058524173028,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-22-1462-6,131.202.240.150,22,131.202.240.86,1462,6,02/04/2015 08:49:16 AM,197,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10152.284263959391,197.0,0.0,197.0,197.0,0,0,0,0,0,197.0,197.0,0.0,197.0,197.0,0,0,0,0,0,40,0.0,10152.284263959391,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,32766,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-10421-53-17,131.202.240.150,10421,131.202.244.5,53,17,02/04/2015 08:47:34 AM,377,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,530503.9787798409,5305.039787798409,377.0,0.0,377.0,377.0,0,0,0,0,0,377.0,377.0,0.0,377.0,377.0,0,0,0,0,0,16,0.0,5305.039787798409,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-27652-53-17,131.202.240.150,27652,131.202.244.5,53,17,02/04/2015 08:49:16 AM,271,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,738007.3800738008,7380.073800738008,271.0,0.0,271.0,271.0,0,0,0,0,0,271.0,271.0,0.0,271.0,271.0,0,0,0,0,0,16,0.0,7380.073800738008,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-50989-53-17,131.202.240.150,50989,131.202.6.3,53,17,02/04/2015 08:49:16 AM,1263,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,158353.12747426762,1583.5312747426763,1263.0,0.0,1263.0,1263.0,0,0,0,0,0,1263.0,1263.0,0.0,1263.0,1263.0,0,0,0,0,0,16,0.0,1583.5312747426763,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.6.3-48400-53-17,131.202.240.150,48400,131.202.6.3,53,17,02/04/2015 08:47:25 AM,1108,0,2,0.0,234.0,0,0,0,0,189.0,45.0,117.0,101.82337649086284,211191.3357400722,1805.0541516245487,1108.0,0.0,1108.0,1108.0,0,0,0,0,0,1108.0,1108.0,0.0,1108.0,1108.0,0,0,0,0,0,16,0.0,1805.0541516245487,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,0.0,139.5,0.0,117.0,0,0,0,0,0,0,0,0,2,234,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 08:47:33 AM,53996824,3,1,573.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,14.148980317805359,0.07407843098327413,1.7998941333333332E7,2.784487832987051E7,5.0151265E7,1831613.0,5.1982878E7,2.5991439E7,3.4167153593774125E7,5.0151265E7,1831613.0,0,0,0,0,0,0,0,0,0,24,8,0.0555588232374556,0.018519607745818532,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,238.75,191.0,191.0,0,0,0,0,0,0,3,573,1,191,-1,-1,3,0,2013946.0,0.0,2013946.0,2013946.0,5.0151265E7,0.0,5.0151265E7,5.0151265E7,No Label
131.202.240.150-131.202.244.5-48400-53-17,131.202.240.150,48400,131.202.244.5,53,17,02/04/2015 08:47:25 AM,421,0,2,0.0,234.0,0,0,0,0,189.0,45.0,117.0,101.82337649086284,555819.4774346794,4750.593824228029,421.0,0.0,421.0,421.0,0,0,0,0,0,421.0,421.0,0.0,421.0,421.0,0,0,0,0,0,16,0.0,4750.593824228029,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,0.0,139.5,0.0,117.0,0,0,0,0,0,0,0,0,2,234,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-36648-53-17,131.202.240.150,36648,131.202.244.5,53,17,02/04/2015 08:47:34 AM,377,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,530503.9787798409,5305.039787798409,377.0,0.0,377.0,377.0,0,0,0,0,0,377.0,377.0,0.0,377.0,377.0,0,0,0,0,0,16,0.0,5305.039787798409,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-50989-53-17,131.202.240.150,50989,131.202.244.3,53,17,02/04/2015 08:49:16 AM,411,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,486618.00486618,4866.1800486618,411.0,0.0,411.0,411.0,0,0,0,0,0,411.0,411.0,0.0,411.0,411.0,0,0,0,0,0,16,0.0,4866.1800486618,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-50989-53-17,131.202.240.150,50989,131.202.244.5,53,17,02/04/2015 08:49:16 AM,333,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,600600.6006006006,6006.006006006006,333.0,0.0,333.0,333.0,0,0,0,0,0,333.0,333.0,0.0,333.0,333.0,0,0,0,0,0,16,0.0,6006.006006006006,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-48400-53-17,131.202.240.150,48400,131.202.244.3,53,17,02/04/2015 08:47:25 AM,509,0,2,0.0,234.0,0,0,0,0,189.0,45.0,117.0,101.82337649086284,459724.95088408643,3929.2730844793714,509.0,0.0,509.0,509.0,0,0,0,0,0,509.0,509.0,0.0,509.0,509.0,0,0,0,0,0,16,0.0,3929.2730844793714,45.0,189.0,93.0,83.13843876330611,6912.0,0,0,0,0,0,0,0,0,0.0,139.5,0.0,117.0,0,0,0,0,0,0,0,0,2,234,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 08:50:00 AM,38419,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.057575678700644,38419.0,0.0,38419.0,38419.0,0,0,0,0,0,38419.0,38419.0,0.0,38419.0,38419.0,0,0,0,0,0,64,0.0,52.057575678700644,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-20439-53-17,131.202.240.150,20439,131.202.244.5,53,17,02/04/2015 08:47:25 AM,407,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,491400.4914004914,4914.004914004914,407.0,0.0,407.0,407.0,0,0,0,0,0,407.0,407.0,0.0,407.0,407.0,0,0,0,0,0,16,0.0,4914.004914004914,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 08:48:33 AM,47993279,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08334500337015939,1.5997759666666668E7,2.770887799034274E7,4.7993216E7,27.0,4.7993252E7,2.3996626E7,3.393630302870659E7,4.7993216E7,36.0,0,0,0,0,0,0,0,0,0,0,0,0.06250875252761955,0.020836250842539848,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,27.0,0.0,27.0,27.0,4.7993216E7,0.0,4.7993216E7,4.7993216E7,No Label
131.202.240.150-131.202.244.5-4620-53-17,131.202.240.150,4620,131.202.244.5,53,17,02/04/2015 08:47:34 AM,324,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,617283.9506172839,6172.839506172839,324.0,0.0,324.0,324.0,0,0,0,0,0,324.0,324.0,0.0,324.0,324.0,0,0,0,0,0,16,0.0,6172.839506172839,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-1563-53-17,131.202.240.150,1563,131.202.244.5,53,17,02/04/2015 08:47:34 AM,408,0,2,0.0,200.0,0,0,0,0,164.0,36.0,100.0,90.50966799187809,490196.07843137253,4901.9607843137255,408.0,0.0,408.0,408.0,0,0,0,0,0,408.0,408.0,0.0,408.0,408.0,0,0,0,0,0,16,0.0,4901.9607843137255,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,0.0,118.0,0.0,100.0,0,0,0,0,0,0,0,0,2,200,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.86-22-1462-6,131.202.240.86,1462,131.202.240.150,22,6,02/04/2015 08:48:24 AM,51847762,34434,23687,226032.0,8.7733008E7,240.0,0.0,6.564209792646815,22.41667762318864,7300.0,0.0,3703.846329210107,2128.514419433099,1696486.7258879947,1120.9934191566456,892.08124569856,77356.65381754504,1.3716117E7,-2.0,5.1846935E7,1505.7338890018366,100498.0198231642,1.3716117E7,1.0,4.6241499E7,1952.2713417208452,116492.29723447481,1.37168E7,1.0,0,1,0,0,688740,473740,664.1366699685128,456.8567491881327,0.0,7300.0,1513.3532913526747,2268.7665357265237,5147301.59363253,0,0,0,1,1,0,0,0,0.0,1513.3793293301906,6.564209792646802,3703.846329210115,0,0,0,0,0,0,34434,226032,23687,87733008,-1,838,2783,0,4790571.0,6254801.984626159,1.3649599E7,206722.0,8171353.75,3764928.339226337,1.3716117E7,5398884.0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 08:48:30 AM,45094245,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08870311499837728,1.5031415E7,2.5968813561124872E7,4.5017618E7,38246.0,0,0,0,0,0,4.5094245E7,2.25471225E7,3.183216750125012E7,4.5055864E7,38381.0,0,0,0,0,32,96,0.02217577874959432,0.06652733624878296,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,366,0,0,38381.0,0.0,38381.0,38381.0,4.5017618E7,0.0,4.5017618E7,4.5017618E7,No Label
