Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-38035-13111-6,131.202.240.87,38035,131.202.6.26,13111,6,04/05/2015 02:14:23 PM,276340,3,4,120.0,192.0,120.0,0.0,40.0,69.2820323027551,192.0,0.0,48.0,96.0,1129.043931388869,25.331113845263083,46056.66666666667,85599.15978248074,214168.0,57.0,275532.0,137766.0,192659.72781564912,273997.0,1535.0,275604.0,91868.0,110072.65141260112,214168.0,751.0,0,0,0,0,60,104,10.856191647969894,14.474922197293191,0.0,192.0,39.0,74.73381334538509,5585.142857142858,0,1,0,0,0,0,0,0,1.0,44.57142857142857,40.0,48.0,0,0,0,0,0,0,3,120,4,192,-1,516,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38035-13111-6,131.202.6.26,13111,131.202.240.87,38035,6,04/05/2015 02:14:23 PM,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,22222.222222222223,22222.222222222223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,516,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38037-13111-6,131.202.240.87,38037,131.202.6.26,13111,6,04/05/2015 02:14:27 PM,275714,3,4,120.0,192.0,120.0,0.0,40.0,69.2820323027551,192.0,0.0,48.0,96.0,1131.6073902667256,25.38862734572782,45952.33333333333,85028.75619145953,212145.0,64.0,274976.0,137488.0,193491.28539032448,274307.0,669.0,275298.0,91766.0,108734.9632684906,212145.0,674.0,0,0,0,0,60,104,10.880840291026209,14.50778705470161,0.0,192.0,39.0,74.73381334538509,5585.142857142858,0,1,0,0,0,0,0,0,1.0,44.57142857142857,40.0,48.0,0,0,0,0,0,0,3,120,4,192,-1,516,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38037-13111-6,131.202.6.26,13111,131.202.240.87,38037,6,04/05/2015 02:14:27 PM,472,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4237.28813559322,472.0,0.0,472.0,472.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2118.64406779661,2118.64406779661,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,516,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38045-13111-6,131.202.240.87,38045,131.202.6.26,13111,6,04/05/2015 02:15:05 PM,276658,3,4,120.0,192.0,120.0,0.0,40.0,69.2820323027551,192.0,0.0,48.0,96.0,1127.746170361963,25.301997411967122,46109.66666666667,91134.04841806748,228466.0,58.0,275674.0,137837.0,193248.0406575963,274484.0,1190.0,276297.0,92099.0,120314.1144130646,228466.0,926.0,0,0,0,0,60,104,10.843713176557337,14.458284235409783,0.0,192.0,39.0,74.73381334538509,5585.142857142858,0,1,0,0,0,0,0,0,1.0,44.57142857142857,40.0,48.0,0,0,0,0,0,0,3,120,4,192,-1,516,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38045-13111-6,131.202.6.26,13111,131.202.240.87,38045,6,04/05/2015 02:15:05 PM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,516,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-77.72.169.145-36267-443-6,131.202.240.87,36267,77.72.169.145,443,6,04/05/2015 02:14:13 PM,55667188,23,22,276.0,369.0,108.0,0.0,11.999999999999998,30.388394914087606,108.0,0.0,16.77272727272727,30.270104406480346,11.586717834570699,0.8083756628770254,1265163.3636363635,2701938.913957936,9511253.0,25.0,5.5157388E7,2507154.0,3594969.2913432717,9854483.0,119.0,5.5667188E7,2650818.476190476,3551286.6113508865,9644370.0,12375.0,0,1,0,0,460,440,0.4131697832482575,0.395205879628768,0.0,108.0,16.369565217391294,32.79455150929271,1075.4826086956525,0,0,0,1,1,0,0,0,0.0,16.733333333333334,12.0,16.772727272727273,0,0,0,0,0,0,23,276,22,369,-1,515,14,0,3328482.2,4472981.016150549,1.0488316E7,183196.0,7707371.2,2462166.7209947826,9511253.0,5009940.0,No Label
131.202.240.242-131.202.240.87-22-38033-6,131.202.240.87,38033,131.202.240.242,22,6,04/05/2015 02:14:15 PM,59991322,34592,62542,364692.0,8.0222832E7,136.0,0.0,10.542668825161797,24.839707001828508,1460.0,0.0,1282.7033353586492,435.22519533477896,1343319.6888043243,1619.1341807736794,617.6203967755474,9181.11646332341,1586305.0,0.0,5.9990119E7,1734.2695787921693,15337.711739212444,1586305.0,3.0,5.99913E7,959.2315441070583,11962.358002531011,1634337.0,8.0,0,1,0,0,691840,1250840,576.6167313332419,1042.5174494404375,0.0,1460.0,829.6454213208435,702.3423685645373,493284.8026808443,0,0,0,1,1,0,0,0,1.0,829.6539625671752,10.542668825161886,1282.703335358639,0,0,0,0,0,0,34592,364692,62542,80222832,-1,251,5315,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60084-5355-17,131.202.240.87,60084,224.0.0.252,5355,17,04/05/2015 02:14:28 PM,413734,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.34852344743241,4.83402379306511,413734.0,0.0,413734.0,413734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.417011896532555,2.417011896532555,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,04/05/2015 02:14:21 PM,18797771,11,1,550.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,31.9186780177288,0.638373560354576,1708888.2727272727,2728205.775285621,8036869.0,27253.0,1.8048801E7,1804880.1000000003,2856133.363748792,8036869.0,27253.0,0,0,0,0,0,0,0,0,0,88,8,0.5851757636583614,0.05319779669621467,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,50.0,0,0,0,0,0,0,11,550,1,50,-1,-1,11,0,1504380.5,1778.373554684167,1505638.0,1503123.0,7126836.0,1286981.0108070748,8036869.0,6216803.0,No Label
