Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-23.45.42.52-50457-80-6,23.45.42.52,80,131.202.240.150,50457,6,31/03/2015 02:06:45 PM,681718,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.400646601674006,340859.0,426303.3646688705,642301.0,39417.0,0,0,0,0,0,681718.0,340859.0,426303.3646688705,642301.0,39417.0,0,0,0,0,0,96,0.0,4.400646601674006,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,317,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-184.73.220.127-48078-80-6,131.202.240.150,48078,184.73.220.127,80,6,31/03/2015 02:07:01 PM,14582312,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2057286937764053,7291156.0,1.0230770220956875E7,1.4525403E7,56909.0,0,0,0,0,0,1.4582312E7,7291156.0,1.0230770220956875E7,1.4525403E7,56909.0,0,0,0,0,0,96,0.0,0.2057286937764053,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,136,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-184.73.220.127-48078-80-6,131.202.240.150,48078,184.73.220.127,80,6,31/03/2015 02:07:16 PM,429549,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656046225226924,429549.0,0.0,429549.0,429549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2.328023112613462,2.328023112613462,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,438,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.67.250.97-44615-80-6,131.202.240.150,44615,23.67.250.97,80,6,31/03/2015 02:07:05 PM,16758883,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.17900954377448663,8379441.5,1.1798297968520056E7,1.6722098E7,36785.0,0,0,0,0,0,1.6758883E7,8379441.5,1.1798297968520056E7,1.6722098E7,36785.0,0,0,0,0,0,96,0.0,0.17900954377448663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-54.210.92.215-36527-80-6,131.202.240.150,36527,54.210.92.215,80,6,31/03/2015 02:07:12 PM,14343729,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.20915063300484832,7171864.5,1.006556815656148E7,1.4289296E7,54433.0,0,0,0,0,0,1.4343729E7,7171864.5,1.006556815656148E7,1.4289296E7,54433.0,0,0,0,0,0,96,0.0,0.20915063300484832,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,166,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-54.210.92.215-36527-80-6,131.202.240.150,36527,54.210.92.215,80,6,31/03/2015 02:07:26 PM,109653,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.239355056405206,109653.0,0.0,109653.0,109653.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9.119677528202603,9.119677528202603,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1140,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.67.250.97-44615-80-6,131.202.240.150,44615,23.67.250.97,80,6,31/03/2015 02:07:21 PM,4669784,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42828533396833773,4669784.0,0.0,4669784.0,4669784.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.21414266698416887,0.21414266698416887,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-54.225.95.177-36933-443-6,131.202.240.150,36933,54.225.95.177,443,6,31/03/2015 02:07:12 PM,19105846,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,1.6225400330349151,0.26170000532821214,4776461.5,6611302.889399461,1.405E7,77.0,0,0,0,0,0,1.9105846E7,6368615.333333333,7096101.092767798,1.405E7,57721.0,0,0,0,0,32,128,0.05234000106564242,0.20936000426256968,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,4.0,6.2,0.0,7.75,0,0,0,0,0,0,1,0,4,31,-1,136,0,0,57721.0,0.0,57721.0,57721.0,1.405E7,0.0,1.405E7,1.405E7,No Label
131.202.240.150-107.21.98.35-57264-443-6,131.202.240.150,57264,107.21.98.35,443,6,31/03/2015 02:07:12 PM,19188191,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,1.6155769973313274,0.26057693505343993,4797047.75,6648453.280014551,1.4128003E7,80.0,0,0,0,0,0,1.9188191E7,6396063.666666667,7138780.3934316635,1.4128003E7,55216.0,0,0,0,0,32,128,0.05211538701068798,0.2084615480427519,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,4.0,6.2,0.0,7.75,0,0,0,0,0,0,1,0,4,31,-1,136,0,0,55216.0,0.0,55216.0,55216.0,1.4128003E7,0.0,1.4128003E7,1.4128003E7,No Label
131.202.240.150-107.21.98.35-57264-443-6,131.202.240.150,57264,107.21.98.35,443,6,31/03/2015 02:07:31 PM,63001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.745527848764304,63001.0,0.0,63001.0,63001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,15.872763924382152,15.872763924382152,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,382,0,0,0,0,0,0,0,0,0,0,No Label
