Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-23.235.40.246-41742-80-6,131.202.240.150,41742,23.235.40.246,80,6,01/04/2015 02:51:27 PM,10242351,58,60,218.0,131522.0,218.0,0.0,3.7586206896551717,28.624802363419512,6690.0,0.0,2192.0333333333333,1701.6440900022392,12862.281325840133,11.520792443063122,87541.46153846153,926259.2717379362,1.002053E7,2.0,180783.0,3171.6315789473697,11113.827885681707,48977.0,5.0,1.0242351E7,173599.16949152542,1304115.6390255846,1.0020536E7,7.0,0,0,0,0,1856,1936,5.662762387268314,5.858030055794807,0.0,6690.0,1107.0588235294117,1629.557927440246,2655459.03888335,0,1,0,0,0,0,0,0,1.0,1116.4406779661017,3.7586206896551726,2192.0333333333333,0,0,0,0,0,0,58,218,60,131522,-1,31,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-57621-57621-17,131.202.240.150,57621,131.202.243.255,57621,17,01/04/2015 02:51:47 PM,30000825,1,1,44.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,44.0,0.0,2.933252668884939,0.06666483338374861,3.0000825E7,0.0,3.0000825E7,3.0000825E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.033332416691874305,0.033332416691874305,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,66.0,44.0,44.0,0,0,0,0,0,0,1,44,1,44,-1,-1,1,0,0,0,0,0,3.0000825E7,0.0,3.0000825E7,3.0000825E7,No Label
131.202.240.150-194.68.29.19-40594-4070-6,131.202.240.150,40594,194.68.29.19,4070,6,01/04/2015 02:51:27 PM,37900413,63,61,8687.0,103751.0,2676.0,0.0,137.88888888888889,407.3896490644731,9366.0,0.0,1700.836065573771,2431.414383853754,2966.6695188783297,3.2717321576416594,308133.43902439036,1746474.2919959456,1.6703636E7,5.0,3.775642E7,608974.5161290324,2454923.8177304645,1.6807744E7,10.0,3.7900342E7,631672.3666666666,2494901.179722742,1.6808442E7,33.0,0,1,0,0,2016,1952,1.6622510155760044,1.609481142065655,0.0,9366.0,901.5600000000002,1886.1175663763772,3557439.4741935474,0,0,0,1,1,0,0,0,0.0,908.8306451612904,137.88888888888889,1700.8360655737704,0,0,0,0,0,0,63,8687,61,103751,-1,1452,26,0,891119.0,72355.40849169466,942282.0,839956.0,1.32263815E7,4917580.473722875,1.6703636E7,9749127.0,No Label
131.202.240.150-24.156.140.74-39348-443-6,131.202.240.150,39348,24.156.140.74,443,6,01/04/2015 02:51:41 PM,45144914,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0886035578670058,1.5048304666666668E7,2.6028376479126245E7,4.5103285E7,20708.0,0,0,0,0,0,4.5144914E7,2.2572457E7,3.1892989291033883E7,4.5124206E7,20708.0,0,0,0,0,32,96,0.02215088946675145,0.06645266840025435,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,620,0,0,20708.0,0.0,20708.0,20708.0,4.5103285E7,0.0,4.5103285E7,4.5103285E7,No Label
131.202.240.150-54.230.52.72-45266-80-6,131.202.240.150,45266,54.230.52.72,80,6,01/04/2015 02:51:57 PM,45080860,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872945192261195,1.5026953333333332E7,2.5984490930276744E7,4.5031259E7,24761.0,0,0,0,0,0,4.508086E7,2.254043E7,3.184196446570346E7,4.5056099E7,24761.0,0,0,0,0,32,96,0.022182362980652987,0.06654708894195896,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,164,0,0,24761.0,0.0,24761.0,24761.0,4.5031259E7,0.0,4.5031259E7,4.5031259E7,No Label
131.202.240.150-54.230.52.72-45272-80-6,131.202.240.150,45272,54.230.52.72,80,6,01/04/2015 02:51:57 PM,45104815,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08868232803970041,1.5034938333333332E7,2.5998294509157814E7,4.5055183E7,24813.0,0,0,0,0,0,4.5104815E7,2.25524075E7,3.1858821184260167E7,4.5079996E7,24819.0,0,0,0,0,32,96,0.022170582009925104,0.0665117460297753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,122,0,0,24819.0,0.0,24819.0,24819.0,4.5055183E7,0.0,4.5055183E7,4.5055183E7,No Label
131.202.240.150-54.230.52.72-45266-80-6,131.202.240.150,45266,54.230.52.72,80,6,01/04/2015 02:53:12 PM,2433100,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2329949447207267,1216550.0,1665551.8393187285,2394273.0,38827.0,2394273.0,2394273.0,0.0,2394273.0,2394273.0,0,0,0,0,0,0,0,0,0,64,32,0.8219966298138177,0.41099831490690886,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,164,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-54.230.52.72-45272-80-6,131.202.240.150,45272,54.230.52.72,80,6,01/04/2015 02:53:12 PM,2410150,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244735804825426,1205075.0,1647886.8977111264,2370307.0,39843.0,2370307.0,2370307.0,0.0,2370307.0,2370307.0,0,0,0,0,0,0,0,0,0,64,32,0.8298238698836172,0.4149119349418086,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,122,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-54.230.53.7-39715-443-6,131.202.240.150,39715,54.230.53.7,443,6,01/04/2015 02:52:01 PM,45080762,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887296448094644,1.5026920666666668E7,2.598449670376396E7,4.5031233E7,24737.0,0,0,0,0,0,4.5080762E7,2.2540381E7,3.1841851328618474E7,4.505597E7,24792.0,0,0,0,0,32,96,0.0221824112023661,0.0665472336070983,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,298,0,0,24792.0,0.0,24792.0,24792.0,4.5031233E7,0.0,4.5031233E7,4.5031233E7,No Label
131.202.240.150-54.230.53.7-39715-443-6,131.202.240.150,39715,54.230.53.7,443,6,01/04/2015 02:53:16 PM,18,0,2,0.0,53.0,0,0,0,0,53.0,0.0,26.5,37.476659402887016,2944444.4444444445,111111.11111111111,18.0,0.0,18.0,18.0,0,0,0,0,0,18.0,18.0,0.0,18.0,18.0,0,1,0,0,0,64,0.0,111111.11111111111,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,0,0,1,1,0,0,0,0.0,53.0,0.0,26.5,0,0,0,0,0,0,0,0,2,53,-1,298,0,0,0,0,0,0,0,0,0,0,No Label
