Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.194.123.1-51270-443-6,131.202.240.150,51270,173.194.123.1,443,6,02/04/2015 10:46:21 AM,14668996,0,4,0.0,63.0,0,0,0,0,63.0,0.0,15.75,31.5,4.294772457501522,0.2726839655556522,4889665.333333334,8447472.69804492,1.4643956E7,63.0,0,0,0,0,0,1.4668996E7,4889665.333333334,8447472.69804492,1.4643956E7,63.0,0,0,0,0,0,128,0.0,0.2726839655556522,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,0.0,15.75,0.0,15.75,0,0,0,0,0,0,0,0,4,63,-1,409,0,0,24977.0,0.0,24977.0,24977.0,1.4643956E7,0.0,1.4643956E7,1.4643956E7,No Label
131.202.240.150-217.23.3.253-34160-9001-6,217.23.3.253,9001,131.202.240.150,34160,6,02/04/2015 10:46:04 AM,59999810,14486,8822,2.3796461E7,780089.0,12042.0,0.0,1642.7213171337849,808.2172166200708,2676.0,0.0,88.42541373838098,309.01652591568103,409610.46376646863,388.4678968150066,2574.3257390483445,8972.337707278404,105337.0,-1.0,5.9990972E7,4141.592820158775,11824.663124885043,110346.0,4.0,5.9999751E7,6801.921664210412,13981.989907042645,105961.0,4.0,0,0,0,0,463552,288808,241.43409787464327,147.0337989403633,0.0,12042.0,1054.380282294403,1005.2003957636804,1010427.8356434597,0,0,0,0,1,0,0,0,0.0,1054.425519135061,1642.7213171337844,88.42541373838132,0,0,0,0,0,0,14486,23796461,8822,780089,-1,5989,14435,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.195-33183-443-6,131.202.240.150,33183,216.58.219.195,443,6,02/04/2015 10:46:08 AM,45081607,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872798167997871,1.5027202333333332E7,2.598357207731688E7,4.5030447E7,25545.0,0,0,0,0,0,4.5081607E7,2.25408035E7,3.1841383931036107E7,4.5056062E7,25545.0,0,0,0,0,32,96,0.022181995419994677,0.06654598625998404,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,391,0,0,25545.0,0.0,25545.0,25545.0,4.5030447E7,0.0,4.5030447E7,4.5030447E7,No Label
131.202.240.150-74.125.29.95-39982-443-6,131.202.240.150,39982,74.125.29.95,443,6,02/04/2015 10:46:08 AM,45094309,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887029891066742,1.5031436333333332E7,2.5969343280734118E7,4.5018251E7,37822.0,0,0,0,0,0,4.5094309E7,2.25471545E7,3.1833003301465485E7,4.5056487E7,37822.0,0,0,0,0,32,96,0.02217574727666855,0.06652724183000563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,350,0,0,37822.0,0.0,37822.0,37822.0,4.5018251E7,0.0,4.5018251E7,4.5018251E7,No Label
131.202.240.150-216.58.219.206-60366-443-6,131.202.240.150,60366,216.58.219.206,443,6,02/04/2015 10:46:08 AM,45081738,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08872772385128541,1.5027246E7,2.598359834680572E7,4.5030521E7,25546.0,0,0,0,0,0,4.5081738E7,2.2540869E7,3.184147514781088E7,4.5056192E7,25546.0,0,0,0,0,32,96,0.022181930962821353,0.06654579288846406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,358,0,0,25546.0,0.0,25546.0,25546.0,4.5030521E7,0.0,4.5030521E7,4.5030521E7,No Label
131.202.240.150-74.125.226.174-43754-443-6,131.202.240.150,43754,74.125.226.174,443,6,02/04/2015 10:46:15 AM,45077133,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0887367881182683,1.5025711E7,2.5981808272220932E7,4.5026919E7,25107.0,0,0,0,0,0,4.5077133E7,2.25385665E7,3.18388397608374E7,4.5052026E7,25107.0,0,0,0,0,32,96,0.022184197029567074,0.06655259108870122,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,566,0,0,25107.0,0.0,25107.0,25107.0,4.5026919E7,0.0,4.5026919E7,4.5026919E7,No Label
131.202.240.150-216.58.219.195-33183-443-6,131.202.240.150,33183,216.58.219.195,443,6,02/04/2015 10:47:38 AM,14708332,0,4,0.0,63.0,0,0,0,0,63.0,0.0,15.75,31.5,4.283286507266766,0.27195469887408036,4902777.333333334,8469589.781582832,1.4682606E7,37.0,0,0,0,0,0,1.4708332E7,4902777.333333334,8469589.781582832,1.4682606E7,37.0,0,0,0,0,0,128,0.0,0.27195469887408036,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,0.0,15.75,0.0,15.75,0,0,0,0,0,0,0,0,4,63,-1,391,0,0,25689.0,0.0,25689.0,25689.0,1.4682606E7,0.0,1.4682606E7,1.4682606E7,No Label
131.202.240.150-74.125.29.95-39982-443-6,131.202.240.150,39982,74.125.29.95,443,6,02/04/2015 10:47:38 AM,14727754,0,4,0.0,63.0,0,0,0,0,63.0,0.0,15.75,31.5,4.277637988793132,0.2715960627805163,4909251.333333334,8470244.656595364,1.4689823E7,46.0,0,0,0,0,0,1.4727754E7,4909251.333333334,8470244.656595364,1.4689823E7,46.0,0,0,0,0,0,128,0.0,0.2715960627805163,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,0.0,15.75,0.0,15.75,0,0,0,0,0,0,0,0,4,63,-1,350,0,0,37885.0,0.0,37885.0,37885.0,1.4689823E7,0.0,1.4689823E7,1.4689823E7,No Label
131.202.240.150-216.58.219.206-60366-443-6,131.202.240.150,60366,216.58.219.206,443,6,02/04/2015 10:47:38 AM,14668116,0,4,0.0,63.0,0,0,0,0,63.0,0.0,15.75,31.5,4.295030118387392,0.27270032497697727,4889372.0,8446102.032294484,1.4642079E7,12.0,0,0,0,0,0,1.4668116E7,4889372.0,8446102.032294484,1.4642079E7,12.0,0,0,0,0,0,128,0.0,0.27270032497697727,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,0.0,15.75,0.0,15.75,0,0,0,0,0,0,0,0,4,63,-1,358,0,0,26025.0,0.0,26025.0,26025.0,1.4642079E7,0.0,1.4642079E7,1.4642079E7,No Label
131.202.240.150-74.125.226.174-43754-443-6,131.202.240.150,43754,74.125.226.174,443,6,02/04/2015 10:47:45 AM,14751379,0,4,0.0,63.0,0,0,0,0,63.0,0.0,15.75,31.5,4.270787158271779,0.27116108941408124,4917126.333333334,8494868.614598246,1.4726145E7,72.0,0,0,0,0,0,1.4751379E7,4917126.333333334,8494868.614598246,1.4726145E7,72.0,0,0,0,0,0,128,0.0,0.27116108941408124,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,0.0,15.75,0.0,15.75,0,0,0,0,0,0,0,0,4,63,-1,566,0,0,25162.0,0.0,25162.0,25162.0,1.4726145E7,0.0,1.4726145E7,1.4726145E7,No Label
