Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 10:35:52 AM,59970999,5575,8803,555344.0,1.4430666E7,2676.0,0.0,99.61327354260084,312.7040045180915,10704.0,0.0,1639.2895603771465,793.1013450819811,249887.61651277478,239.74921611694347,4171.315225707717,13216.599683078966,165646.0,0.0,5.992183E7,10750.238607822042,20565.710514639297,309689.0,4.0,5.997098E7,6813.335605544192,17625.797613096973,165646.0,4.0,0,1,0,0,184936,281696,92.96159965586033,146.78761646108313,0.0,10704.0,1042.2527992210867,992.8618661318021,985774.6852187247,0,0,0,1,1,0,0,0,1.0,1042.3252886354153,99.6132735426009,1639.2895603771442,0,0,0,0,0,0,5575,555344,8803,14430666,-1,3177,629,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.243.255-138-138-17,131.202.240.150,138,131.202.243.255,138,17,02/04/2015 10:36:55 AM,7683511,3,1,573.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,191.0,0.0,99.43370940706663,0.5205953372097729,2561170.3333333335,1192042.470729266,3930092.0,1752189.0,5931322.0,2965661.0,1363911.4001730464,3930092.0,2001230.0,0,0,0,0,0,0,0,0,0,24,8,0.39044650290732974,0.13014883430244323,191.0,191.0,191.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,238.75,191.0,191.0,0,0,0,0,0,0,3,573,1,191,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-217.23.3.253-34160-9001-6,131.202.240.150,34160,217.23.3.253,9001,6,02/04/2015 10:38:56 AM,26290249,104,137,18462.0,155014.0,1338.0,0.0,177.5192307692308,332.73039264499687,2676.0,0.0,1131.4890510948906,698.8603971170867,6598.492087313437,9.166896821707546,109542.70416666668,965330.5013306177,1.4151323E7,6.0,2.5972634E7,252161.49514563108,1490701.4937994983,1.4356269E7,34.0,2.6290055E7,193309.2279411764,1293325.9535639794,1.428012E7,36.0,0,1,0,0,3388,4384,3.9558392923551238,5.211057529352423,0.0,2676.0,719.0867768595042,739.126902162796,546308.5775007714,0,0,0,1,1,0,0,0,1.0,722.0705394190871,177.51923076923077,1131.4890510948906,0,0,0,0,0,0,104,18462,137,155014,-1,3177,27,0,1.0357223E7,0.0,1.0357223E7,1.0357223E7,1.4151323E7,0.0,1.4151323E7,1.4151323E7,No Label
131.202.240.150-131.202.6.3-9626-53-17,131.202.240.150,9626,131.202.6.3,53,17,02/04/2015 10:39:20 AM,48670,0,2,0.0,241.0,0,0,0,0,211.0,30.0,120.5,127.9863273947651,4951.715635915349,41.093075816724884,48670.0,0.0,48670.0,48670.0,0,0,0,0,0,48670.0,48670.0,0.0,48670.0,48670.0,0,0,0,0,0,16,0.0,41.093075816724884,30.0,211.0,90.33333333333334,104.50039872332226,10920.333333333334,0,0,0,0,0,0,0,0,0.0,135.5,0.0,120.5,0,0,0,0,0,0,0,0,2,241,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-173.194.204.188-34418-5228-6,131.202.240.150,34418,173.194.204.188,5228,6,02/04/2015 10:39:00 AM,37698,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,53.05321237200912,37698.0,0.0,37698.0,37698.0,0,0,0,0,0,37698.0,37698.0,0.0,37698.0,37698.0,0,0,0,0,0,64,0.0,53.05321237200912,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,366,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-23708-53-17,131.202.240.150,23708,131.202.244.5,53,17,02/04/2015 10:35:58 AM,399,0,2,0.0,306.0,0,0,0,0,263.0,43.0,153.0,155.56349186104046,766917.2932330827,5012.5313283208025,399.0,0.0,399.0,399.0,0,0,0,0,0,399.0,399.0,0.0,399.0,399.0,0,0,0,0,0,16,0.0,5012.5313283208025,43.0,263.0,116.33333333333333,127.01705922171766,16133.333333333332,0,0,0,0,0,0,0,0,0.0,174.5,0.0,153.0,0,0,0,0,0,0,0,0,2,306,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.3-6146-53-17,131.202.240.150,6146,131.202.244.3,53,17,02/04/2015 10:38:43 AM,547,0,2,0.0,410.0,0,0,0,0,373.0,37.0,205.0,237.58787847867995,749542.9616087752,3656.3071297989036,547.0,0.0,547.0,547.0,0,0,0,0,0,547.0,547.0,0.0,547.0,547.0,0,0,0,0,0,16,0.0,3656.3071297989036,37.0,373.0,149.0,193.98969044771425,37632.0,0,0,0,0,0,0,0,0,0.0,223.5,0.0,205.0,0,0,0,0,0,0,0,0,2,410,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 10:38:14 AM,18588892,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21518227121874717,6196297.333333334,1.0732244642460417E7,1.8588826E7,31.0,1.8588861E7,9294430.5,1.3144260170159465E7,1.8588826E7,35.0,0,0,0,0,0,0,0,0,0,0,0,0.1613867034140604,0.05379556780468679,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,31.0,0.0,31.0,31.0,1.8588826E7,0.0,1.8588826E7,1.8588826E7,No Label
131.202.240.150-131.202.244.5-9626-53-17,131.202.240.150,9626,131.202.244.5,53,17,02/04/2015 10:39:20 AM,445,0,2,0.0,401.0,0,0,0,0,371.0,30.0,200.5,241.1234123846127,901123.595505618,4494.38202247191,445.0,0.0,445.0,445.0,0,0,0,0,0,445.0,445.0,0.0,445.0,445.0,0,0,0,0,0,16,0.0,4494.38202247191,30.0,371.0,143.66666666666669,196.8764417936624,38760.333333333336,0,0,0,0,0,0,0,0,0.0,215.5,0.0,200.5,0,0,0,0,0,0,0,0,2,401,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.244.5-4986-53-17,131.202.240.150,4986,131.202.244.5,53,17,02/04/2015 10:38:40 AM,470,0,2,0.0,412.0,0,0,0,0,379.0,33.0,206.0,244.65894629054543,876595.7446808511,4255.319148936171,470.0,0.0,470.0,470.0,0,0,0,0,0,470.0,470.0,0.0,470.0,470.0,0,0,0,0,0,16,0.0,4255.319148936171,33.0,379.0,148.33333333333331,199.7631931396105,39905.33333333333,0,0,0,0,0,0,0,0,0.0,222.5,0.0,206.0,0,0,0,0,0,0,0,0,2,412,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
