Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 09:47:03 AM,59996933,240,3124,496.0,239006.0,18.0,2.0,2.0666666666666655,1.0327955589886442,209.0,2.0,76.50640204865569,22.188310538357754,3991.9040528288338,56.069532754282626,17840.301219149558,13638.384080082331,236868.0,10.0,5.951087E7,248999.45606694557,12227.755465321517,310401.0,135131.0,5.9996933E7,19211.313800832515,13203.524225349918,236997.0,39.0,0,0,0,0,1920,24992,4.000204477118856,52.06932827716377,2.0,209.0,71.17503714710242,28.734639711644444,825.679519358014,0,0,0,0,0,0,0,0,13.0,71.1961950059453,2.066666666666667,76.50640204865557,0,0,0,0,0,0,240,496,3124,239006,-1,-1,240,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 09:47:06 AM,49263407,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24358851185424507,4478491.545454546,7222313.062177662,1.9737844E7,15.0,4.9263392E7,4926339.2,7450247.067461855,1.9737844E7,15.0,0,0,0,0,0,0,0,0,0,0,0,0.22328946919972464,0.020299042654520424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,1420778.3333333333,2460700.0461470988,4262150.0,15.0,1.4579316666666666E7,6512130.233661588,1.9737844E7,7261906.0,No Label
131.202.240.87-77.72.169.130-17208-11113-17,131.202.240.87,17208,77.72.169.130,11113,17,29/04/2015 09:47:03 AM,141585,3,5,117.0,1186.0,81.0,18.0,39.0,36.373066958946424,534.0,18.0,237.2,272.1969874925143,9202.95229014373,56.50316064554862,20226.42857142857,52415.6355707504,139084.0,58.0,141527.0,70763.5,99670.2363421498,141241.0,286.0,141374.0,35343.5,69204.04734551297,139142.0,150.0,0,0,0,0,24,40,21.18868524208073,35.31447540346788,18.0,534.0,204.11111111111111,248.7712023348183,61887.11111111111,0,0,0,0,0,0,0,0,1.0,229.625,39.0,237.2,0,0,0,0,0,0,3,117,5,1186,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-42335-53-6,131.202.240.87,42335,131.202.244.3,53,6,29/04/2015 09:48:24 AM,1606,3,4,39.0,332.0,39.0,0.0,13.0,22.516660498395403,332.0,0.0,83.0,166.0,231008.71731008717,4358.65504358655,267.6666666666667,332.204555457427,929.0,46.0,1384.0,692.0,335.1686142824235,929.0,455.0,1560.0,520.0,568.366958927065,1176.0,175.0,0,0,0,0,60,104,1867.9950186799501,2490.6600249066,0.0,332.0,46.375,116.21401132639484,13505.69642857143,0,1,0,0,0,0,0,0,1.0,53.0,13.0,83.0,0,0,0,0,0,0,3,39,4,332,-1,229,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 09:48:03 AM,59995796,1114,2180,84617.0,172356.0,209.0,2.0,75.95780969479348,23.27925353514006,222.0,2.0,79.06238532110096,18.468279189128232,4283.183441719817,54.90384692954153,18219.191011235955,282494.5257283508,1.6206618E7,33.0,5.9730335E7,53666.06918238988,493026.622456039,1.6350959E7,45.0,5.9995796E7,27533.63744837079,347055.62566648884,1.6206618E7,46.0,0,0,0,0,8912,17440,18.567967662267538,36.335879267273995,2.0,222.0,77.98937784522008,20.313650393183167,412.64439229647064,0,0,0,0,0,0,0,0,1.0,78.0130540376442,75.95780969479354,79.06238532110092,0,0,0,0,0,0,1114,84617,2180,172356,-1,-1,1114,0,2.1076574E7,0.0,2.1076574E7,2.1076574E7,1.6206618E7,0.0,1.6206618E7,1.6206618E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 09:48:16 AM,52738985,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2844195806953812,3767070.357142857,7481141.045399884,2.0998343E7,15.0,5.2738823E7,4056832.538461539,7704414.434171616,2.0998343E7,15.0,0,0,0,0,0,0,0,0,0,0,0,0.26545827531568916,0.01896130537969208,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,14,0,1,0,-1,-1,0,0,1000808.0,1043507.175481798,1738679.0,262937.0,1.5999461E7,8593849.20779897,2.0998343E7,6076232.0,No Label
131.202.240.87-65.55.163.222-42337-443-6,131.202.240.87,42337,65.55.163.222,443,6,29/04/2015 09:49:28 AM,499087,8,8,1917.0,4438.0,869.0,0.0,239.62499999999997,318.6323172112781,1350.0,0.0,554.75,606.1100206586731,12733.250916172932,32.05853889201682,33272.46666666667,58491.88501208238,234420.0,29.0,467222.0,66746.0,79618.92200141036,234453.0,1364.0,449021.0,64145.85714285715,79191.97255494307,235212.0,183.0,0,0,0,0,160,184,16.02926944600841,16.02926944600841,0.0,1350.0,373.82352941176464,489.129614122642,239247.7794117647,0,1,0,0,0,0,0,0,1.0,397.1875,239.625,554.75,0,0,0,0,0,0,8,1917,8,4438,-1,258,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 09:49:03 AM,59995517,3000,3001,249000.0,249083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8302.003631371324,100.0241401370039,9999.252833333334,3921.7798012352628,21560.0,19.0,5.9978504E7,19999.501167055692,2759.379634246174,28315.0,10577.0,5.998508E7,19995.026666666705,3173.8170845609443,25447.0,5532.0,0,0,0,0,24000,24008,50.0037361124832,50.0204040245207,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.01383102816197,83.0,83.0,0,0,0,0,0,0,3000,249000,3001,249083,-1,-1,3000,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 09:49:27 AM,53738977,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22330160843962474,4885361.545454546,6064644.739601642,1.5260876E7,14.0,5.3738808E7,5373880.8,6160334.959769256,1.5260876E7,14.0,0,0,0,0,0,0,0,0,0,0,0,0.20469314106965603,0.01860846736996873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,110.0,87.22958213817145,177.0,14.0,1.07476824E7,3632151.7367854826,1.5260876E7,5737991.0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.242,62838,131.202.240.87,17208,17,29/04/2015 09:50:03 AM,59997361,3000,3001,249000.0,249083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8301.748471903622,100.02106592654967,9999.5601666667,3953.907438225087,22376.0,39.0,5.9976668E7,19998.8889629877,2779.0155109585703,26868.0,14654.0,5.9997361E7,19999.120333333296,3077.030909972605,24733.0,5486.0,0,0,0,0,24000,24008,50.00219926339761,50.01886666315207,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.01383102816197,83.0,83.0,0,0,0,0,0,0,3000,249000,3001,249083,-1,-1,3000,0,0,0,0,0,0,0,0,0,No Label
