Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-131.202.6.26-31667-13000-6,131.202.240.242,31667,131.202.6.26,13000,6,29/04/2015 09:50:23 AM,417679,9,15,1829.0,6127.0,506.0,0.0,203.22222222222223,211.28995348677714,1350.0,0.0,408.4666666666667,514.8597404934206,19048.12068598134,57.46039422618805,18159.956521739132,66896.84004935459,322374.0,7.0,416837.0,52104.625,116548.3912408888,336293.0,371.0,395331.0,28237.92857142857,85534.08431052887,322374.0,7.0,0,0,0,0,180,324,21.54764783482052,35.912746391367534,0.0,1350.0,318.24,428.6960150658428,183780.27333333332,0,1,0,0,0,0,0,0,1.0,331.5,203.22222222222223,408.46666666666664,0,0,0,0,0,0,9,1829,15,6127,-1,32565,5,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.6.26-31667-13000-6,131.202.6.26,13000,131.202.240.242,31667,6,29/04/2015 09:50:24 AM,59,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33898.30508474576,59.0,0.0,59.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16949.15254237288,16949.15254237288,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32565,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.6.26-31668-13000-6,131.202.240.242,31668,131.202.6.26,13000,6,29/04/2015 09:51:05 AM,263741,8,13,1427.0,5827.0,506.0,0.0,178.375,211.40343117907457,1350.0,0.0,448.2307692307693,541.6270478607572,27504.25606940142,79.62357009338707,13187.05,37141.786092691655,163415.0,25.0,99150.0,14164.285714285714,20212.754287943095,56370.0,631.0,263741.0,21978.416666666664,60030.09950086151,211204.0,64.0,0,0,0,0,160,284,30.3327886070046,49.29078148638247,0.0,1350.0,329.7272727272727,452.9111320187366,205128.49350649348,0,1,0,0,0,0,0,0,1.0,345.42857142857144,178.375,448.2307692307692,0,0,0,0,0,0,8,1427,13,5827,-1,32237,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.6.26-31668-13000-6,131.202.240.242,31668,131.202.6.26,13000,6,29/04/2015 09:51:06 AM,103,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19417.47572815534,103.0,0.0,103.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9708.73786407767,9708.73786407767,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32214,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.87,17208,131.202.240.242,62838,17,29/04/2015 09:50:16 AM,59996448,3000,3001,249000.0,249083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8301.87480432175,100.02258800387649,9999.408000000041,3854.3166985521657,22270.0,15.0,5.9973354E7,19997.78392797595,3082.1446336964445,24755.0,5117.0,5.9992645E7,19997.548333333314,2762.1659746089945,26869.0,8148.0,0,0,0,0,24000,24008,50.00296017524237,50.01962782863412,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.01383102816197,83.0,83.0,0,0,0,0,0,0,3000,249000,3001,249083,-1,-1,3000,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,17,29/04/2015 09:50:23 AM,49100061,26,1,1300.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,27.494874191704163,0.5498974838340832,1888463.8846153843,3866168.2219435433,1.9090578E7,132051.0,4.8347814E7,1933912.5600000003,3938796.292692689,1.9090578E7,132051.0,0,0,0,0,0,0,0,0,0,208,8,0.5295309103587469,0.02036657347533642,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.851851851851855,50.0,50.0,0,0,0,0,0,0,26,1300,1,50,-1,-1,26,0,4995074.0,4939084.298045539,8487534.0,1502614.0,1.38179305E7,7456649.604112593,1.9090578E7,8545283.0,No Label
131.202.240.242-131.202.240.45-51434-161-17,131.202.240.242,51434,131.202.240.45,161,17,29/04/2015 09:50:28 AM,45774211,477,479,45893.0,56108.0,118.0,43.0,96.21174004192872,30.36914394411977,180.0,46.0,117.1356993736952,44.11069613691779,2228.350806527282,20.885122410957557,47931.1109947644,1002797.9046515994,2.9970389E7,31.0,4.5768372E7,96152.04201680669,1421247.695291868,3.0000697E7,31.0,4.5774211E7,95761.94769874461,1417037.017586738,2.9978689E7,1438.0,0,0,0,0,3816,3832,10.420714843124221,10.464407567833337,43.0,180.0,106.66666666666656,39.272685082438414,1542.3437935843808,0,0,0,0,0,0,0,0,1.0,106.77824267782427,96.21174004192872,117.1356993736952,0,0,0,0,0,0,477,45893,479,56108,-1,-1,477,0,30582.5,30.405591591021544,30604.0,30561.0,1.87901205E7,1.58112873436727E7,2.9970389E7,7609852.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,29/04/2015 09:50:26 AM,59738481,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25109443274930277,4267034.357142856,5455321.1965254145,1.5286772E7,17.0,5.9738463E7,4595266.384615384,5532320.8031085,1.5286772E7,17.0,0,0,0,0,0,0,0,0,0,0,0,0.23435480389934923,0.016739628849953517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,14,0,1,0,-1,-1,0,0,1690169.8,2104747.005841605,4999239.0,18.0,1.02574908E7,4574698.411136924,1.5286772E7,5260685.0,No Label
131.202.240.242-131.202.240.87-62838-17208-17,131.202.240.87,17208,131.202.240.242,62838,17,29/04/2015 09:51:16 AM,59982745,3000,3000,249000.0,249000.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8302.387628308774,100.0287666061298,9998.790631772,3993.1184857100347,21593.0,28.0,5.9972731E7,19997.576192064025,3127.941796885482,25530.0,5468.0,5.9976903E7,19998.96732244078,2770.903150799982,25852.0,15546.0,0,0,0,0,24000,24000,50.0143833030649,50.0143833030649,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.01383333333334,83.0,83.0,0,0,0,0,0,0,3000,249000,3000,249000,-1,-1,3000,0,0,0,0,0,0,0,0,0,No Label
131.202.240.242-77.72.169.132-62838-11113-17,131.202.240.242,62838,77.72.169.132,11113,17,29/04/2015 09:50:37 AM,50138473,3,5,144.0,278.0,108.0,18.0,48.0,51.96152422706632,108.0,18.0,55.6,38.18769435302425,8.416690312846185,0.15955811019613622,7162639.0,1.882966575242325E7,4.9864056E7,40.0,5.000151E7,2.5000755E7,3.516201747956454E7,4.9864056E7,137454.0,5.0138384E7,1.2534596E7,2.4977979180341404E7,5.000144E7,40.0,0,0,0,0,24,40,0.05983429132355108,0.09972381887258513,18.0,108.0,58.888888888888886,41.91492706794455,1756.8611111111106,0,0,0,0,0,0,0,0,1.0,66.25,48.0,55.6,0,0,0,0,0,0,3,144,5,278,-1,-1,3,0,136963.0,0.0,136963.0,136963.0,4.9864056E7,0.0,4.9864056E7,4.9864056E7,No Label
