Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
204.236.238.164-10.8.8.138-21-50940-6,10.8.8.138,50940,204.236.238.164,21,6,22/05/2015 03:47:09 PM,229824,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.70231133389028,229824.0,0.0,229824.0,229824.0,0,0,0,0,0,229824.0,229824.0,0.0,229824.0,229824.0,0,0,0,0,0,64,0.0,8.70231133389028,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,152,0,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1731-42086-6,10.8.8.138,42086,204.236.238.164,1731,6,22/05/2015 03:47:24 PM,4327892,91,194,481.0,243832.0,283.0,0.0,5.285714285714285,32.87629531517798,1308.0,0.0,1256.8659793814438,248.5123251023826,56450.80792219399,65.85192051927358,15239.056338028176,53140.706300907965,315226.0,9.0,4094359.0,45492.8777777778,85354.85730862597,315276.0,40.0,4327892.0,22424.310880829016,64703.21062967635,324856.0,24.0,0,0,0,0,2912,6224,21.026402692118932,44.82551782715465,0.0,1308.0,854.2412587412587,620.6422433427874,385196.7942215678,0,1,0,0,0,0,0,0,2.0,857.2385964912281,5.285714285714286,1256.8659793814434,0,0,0,0,0,0,91,481,194,243832,-1,235,3,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1731-42086-6,10.8.8.138,42086,204.236.238.164,1731,6,22/05/2015 03:47:28 PM,296,1,1,0.0,229.0,0.0,0.0,0.0,0.0,229.0,229.0,229.0,0.0,773648.6486486486,6756.756756756757,296.0,0.0,296.0,296.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,3378.3783783783783,3378.3783783783783,0.0,229.0,152.66666666666669,132.2132116444243,17480.333333333332,0,0,0,1,1,0,0,0,1.0,229.0,0.0,229.0,0,0,0,0,0,0,1,0,1,229,-1,52886,0,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1587-45798-6,10.8.8.138,45798,204.236.238.164,1587,6,22/05/2015 03:47:29 PM,3926182,142,217,273.0,273735.0,107.0,0.0,1.9225352112676053,13.270280314537857,1308.0,0.0,1261.451612903226,238.930097304315,69789.93841854505,91.4374320905144,10966.988826815645,46650.98536047784,259234.0,2.0,3705537.0,26280.404255319154,70973.67274841917,266783.0,12.0,3926182.0,18176.768518518522,59180.16952200412,263384.0,10.0,0,0,0,0,4544,6960,36.167452247501515,55.269979843012884,0.0,1308.0,761.1333333333329,644.4602362444703,415328.9961002784,0,1,0,0,0,0,0,0,1.0,763.2534818941505,1.9225352112676057,1261.4516129032259,0,0,0,0,0,0,142,273,217,273735,-1,227,3,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1587-45798-6,10.8.8.138,45798,204.236.238.164,1587,6,22/05/2015 03:47:33 PM,590,2,1,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0.0,0.0,0.0,0.0,144067.7966101695,5084.745762711864,295.0,181.01933598375618,423.0,167.0,167.0,167.0,0.0,167.0,167.0,0,0,0,0,0,0,0,0,0,64,32,3389.830508474576,1694.915254237288,0.0,85.0,21.25,42.5,1806.2499999999998,0,0,0,0,1,0,0,0,0.0,28.333333333333332,42.5,0.0,0,0,0,0,0,0,2,85,1,0,-1,52886,1,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1639-41005-6,10.8.8.138,41005,204.236.238.164,1639,6,22/05/2015 03:47:33 PM,9476457,941,1898,449.0,2473274.0,251.0,0.0,0.47715196599362286,9.369300183184794,1308.0,0.0,1303.0948366701784,78.20255699535124,261038.80384831587,299.58453882078504,3339.1321353065473,20649.688761058922,260817.0,0.0,9255617.0,9846.401063829791,34717.34987257003,260861.0,16.0,9476457.0,4995.496573537162,25841.15223436639,267047.0,7.0,0,0,0,0,30160,60752,99.29871469896398,200.28582412182107,0.0,1308.0,871.0292253521128,616.7526367400324,380383.8149257823,0,1,0,0,0,0,0,0,2.0,871.3360338147235,0.4771519659936238,1303.0948366701791,0,0,0,0,0,0,941,449,1898,2473274,-1,235,3,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1639-41005-6,10.8.8.138,41005,204.236.238.164,1639,6,22/05/2015 03:47:42 PM,160,1,1,0.0,149.0,0.0,0.0,0.0,0.0,149.0,149.0,149.0,0.0,931249.9999999999,12499.999999999998,160.0,0.0,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,6249.999999999999,6249.999999999999,0.0,149.0,99.33333333333334,86.02519010925424,7400.333333333333,0,0,0,1,1,0,0,0,1.0,149.0,0.0,149.0,0,0,0,0,0,0,1,0,1,149,-1,52886,0,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1401-39486-6,10.8.8.138,39486,204.236.238.164,1401,6,22/05/2015 03:47:24 PM,18400851,184,205,369.0,257930.0,171.0,0.0,2.005434782608697,16.2344494009164,1308.0,0.0,1258.19512195122,248.02877951214464,14037.339903464248,21.140326607720482,47424.8737113402,94742.92585817406,672105.0,4.0,1.8170651E7,99293.17486338793,117982.78907890499,672127.0,18.0,1.8400851E7,90200.24999999997,115545.85841022135,672153.0,22.0,0,0,0,0,7032,6576,9.999537521389636,11.140789086330845,0.0,1308.0,662.3051282051284,653.3524672817854,426869.4465031965,0,1,0,0,0,0,0,0,1.0,664.0077120822622,2.005434782608696,1258.1951219512196,0,0,0,0,0,0,184,369,205,257930,-1,235,3,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1401-39486-6,10.8.8.138,39486,204.236.238.164,1401,6,22/05/2015 03:47:43 PM,917046,4,3,53.0,2616.0,53.0,0.0,13.25,26.5,1308.0,0.0,872.0,755.1741521000305,2910.4319739685902,7.633204877399825,152841.0,275828.29417882423,682828.0,22.0,683941.0,227980.3333333333,393928.7440595486,682850.0,333.0,915933.0,457966.5,318075.7220608011,682880.0,233053.0,0,0,0,0,140,116,4.361831358514186,3.2713735188856394,0.0,1308.0,333.62500000000006,601.6752654048528,362013.125,0,0,0,0,1,0,0,0,0.0,381.2857142857143,13.25,872.0,0,0,0,0,0,0,4,53,3,2616,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
204.236.238.164-10.8.8.138-1583-41789-6,10.8.8.138,41789,204.236.238.164,1583,6,22/05/2015 03:47:42 PM,2206299,74,76,273.0,89321.0,107.0,0.0,3.689189189189188,18.262864241199523,1308.0,0.0,1175.2763157894738,390.4017963990162,40608.276575387106,67.98715858548637,14807.375838926178,55977.50479101458,271197.0,3.0,1985131.0,27193.57534246576,76586.37966808707,292484.0,14.0,2206299.0,29417.319999999985,76799.2415383719,279468.0,19.0,0,0,0,0,2368,2448,33.540331568839946,34.44682701664643,0.0,1308.0,593.3377483443711,649.4804373488829,421824.83849889616,0,1,0,0,0,0,0,0,1.0,597.2933333333333,3.689189189189189,1175.2763157894738,0,0,0,0,0,0,74,273,76,89321,-1,227,3,0,0,0,0,0,0,0,0,0,No Label
