Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.0.10-74.125.226.38-49583-80-6,10.8.0.10,49583,74.125.226.38,80,6,14/04/2015 04:13:01 PM,182366,8,6,3058.0,2142.0,1054.0,0.0,382.25,528.1898332985974,1338.0,0.0,357.0,554.4828220964108,28514.087055701173,76.76869591919547,14028.153846153846,17508.589334219905,52621.0,22.0,156367.0,22338.14285714286,19054.911995148577,52621.0,79.0,136998.0,27399.6,33111.90767382635,82059.0,114.0,0,0,0,0,256,208,43.867826239540264,32.9008696796552,0.0,1338.0,346.66666666666674,508.57611688582733,258649.66666666672,0,1,0,0,0,0,0,0,0.0,371.42857142857144,382.25,357.0,0,0,0,0,0,0,8,3058,6,2142,-1,366,3,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.38-49583-80-6,74.125.226.38,80,10.8.0.10,49583,6,14/04/2015 04:13:01 PM,9812,2,3,125.0,1338.0,125.0,0.0,62.5,88.38834764831844,1338.0,0.0,446.0,772.4946601757192,149103.13901345292,509.5801059926621,2453.0,4842.7220307040825,9717.0,11.0,9728.0,9728.0,0.0,9728.0,9728.0,95.0,47.5,23.33452377915607,64.0,31.0,0,0,0,0,64,72,203.83204239706484,305.7480635955972,0.0,1338.0,466.83333333333337,676.537187940668,457702.5666666667,0,0,0,0,1,0,0,0,1.0,560.2,62.5,446.0,0,0,0,0,0,0,2,125,3,1338,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
173.194.123.4-10.8.0.10-80-34709-6,10.8.0.10,34709,173.194.123.4,80,6,14/04/2015 04:13:02 PM,5556365,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7198951112822861,1852121.6666666667,3185810.2593683028,5530749.0,52.0,5530749.0,5530749.0,0.0,5530749.0,5530749.0,25564.0,25564.0,0.0,25564.0,25564.0,0,0,0,0,64,80,0.35994755564114306,0.35994755564114306,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42540,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.32-45128-80-6,10.8.0.10,45128,74.125.226.32,80,6,14/04/2015 04:13:02 PM,5640074,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092105529111852,1880024.6666666667,3233893.045325144,5614173.0,51.0,5614173.0,5614173.0,0.0,5614173.0,5614173.0,25850.0,25850.0,0.0,25850.0,25850.0,0,0,0,0,64,80,0.3546052764555926,0.3546052764555926,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42540,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.22-41939-80-6,10.8.0.10,41939,74.125.226.22,80,6,14/04/2015 04:12:29 PM,50265438,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23873262578553478,4569585.2727272725,5220347.591555357,1.0022574E7,25418.0,4.0191993E7,1.004799825E7,8.421203397963653,1.0048006E7,1.004799E7,5.0265438E7,8377573.0,4091695.094137001,1.0050529E7,25436.0,0,0,0,0,160,224,0.09947192741063948,0.13926069837489527,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,7,0,-1,341,0,0,25939.0,1134.8391956572525,27969.0,25418.0,1.00220604E7,1131.1274464002727,1.0022574E7,1.0020037E7,No Label
173.194.123.70-10.8.0.10-80-42610-6,10.8.0.10,42610,173.194.123.70,80,6,14/04/2015 04:12:33 PM,50265311,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23873322896579713,4569573.7272727275,5220644.63328352,1.002261E7,25321.0,4.0191982E7,1.00479955E7,5.44671154598974,1.0048E7,1.0047988E7,5.0265311E7,8377551.833333333,4091693.746066263,1.0048425E7,25417.0,0,0,0,0,160,224,0.0994721787357488,0.1392610502300483,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,7,0,-1,383,0,0,25638.8,324.2494410172516,26167.0,25390.0,1.00223592E7,326.3704949898622,1.002261E7,1.0021832E7,No Label
10.8.0.10-91.189.89.105-33936-80-6,10.8.0.10,33936,91.189.89.105,80,6,14/04/2015 04:13:34 PM,281118,2,5,225.0,1239.0,225.0,0.0,112.5,159.0990257669732,1239.0,0.0,247.8,554.0976448244479,5207.777516914605,24.900575559017923,46853.0,71358.73165072373,138972.0,42.0,139.0,139.0,0.0,139.0,139.0,281118.0,70279.5,79431.53671978571,139151.0,42.0,0,0,0,0,64,176,7.114450159719406,17.786125399298516,0.0,1239.0,183.0,433.89169155447075,188262.0,0,1,0,0,0,0,0,0,2.0,209.14285714285714,112.5,247.8,0,0,0,0,0,0,2,225,5,1239,-1,122,1,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-91.189.89.105-33936-80-6,10.8.0.10,33936,91.189.89.105,80,6,14/04/2015 04:13:34 PM,691,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.356005788712,691.0,0.0,691.0,691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1447.178002894356,1447.178002894356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.22-41939-80-6,10.8.0.10,41939,74.125.226.22,80,6,14/04/2015 04:13:29 PM,5384304,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571750777816409,2692152.0,3770283.457791735,5358145.0,26159.0,0,0,0,0,0,26159.0,26159.0,0.0,26159.0,26159.0,0,0,0,0,32,64,0.1857250259272136,0.3714500518544272,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.70-10.8.0.10-80-42610-6,10.8.0.10,42610,173.194.123.70,80,6,14/04/2015 04:13:33 PM,4513748,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6646361294427603,2256874.0,3155867.0619102446,4488409.0,25339.0,0,0,0,0,0,25339.0,25339.0,0.0,25339.0,25339.0,0,0,0,0,32,64,0.2215453764809201,0.4430907529618402,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,383,0,0,0,0,0,0,0,0,0,0,No Label
