Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.208.46-10.8.8.178-443-38246-6,10.8.8.178,38246,216.58.208.46,443,6,03/06/2015 03:52:06 PM,4347774,12,11,601.0,4290.0,203.0,0.0,50.08333333333333,71.44922969663442,1308.0,0.0,390.0,590.3178804678035,1124.9434768228523,5.290063374959232,197626.09090909088,783933.9691657654,3700557.0,9.0,4218684.0,383516.7272727273,1143372.088883325,3827624.0,33.0,579955.0,57995.5,72509.72931537456,166251.0,19.0,0,0,0,0,384,368,2.760033065196121,2.5300303097631107,0.0,1308.0,203.79166666666669,429.7300445999605,184667.91123188403,0,1,0,0,0,0,0,0,0.0,212.65217391304347,50.083333333333336,390.0,0,0,0,0,0,0,12,601,11,4290,-1,350,6,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38247-6,10.8.8.178,38247,216.58.208.46,443,6,03/06/2015 03:52:06 PM,4235329,11,11,601.0,4290.0,203.0,0.0,54.63636363636364,73.08799180066822,1308.0,0.0,390.0,590.3178804678035,1154.8099333015216,5.194401662775194,201682.3333333333,768918.0581540749,3547853.0,9.0,4100929.0,410092.9,1163762.914542348,3717969.0,33.0,591461.0,59146.1,77233.93549103485,180611.0,18.0,0,0,0,0,352,368,2.597200831387597,2.597200831387597,0.0,1308.0,212.65217391304353,437.1407729049858,191092.05533596835,0,1,0,0,0,0,0,0,1.0,222.3181818181818,54.63636363636363,390.0,0,0,0,0,0,0,11,601,11,4290,-1,350,6,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38246-6,216.58.208.46,443,10.8.8.178,38246,6,03/06/2015 03:52:10 PM,50737,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.12844669570531,25368.5,33470.89948746523,49036.0,1701.0,1701.0,1701.0,0.0,1701.0,1701.0,0,0,0,0,0,0,0,0,0,64,32,39.41896446380354,19.70948223190177,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38247-6,216.58.208.46,443,10.8.8.178,38247,6,03/06/2015 03:52:10 PM,88033,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.078129792237,44016.5,61353.53408321317,87400.0,633.0,633.0,633.0,0.0,633.0,633.0,0,0,0,0,0,0,0,0,0,64,32,22.718753194824668,11.359376597412334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
173.194.67.189-10.8.8.178-443-57866-6,173.194.67.189,443,10.8.8.178,57866,6,03/06/2015 03:52:00 PM,57542210,82,79,29195.0,4760.0,1288.0,0.0,356.0365853658537,391.3695309500952,444.0,0.0,60.25316455696201,111.01807064207141,590.0885628132809,2.797946064289154,359638.81249999994,1260226.4800181086,1.0155668E7,8.0,5.7444892E7,709196.1975308644,1706480.6032375696,1.0155668E7,21.0,5.754221E7,737720.6410256412,1775466.6239333092,1.0374371E7,27.0,0,1,0,0,2624,2528,1.4250408526193208,1.3729052116698335,0.0,1288.0,212.3395061728395,324.39424988930574,105231.62936124534,0,0,0,1,1,0,0,0,0.0,213.6583850931677,356.0365853658537,60.25316455696203,0,0,0,0,0,0,82,29195,79,4760,-1,1444,58,0,1.6091633E7,1.8508705259534553E7,2.9179264E7,3004002.0,8995325.0,1640972.8076046843,1.0155668E7,7834982.0,No Label
216.58.208.46-10.8.8.178-443-38245-6,10.8.8.178,38245,216.58.208.46,443,6,03/06/2015 03:52:06 PM,59058491,4,10,130.0,405.0,46.0,0.0,32.5,21.992422937608914,152.0,0.0,40.5,53.48156484039877,9.058815945703726,0.23705312755112556,4542960.846153846,1.6247521318385838E7,5.8617583E7,19.0,5.8927973E7,1.9642657666666668E7,3.390179357254907E7,5.8788995E7,117.0,5.9058491E7,6562054.555555555,1.9569426618948195E7,5.8746901E7,19.0,0,1,0,0,128,320,0.0677294650146073,0.16932366253651826,0.0,152.0,42.93333333333333,47.84867018105349,2289.4952380952377,0,0,0,1,1,0,0,0,2.0,46.0,32.5,40.5,0,0,0,0,0,0,4,130,10,405,-1,383,3,0,311043.0,0.0,311043.0,311043.0,5.8617583E7,0.0,5.8617583E7,5.8617583E7,No Label
216.58.208.46-10.8.8.178-443-38245-6,10.8.8.178,38245,216.58.208.46,443,6,03/06/2015 03:53:05 PM,870,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,88505.74712643678,3448.2758620689656,435.0,585.4844148224613,849.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,1,0,0,64,32,2298.8505747126437,1149.4252873563219,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,254,1,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38243-6,10.8.8.178,38243,216.58.208.46,443,6,03/06/2015 03:52:06 PM,49827967,100,132,47852.0,7260.0,1308.0,0.0,478.51999999999987,548.4663370055475,433.0,0.0,55.000000000000014,94.53825107347042,1106.045526601557,4.656019781019763,215705.48484848483,1222058.803287991,1.4346859E7,3.0,4.9696642E7,501986.28282828286,1866860.0734623682,1.4478512E7,3.0,4.9827967E7,380366.1603053435,1633492.3980838105,1.4476454E7,19.0,0,1,0,0,3200,4224,2.0069050780257602,2.6491147029940034,0.0,1308.0,237.19313304721035,421.22546131850396,177430.8892629865,0,0,0,1,1,0,0,0,1.0,238.2155172413793,478.52,55.0,0,0,0,0,0,0,100,47852,132,7260,-1,1653,82,0,6884191.333333333,8283374.73496312,1.6231492E7,454046.0,9622529.333333334,4117125.2133949404,1.4346859E7,6800743.0,No Label
216.58.208.37-10.8.8.178-443-51898-6,10.8.8.178,51898,216.58.208.37,443,6,03/06/2015 03:52:09 PM,59001214,12,17,3033.0,1654.0,1308.0,0.0,252.75,419.75709967464843,993.0,0.0,97.29411764705883,241.48363420371845,79.43904340680177,0.4915153101764991,2107186.2142857146,1.0995540731040183E7,5.8211644E7,9.0,5.8741744E7,5340158.545454545,1.7579737350245453E7,5.8344798E7,9.0,5.9001214E7,3687575.875,1.4574330195829492E7,5.8340914E7,20.0,0,0,0,0,384,560,0.2033856455902755,0.28812966458622363,0.0,1308.0,156.2333333333333,325.1755688466042,105739.15057471264,0,1,0,0,0,0,0,0,1.0,161.6206896551724,252.75,97.29411764705883,0,0,0,0,0,0,12,3033,17,1654,-1,390,9,0,659356.0,0.0,659356.0,659356.0,5.8211644E7,0.0,5.8211644E7,5.8211644E7,No Label
216.58.208.37-10.8.8.178-443-51898-6,10.8.8.178,51898,216.58.208.37,443,6,03/06/2015 03:53:08 PM,734,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,104904.63215258856,4087.1934604904636,367.0,476.589970519733,704.0,30.0,30.0,30.0,0.0,30.0,30.0,0,0,0,0,0,0,1,0,0,64,32,2724.7956403269754,1362.3978201634877,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,261,1,0,0,0,0,0,0,0,0,0,No Label
