Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-74.125.226.38-51827-443-6,74.125.226.38,443,10.8.8.138,51827,6,22/05/2015 03:27:10 PM,45,1,1,0.0,63.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,1400000.0,44444.444444444445,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,22222.222222222223,22222.222222222223,0.0,63.0,42.0,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,1.0,63.0,0.0,63.0,0,0,0,0,0,0,1,0,1,63,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-47126-22-6,10.8.8.138,47126,75.101.155.12,22,6,22/05/2015 03:27:52 PM,231660,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.6333419666753,231660.0,0.0,231660.0,231660.0,0,0,0,0,0,231660.0,231660.0,0.0,231660.0,231660.0,0,0,0,0,0,64,0.0,8.6333419666753,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,8415,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.56-51143-443-6,10.8.8.138,51143,74.125.226.56,443,6,22/05/2015 03:27:51 PM,10221076,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39134822987325407,3407025.3333333335,5711980.009313087,1.0001434E7,65.0,1.0001434E7,1.0001434E7,0.0,1.0001434E7,1.0001434E7,219577.0,219577.0,0.0,219577.0,219577.0,0,0,0,0,64,80,0.19567411493662704,0.19567411493662704,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42540,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,22/05/2015 03:27:29 PM,59101196,1,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,1.0659682758365838,0.10152078817491274,1.18202392E7,1.945084488464562E7,4.4998067E7,87.0,0,0,0,0,0,5.9101196E7,1.4775299E7,2.1281096627352376E7,4.5219869E7,87.0,0,0,0,0,32,160,0.016920131362485456,0.08460065681242727,0.0,63.0,9.0,23.811761799581316,567.0,0,0,0,0,1,0,0,0,5.0,10.5,0.0,12.6,0,0,0,0,0,0,1,0,5,63,-1,350,0,0,213866.0,11223.198830992882,221802.0,205930.0,2.93366885E7,2.21485338801584E7,4.4998067E7,1.367531E7,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:27:30 PM,59999634,440,450,12424.0,523668.0,1308.0,0.0,28.236363636363638,147.4462908907948,1308.0,0.0,1163.706666666667,402.6459736960377,8934.921169685802,14.833423817218618,67491.15185601792,145008.95780016086,2049426.0,4.0,5.97612E7,136130.29612756256,184892.71283113948,2049426.0,4.0,5.999959E7,133629.37639198228,191998.95906691757,2330983.0,6.0,0,1,0,0,16376,14424,7.333378066939542,7.500045750279076,0.0,1308.0,601.7508417508417,644.2958535014626,415117.1468391782,0,0,0,1,1,0,0,0,1.0,602.4269662921348,28.236363636363638,1163.7066666666667,0,0,0,0,0,0,440,12424,450,523668,-1,15877,57,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,22/05/2015 03:27:15 PM,45452320,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0880043086909535,1.5150773333333332E7,2.5847365572976474E7,4.499674E7,224274.0,0,0,0,0,0,4.545232E7,2.272616E7,3.1812527610402666E7,4.5221014E7,231306.0,0,0,0,0,32,96,0.022001077172738377,0.06600323151821513,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,358,0,0,231306.0,0.0,231306.0,231306.0,4.499674E7,0.0,4.499674E7,4.499674E7,No Label
10.8.8.138-75.101.155.12-35968-22-6,10.8.8.138,35968,75.101.155.12,22,6,22/05/2015 03:28:06 PM,59991192,4222,8654,63603.0,1.1010014E7,1308.0,0.0,15.06466129796305,70.9027639110187,1308.0,0.0,1272.2456667437048,206.72386581752951,184587.38076082902,214.6315079053605,4659.510058252431,163375.51832345364,1.5755634E7,0.0,5.9749568E7,14155.311063728961,285393.4011789504,1.5755634E7,3.0,4.4199181E7,5107.960360568581,108929.3974865194,9347136.0,7.0,0,0,0,0,140480,278888,70.37699800997453,144.25450989538598,0.0,1308.0,859.9531723227477,615.4157880397623,378736.59216860164,0,1,0,0,0,0,0,0,2.0,860.0199596147872,15.06466129796305,1272.2456667437023,0,0,0,0,0,0,4222,63603,8654,11010014,-1,665,498,0,1.7581536E7,1.8874101274499137E7,3.0927541E7,4235531.0,1.241406E7,4725699.270473313,1.5755634E7,9072486.0,No Label
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,22/05/2015 03:28:28 PM,203636,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.821446109725196,203636.0,0.0,203636.0,203636.0,0,0,0,0,0,203636.0,203636.0,0.0,203636.0,203636.0,0,0,0,0,0,64,0.0,9.821446109725196,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,22/05/2015 03:30:30 PM,32523189,251,258,1200.0,320824.0,100.0,0.0,4.7808764940239055,21.378769675280317,1308.0,0.0,1243.5038759689928,280.82923689709105,9901.366068376628,15.650371800871063,64022.025590551166,116122.33996407018,682434.0,2.0,3.2523149E7,130092.59599999996,141033.2952627409,684405.0,4.0,3.2484026E7,126396.9883268482,138225.69498427777,682480.0,12.0,0,0,0,0,9452,8256,7.717570377246831,7.932801423624233,0.0,1308.0,633.9843137254901,651.5172798642477,424474.76596170844,0,0,0,0,1,0,0,0,1.0,635.229862475442,4.780876494023905,1243.5038759689924,0,0,0,0,0,0,251,1200,258,320824,-1,15877,12,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.56-54576-443-17,10.8.8.138,54576,74.125.226.56,443,17,22/05/2015 03:27:51 PM,274126,3,4,401.0,3023.0,324.0,37.0,133.66666666666666,164.8403267812016,1350.0,29.0,755.75,694.6569297142295,12490.60650941538,25.53570256013658,45687.66666666666,80244.5898728797,207983.0,660.0,273466.0,136733.0,102697.36047240942,209351.0,64115.0,248443.0,82814.33333333334,109152.03335409438,208643.0,13613.0,0,0,0,0,24,32,10.94387252577282,14.591830034363761,29.0,1350.0,596.75,634.0163923072382,401976.78571428574,0,0,0,0,0,0,0,0,1.0,682.0,133.66666666666666,755.75,0,0,0,0,0,0,3,401,4,3023,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
