Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
193.235.32.101-10.8.8.138-80-48631-6,10.8.8.138,48631,193.235.32.101,80,6,24/05/2015 11:41:20 AM,444926,3,5,167.0,505.0,167.0,0.0,55.66666666666667,96.41749495466749,505.0,0.0,101.0,225.84286572747877,1510.3635211248613,17.9805181086293,63560.85714285714,107315.32859821497,226706.0,6.0,230493.0,115246.5,162894.0678616014,230430.0,63.0,444926.0,111231.5,126395.7533819867,226790.0,14.0,0,0,0,0,96,176,6.7426942907359875,11.237823817893313,0.0,505.0,74.66666666666667,170.56450392739987,29092.250000000004,0,1,0,0,0,0,0,0,1.0,84.0,55.666666666666664,101.0,0,0,0,0,0,0,3,167,5,505,-1,235,1,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.192.55.186-38629-80-6,10.8.8.138,38629,54.192.55.186,80,6,24/05/2015 11:41:21 AM,10424769,4,4,203.0,1112.0,203.0,0.0,50.74999999999999,101.5,1112.0,0.0,278.0,556.0,126.1418838153632,0.7674030954546811,1489252.7142857143,3754495.4025259605,1.000068E7,7.0,1.0214868E7,3404956.0,5713067.67860035,1.000068E7,38.0,424082.0,141360.6666666667,120424.70823021882,211887.0,2311.0,0,0,0,0,128,144,0.38370154772734055,0.38370154772734055,0.0,1112.0,146.11111111111114,368.3776745557623,135702.11111111115,0,1,0,0,0,0,0,0,1.0,164.375,50.75,278.0,0,0,0,0,0,0,4,203,4,1112,-1,122,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.1.77-38727-443-6,131.202.240.150,38727,131.202.1.77,443,6,24/05/2015 11:41:16 AM,26176079,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076405637376018,2.6176079E7,0.0,2.6176079E7,2.6176079E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.038202818688009,0.038202818688009,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1183,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.230.52.100-33878-443-6,10.8.8.138,33878,54.230.52.100,443,6,24/05/2015 11:41:24 AM,18030436,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22184710342001712,6010145.333333333,1.0230441059774224E7,1.7822632E7,11.0,1.7822632E7,1.7822632E7,0.0,1.7822632E7,1.7822632E7,207793.0,207793.0,0.0,207793.0,207793.0,0,0,0,0,64,80,0.11092355171000856,0.11092355171000856,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,14480,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-24.156.140.49-47270-443-6,10.8.8.138,47270,24.156.140.49,443,6,24/05/2015 11:41:24 AM,18029390,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221859974186592,6009796.666666667,1.0223471508403314E7,1.7814191E7,10.0,1.7814191E7,1.7814191E7,0.0,1.7814191E7,1.7814191E7,215189.0,215189.0,0.0,215189.0,215189.0,0,0,0,0,64,80,0.110929987093296,0.110929987093296,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,14480,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-74.125.226.47-34941-80-6,131.202.240.150,34941,74.125.226.47,80,6,24/05/2015 11:41:18 AM,28736049,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06959899045272368,2.8736049E7,0.0,2.8736049E7,2.8736049E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.03479949522636184,0.03479949522636184,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-74.125.226.52-60077-80-6,131.202.240.150,60077,74.125.226.52,80,6,24/05/2015 11:41:18 AM,28736052,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06959898318669523,2.8736052E7,0.0,2.8736052E7,2.8736052E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.034799491593347616,0.034799491593347616,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,270,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-74.125.226.47-34943-80-6,131.202.240.150,34943,74.125.226.47,80,6,24/05/2015 11:41:18 AM,28736051,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06959898560870455,2.8736051E7,0.0,2.8736051E7,2.8736051E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.034799492804352274,0.034799492804352274,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,244,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.205-39222-443-6,131.202.240.150,39222,216.58.219.205,443,6,24/05/2015 11:41:19 AM,29248071,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06838057798751924,2.9248071E7,0.0,2.9248071E7,2.9248071E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.03419028899375962,0.03419028899375962,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,316,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-216.58.219.195-46433-443-6,131.202.240.150,46433,216.58.219.195,443,6,24/05/2015 11:41:19 AM,29248091,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06838053122851677,2.9248091E7,0.0,2.9248091E7,2.9248091E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.034190265614258385,0.034190265614258385,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,317,0,0,0,0,0,0,0,0,0,0,No Label
